start_time,bank_supply_ratio,date,close,change
2022-03-19,0.0061407,2022-03-19,42188.2,0.0104595044489419
2022-03-20,0.00614039,2022-03-20,41261.0,-0.0219777094068956
2022-03-21,0.00614008,2022-03-21,40982.0,-0.0067618332081141
2022-03-22,0.00613978,2022-03-22,42349.8,0.0333756283246304
2022-03-23,0.00613949,2022-03-23,42867.9,0.0122338240086139
2022-03-24,0.0061392,2022-03-24,43973.4,0.0257885270797029
2022-03-25,0.00613889,2022-03-25,44290.6,0.0072134517685691
2022-03-26,0.00613856,2022-03-26,44489.2,0.0044840214402153
2022-03-27,0.0061383,2022-03-27,46820.8,0.0524082249175081
2022-03-28,0.00613798,2022-03-28,47121.9,0.0064309025048696
2022-03-29,0.00613767,2022-03-29,47418.5,0.0062943132598642
2022-03-30,0.0061374,2022-03-30,47053.2,-0.0077037443192004
2022-03-31,0.00613712,2022-03-31,45506.0,-0.0328819293905621
2022-04-01,0.00613683,2022-04-01,46266.2,0.016705489386015
2022-04-02,0.00613656,2022-04-02,45794.6,-0.0101931863866061
2022-04-03,0.00613628,2022-04-03,46392.4,0.0130539408576557
2022-04-04,0.00613596,2022-04-04,46580.9,0.0040631655184901
2022-04-05,0.00613567,2022-04-05,45477.4,-0.0236899673471315
2022-04-06,0.00613537,2022-04-06,43159.7,-0.0509637754137221
2022-04-07,0.00613509,2022-04-07,43417.1,0.0059638968760209
2022-04-08,0.00613482,2022-04-08,42229.2,-0.027360187575863
2022-04-09,0.00613451,2022-04-09,42727.7,0.0118046280772545
2022-04-10,0.00613423,2022-04-10,42140.4,-0.0137451816971191
2022-04-11,0.00613395,2022-04-11,39505.6,-0.0625243234520792
2022-04-12,0.00613364,2022-04-12,40060.7,0.0140511724920011
2022-04-13,0.00613336,2022-04-13,41129.8,0.0266870024737462
2022-04-14,0.00613308,2022-04-14,39915.9,-0.0295138804467807
2022-04-15,0.00613276,2022-04-15,40529.5,0.0153723203034379
2022-04-16,0.00613249,2022-04-16,40361.0,-0.0041574655497846
2022-04-17,0.00613216,2022-04-17,39649.1,-0.0176383142142166
2022-04-18,0.00613189,2022-04-18,40785.6,0.0286639545412128
2022-04-19,0.00613164,2022-04-19,41472.9,0.0168515358361776
2022-04-20,0.00613132,2022-04-20,41327.7,-0.0035010814290779
2022-04-21,0.00613098,2022-04-21,40449.8,-0.0212424112641157
2022-04-22,0.00613071,2022-04-22,39674.2,-0.0191743840513427
2022-04-23,0.00613038,2022-04-23,39415.1,-0.0065306924903337
2022-04-24,0.00613003,2022-04-24,39433.4,0.0004642890668804
2022-04-25,0.00612971,2022-04-25,40411.0,0.0247911668788387
2022-04-26,0.00612942,2022-04-26,38093.7,-0.0573432976169855
2022-04-27,0.00612908,2022-04-27,39209.0,0.0292778070914614
2022-04-28,0.00612882,2022-04-28,39732.5,0.0133515264352572
2022-04-29,0.00612851,2022-04-29,38572.2,-0.0292027936827534
2022-04-30,0.00612821,2022-04-30,37614.5,-0.0248287626840054
2022-05-01,0.00612788,2022-05-01,38440.5,0.0219596166372011
2022-05-02,0.00612755,2022-05-02,38525.6,0.0022138109545921
2022-05-03,0.00612725,2022-05-03,37712.9,-0.0210950640612994
2022-05-04,0.00612696,2022-05-04,39684.0,0.0522659355286916
2022-05-05,0.00612664,2022-05-05,36534.7,-0.0793594395726238
2022-05-06,0.00612636,2022-05-06,35995.3,-0.0147640462354965
2022-05-07,0.00612607,2022-05-07,35466.7,-0.0146852505743807
2022-05-08,0.00612576,2022-05-08,34032.0,-0.040452029650348
2022-05-09,0.00612545,2022-05-09,30056.6,-0.1168135872120357
2022-05-10,0.00612514,2022-05-10,31002.1,0.0314573171948922
2022-05-11,0.00612485,2022-05-11,29074.7,-0.0621699820334751
2022-05-12,0.00612458,2022-05-12,29020.7,-0.0018572848559056
2022-05-13,0.00612427,2022-05-13,29274.3,0.0087385900409018
2022-05-14,0.00612399,2022-05-14,30079.8,0.0275156024226028
2022-05-15,0.00612374,2022-05-15,31324.4,0.0413766048976389
2022-05-16,0.00612341,2022-05-16,29866.7,-0.0465356080244154
2022-05-17,0.00612312,2022-05-17,30437.0,0.0190948447602179
2022-05-18,0.00612285,2022-05-18,28700.6,-0.0570489864309886
2022-05-19,0.0061226,2022-05-19,30319.9,0.0564204232664127
2022-05-20,0.00612234,2022-05-20,29188.9,-0.0373022338464177
2022-05-21,0.00612207,2022-05-21,29427.4,0.0081709142859101
2022-05-22,0.00612183,2022-05-22,30284.0,0.0291089256951004
2022-05-23,0.00612151,2022-05-23,29097.7,-0.0391725003302073
2022-05-24,0.00612127,2022-05-24,29643.1,0.0187437495059745
2022-05-25,0.00612098,2022-05-25,29536.7,-0.0035893681834895
2022-05-26,0.00612069,2022-05-26,29194.0,-0.0116025148374734
2022-05-27,0.00612042,2022-05-27,28623.2,-0.0195519627320681
2022-05-28,0.00612012,2022-05-28,29018.8,0.0138209564269542
2022-05-29,0.00611982,2022-05-29,29452.8,0.0149558217431458
2022-05-30,0.00611951,2022-05-30,31726.5,0.0771980932203391
2022-05-31,0.00611922,2022-05-31,31797.8,0.002247332671426
2022-06-01,0.00611894,2022-06-01,29796.9,-0.0629257370006729
2022-06-02,0.00611869,2022-06-02,30437.1,0.0214854565407809
2022-06-03,0.00611841,2022-06-03,29682.8,-0.0247822558653747
2022-06-04,0.00611813,2022-06-04,29848.4,0.0055789885051276
2022-06-05,0.00611784,2022-06-05,29909.9,0.0020604119483791
2022-06-06,0.00611753,2022-06-06,31361.2,0.0485223955947695
2022-06-07,0.00611721,2022-06-07,31118.1,-0.0077516166473222
2022-06-08,0.00611685,2022-06-08,30192.5,-0.0297447466265613
2022-06-09,0.00611656,2022-06-09,30093.3,-0.0032855841682537
2022-06-10,0.00611626,2022-06-10,29077.7,-0.0337483758843329
2022-06-11,0.00611596,2022-06-11,28416.7,-0.0227321968381267
2022-06-12,0.0061157,2022-06-12,26564.7,-0.0651729440786579
2022-06-13,0.00657435,2022-06-13,22471.5,-0.1540841793809078
2022-06-14,0.00657404,2022-06-14,22122.7,-0.0155218832743697
2022-06-15,0.00657368,2022-06-15,22567.5,0.0201060449221839
2022-06-16,0.00657342,2022-06-16,20387.4,-0.0966035227650381
2022-06-17,0.00657319,2022-06-17,20457.3,0.003428588245681
2022-06-18,0.00657285,2022-06-18,18959.7,-0.0732061415729348
2022-06-19,0.00657257,2022-06-19,20564.2,0.0846268664588574
2022-06-20,0.00657228,2022-06-20,20570.1,0.0002869063712664
2022-06-21,0.00657196,2022-06-21,20713.1,0.0069518378617507
2022-06-22,0.00657168,2022-06-22,19977.4,-0.0355185848569261
2022-06-23,0.00657136,2022-06-23,21096.6,0.0560233063361597
2022-06-24,0.00657108,2022-06-24,21231.2,0.0063801750045031
2022-06-25,0.00657075,2022-06-25,21481.9,0.0118080937488225
2022-06-26,0.00657046,2022-06-26,21029.1,-0.0210782100279771
2022-06-27,0.00657016,2022-06-27,20730.0,-0.0142231479235914
2022-06-28,0.00656985,2022-06-28,20268.6,-0.0222575976845152
2022-06-29,0.00656952,2022-06-29,20109.9,-0.0078298451792426
2022-06-30,0.00656916,2022-06-30,19923.5,-0.0092690664796941
2022-07-01,0.00656887,2022-07-01,19272.0,-0.0327000777975757
2022-07-02,0.00656857,2022-07-02,19240.9,-0.0016137401411373
2022-07-03,0.00656824,2022-07-03,19305.9,0.0033782203535177
