start_time,date,loss_amount,loss_percent,profit_amount,profit_percent,close,change
2024-02-29,2024-02-29,402417.09762409,2.04883821,19238816.44734667,97.95116179,61203.3,-0.0205575799474777
2024-03-01,2024-03-01,252176.15948727,1.28384911,19390019.88548348,98.71615089,62430.6,0.0200528402880235
2024-03-02,2024-03-02,353346.20411874,1.79884125,19289643.59085204,98.20115875,62039.9,-0.0062581490487035
2024-03-03,2024-03-03,105802.76955428,0.53860208,19538155.77541648,99.46139792,63178.5,0.0183527052751535
2024-03-04,2024-03-04,7665.04238853,0.03901824,19637099.75258225,99.96098176,68296.4,0.0810069881367869
2024-03-05,2024-03-05,380589.74792234,1.93725673,19265218.7970484,98.06274327,63747.4,-0.0666067318335957
2024-03-06,2024-03-06,535057.31624327,2.72339764,19111626.2287274,97.27660236,66128.1,0.0373458368498167
2024-03-07,2024-03-07,324601.12431197,1.65209837,19323207.4206588,98.34790163,66870.0,0.0112191337721785
2024-03-08,2024-03-08,130814.83311224,0.66576598,19517956.2118585,99.33423402,68180.2,0.0195932406161207
2024-03-09,2024-03-09,113092.83039521,0.57554219,19536696.9645755,99.42445781,68360.1,0.0026385959560109
2024-03-10,2024-03-10,133581.98134597,0.67978287,19517101.56362473,99.32021713,69001.8,0.0093870547292937
2024-03-11,2024-03-11,165027.16184765,0.83975827,19486718.88312307,99.16024173,72153.8,0.0456799677689567
2024-03-12,2024-03-12,384246.61802425,1.95519211,19268380.67694646,98.04480789,71503.2,-0.0090168501173881
2024-03-13,2024-03-13,372677.85085187,1.89622936,19280949.44411887,98.10377064,73127.6,0.0227178643753007
2024-03-14,2024-03-14,833168.3009075,4.23906962,18821340.24406326,95.76093038,71455.5,-0.0228655117903501
2024-03-15,2024-03-15,858019.79208085,4.36533501,18797282.50288991,95.63466499,69552.2,-0.0266361581683706
2024-03-16,2024-03-16,1634393.37400813,8.31489903,18021808.92096265,91.68510097,65351.0,-0.0604035530148578
2024-03-17,2024-03-17,876990.10657812,4.4614386,18780124.68839265,95.5385614,68447.9,0.047388716316506
2024-03-18,2024-03-18,1105646.75953775,5.624407,18552368.03543304,94.375593,67660.0,-0.0115109448208052
2024-03-19,2024-03-19,1996041.82354487,10.15332532,17662954.22142592,89.84667468,61974.1,-0.0840363582618977
