start_time,date,nvm,close,change
2022-06-26,2022-06-26,0.78976819,21029.1,-0.0210782100279771
2022-06-27,2022-06-27,0.42010606,20730.0,-0.0142231479235914
2022-06-28,2022-06-28,0.47281662,20268.6,-0.0222575976845152
2022-06-29,2022-06-29,0.45515834,20109.9,-0.0078298451792426
2022-06-30,2022-06-30,0.41529713,19923.5,-0.0092690664796941
2022-07-01,2022-07-01,0.41847813,19272.0,-0.0327000777975757
2022-07-02,2022-07-02,0.51649281,19240.9,-0.0016137401411373
2022-07-03,2022-07-03,0.68654005,19305.9,0.0033782203535177
2022-07-04,2022-07-04,0.53340251,20226.6,0.0476900843783505
2022-07-05,2022-07-05,0.51361079,20170.0,-0.0027982953140912
2022-07-06,2022-07-06,0.408274,20554.1,0.0190431333663856
2022-07-07,2022-07-07,0.410758,21613.4,0.0515371629018055
2022-07-08,2022-07-08,0.46418899,21587.9,-0.0011798236279345
2022-07-09,2022-07-09,0.68116017,21580.0,-0.0003659457381218
2022-07-10,2022-07-10,0.79808956,20853.8,-0.0336515291936978
2022-07-11,2022-07-11,0.54645838,19954.3,-0.0431336255262829
2022-07-12,2022-07-12,0.41697631,19322.9,-0.0316423026615816
2022-07-13,2022-07-13,0.59094507,20220.1,0.0464319537957551
2022-07-14,2022-07-14,0.40391739,20578.6,0.0177298826415299
2022-07-15,2022-07-15,0.440504,20823.1,0.0118812747222842
2022-07-16,2022-07-16,0.65407092,21183.5,0.0173077015429981
2022-07-17,2022-07-17,0.75925213,20794.4,-0.0183680694880449
2022-07-18,2022-07-18,0.56526191,22423.9,0.0783624437348518
2022-07-19,2022-07-19,0.45356927,23385.9,0.0429006551045982
2022-07-20,2022-07-20,0.52857638,23221.5,-0.0070298769771529
2022-07-21,2022-07-21,0.48011409,23144.5,-0.0033158925995305
2022-07-22,2022-07-22,0.60188093,22675.1,-0.0202812763291495
2022-07-23,2022-07-23,0.7197089,22440.2,-0.0103593809950121
2022-07-24,2022-07-24,0.80887169,22570.6,0.0058109999019615
2022-07-25,2022-07-25,0.5017232,21300.0,-0.0562944715692094
2022-07-26,2022-07-26,0.44304755,21241.0,-0.0027699530516431
2022-07-27,2022-07-27,0.55891758,22941.1,0.0800386045854715
2022-07-28,2022-07-28,0.44521524,23836.2,0.039017309544878
2022-07-29,2022-07-29,0.5039406,23771.1,-0.0027311400307097
2022-07-30,2022-07-30,0.71136261,23629.9,-0.0059399859493248
2022-07-31,2022-07-31,0.75356123,23290.1,-0.0143800862466622
2022-08-01,2022-08-01,0.54509078,23257.6,-0.001395442698829
2022-08-02,2022-08-02,0.49441595,22975.1,-0.0121465671436433
