start_time,coinbase_premium_gap,coinbase_premium_index,mean,std,z-score,close,change
2021-02-01 01:49:00,0.74,0.05638525,1.45996666666666,0.5750425305385536,-1.2520233346781815,,
2021-02-01 01:50:00,1.61,0.12270313,1.4597333333333276,0.5749671465575259,0.2613482658380694,,
2021-02-01 01:51:00,1.1,0.08367883,1.4586333333333217,0.5753397706811945,-0.6233418088040474,,
2021-02-01 01:52:00,1.38,0.10469774,1.4578999999999844,0.5752991863766872,-0.1354078049207915,,
2021-02-01 01:53:00,0.68,0.05165564,1.4546666666666472,0.5769394126259563,-1.342717536215336,,
2021-02-01 01:54:00,0.41,0.03111742,1.4503666666666686,0.5799044427870718,-1.7940312056699803,,
2021-02-01 01:55:00,0.85,0.06449606,1.4460333333333255,0.5795159428191975,-1.0285020467836918,,
2021-02-01 01:56:00,0.84,0.06387833,1.4427999999999883,0.5801840556763042,-1.038980637441547,,
2021-02-01 01:57:00,0.58,0.04406793,1.4398666666666635,0.5823174629419748,-1.476628680037276,,
2021-02-01 01:58:00,1.39,0.10555733,1.4378666666666686,0.5814514035330941,-0.0823227295966864,,
2021-02-01 01:59:00,0.29,0.02199402,1.43246666666666,0.584566199010171,-1.9543837269434416,,
2021-02-01 02:00:00,1.47,0.11186789,1.4318000000000028,0.5844084222637631,0.0653652455110515,33675.41,0.0065831379723972
2021-02-01 02:01:00,1.11,0.08450254,1.429499999999995,0.5843122618921056,-0.5467966716382059,,
2021-02-01 02:02:00,1.31,0.09981409,1.4283666666666492,0.5842128731540315,-0.2026087957076582,,
2021-02-01 02:03:00,0.29,0.02216193,1.4224333333333197,0.5867081902930106,-1.9301474771773104,,
2021-02-01 02:04:00,0.76,0.05806136,1.4183333333333332,0.5870263099016122,-1.1214715971481284,,
2021-02-01 02:05:00,0.55,0.04192201,1.4150666666666802,0.589125815347827,-1.4683903575943864,,
2021-02-01 02:06:00,0.51,0.03882756,1.411766666666687,0.5914167663557242,-1.5247566825393215,,
2021-02-01 02:07:00,0.87,0.06621559,1.409066666666695,0.5920367278968619,-0.91052909602697,,
2021-02-01 02:08:00,0.69,0.05243998,1.4066333333333751,0.593490045128898,-1.2074900652760436,,
2021-02-01 02:09:00,0.6,0.04562807,1.4032000000000455,0.5951704401615279,-1.349529388223748,,
2021-02-01 02:10:00,0.97,0.0737867,1.4006000000000496,0.5953540640137293,-0.7232670876504165,,
2021-02-01 02:11:00,0.77,0.0585676,1.3983000000000416,0.5964556208902027,-1.0533893520230584,,
2021-02-01 02:12:00,0.62,0.04717914,1.3942000000000554,0.5975667158839766,-1.2955875543616688,,
2021-02-01 02:13:00,0.81,0.06155015,1.3918333333333914,0.5984721116724252,-0.9721979052749228,,
2021-02-01 02:14:00,1.0,0.07604563,1.3888333333333869,0.598171941104978,-0.6500360625660762,,
2021-02-01 02:15:00,0.89,0.06758039,1.3860000000000583,0.5985160020263034,-0.8287163556543643,,
2021-02-01 02:16:00,-0.02,-0.0015149,1.3806666666667298,0.6038861513846983,-2.319421737781253,,
2021-02-01 02:17:00,0.22,0.01662046,1.3741666666667394,0.6058529785849782,-1.905027634530072,,
2021-02-01 02:18:00,0.85,0.06430382,1.3685333333333984,0.602825994368532,-0.8601708257066266,,
2021-02-01 02:19:00,0.67,0.05080299,1.3644000000000476,0.6033518194714175,-1.1509039628129327,,
2021-02-01 02:20:00,0.44,0.03323991,1.3588000000000466,0.6041112436034534,-1.5209119342317012,,
2021-02-01 02:21:00,0.27,0.02041125,1.3533000000000417,0.606491177589795,-1.786176023705888,,
2021-02-01 02:22:00,0.07,0.00530183,1.3469333333333635,0.6099059049814901,-2.0936562884599663,,
2021-02-01 02:23:00,0.33,0.02499678,1.3421000000000398,0.6122035887782524,-1.6532082113726954,,
2021-02-01 02:24:00,0.57,0.04320276,1.3386666666667104,0.6136389258561784,-1.2526367449624058,,
2021-02-01 02:25:00,0.36,0.0272934,1.3332333333333857,0.6150671270607366,-1.5823205151350592,,
2021-02-01 02:26:00,0.39,0.0295701,1.3312666666667063,0.6171401261782148,-1.5252073665922865,,
2021-02-01 02:27:00,0.78,0.05920438,1.3279333333333732,0.6174088660802671,-0.8874724083766855,,
2021-02-01 02:28:00,0.27,0.02051111,1.3215333333333548,0.6183933619105347,-1.7004279122347434,,
2021-02-01 02:29:00,0.29,0.02202894,1.3156333333333654,0.6197663268424878,-1.654871019790057,,
2021-02-01 02:30:00,0.32,0.02425529,1.3103666666666929,0.6214947449078744,-1.5935237985214137,,
2021-02-01 02:31:00,0.18,0.01369582,1.3051000000000204,0.6243597309067563,-1.8020060300270169,,
2021-02-01 02:32:00,-0.12,-0.00912818,1.2988000000000224,0.6291698836357594,-2.255034827479755,,
2021-02-01 02:33:00,0.17,0.01292579,1.2939666666666745,0.632256085840119,-1.7777079443580022,,
2021-02-01 02:34:00,-0.08,-0.00608499,1.2872333333333277,0.6360975390238214,-2.149408305260124,,
2021-02-01 02:35:00,0.2,0.01520207,1.2810666666666417,0.6376437044838685,-1.6954086726876654,,
2021-02-01 02:36:00,0.31,0.02356913,1.27539999999996,0.6386970746580074,-1.5115146730817377,,
2021-02-01 02:37:00,-0.06,-0.00456114,1.268366666666625,0.641749020182052,-2.069916158640636,,
2021-02-01 02:38:00,0.07,0.0053183,1.2618666666666347,0.6439820586484526,-1.8507761989022589,,
2021-02-01 02:39:00,0.18,0.01367719,1.2562333333332936,0.6460330289310353,-1.6659106967241184,,
2021-02-01 02:40:00,0.27,0.02051796,1.2501999999999438,0.6467655258935571,-1.5155415073271274,,
2021-02-01 02:41:00,0.44,0.03345244,1.24533333333328,0.6473523815574008,-1.2440416630519044,,
2021-02-01 02:42:00,0.54,0.04110215,1.2412999999999494,0.6479667014232154,-1.0823087026842444,,
2021-02-01 02:43:00,0.38,0.02894047,1.2360999999999331,0.6486000798215914,-1.3199196648810436,,
2021-02-01 02:44:00,0.0,0.0,1.2294333333332663,0.6509961588862077,-1.8885416089654192,,
2021-02-01 02:45:00,0.34,0.02586318,1.224866666666591,0.6524174102102432,-1.3562891682817606,,
2021-02-01 02:46:00,0.34,0.02585591,1.2191999999999097,0.6526965112403922,-1.3470272704983015,,
2021-02-01 02:47:00,0.01,0.00075988,1.2116999999999098,0.6536233791248669,-1.8385205278441232,,
2021-02-01 02:48:00,0.64,0.04866957,1.205533333333248,0.6502410529783345,-0.8697287425069592,,
2021-02-01 02:49:00,0.7,0.05317815,1.2022333333332305,0.6502862854661206,-0.7723265038155206,,
2021-02-01 02:50:00,0.72,0.05476993,1.199499999999898,0.6505850852707611,-0.7370288850079301,,
2021-02-01 02:51:00,0.99,0.07525942,1.1966999999998855,0.6496694116864784,-0.3181618162740839,,
2021-02-01 02:52:00,0.58,0.04409071,1.1934999999998883,0.6503367406610047,-0.9433574356822052,,
2021-02-01 02:53:00,0.48,0.03641854,1.1883333333332364,0.649825720568162,-1.0900358525573894,,
2021-02-01 02:54:00,1.0,0.07598611,1.185033333333243,0.6482528607416647,-0.2854338862794169,,
2021-02-01 02:55:00,1.12,0.085014,1.1822666666665949,0.646746575301153,-0.0962767628689811,,
2021-02-01 02:56:00,0.94,0.0714226,1.1786666666666132,0.6450715307784861,-0.3699848083182112,,
2021-02-01 02:57:00,0.97,0.07371997,1.1744333333332906,0.6422441936176398,-0.3183109094093266,,
2021-02-01 02:58:00,1.03,0.07818371,1.1706333333332926,0.6397014867854215,-0.2198421236129875,,
2021-02-01 02:59:00,0.7,0.05310473,1.167133333333283,0.6393933544858652,-0.730588346056402,,
2021-02-01 03:00:00,1.09,0.08270797,1.1644333333332664,0.6379969796493608,-0.1166672189798992,33600.37,-0.0022283321866014
2021-02-01 03:01:00,0.78,0.05930431,1.1622666666665948,0.6381957706643441,-0.598980256902464,,
2021-02-01 03:02:00,0.76,0.0577793,1.1599333333332713,0.6383831967618409,-0.6264784777574164,,
2021-02-01 03:03:00,1.19,0.09050806,1.1593333333332705,0.6382696787651314,0.0480465666582515,,
2021-02-01 03:04:00,1.01,0.07686044,1.1579666666666162,0.6381486068067374,-0.2318686667781564,,
2021-02-01 03:05:00,0.95,0.0722406,1.1551666666666036,0.6372083021187974,-0.3219773910421424,,
2021-02-01 03:06:00,0.68,0.05166741,1.153499999999937,0.6377967536730234,-0.7423995140663324,,
2021-02-01 03:07:00,0.52,0.03949897,1.1489999999999176,0.6374869662246382,-0.986686839614961,,
2021-02-01 03:08:00,0.99,0.07511324,1.1465999999999137,0.6367227230798156,-0.2459469315661337,,
2021-02-01 03:09:00,1.1,0.08341042,1.1452333333332354,0.6363800311408905,-0.0710791211536632,,
2021-02-01 03:10:00,0.9,0.06834284,1.1435666666665687,0.6363653156308177,-0.3827466090371775,,
2021-02-01 03:11:00,0.99,0.07521768,1.1429666666665677,0.6364251635902725,-0.2403529517966182,,
2021-02-01 03:12:00,0.44,0.0334283,1.140666666666584,0.6377176765659851,-1.0987098090797327,,
2021-02-01 03:13:00,1.11,0.08443312,1.139966666666587,0.6376354198522969,-0.0469965527848633,,
2021-02-01 03:14:00,1.25,0.09503463,1.1383666666665764,0.6367515270853433,0.1753169463831713,,
2021-02-01 03:15:00,1.24,0.09424927,1.1356999999999,0.634634577392349,0.1643465447922147,,
2021-02-01 03:16:00,0.91,0.06918626,1.1328666666665717,0.6337348407518154,-0.3516717913160326,,
2021-02-01 03:17:00,0.86,0.06545449,1.1298999999999069,0.6329188554555785,-0.4264369716172089,,
2021-02-01 03:18:00,1.1,0.08367564,1.1280333333332238,0.6321755705985896,-0.0443442211895022,,
2021-02-01 03:19:00,1.07,0.08135521,1.1258666666665522,0.6312531324905171,-0.0885012109898581,,
2021-02-01 03:20:00,0.88,0.06697567,1.1243999999998775,0.6313117203835377,-0.3871304652025129,,
2021-02-01 03:21:00,0.44,0.03345473,1.1203666666665473,0.6318075668746318,-1.0768574204201498,,
2021-02-01 03:22:00,0.67,0.05092579,1.118899999999873,0.632342190182051,-0.7099004415166967,,
2021-02-01 03:23:00,0.57,0.04342758,1.115199999999871,0.6322955153473663,-0.8622550481009701,,
2021-02-01 03:24:00,0.26,0.0198204,1.1111999999998807,0.6339006178498031,-1.34279723986886,,
2021-02-01 03:25:00,0.48,0.03660629,1.106933333333218,0.6338267772032411,-0.989124088602819,,
2021-02-01 03:26:00,0.49,0.03735354,1.1025666666665348,0.6335484915870339,-0.966882053703672,,
2021-02-01 03:27:00,0.47,0.03583737,1.1014999999998691,0.6343453819052257,-0.995514459493958,,
2021-02-01 03:28:00,0.19,0.01448392,1.1015333333332091,0.634297058232042,-1.4370764005652177,,
2021-02-01 03:29:00,0.62,0.04723414,1.0996999999998904,0.6348930676556335,-0.7555603052514036,,
2021-02-01 03:30:00,0.35,0.02662346,1.0985333333332286,0.6359507002896434,-1.1770304411840564,,
2021-02-01 03:31:00,0.53,0.04033424,1.0948666666665667,0.6360473012701907,-0.8880890863596531,,
2021-02-01 03:32:00,0.96,0.07298826,1.0935666666665689,0.6359226401345299,-0.2100360299144445,,
2021-02-01 03:33:00,0.85,0.06468699,1.0923666666665668,0.636041845835403,-0.3810545929540731,,
2021-02-01 03:34:00,0.47,0.03573302,1.0904666666665677,0.6370493611302943,-0.973969529716968,,
2021-02-01 03:35:00,0.6,0.04560657,1.088099999999904,0.6375497016490502,-0.7655873710510912,,
2021-02-01 03:36:00,0.25,0.01900433,1.0842333333332257,0.6391066184819734,-1.3053116791603936,,
2021-02-01 03:37:00,0.19,0.01440212,1.0796666666665744,0.6405885845614161,-1.3888269134169655,,
2021-02-01 03:38:00,0.56,0.04252928,1.0759666666665726,0.6403730613847353,-0.8057282508899613,,
2021-02-01 03:39:00,-0.57,-0.04318084,1.069299999999906,0.6470508165488456,-2.533494986905956,,
2021-02-01 03:40:00,0.55,0.04166067,1.0675999999999233,0.6477449227504568,-0.7990799801287338,,
2021-02-01 03:41:00,0.4,0.03033474,1.0651333333332635,0.6488762982181996,-1.02505413614229,,
2021-02-01 03:42:00,0.43,0.03259527,1.0631666666666084,0.649906840935167,-0.9742421940897396,,
2021-02-01 03:43:00,0.68,0.05156164,1.0600666666666074,0.6495076567744572,-0.5851611797065946,,
2021-02-01 03:44:00,0.58,0.04402544,1.0574333333332713,0.6498482551619806,-0.7346843352134056,,
2021-02-01 03:45:00,0.78,0.05917743,1.0559666666665968,0.6499766388042358,-0.4245793620741409,,
2021-02-01 03:46:00,0.51,0.03870997,1.052299999999935,0.6499434320631338,-0.8343803064191244,,
2021-02-01 03:47:00,0.7,0.05310312,1.0494666666665822,0.6496191698017295,-0.5379562102104269,,
2021-02-01 03:48:00,0.53,0.04021153,1.0460333333332528,0.6496337524038073,-0.7943450158243786,,
2021-02-01 03:49:00,0.49,0.03715358,1.042399999999907,0.6496854705944185,-0.8502575861739653,,
2021-02-01 03:50:00,0.78,0.0591936,1.041233333333245,0.6498418733990408,-0.4019952299577848,,
2021-02-01 03:51:00,0.53,0.04026805,1.038099999999904,0.6500337449428725,-0.781651728010763,,
2021-02-01 03:52:00,0.51,0.03874232,1.0346666666665745,0.6500940674573704,-0.8070626897406339,,
2021-02-01 03:53:00,0.26,0.01974619,1.030466666666592,0.651017558719191,-1.1834806240593645,,
2021-02-01 03:54:00,-0.04,-0.00303658,1.0245333333332625,0.6526386746792332,-1.631122050584073,,
2021-02-01 03:55:00,0.21,0.01594049,1.0212666666665853,0.6542582888916258,-1.239979195435103,,
2021-02-01 03:56:00,0.37,0.02810034,1.0175333333332677,0.6547699298927435,-0.9889478788974604,,
2021-02-01 03:57:00,0.38,0.02886069,1.0143333333332702,0.6555341121013136,-0.9676587711048564,,
2021-02-01 03:58:00,0.49,0.03721425,1.0102333333332596,0.6549520232280067,-0.7943075444965106,,
2021-02-01 03:59:00,0.54,0.04100477,1.008366666666601,0.655493124557764,-0.7145256740604101,,
2021-02-01 04:00:00,0.51,0.0387088,1.003533333333277,0.653796360618911,-0.7548731731484062,33591.64,-0.0002598185674742
2021-02-01 04:01:00,0.42,0.03196907,0.998433333333281,0.6523545306556133,-0.88668554620439,,
2021-02-01 04:02:00,0.51,0.03886484,0.9949666666666114,0.6521769556593185,-0.7436120863490709,,
2021-02-01 04:03:00,0.14,0.0106579,0.9888333333332654,0.6515340571657916,-1.3028226598402797,,
2021-02-01 04:04:00,0.66,0.05021226,0.9869333333332664,0.6516595194725084,-0.5016934818935899,,
2021-02-01 04:05:00,0.1,0.00758075,0.983566666666593,0.6536276022037959,-1.3517890977791112,,
2021-02-01 04:06:00,0.23,0.01741092,0.9801333333332636,0.6548746839871427,-1.1454608823265966,,
2021-02-01 04:07:00,0.48,0.03637631,0.9764999999999416,0.6546147607174133,-0.7584613574185396,,
2021-02-01 04:08:00,0.93,0.07055022,0.9732666666666046,0.6524299797550119,-0.066316184125768,,
2021-02-01 04:09:00,0.94,0.07142097,0.9724999999999516,0.6523331550287509,-0.0498211684465419,,
2021-02-01 04:10:00,0.79,0.06004682,0.9697666666666191,0.6513702656436087,-0.2759823039957074,,
2021-02-01 04:11:00,0.83,0.06309004,0.9681333333332924,0.6511033975766957,-0.2121526839629513,,
2021-02-01 04:12:00,0.58,0.04404718,0.9648666666666394,0.6505821798954107,-0.5915727152694402,,
2021-02-01 04:13:00,0.66,0.04998712,0.9624333333333196,0.6503519079971527,-0.4650302853184583,,
2021-02-01 04:14:00,0.73,0.05530387,0.9597333333333276,0.6496270570608558,-0.3536388006569846,,
2021-02-01 04:15:00,0.4,0.03025856,0.956233333333342,0.6498053314523509,-0.8559999532323469,,
2021-02-01 04:16:00,0.62,0.04685221,0.9541333333333508,0.6498707735354943,-0.5141535008807429,,
2021-02-01 04:17:00,0.71,0.05352633,0.9516000000000108,0.6493341894827407,-0.3720734313904973,,
2021-02-01 04:18:00,0.2,0.01508535,0.9470333333333352,0.6497878729407005,-1.1496572411432329,,
2021-02-01 04:19:00,0.23,0.01733298,0.9430000000000048,0.6504726863737259,-1.096125963374201,,
2021-02-01 04:20:00,0.22,0.01655716,0.9383666666666736,0.6506562153626229,-1.1040648651397489,,
2021-02-01 04:21:00,0.99,0.07454763,0.9376333333333362,0.6504729940136664,0.0805055200578604,,
2021-02-01 04:22:00,0.8,0.06028318,0.934933333333344,0.6493529031768337,-0.2077966120936839,,
2021-02-01 04:23:00,0.48,0.03612581,0.9307000000000212,0.6481601256588077,-0.6953528644513847,,
2021-02-01 04:24:00,0.97,0.07301028,0.9287333333333664,0.6471385916044047,0.0637678964011776,,
2021-02-01 04:25:00,0.66,0.04970141,0.9256000000000496,0.6461524717289283,-0.4110484933832661,,
2021-02-01 04:26:00,0.78,0.05878806,0.9229000000000572,0.6450583365278445,-0.2215303514551025,,
2021-02-01 04:27:00,0.68,0.05121215,0.9186333333333944,0.6424033565157209,-0.3714696240500645,,
2021-02-01 04:28:00,0.88,0.06641459,0.916633333333375,0.6415832727511529,-0.0570983298493565,,
