start_time,date,sopr_ratio,close,change
2021-10-22,2021-10-22,1.1648280597298588,,
2021-10-23,2021-10-23,2.890185072895335,,
2021-10-24,2021-10-24,1.0848485014230769,,
2021-10-25,2021-10-25,1.4879125124693988,,
2021-10-26,2021-10-26,2.0684058344829004,,
2021-10-27,2021-10-27,1.9918741270628595,,
2021-10-28,2021-10-28,1.7830534025597438,,
2021-10-29,2021-10-29,2.4378235154545163,,
2021-10-30,2021-10-30,2.269335705327965,,
2021-10-31,2021-10-31,5.156903255951137,,
2021-11-01,2021-11-01,3.674573641773875,,
2021-11-02,2021-11-02,2.485009813667464,,
2021-11-03,2021-11-03,1.485834019588002,,
2021-11-04,2021-11-04,2.243282725550677,,
2021-11-05,2021-11-05,4.341574896590805,,
2021-11-06,2021-11-06,1.5791816745996838,,
2021-11-07,2021-11-07,2.2342652114158774,,
2021-11-08,2021-11-08,2.810869948421738,,
2021-11-09,2021-11-09,2.237460895060036,,
2021-11-10,2021-11-10,3.74729073309147,,
2021-11-11,2021-11-11,2.560909167166032,,
2021-11-12,2021-11-12,2.1946717085631997,,
2021-11-13,2021-11-13,2.9600690105960883,,
2021-11-14,2021-11-14,2.914033413925626,,
2021-11-15,2021-11-15,2.176678347716068,,
2021-11-16,2021-11-16,2.1245724512097666,,
2021-11-17,2021-11-17,3.5109968645681158,,
2021-11-18,2021-11-18,1.72830008006776,,
2021-11-19,2021-11-19,2.151215181165886,,
2021-11-20,2021-11-20,2.4672540549474253,,
2021-11-21,2021-11-21,2.4322946724504506,,
2021-11-22,2021-11-22,1.9870235960817764,,
2021-11-23,2021-11-23,2.859538138815971,,
2021-11-24,2021-11-24,2.178575432544726,,
2021-11-25,2021-11-25,2.231549514630915,,
2021-11-26,2021-11-26,2.00037425880438,,
2021-11-27,2021-11-27,1.32713364488979,,
2021-11-28,2021-11-28,1.6214721075895882,,
2021-11-29,2021-11-29,1.982578388984066,,
2021-11-30,2021-11-30,1.64842240525462,,
2021-12-01,2021-12-01,2.230906927513216,,
2021-12-02,2021-12-02,2.5438774270948312,,
2021-12-03,2021-12-03,1.4996753038131645,,
2021-12-04,2021-12-04,1.857407481169378,,
2021-12-05,2021-12-05,1.427945890299216,,
2021-12-06,2021-12-06,1.973001503857152,,
2021-12-07,2021-12-07,2.250096021481094,,
2021-12-08,2021-12-08,1.957171333413817,,
2021-12-09,2021-12-09,2.030634822926488,,
2021-12-10,2021-12-10,1.29410553488724,,
2021-12-11,2021-12-11,1.7787649435926325,,
2021-12-12,2021-12-12,1.9734218499203795,,
2021-12-13,2021-12-13,1.3192895403453686,,
2021-12-14,2021-12-14,1.984717336231602,,
2021-12-15,2021-12-15,1.7525700362661194,,
2021-12-16,2021-12-16,2.0762388965829333,,
2021-12-17,2021-12-17,2.215313097845749,,
2021-12-18,2021-12-18,1.8033090384502624,,
2021-12-19,2021-12-19,2.0064557178753377,,
2021-12-20,2021-12-20,1.208669621844541,,
2021-12-21,2021-12-21,1.6942086393789015,,
2021-12-22,2021-12-22,2.048554435526418,,
2021-12-23,2021-12-23,1.3940849045866428,,
2021-12-24,2021-12-24,1.606044290268822,,
2021-12-25,2021-12-25,1.2190053707901178,,
2021-12-26,2021-12-26,1.2780819648788078,,
2021-12-27,2021-12-27,1.867178294399444,,
2021-12-28,2021-12-28,1.5538150154985562,,
2021-12-29,2021-12-29,1.6551289594944074,,
2021-12-30,2021-12-30,1.6986246252530657,,
2021-12-31,2021-12-31,2.0530813398838768,,
2022-01-01,2022-01-01,2.054797777185534,,
2022-01-02,2022-01-02,1.410686011807341,,
2022-01-03,2022-01-03,1.6960604457152533,,
2022-01-04,2022-01-04,1.1220124539133272,,
2022-01-05,2022-01-05,1.6168548134576426,,
2022-01-06,2022-01-06,1.477702346157627,,
2022-01-07,2022-01-07,1.4045449619211574,,
2022-01-08,2022-01-08,1.6059276764329375,,
2022-01-09,2022-01-09,1.5380492774759502,,
2022-01-10,2022-01-10,1.858947849152279,,
2022-01-11,2022-01-11,1.4902404086233392,,
2022-01-12,2022-01-12,1.7532561805599556,,
2022-01-13,2022-01-13,1.6466730288177809,,
2022-01-14,2022-01-14,1.5434538077430622,,
2022-01-15,2022-01-15,1.4847270520702471,,
2022-01-16,2022-01-16,1.798850650602537,,
2022-01-17,2022-01-17,1.6752379373379993,,
2022-01-18,2022-01-18,1.210171107377179,,
2022-01-19,2022-01-19,1.3398734927506264,,
2022-01-20,2022-01-20,1.9124365516026096,,
2022-01-21,2022-01-21,1.2861181482712207,,
2022-01-22,2022-01-22,1.4396618845128817,,
2022-01-23,2022-01-23,1.8634810933812425,,
2022-01-24,2022-01-24,1.379480297856137,,
2022-01-25,2022-01-25,1.7383703106548898,,
2022-01-26,2022-01-26,1.5147324459935956,,
2022-01-27,2022-01-27,1.529170603535802,,
2022-01-28,2022-01-28,1.1355473824709947,,
2022-01-29,2022-01-29,1.7558486157272823,,
2022-01-30,2022-01-30,1.3218663787381086,,
2022-01-31,2022-01-31,1.4904214318077516,,
2022-02-01,2022-02-01,11.958727664462169,,
2022-02-02,2022-02-02,1.359323384375698,,
2022-02-03,2022-02-03,0.8975326799100456,,
2022-02-04,2022-02-04,1.4437866789217766,,
2022-02-05,2022-02-05,1.097554923074204,,
2022-02-06,2022-02-06,1.0664138102832654,,
2022-02-07,2022-02-07,1.4396273272177342,,
2022-02-08,2022-02-08,1.2757003073603883,,
2022-02-09,2022-02-09,1.328731132162455,,
2022-02-10,2022-02-10,2.571512588643508,,
2022-02-11,2022-02-11,1.4898641446677312,,
2022-02-12,2022-02-12,1.225107342612583,,
2022-02-13,2022-02-13,1.833342136555964,,
2022-02-14,2022-02-14,1.4368477775689603,,
2022-02-15,2022-02-15,1.6594848599438623,,
2022-02-16,2022-02-16,1.8878786281728024,,
2022-02-17,2022-02-17,1.4377461274104253,,
2022-02-18,2022-02-18,1.2345857088381569,,
2022-02-19,2022-02-19,1.3133503171736087,,
