start_time,date,market_premium,close,change
2023-04-06,2023-04-06,-36.32954492011115,28022.8,-0.0046600838246785
2023-04-10,2023-04-10,-36.30964025890416,29623.1,0.0464050809978309
2023-04-11,2023-04-11,-35.392415874677006,30185.1,0.0189716808841748
2023-04-12,2023-04-12,-37.06202612732928,29875.0,-0.0102732805258223
2023-04-13,2023-04-13,-35.78244938669689,30362.7,0.0163246861924686
2023-04-14,2023-04-14,-36.95125387396948,30453.1,0.0029773373250732
2023-04-17,2023-04-17,-37.03148232797114,29420.0,-0.028613314138926
2023-04-18,2023-04-18,-37.81058401681543,30365.8,0.0321481985044187
2023-04-19,2023-04-19,-37.445268609085545,28795.1,-0.0517259548571089
2023-04-20,2023-04-20,-38.27221604817613,28229.9,-0.0196283395438806
2023-04-21,2023-04-21,-38.53540916338151,27252.5,-0.0346228644097216
2023-04-24,2023-04-24,-39.90432734102853,27497.5,-0.0028466782709603
2023-04-25,2023-04-25,-41.724060164914114,28286.7,0.0287007909809982
2023-04-26,2023-04-26,-41.4061396359917,28395.9,0.0038604715290224
2023-04-27,2023-04-27,-38.49909247199511,29459.0,0.0374385034459199
2023-04-28,2023-04-28,-38.21837502915998,29300.0,-0.0053973318849926
2023-05-01,2023-05-01,-40.04799520682458,28054.4,-0.03998904972111
2023-05-02,2023-05-02,-37.53801838354536,28656.5,0.021461874073229
2023-05-03,2023-05-03,-37.835230632575055,29018.4,0.0126288974578194
2023-05-04,2023-05-04,-36.70559808798696,28826.0,-0.0066302759628373
2023-05-05,2023-05-05,-37.07443585186743,29491.5,0.0230867966419205
2023-05-08,2023-05-08,-38.09902944161762,27659.8,-0.0267282208632132
2023-05-09,2023-05-09,-37.39612917573741,27610.2,-0.0017932161476221
2023-05-10,2023-05-10,-38.32141545865814,27582.9,-0.0009887650216223
2023-05-11,2023-05-11,-40.0273793851346,26956.4,-0.022713347762563
2023-05-12,2023-05-12,-41.24748477312714,26785.1,-0.0063547061180276
2023-05-15,2023-05-15,-39.05025780941751,27152.5,0.0093153271701997
2023-05-16,2023-05-16,-40.26944931168476,27024.8,-0.0047030660160206
2023-05-17,2023-05-17,-39.52428254391991,27395.8,0.0137281311980106
2023-05-18,2023-05-18,-40.66795565526798,26809.3,-0.0214083910672439
2023-05-19,2023-05-19,-40.91258209861803,26870.1,0.0022678697317721
2023-05-22,2023-05-22,-41.648219488587856,26840.2,0.0040175365094565
2023-05-23,2023-05-23,-41.88287030190874,27209.9,0.0137741149469825
2023-05-24,2023-05-24,-42.56095687195424,26313.8,-0.0329328663464402
2023-05-25,2023-05-25,-42.59942444961609,26461.8,0.0056244252065456
2023-05-26,2023-05-26,-42.82156541148539,26689.9,0.0086199729421279
2023-05-30,2023-05-30,-42.77978131923417,27680.1,-0.0015114349614026
2023-05-31,2023-05-31,-43.632046660821736,27201.1,-0.0173048507772731
2023-06-01,2023-06-01,-42.78400452316841,26805.3,-0.0145508821334431
2023-06-02,2023-06-02,-41.70947407796142,27227.8,0.0157618082991051
2023-06-05,2023-06-05,-41.27002184127113,25714.7,-0.0512021075624299
2023-06-06,2023-06-06,-41.32273927566037,27221.5,0.0585968337176789
2023-06-07,2023-06-07,-42.93738042460359,26325.9,-0.0329004647062064
2023-06-08,2023-06-08,-42.29148730986088,26485.9,0.0060776649611218
2023-06-09,2023-06-09,-43.48579080904443,26468.1,-0.0006720556975599
2023-06-12,2023-06-12,-44.25904637641335,25894.8,-0.0005827888181738
2023-06-13,2023-06-13,-44.156066772227895,25918.0,0.0008959327741477
2023-06-14,2023-06-14,-41.7305645319528,25115.9,-0.0309476039817886
2023-06-15,2023-06-15,-42.092451094252056,25586.1,0.0187212084774981
2023-06-16,2023-06-16,-36.51893504430637,26336.0,0.029308882557326
2023-06-20,2023-06-20,-34.1889351925729,28290.6,0.0544980151704344
2023-06-21,2023-06-21,-34.69345888476444,29988.5,0.0600164012074682
2023-06-22,2023-06-22,-33.69347208907632,29875.0,-0.0037847841672641
2023-06-23,2023-06-23,-30.964772873745503,30673.4,0.0267246861924685
2023-06-26,2023-06-26,-33.56801600412598,30260.1,-0.0064974719285574
2023-06-27,2023-06-27,-30.01033941130865,30683.2,0.0139821084530455
2023-06-28,2023-06-28,-32.81461600536624,30066.3,-0.020105464879804
2023-06-29,2023-06-29,-29.102061546270964,30439.9,0.0124258721558689
2023-06-30,2023-06-30,-30.62722797852373,30460.2,0.0006668878675686
2023-07-03,2023-07-03,-28.237444018769708,31149.0,0.0175188728860897
2023-07-05,2023-07-05,-26.91581876075852,30488.4,-0.0087039644168147
2023-07-06,2023-07-06,-25.67597868455126,29874.4,-0.0201388068904895
2023-07-07,2023-07-07,-26.44024407653112,30327.9,0.0151802211927267
2023-07-10,2023-07-10,-27.128521233039304,30396.9,0.0082626261286065
2023-07-11,2023-07-11,-27.57141186743984,30608.4,0.006957946369531
2023-07-12,2023-07-12,-25.58747336903687,30368.9,-0.0078246494426366
2023-07-13,2023-07-13,-21.95230320618513,31441.7,0.03532561271564
2023-07-14,2023-07-14,-27.67115417873355,30293.3,-0.0365247426188788
2023-07-17,2023-07-17,-26.729174098021325,30126.1,-0.0030016414709698
2023-07-18,2023-07-18,-26.696249762503683,29845.6,-0.0093108633377702
2023-07-19,2023-07-19,-25.652682298987383,29895.5,0.001671938242153
2023-07-20,2023-07-20,-26.60368499204876,29791.0,-0.0034955093575955
2023-07-21,2023-07-21,-26.243676512245106,29891.4,0.0033701453459098
2023-07-24,2023-07-24,-27.103221842699543,29163.8,-0.0301621506577809
2023-07-25,2023-07-25,-27.33822173247985,29216.3,0.0018001769316755
2023-07-26,2023-07-26,-27.327869402757333,29336.0,0.0040970280288743
2023-07-27,2023-07-27,-30.30123475249085,29209.7,-0.0043052904281428
2023-07-28,2023-07-28,-29.27236571623153,29299.9,0.0030880152825945
2023-07-31,2023-07-31,-27.47497217085047,29220.8,-0.001718418508358
2023-08-01,2023-08-01,-29.058216329783527,29701.2,0.0164403438646443
2023-08-02,2023-08-02,-27.24969127174249,29170.1,-0.0178814324000378
2023-08-03,2023-08-03,-26.66523685050728,29180.2,0.000346244956308
2023-08-04,2023-08-04,-26.827690511992557,29101.1,-0.002710742215612
2023-08-07,2023-08-07,-27.23153305269225,29202.7,0.0043610000034393
2023-08-08,2023-08-08,-25.18555437039288,29759.0,0.019049608426618
2023-08-09,2023-08-09,-26.271129029212126,29572.8,-0.006256930676434
2023-08-10,2023-08-10,-25.40645386076508,29443.7,-0.0043654980252123
2023-08-11,2023-08-11,-25.244344733655645,29415.5,-0.0009577600641224
2023-08-14,2023-08-14,-24.13918465993356,29419.5,0.0043081523761405
2023-08-15,2023-08-15,-25.238745622213443,29188.8,-0.0078417376230052
2023-08-16,2023-08-16,-24.82418688936061,28714.4,-0.0162528092967164
2023-08-17,2023-08-17,-22.79024862729495,26609.7,-0.0732977182180369
2023-08-18,2023-08-18,-25.93688254179155,26042.1,-0.0213305674246609
2023-08-21,2023-08-21,-26.918170098686453,26115.4,-0.0023112863359043
2023-08-22,2023-08-22,-27.547187498646405,26044.4,-0.0027187023748439
