start_time,date,range_0d_1d,range_0d_1d_percent,range_10y_inf,range_10y_inf_percent,range_12m_18m,range_12m_18m_percent,range_18m_2y,range_18m_2y_percent,range_1d_1w,range_1d_1w_percent,range_1m_3m,range_1m_3m_percent,range_1w_1m,range_1w_1m_percent,range_2y_3y,range_2y_3y_percent,range_3m_6m,range_3m_6m_percent,range_3y_5y,range_3y_5y_percent,range_5y_7y,range_5y_7y_percent,range_6m_12m,range_6m_12m_percent,range_7y_10y,range_7y_10y_percent,close,change
2021-01-21,2021-01-21,82271.62332434,0.00039782,7686025243.93417,37.1654657,446644591.6811444,2.15973195,643142806.3759553,3.10989115,1819946.16479624,0.00880028,108421352.68828098,0.52426709,43470430.55076517,0.21019952,1959238843.777578,9.47382057,160339407.45014712,0.77531475,3151792532.035923,15.24036593,1687017865.416682,8.15750699,379966471.5586698,1.83731258,4412595035.337691,21.33692568,30879.97,-0.1301416901408451
2021-01-22,2021-01-22,90843.79701268,0.00043914,7690131778.730245,37.17378579,447095639.2581433,2.16124223,644379766.3696785,3.11490571,1753453.71903956,0.00847612,112887043.81818189,0.5456914,42135986.45018621,0.20368365,1952345244.6755896,9.4375579,161238272.11129627,0.77941928,3155367053.0258718,15.25291663,1686864039.4519072,8.1542325,379737970.7738933,1.83563798,4412947920.818636,21.33201165,32986.34,0.0682115299982479
2021-01-23,2021-01-23,71132.50382766,0.00034363,7697445688.901289,37.18538232,448458854.58697146,2.16644776,644745791.791215,3.11468502,2189960.92003592,0.01057942,115824898.83250745,0.55953537,42403342.08091331,0.20484516,1949958031.6369493,9.41999955,160557319.745836,0.77563202,3156945566.995058,15.25080301,1688892709.9496195,8.15882614,381267616.6075331,1.84185542,4411431495.107043,21.31106517,32086.48,-0.0272797770228524
2021-01-24,2021-01-24,40034.10433986,0.00019328,7700517390.816053,37.17663243,448998839.42930967,2.16768094,642576628.4496734,3.10223767,2545186.60218016,0.01228768,113184631.30547318,0.54643386,44258106.4534666,0.21366971,1949540661.984357,9.41201129,164380701.61784887,0.79359874,3162058663.874707,15.26581744,1687979597.7395146,8.14924425,383385335.2284923,1.85091143,4413861084.433024,21.30928128,32275.63,0.0058950062456213
2021-01-25,2021-01-25,61934.83972718,0.00029889,7700013826.984515,37.15928119,449010893.5663169,2.1668691,642982676.8016442,3.1029521,2558761.21826121,0.01234825,114449532.4594593,0.5523188,45652485.12053619,0.22031305,1945672446.867941,9.3895662,162930050.94370183,0.78627957,3165732154.8945475,15.27741819,1687690021.44715,8.14457603,387134324.6640859,1.8682607,4417754529.544461,21.31951792,32253.68,-0.0006800796762139
2021-01-26,2021-01-26,74930.06398484,0.00036141,7706536823.817853,37.17124568,447266047.2861755,2.15731612,645962353.0610595,3.11569592,2038574.82507398,0.00983274,115845323.14666466,0.55876136,46864277.39829333,0.22604233,1943953078.000175,9.37634622,162286877.3451319,0.78276475,3170030416.857439,15.29013383,1682903826.2073967,8.11721698,390334283.7576033,1.88271488,4418425554.382222,21.31156777,32474.14,0.0068351890388942
2021-01-27,2021-01-27,98492.32901854,0.00047552,7710494169.2079935,37.2265466,447321338.8699101,2.15968371,646627999.5499197,3.12194353,1640327.15690998,0.00791956,120166415.67940658,0.58016783,44234975.41195605,0.21356807,1913988956.7913053,9.24080837,161889548.49008235,0.78160863,3174068746.062026,15.32451948,1681602468.908147,8.11883795,389882772.5053031,1.88236822,4420337939.725634,21.34155252,30381.04,-0.0644543627637251
2021-01-28,2021-01-28,86082.12293363,0.00041551,7717315069.122113,37.25081408,449568593.4605557,2.17002882,646604115.3795255,3.12110228,1467541.80702661,0.0070837,124175953.05658644,0.59938661,42213894.94337713,0.20376283,1902852763.9780529,9.18490614,161029734.27428737,0.77727664,3184205843.478168,15.36988691,1676136963.1442206,8.09056852,389127230.6214064,1.87828357,4422387797.709208,21.34648439,33399.75,0.0993616413394669
2021-01-29,2021-01-29,107666.8267088,0.00051968,7724905699.23837,37.28611904,449933066.56460345,2.17171038,645575136.9051747,3.11602398,1328122.85704872,0.00641051,126564932.2969943,0.61089615,40573062.7823993,0.19583567,1893566334.136624,9.13975426,161037038.57961932,0.77728408,3191389544.207693,15.40401075,1676108292.3463588,8.09014061,386857949.5315775,1.86726312,4419966144.300938,21.33403179,34269.35,0.0260361230248729
2021-01-30,2021-01-30,100142.9080772,0.00048317,7728814503.512233,37.28999013,444936845.08724415,2.14673163,650095183.552551,3.13657974,1645641.97192544,0.00793989,127881986.54209188,0.61700511,41064892.92936352,0.19812993,1890440489.1473064,9.12099872,149695210.16643026,0.72224956,3196588216.787619,15.42290127,1675421408.4614117,8.08357449,399421800.0119517,1.92713061,4420138112.22998,21.32628575,34289.85,0.0005982021835839
2021-01-31,2021-01-31,60116.87157728,0.00029006,7732783450.986322,37.31018382,436119162.9558746,2.10424697,655841405.2247944,3.16439268,2108126.61762636,0.01017158,132229494.45882069,0.63799882,38462623.38576124,0.18557969,1876675473.2427227,9.0548387,151258062.28945714,0.72981044,3205375549.9038343,15.46573129,1673481668.1419897,8.07444164,400967277.4591161,1.93464138,4420301897.006431,21.32767293,33126.21,-0.0339354065415858
2021-02-01,2021-02-01,87283.74334844,0.00042093,7737944655.7507715,37.31654856,431117155.1392967,2.07907978,662217573.7161846,3.19357082,2156363.33968332,0.01039915,124268226.25573808,0.59928851,38247491.973274,0.18445006,1873761043.2341332,9.03628781,162229432.28690234,0.78235795,3208680558.513256,15.47399073,1673388640.794924,8.06998386,402032223.8963314,1.93881653,4419829547.763595,21.31480532,33546.09,0.0126751596394516
2021-02-02,2021-02-02,94360.67909081,0.00045482,7743295452.560451,37.32242651,431092520.1040971,2.07785161,663317752.1758201,3.1971695,2315481.77685439,0.01116055,125288797.47749417,0.60388784,38256208.05269064,0.18439365,1869464545.032324,9.01075692,162039742.72943825,0.78102617,3215475915.9130373,15.49848696,1672219548.706204,8.0600426,404024833.4244984,1.94738626,4420145985.626476,21.30495662,35504.06,0.0583665637336572
2021-02-03,2021-02-03,79397.24682262,0.00038255,7748185698.637153,37.33173831,430828135.46248406,2.07578443,663157153.6736184,3.19517501,2311877.27425993,0.01113892,126908829.69961616,0.61146279,36817268.12653171,0.17739025,1834759913.4763176,8.84010523,163417877.31256685,0.78736799,3249541657.3672447,15.65670255,1646359593.828642,7.93236867,406568212.5046721,1.95889705,4446019952.44399,21.42148625,37652.51,0.0605127976913064
2021-02-04,2021-02-04,103248.10643222,0.00049739,7753102597.400772,37.35028022,430083880.9671705,2.07191292,663631090.64143,3.19701782,2140045.3976611,0.01030959,129236173.09592628,0.6225904,35050773.82429827,0.16885578,1825736077.425076,8.7954149,164509646.96835113,0.79251904,3256960954.5358887,15.69028693,1644196510.7286496,7.92085486,406496559.98287165,1.95828189,4446568851.33844,21.42117824,36976.93,-0.0179424957326882
2021-02-05,2021-02-05,107820.66315235,0.00051946,7759205627.719808,37.38217471,431108202.63462335,2.07698609,659850313.5851265,3.17901611,2083676.02554039,0.0100387,130579960.01470798,0.62910601,33446945.05635383,0.16114015,1811300973.06304,8.72645638,165425609.66655877,0.79698481,3267564975.256345,15.74242141,1643401046.5762365,7.91755084,406934938.4379351,1.96052453,4445421787.142489,21.41708081,38362.65,0.0374752582218156
2021-02-06,2021-02-06,79313.04863695,0.00038195,7763534239.318741,37.38719289,432202456.41971815,2.08137636,659668650.0051968,3.1767953,2002155.79207552,0.00964187,136126954.04940167,0.65555255,31094552.22918795,0.1497434,1807333882.6626072,8.70365718,165034693.09138614,0.79476482,3271761732.980473,15.75596671,1642526387.0428796,7.90998648,406998626.1347764,1.96000116,4446860057.754584,21.41493933,39249.54,0.0231185801815045
