start_time,date,price_usd_adj_close,price_usd_close,close,change
2023-11-08,2023-11-08,27.8,27.8,35626.7,0.0062191970400913
2023-11-09,2023-11-09,29.09,29.09,36719.5,0.0306736239954865
2023-11-10,2023-11-10,29.973,29.973,37330.4,0.0166369367774616
2023-11-13,2023-11-13,29.06,29.06,36486.2,-0.0161599546992761
2023-11-14,2023-11-14,27.42,27.42,35559.0,-0.0254123476821372
2023-11-15,2023-11-15,29.76,29.76,37885.6,0.0654292865378665
2023-11-16,2023-11-16,28.985,28.985,36176.0,-0.0451253246616127
2023-11-17,2023-11-17,28.99,28.99,36621.9,0.0123258513931889
2023-11-20,2023-11-20,29.79,29.79,37462.5,0.0023170010621818
2023-11-21,2023-11-21,29.2,29.2,35737.0,-0.0460593927260594
2023-11-22,2023-11-22,30.45,30.45,37413.4,0.0469093656434507
2023-11-24,2023-11-24,31.21,31.21,37706.3,0.0110472645953938
2023-11-27,2023-11-27,30.105,30.105,37234.3,-0.0054383392230866
2023-11-28,2023-11-28,31.51,31.51,37812.1,0.0155179498473181
2023-11-29,2023-11-29,31.018,31.018,37837.1,0.0006611640189251
2023-11-30,2023-11-30,30.245,30.245,37716.8,-0.0031794191415303
2023-12-01,2023-12-01,31.73,31.73,38660.0,0.0250074237475077
2023-12-04,2023-12-04,33.636,33.636,41993.1,0.0503605579831765
2023-12-05,2023-12-05,35.1,35.1,44081.7,0.0497367424648333
2023-12-06,2023-12-06,34.92,34.92,43774.8,-0.0069620726968332
2023-12-07,2023-12-07,34.92,34.92,43296.0,-0.0109377998300392
2023-12-08,2023-12-08,35.51,35.51,44209.5,0.0210989467849223
2023-12-11,2023-12-11,32.46,32.46,41271.0,-0.0579548048390778
2023-12-12,2023-12-12,33.42,33.42,41515.0,0.00591214169756
2023-12-13,2023-12-13,35.59,35.59,42875.0,0.0327592436468746
2023-12-14,2023-12-14,34.9,34.9,43032.4,0.003671137026239
2023-12-15,2023-12-15,34.1,34.1,41968.0,-0.0247348509495171
2023-12-18,2023-12-18,34.54,34.54,42671.7,0.0308045366154143
2023-12-19,2023-12-19,34.934,34.934,42298.3,-0.008750530210889
2023-12-20,2023-12-20,35.83,35.83,43708.9,0.0333488579919287
2023-12-21,2023-12-21,36.295,36.295,43896.3,0.004287456330404
2023-12-22,2023-12-22,36.91,36.91,43999.2,0.0023441611251973
2023-12-26,2023-12-26,35.65,35.65,42538.5,-0.0246125484099524
2023-12-27,2023-12-27,36.25,36.25,43453.8,0.0215169787369089
2023-12-28,2023-12-28,34.81,34.81,42600.1,-0.019646152925636
2023-12-29,2023-12-29,34.62,34.62,42095.1,-0.0118544322665908
2024-01-02,2024-01-02,36.85,36.85,44979.8,0.0169476963703534
2024-01-03,2024-01-03,35.55,35.55,42849.5,-0.0473612599433523
2024-01-04,2024-01-04,37.25,37.25,44143.8,0.0302057200200702
2024-01-05,2024-01-05,37.1635,37.1635,44145.4,3.6245180523586384e-05
2024-01-08,2024-01-08,37.1635,37.1635,46972.7,0.0695814139886921
2024-01-09,2024-01-09,39.0,39.0,46114.0,-0.0182808312062111
2024-01-10,2024-01-10,40.496,40.496,46662.9,0.0119031096846944
2024-01-11,2024-01-11,40.69,40.69,46337.8,-0.0069669909071231
2024-01-12,2024-01-12,38.58,38.58,42788.9,-0.0765875807655952
2024-01-16,2024-01-16,38.32,38.32,43133.0,0.0145360461013759
2024-01-17,2024-01-17,37.94,37.94,42783.4,-0.0081051631001785
2024-01-18,2024-01-18,36.29,36.29,41323.1,-0.034132397144687
2024-01-19,2024-01-19,37.01,37.01,41662.2,0.0082060639206642
2024-01-22,2024-01-22,35.82,35.82,39567.0,-0.0484126984126984
2024-01-23,2024-01-23,34.88,34.88,39890.0,0.0081633684636186
2024-01-24,2024-01-24,35.27,35.27,40078.7,0.0047305088994735
2024-01-25,2024-01-25,35.44,35.44,39953.3,-0.0031288439994309
2024-01-26,2024-01-26,37.51,37.51,41806.4,0.0463816505770486
2024-01-29,2024-01-29,38.51,38.51,43287.7,0.0301395486087974
2024-01-30,2024-01-30,38.87,38.87,42918.3,-0.0085336019238719
2024-01-31,2024-01-31,37.99,37.99,42560.5,-0.00833677009574
2024-02-01,2024-02-01,38.41,38.41,43072.6,0.0120322834553165
2024-02-02,2024-02-02,38.34,38.34,43182.0,0.0025398977540247
2024-02-05,2024-02-05,37.84,37.84,42692.9,0.0028799421192708
2024-02-06,2024-02-06,38.47,38.47,43079.1,0.0090460006230543
2024-02-07,2024-02-07,39.43,39.43,44326.2,0.0289490727522161
2024-02-08,2024-02-08,40.68,40.68,45269.1,0.021271843740271
2024-02-09,2024-02-09,42.48,42.48,47116.1,0.0408004577073544
2024-02-12,2024-02-12,44.86,44.86,49943.6,0.0339562018408641
2024-02-13,2024-02-13,44.11,44.11,49696.4,-0.0049495831297703
2024-02-14,2024-02-14,46.19,46.19,51823.2,0.0427958564403054
2024-02-15,2024-02-15,46.18,46.18,51898.5,0.0014530171814941
2024-02-16,2024-02-16,46.28,46.28,52148.6,0.0048190217443664
2024-02-20,2024-02-20,46.41,46.41,52297.4,0.0093334208261119
2024-02-21,2024-02-21,45.48,45.48,51877.8,-0.0080233434166898
2024-02-22,2024-02-22,46.44,46.44,51316.9,-0.0108119465358978
2024-02-23,2024-02-23,45.59,45.59,50771.9,-0.0106202829866963
2024-02-26,2024-02-26,48.63,48.63,54511.6,0.0530610510210585
2024-02-27,2024-02-27,50.85,50.85,57074.5,0.0470156810660482
2024-02-28,2024-02-28,53.83,53.83,62487.9,0.0948479618743922
2024-02-29,2024-02-29,55.35,55.35,61203.3,-0.0205575799474777
2024-03-01,2024-03-01,56.28,56.28,62430.6,0.0200528402880235
2024-03-04,2024-03-04,60.38,60.38,68296.4,0.0810069881367869
2024-03-05,2024-03-05,55.23,55.23,63747.4,-0.0666067318335957
2024-03-06,2024-03-06,59.8,59.8,66128.1,0.0373458368498167
2024-03-07,2024-03-07,60.45,60.45,66870.0,0.0112191337721785
2024-03-08,2024-03-08,61.9,61.9,68180.2,0.0195932406161207
2024-03-11,2024-03-11,64.32,64.32,72153.8,0.0456799677689567
2024-03-12,2024-03-12,63.67,63.67,71503.2,-0.0090168501173881
