start_time,coinbase_premium_gap,coinbase_premium_gap_usdt_adjusted,coinbase_premium_index,coinbase_premium_index_usdt_adjusted,mean,std,z-score,close,change
2021-01-16 21:47:00,19.04,5.99009975,0.05306583,0.01670091,24.503766666665907,12.35426564975059,-0.4422575021103105,,
2021-01-16 21:48:00,15.94,8.79958253,0.04427444,0.02444629,24.480166666665657,12.36386815515344,-0.6907358247027239,,
2021-01-16 21:49:00,13.6,6.30164296,0.03785378,0.01754334,24.45903333333243,12.377065912437198,-0.8773511759697944,,
2021-01-16 21:50:00,10.59,-3.09565285,0.02952755,-0.00863474,24.431733333332232,12.39864750130856,-1.1163905846884807,,
2021-01-16 21:51:00,-0.3,-13.55083888,-0.00083506,-0.03773297,24.320233333332,12.47018280309742,-1.97432818123698,,
2021-01-16 21:52:00,23.04,10.02863474,0.06409441,0.02790851,24.33126666666552,12.467571919211856,-0.1035700194899814,,
2021-01-16 21:53:00,22.73,14.16000252,0.06340266,0.0395071,24.30546666666555,12.46283368769925,-0.1264131983258771,,
2021-01-16 21:54:00,8.81,-0.52700102,0.0246061,-0.00147228,24.279333333332325,12.487136292927827,-1.2388215336524744,,
2021-01-16 21:55:00,3.0,-4.49809764,0.00838373,-0.01257291,24.18303333333228,12.53953599655284,-1.6892996151656303,,
2021-01-16 21:56:00,22.59,13.2571193,0.06312113,0.03705279,24.163099999999005,12.537291799886365,-0.1254736688838385,,
2021-01-16 21:57:00,20.3,9.99257153,0.05678328,0.02795934,24.15686666666569,12.5387508318633,-0.3075957659884804,,
2021-01-16 21:58:00,21.75,14.25733983,0.06079129,0.03985764,24.198066666665643,12.510341525278118,-0.1956834401138557,,
2021-01-16 21:59:00,-0.52,-8.05191809,-0.00144748,-0.02241818,24.201333333332247,12.503735076303157,-1.9771158923691252,,
2021-01-16 22:00:00,17.8,11.0416152,0.04967545,0.03082026,24.21886666666561,12.491009745562792,-0.5138789255164739,36153.12,0.0058531987266414
2021-01-16 22:01:00,29.34,21.682707,0.08218487,0.0607489,24.26909999999877,12.48116454574887,0.4062842038027929,,
2021-01-16 22:02:00,25.08,17.18951331,0.07027052,0.04817317,24.329166666665117,12.441365233303854,0.0603497541672521,,
2021-01-16 22:03:00,26.34,19.16062619,0.07390886,0.05377469,24.38866666666504,12.408000610603512,0.1572641229294757,,
2021-01-16 22:04:00,27.22,19.71768958,0.07645739,0.05539606,24.437333333331622,12.39030660967691,0.224584165213078,,
2021-01-16 22:05:00,15.68,8.84268323,0.04405195,0.02484772,24.411099999998303,12.400518752901988,-0.7040915121357356,,
2021-01-16 22:06:00,16.04,5.73388731,0.04526667,0.01618638,24.41229999999826,12.399688408128592,-0.6752024506123732,,
2021-01-16 22:07:00,19.91,14.53905031,0.05609031,0.0409655,24.42939999999828,12.38989383344035,-0.3647650303346754,,
2021-01-16 22:08:00,23.34,14.50453649,0.06560481,0.04077993,24.42586666666476,12.3900533893981,-0.0876401927044082,,
2021-01-16 22:09:00,17.43,9.94286165,0.04889715,0.02789901,24.40926666666482,12.396097837659475,-0.5630212634706491,,
2021-01-16 22:10:00,20.0,16.4045264,0.05605381,0.04598144,24.414299999998185,12.393992712646998,-0.3561644824507419,,
2021-01-16 22:11:00,24.05,21.68555663,0.06735585,0.06073787,24.421666666665114,12.393114250459083,-0.0299897716710992,,
2021-01-16 22:12:00,26.38,16.58025087,0.07386858,0.04644032,24.429466666665007,12.39360959978637,0.1573821829411678,,
2021-01-16 22:13:00,24.15,20.00313071,0.06763611,0.05602861,24.42759999999854,12.393609378145236,-0.0223986404225438,,
