start_time,datetime,taker_buy_ratio,taker_buy_sell_ratio,taker_sell_ratio,close,change
2022-11-28 21:00:00,2022-11-28 21:00:00,0.37082228,0.58937605,0.62917772,16198.0,-0.0034759605032452
2022-11-28 22:00:00,2022-11-28 22:00:00,0.68486862,2.17327968,0.31513138,16210.5,0.0007717002099023
2022-11-28 23:00:00,2022-11-28 23:00:00,0.66292594,1.96670704,0.33707406,16206.0,-0.0002775978532432
2022-11-29 00:00:00,2022-11-29 00:00:00,0.44145238,0.79035765,0.55854762,16170.0,-0.0022213994816734
2022-11-29 01:00:00,2022-11-29 01:00:00,0.52901062,1.12319013,0.47098938,16240.5,0.0043599257884971
2022-11-29 02:00:00,2022-11-29 02:00:00,0.60636416,1.54041906,0.39363584,16254.5,0.0008620424248022
2022-11-29 03:00:00,2022-11-29 03:00:00,0.59410431,1.46368719,0.40589569,16276.5,0.0013534713463962
2022-11-29 04:00:00,2022-11-29 04:00:00,0.63529078,1.74191041,0.36470922,16428.5,0.0093386170245446
2022-11-29 05:00:00,2022-11-29 05:00:00,0.46452418,0.86749796,0.53547582,16473.5,0.0027391423440972
2022-11-29 06:00:00,2022-11-29 06:00:00,0.38656035,0.63015222,0.61343965,16455.0,-0.0011230157525723
2022-11-29 07:00:00,2022-11-29 07:00:00,0.66072445,1.94745674,0.33927555,16455.0,0.0
2022-11-29 08:00:00,2022-11-29 08:00:00,0.51827997,1.07589457,0.48172003,16490.5,0.0021573989668792
2022-11-29 09:00:00,2022-11-29 09:00:00,0.47340874,0.89900608,0.52659126,16511.0,0.001243139989691
2022-11-29 10:00:00,2022-11-29 10:00:00,0.53678034,1.15880303,0.46321966,16488.0,-0.0013930107201259
2022-11-29 11:00:00,2022-11-29 11:00:00,0.54181792,1.18253844,0.45818208,16482.5,-0.0003335759340126
2022-11-29 12:00:00,2022-11-29 12:00:00,0.43506419,0.7701126,0.56493581,16473.5,-0.0005460336720763
2022-11-29 13:00:00,2022-11-29 13:00:00,0.45754474,0.84347,0.54245526,16403.5,-0.0042492487935168
2022-11-29 14:00:00,2022-11-29 14:00:00,0.53331148,1.14275682,0.46668852,16355.5,-0.0029262047733715
2022-11-29 15:00:00,2022-11-29 15:00:00,0.59385698,1.46218686,0.40614302,16386.5,0.0018953868729174
2022-11-29 16:00:00,2022-11-29 16:00:00,0.52420854,1.10176112,0.47579146,16403.5,0.0010374393555669
2022-11-29 17:00:00,2022-11-29 17:00:00,0.49677544,0.98718442,0.50322456,16376.0,-0.0016764714847441
2022-11-29 18:00:00,2022-11-29 18:00:00,0.67217895,2.05044478,0.32782105,16413.5,0.002289936492428
2022-11-29 19:00:00,2022-11-29 19:00:00,0.47083135,0.8897567,0.52916865,16418.0,0.0002741645596613
2022-11-29 20:00:00,2022-11-29 20:00:00,0.48154708,0.92881545,0.51845292,16491.0,0.0044463393836033
2022-11-29 21:00:00,2022-11-29 21:00:00,0.29442816,0.41729012,0.70557184,16451.0,-0.0024255654599478
2022-11-29 22:00:00,2022-11-29 22:00:00,0.63311449,1.72564597,0.36688551,16487.5,0.002218710108808
2022-11-29 23:00:00,2022-11-29 23:00:00,0.3068885,0.44276931,0.6931115,16427.0,-0.003669446550417
2022-11-30 00:00:00,2022-11-30 00:00:00,0.59511747,1.46985218,0.40488253,16828.5,0.0244414683143605
2022-11-30 01:00:00,2022-11-30 01:00:00,0.54344301,1.19030708,0.45655699,16866.5,0.0022580741004842
2022-11-30 02:00:00,2022-11-30 02:00:00,0.47896351,0.91925137,0.52103649,16952.5,0.0050988646132867
2022-11-30 03:00:00,2022-11-30 03:00:00,0.3358311,0.50564112,0.6641689,16836.5,-0.006842648576906
2022-11-30 04:00:00,2022-11-30 04:00:00,0.52835431,1.12023564,0.47164569,16871.5,0.0020788168562348
2022-11-30 05:00:00,2022-11-30 05:00:00,0.58993013,1.43860879,0.41006987,16858.5,-0.0007705301840381
2022-11-30 06:00:00,2022-11-30 06:00:00,0.61115007,1.57168623,0.38884993,16860.0,8.897588753442598e-05
2022-11-30 07:00:00,2022-11-30 07:00:00,0.54441714,1.19499038,0.45558286,16882.0,0.0013048635824437
2022-11-30 08:00:00,2022-11-30 08:00:00,0.51434772,1.05908637,0.48565228,16881.0,-5.923468783319841e-05
2022-11-30 09:00:00,2022-11-30 09:00:00,0.41902096,0.7212325,0.58097904,16869.5,-0.0006812392630768
2022-11-30 10:00:00,2022-11-30 10:00:00,0.6274338,1.68408678,0.3725662,16860.0,-0.0005631465070097
2022-11-30 11:00:00,2022-11-30 11:00:00,0.60431306,1.52725047,0.39568694,16873.0,0.000771055753262
2022-11-30 12:00:00,2022-11-30 12:00:00,0.43885031,0.78205568,0.56114969,16775.0,-0.0058080957743139
2022-11-30 13:00:00,2022-11-30 13:00:00,0.50757744,1.03077619,0.49242256,16804.0,0.0017287630402385
2022-11-30 14:00:00,2022-11-30 14:00:00,0.60203443,1.51278018,0.39796557,16843.5,0.0023506308021898
2022-11-30 15:00:00,2022-11-30 15:00:00,0.38805487,0.63413345,0.61194513,16856.5,0.0007718110843946
2022-11-30 16:00:00,2022-11-30 16:00:00,0.50201521,1.00809346,0.49798479,16856.5,0.0
2022-11-30 17:00:00,2022-11-30 17:00:00,0.41426309,0.70725112,0.58573691,16786.5,-0.0041527007385875
2022-11-30 18:00:00,2022-11-30 18:00:00,0.48390607,0.93763179,0.51609393,16919.0,0.0078932475501147
2022-11-30 19:00:00,2022-11-30 19:00:00,0.49790479,0.99165414,0.50209521,17043.5,0.0073585909332702
2022-11-30 20:00:00,2022-11-30 20:00:00,0.59638533,1.47761065,0.40361467,17079.0,0.0020829055064981
2022-11-30 21:00:00,2022-11-30 21:00:00,0.49995129,0.99980516,0.50004871,17085.5,0.0003805843433455
2022-11-30 22:00:00,2022-11-30 22:00:00,0.50012193,1.00048782,0.49987807,17132.5,0.002750870621287
2022-11-30 23:00:00,2022-11-30 23:00:00,0.55438536,1.24409145,0.44561464,17146.5,0.000817160367722
