start_time,average_sa_cdd,binary_cdd,cdd,date,sa_cdd,close,change
2023-09-14,0.52034979,0,7219500.96970349,2023-09-14,0.37050367,26510.3,0.0114613180515759
2023-09-15,0.52030879,0,5850150.78179648,2023-09-15,0.30021072,26591.1,0.0030478719592006
2023-09-16,0.52023696,0,2622467.28549157,2023-09-16,0.13456981,26546.9,-0.0016622102884046
2023-09-17,0.52016115,0,2203890.16874241,2023-09-17,0.11308545,26514.2,-0.0012317822419943
2023-09-18,0.52018425,1,12556136.93267946,2023-09-18,0.64424509,26749.9,0.0088895761516469
2023-09-19,0.52036571,1,29141878.9804527,2023-09-19,1.49517926,27196.0,0.0166766978568144
2023-09-20,0.52034062,0,7514555.75360359,2023-09-20,0.38553046,27107.7,-0.003246801000147
2023-09-21,0.52027543,0,3312724.25378787,2023-09-21,0.16995011,26552.6,-0.020477576481959
2023-09-22,0.52020403,0,2659875.42163588,2023-09-22,0.13645187,26566.7,0.0005310214442277
2023-09-23,0.52013186,0,2576318.63176322,2023-09-23,0.13215879,26563.1,-0.0001355079855609
2023-09-24,0.52006443,0,3070597.44740818,2023-09-24,0.1575067,26232.4,-0.0124496011384211
2023-09-25,0.52002079,0,5562270.98616275,2023-09-25,0.28530416,26290.5,0.0022148183162806
2023-09-26,0.51997577,0,5416732.36269561,2023-09-26,0.27782697,26208.8,-0.0031075863905213
2023-09-27,0.51991981,0,4267639.51175056,2023-09-27,0.2188784,26359.6,0.0057537926192727
2023-09-28,0.51988832,0,6832617.21752864,2023-09-28,0.3504144,27011.8,0.024742408837767
2023-09-29,0.51987379,0,8612122.12330482,2023-09-29,0.44165644,26890.9,-0.0044758216779332
2023-09-30,0.51981053,0,3495577.55949663,2023-09-30,0.17925617,26950.9,0.0022312380768214
2023-10-01,0.51974876,0,3650733.50497684,2023-10-01,0.18720424,27981.4,0.0382361999042704
2023-10-02,0.51982107,1,17731189.93602246,2023-10-02,0.90918357,27477.6,-0.0180048174859014
2023-10-03,0.51979921,0,7841117.47356853,2023-10-03,0.4020396,27412.0,-0.0023873991906133
2023-10-04,0.51981138,1,11417239.072702,2023-10-04,0.58537442,27759.8,0.0126878739238289
2023-10-05,0.51978777,0,7657606.48006019,2023-10-05,0.39259618,27398.4,-0.0130188257840473
2023-10-06,0.51978027,0,9350577.88669271,2023-10-06,0.47936818,27916.3,0.0189025636533519
2023-10-07,0.51978058,1,10171709.9404761,2023-10-07,0.5214359,27943.0,0.0009564304725195
2023-10-08,0.5197112,0,2842333.30274163,2023-10-08,0.14570061,27901.2,-0.0014959023726872
2023-10-09,0.5197587,1,15136704.64659164,2023-10-09,0.77588258,27578.3,-0.0115729789399739
2023-10-10,0.51972841,0,6952395.33184417,2023-10-10,0.35634985,27381.2,-0.0071469234869443
2023-10-11,0.51976023,1,13489996.44303513,2023-10-11,0.6914037,26864.5,-0.0188706119527267
2023-10-12,0.51972477,0,6408532.01985178,2023-10-12,0.32843956,26744.0,-0.0044854733942563
2023-10-13,0.51967651,0,5058683.2020938,2023-10-13,0.25924787,26849.8,0.0039560275201913
2023-10-14,0.51980155,1,23312413.41989029,2023-10-14,1.19466087,26836.3,-0.0005027970413187
2023-10-15,0.51972871,0,2469467.26376353,2023-10-15,0.1265428,27139.8,0.0113093086602846
2023-10-16,0.51969168,0,6240889.54141652,2023-10-16,0.31978719,28486.3,0.0496134827817449
2023-10-17,0.51967094,0,7956584.45722016,2023-10-17,0.40767935,28381.9,-0.0036649196280316
2023-10-18,0.51964974,0,7907225.59861624,2023-10-18,0.40513149,28307.1,-0.0026354824729846
2023-10-19,0.51972851,1,18450283.74065991,2023-10-19,0.94526907,28696.9,0.0137703968262381
2023-10-20,0.51972425,0,9695118.83734844,2023-10-20,0.4966917,29653.0,0.0333171875707829
2023-10-21,0.51966478,0,3870257.15904888,2023-10-21,0.19826805,29895.4,0.0081745523218561
2023-10-22,0.51960876,0,4233104.27372614,2023-10-22,0.21684559,29981.5,0.0028800417455527
