start_time,date,nul,nup,nupl,close,change
2021-07-14,2021-07-14,0.11933137,0.53079721,0.41193125,32803.01,0.0028713730647964
2021-07-15,2021-07-15,0.13290482,0.52283011,0.3954132,31866.43,-0.0285516481566783
2021-07-16,2021-07-16,0.1370075,0.52474131,0.3868681,31382.95,-0.0151720792068643
2021-07-17,2021-07-17,0.13468072,0.52296626,0.38704527,31496.65,0.0036229863668011
2021-07-18,2021-07-18,0.13101166,0.52309737,0.39234436,31767.0,0.0085834525259034
2021-07-19,2021-07-19,0.14514553,0.51837571,0.37373318,30823.62,-0.0296968552271225
2021-07-20,2021-07-20,0.16085246,0.51409328,0.35232852,29775.9,-0.0339908161338609
2021-07-21,2021-07-21,0.1253532,0.52403732,0.39927121,32120.0,0.0787247404780375
2021-07-22,2021-07-22,0.12240925,0.52598796,0.40184373,32268.11,0.0046111457036115
2021-07-23,2021-07-23,0.10582281,0.53051526,0.42725297,33634.46,0.0423436637596685
2021-07-24,2021-07-24,0.09851084,0.53585537,0.43767395,34230.0,0.017706245321019
2021-07-25,2021-07-25,0.08830489,0.54052622,0.45553109,35370.66,0.0333234005258546
2021-07-26,2021-07-26,0.07151796,0.55454511,0.47961023,37218.09,0.0522305775464748
2021-07-27,2021-07-27,0.05846294,0.55611273,0.50582937,39442.33,0.059762336003809
2021-07-28,2021-07-28,0.0539815,0.56292723,0.5102746,40003.08,0.0142169592922121
2021-07-29,2021-07-29,0.05368664,0.55799277,0.50453516,40012.9,0.0002454810979555
2021-07-30,2021-07-30,0.04303119,0.56977314,0.52976857,42203.25,0.054741095996541
2021-07-31,2021-07-31,0.04511576,0.57174749,0.52106898,41448.11,-0.017892934785828
2021-08-01,2021-08-01,0.05438206,0.55699264,0.50138726,39846.78,-0.038634572239844
2021-08-02,2021-08-02,0.05882788,0.55147919,0.49222952,39147.48,-0.0175497242186193
2021-08-03,2021-08-03,0.06473923,0.54750882,0.47969977,38203.26,-0.0241195601862496
2021-08-04,2021-08-04,0.05467242,0.55555607,0.49931674,39731.31,0.0399978954675595
2021-08-05,2021-08-05,0.04883984,0.56065114,0.5131397,40882.4,0.0289718612348801
2021-08-06,2021-08-06,0.03915683,0.5732461,0.53480438,42825.43,0.0475272978103047
2021-08-07,2021-08-07,0.03141036,0.58535717,0.5524357,44601.11,0.0414632147301263
2021-08-08,2021-08-08,0.03498716,0.57755781,0.54400808,43787.71,-0.0182372142756088
