start_time,datetime,range_0d_1d,range_10y_inf,range_12m_18m,range_18m_2y,range_1d_1w,range_1m_3m,range_1w_1m,range_2y_3y,range_3m_6m,range_3y_5y,range_5y_7y,range_6m_12m,range_7y_10y,close,change
2022-05-09 05:00:00,2022-05-09 05:00:00,33929.221343,1.36899257,42937.08266012,11216.22789268,37444.23698544,42449.77758391,39989.39999501,8699.3307202,48896.85527962,6507.92788274,634.75722779,46175.24814021,352.96069305,33519.5,-0.0036857045194464
2022-05-09 06:00:00,2022-05-09 06:00:00,33788.92556549,1.36900733,42939.46669673,11216.55870981,37437.36636452,42449.21854711,39986.59648927,8699.54919909,48887.79920242,6507.77292779,634.77693385,46180.82899015,352.96318823,33572.5,0.0015811691701845
2022-05-09 07:00:00,2022-05-09 07:00:00,33768.0606566,1.36901993,42941.76219328,11218.00311771,37415.80026,42447.53426935,39985.05378149,8700.95678589,48883.92482911,6507.77165249,634.7901352,46177.7119797,352.9652021,33517.0,-0.001653138729615
2022-05-09 08:00:00,2022-05-09 08:00:00,33643.59005692,1.36901993,42942.58731875,11218.14950687,37406.09343057,42447.60616686,39983.32018438,8701.26568334,48882.64386041,6507.79507496,634.81053427,46177.32168555,352.9646963,33659.0,0.0042366560253006
2022-05-09 09:00:00,2022-05-09 09:00:00,33743.27451185,1.36904068,42944.5567661,11218.82432039,37384.81325172,42441.30914699,39978.19053612,8701.44247466,48862.41025045,6507.88651504,634.84677426,46178.82910165,352.96810189,33506.5,-0.0045307347217683
2022-05-09 10:00:00,2022-05-09 10:00:00,33488.60731429,1.36904896,42943.91719323,11219.56859436,37372.05086055,42440.8467105,39975.01121623,8701.55029443,48860.49098717,6507.92324305,634.89261641,46185.85239033,352.96944136,32800.5,-0.0210705385522211
2022-05-09 11:00:00,2022-05-09 11:00:00,33437.31248929,1.36905181,42945.28543308,11220.04444092,37367.19684821,42440.51249907,39976.65003599,8701.66132218,48854.25887203,6508.12911321,634.94176936,46190.58055189,352.96956048,33102.5,0.0092071767198671
2022-05-09 12:00:00,2022-05-09 12:00:00,33410.18905062,1.36905964,42948.059926,11220.92576481,37360.08616403,42440.17504573,39973.3758572,8701.7352067,48852.87711897,6508.13585961,634.96254212,46190.33491157,352.97147488,32850.5,-0.007612718072653
2022-05-09 13:00:00,2022-05-09 13:00:00,33325.16168801,1.36906584,42951.92733771,11222.60197049,37309.85478084,42439.81183405,39970.82797657,8702.21401582,48842.5146446,6508.1232126,634.97499109,46196.95239115,352.9725346,33036.5,0.0056620142767993
2022-05-09 14:00:00,2022-05-09 14:00:00,33172.36265512,1.36910707,42964.8036417,11228.78781163,37302.14218306,42439.48320588,39969.21794292,8702.42213566,48839.03550896,6509.41776792,636.36450143,46198.13730889,352.98011556,32460.0,-0.0174503957743707
2022-05-09 15:00:00,2022-05-09 15:00:00,32880.37952302,1.36911932,42971.9089699,11230.5808713,37263.12871521,42435.39793,39960.81916557,8702.75750983,48814.6765945,6509.41298902,636.43064392,46201.67729696,352.98729199,32343.5,-0.003589032655576
2022-05-09 16:00:00,2022-05-09 16:00:00,32837.21253683,1.36913045,42976.29262982,11230.97687901,37256.1535534,42434.96447453,39957.48687642,8702.78450459,48816.77974561,6509.71537221,636.76256035,46203.24065737,352.98950187,31691.0,-0.0201740689783109
2022-05-09 17:00:00,2022-05-09 17:00:00,32607.65585343,1.36914179,42983.76316483,11230.66021775,37228.3135847,42433.97762147,39951.70871054,8703.02858033,48797.37046494,6509.76538491,636.81687422,46220.03810491,352.99605068,31248.5,-0.0139629547821148
2022-05-09 18:00:00,2022-05-09 18:00:00,31929.17956668,1.36920633,42985.30865551,11233.02072,37222.96175178,42394.76964607,39930.85149478,8703.56870623,48852.76809986,6509.48520915,636.86548543,46239.91730754,352.99932362,30769.5,-0.0153287357793173
2022-05-09 19:00:00,2022-05-09 19:00:00,31910.88126173,1.36921191,42988.04488931,11234.97970127,37229.6802204,42393.84909524,39923.74540122,8704.01133917,48843.01402162,6509.83699492,637.18388294,46248.68007228,352.99882019,30932.0,0.0052812037894669
2022-05-09 20:00:00,2022-05-09 20:00:00,31821.82365613,1.36921249,42991.23147931,11236.24992555,37196.88480062,42393.96653958,39904.43919567,8704.05953865,48840.25783213,6509.88921876,637.23478727,46279.72568911,352.99761743,30949.5,0.0005657571447044
2022-05-09 21:00:00,2022-05-09 21:00:00,31837.97068307,1.36924444,42994.99066546,11237.98114399,37187.29788307,42391.96741179,39900.71211976,8704.21598062,48843.32238253,6509.79877267,637.35204241,46282.24044952,352.99084041,30845.5,-0.0033603127675729
2022-05-09 22:00:00,2022-05-09 22:00:00,31810.60865158,1.36927926,42995.91940589,11238.73663789,37175.62312725,42394.42762307,39895.78912004,8704.43815479,48843.42414113,6509.84195645,637.41356894,46282.98363511,352.99435505,31091.5,0.0079752313951793
2022-05-09 23:00:00,2022-05-09 23:00:00,31548.13198579,1.36929915,42998.86273949,11240.02034016,37139.93794689,42382.14669249,39883.90234264,8704.82429382,48825.15558337,6509.89021238,637.45750583,46289.52159907,352.99704,30063.5,-0.0330636990817425
2022-05-10 00:00:00,2022-05-10 00:00:00,31518.36470634,1.36929963,43002.72655479,11240.89764247,37089.89613119,42382.93778735,39874.61650827,8704.84611585,48823.49192606,6510.02178193,637.51981575,46288.15784641,352.9964432,30779.5,0.0238162555923295
2022-05-10 01:00:00,2022-05-10 01:00:00,31502.08927524,1.36930844,43005.14811281,11253.90127952,37058.19493897,42382.92600599,39861.61878047,8705.07336995,48819.1776429,6510.00494155,637.77353027,46290.83490814,352.96164382,30874.5,0.003086469890674
2022-05-10 02:00:00,2022-05-10 02:00:00,31572.7131862,1.36931158,43007.84315616,11255.80318683,37017.06414027,42381.9899552,39843.01349296,8705.14788044,48816.37378499,6510.06302188,637.82452326,46292.93568719,352.95925953,31037.0,0.0052632431294434
