start_time,date,sca,scda,close,change
2022-04-10,2022-04-10,23954476932.11784,135411190104510.69,42140.4,-0.0137451816971191
2022-04-11,2022-04-11,23967211029.957703,135723496432825.9,39505.6,-0.0625243234520792
2022-04-12,2022-04-12,23965137012.537086,135706250179370.9,40060.7,0.0140511724920011
2022-04-13,2022-04-13,23976961211.510822,135927831451346.34,41129.8,0.0266870024737462
2022-04-14,2022-04-14,23958708126.539516,136026834453104.58,39915.9,-0.0295138804467807
2022-04-15,2022-04-15,23974674469.60689,136405472875894.58,40529.5,0.0153723203034379
2022-04-16,2022-04-16,23991851546.941807,136810826564273.06,40361.0,-0.0041574655497846
2022-04-17,2022-04-17,24009188006.80286,137238930299192.7,39649.1,-0.0176383142142166
2022-04-18,2022-04-18,24024433466.8676,137585120945783.34,40785.6,0.0286639545412128
2022-04-19,2022-04-19,24036813418.235306,137845973028599.52,41472.9,0.0168515358361776
2022-04-20,2022-04-20,24049406076.683445,138140150292949.34,41327.7,-0.0035010814290779
2022-04-21,2022-04-21,24029395932.497112,138052316090689.31,40449.8,-0.0212424112641157
2022-04-22,2022-04-22,24040187799.274235,138270325045133.56,39674.2,-0.0191743840513427
2022-04-23,2022-04-23,24055048512.83301,138650786203963.14,39415.1,-0.0065306924903337
2022-04-24,2022-04-24,24072259131.302265,139057139188503.84,39433.4,0.0004642890668804
2022-04-25,2022-04-25,24086080352.24025,139361716314020.98,40411.0,0.0247911668788387
2022-04-26,2022-04-26,24098058651.87968,139615316651619.69,38093.7,-0.0573432976169855
2022-04-27,2022-04-27,24112852698.30471,139946669759413.12,39209.0,0.0292778070914614
2022-04-28,2022-04-28,24124562673.73229,140188547496438.58,39732.5,0.0133515264352572
2022-04-29,2022-04-29,24135063360.13579,140351704816393.16,38572.2,-0.0292027936827534
2022-04-30,2022-04-30,24149854578.015785,140691929995737.23,37614.5,-0.0248287626840054
2022-05-01,2022-05-01,24163916683.91407,141049683014375.2,38440.5,0.0219596166372011
2022-05-02,2022-05-02,24168061370.290123,140838800652599.06,38525.6,0.0022138109545921
2022-05-03,2022-05-03,24173997855.5626,140771425974906.47,37712.9,-0.0210950640612994
2022-05-04,2022-05-04,24182569690.76076,140960068253777.78,39684.0,0.0522659355286916
2022-05-05,2022-05-05,24193052435.047173,141219402231086.03,36534.7,-0.0793594395726238
2022-05-06,2022-05-06,24202340731.503265,141382686319818.62,35995.3,-0.0147640462354965
2022-05-07,2022-05-07,24218767500.442413,141769962310838.34,35466.7,-0.0146852505743807
2022-05-08,2022-05-08,24231135708.06062,142075019247202.28,34032.0,-0.040452029650348
2022-05-09,2022-05-09,24231037831.967037,141975494066998.5,30056.6,-0.1168135872120357
2022-05-10,2022-05-10,24238063301.6415,142079698881910.3,31002.1,0.0314573171948922
2022-05-11,2022-05-11,24230697328.7394,141728418076475.4,29074.7,-0.0621699820334751
2022-05-12,2022-05-12,24229921895.872604,141792204182036.7,29020.7,-0.0018572848559056
2022-05-13,2022-05-13,24218944783.38441,141741424029668.53,29274.3,0.0087385900409018
2022-05-14,2022-05-14,24189675232.01976,141852760995901.0,30079.8,0.0275156024226028
2022-05-15,2022-05-15,24205535565.888813,142214026425625.84,31324.4,0.0413766048976389
2022-05-16,2022-05-16,24216220945.39349,142430364977834.25,29866.7,-0.0465356080244154
2022-05-17,2022-05-17,24224620818.9818,142532157946423.34,30437.0,0.0190948447602179
2022-05-18,2022-05-18,24237946716.89398,142828788041299.2,28700.6,-0.0570489864309886
2022-05-19,2022-05-19,24241868143.11072,142666518063939.56,30319.9,0.0564204232664127
2022-05-20,2022-05-20,24252209226.088203,142863973717652.4,29188.9,-0.0373022338464177
2022-05-21,2022-05-21,24268049708.181664,143214236115874.44,29427.4,0.0081709142859101
2022-05-22,2022-05-22,24285250458.912712,143614635619317.62,30284.0,0.0291089256951004
2022-05-23,2022-05-23,24298172216.33285,143865226385604.62,29097.7,-0.0391725003302073
2022-05-24,2022-05-24,24310146728.24536,144119516925338.28,29643.1,0.0187437495059745
2022-05-25,2022-05-25,24322649429.158188,144387634336265.6,29536.7,-0.0035893681834895
2022-05-26,2022-05-26,24335925307.899265,144659120728088.62,29194.0,-0.0116025148374734
2022-05-27,2022-05-27,24343552896.74769,144804557564225.3,28623.2,-0.0195519627320681
2022-05-28,2022-05-28,24360265007.05193,145209470620176.6,29018.8,0.0138209564269542
2022-05-29,2022-05-29,24375040124.07531,145569359018010.78,29452.8,0.0149558217431458
2022-05-30,2022-05-30,24388224671.82962,145891913721385.47,31726.5,0.0771980932203391
2022-05-31,2022-05-31,24394027986.359184,146037805289115.06,31797.8,0.002247332671426
2022-06-01,2022-06-01,24399611989.73304,146158567235613.16,29796.9,-0.0629257370006729
2022-06-02,2022-06-02,24398076593.656185,145626708346215.12,30437.1,0.0214854565407809
2022-06-03,2022-06-03,24406239297.43483,145735940730806.6,29682.8,-0.0247822558653747
2022-06-04,2022-06-04,24416891022.048058,145882272018677.56,29848.4,0.0055789885051276
2022-06-05,2022-06-05,24433541946.344963,146263637341814.7,29909.9,0.0020604119483791
2022-06-06,2022-06-06,24446932549.09626,146527577410615.3,31361.2,0.0485223955947695
2022-06-07,2022-06-07,24452556110.943268,146440966520595.88,31118.1,-0.0077516166473222
2022-06-08,2022-06-08,24463351330.599823,146697885322614.66,30192.5,-0.0297447466265613
2022-06-09,2022-06-09,24474676232.092045,146821122497690.7,30093.3,-0.0032855841682537
2022-06-10,2022-06-10,24482657188.377705,146991627669546.53,29077.7,-0.0337483758843329
2022-06-11,2022-06-11,24493779780.644943,147073547023795.34,28416.7,-0.0227321968381267
2022-06-12,2022-06-12,24504921482.852787,147323969215141.7,26564.7,-0.0651729440786579
2022-06-13,2022-06-13,24494289417.93184,146992834561431.16,22471.5,-0.1540841793809078
2022-06-14,2022-06-14,24489641171.115025,146725062029269.0,22122.7,-0.0155218832743697
2022-06-15,2022-06-15,24484528144.18368,146374012782250.97,22567.5,0.0201060449221839
2022-06-16,2022-06-16,24492865793.237663,146473802246169.44,20387.4,-0.0966035227650381
2022-06-17,2022-06-17,24437546178.27648,145936185442991.2,20457.3,0.003428588245681
2022-06-18,2022-06-18,24439199775.67034,145963702018629.6,18959.7,-0.0732061415729348
2022-06-19,2022-06-19,24452337345.284645,146281070621096.94,20564.2,0.0846268664588574
2022-06-20,2022-06-20,24464631960.6867,146574023215439.0,20570.1,0.0002869063712664
2022-06-21,2022-06-21,24473083026.93142,146608600065218.84,20713.1,0.0069518378617507
2022-06-22,2022-06-22,24482998397.16612,146818853891239.47,19977.4,-0.0355185848569261
2022-06-23,2022-06-23,24497257116.26121,147110978270448.72,21096.6,0.0560233063361597
2022-06-24,2022-06-24,24506664308.378376,147288146247178.97,21231.2,0.0063801750045031
2022-06-25,2022-06-25,24509001631.481823,147611798935820.72,21481.9,0.0118080937488225
2022-06-26,2022-06-26,24526406093.242622,148005080175505.2,21029.1,-0.0210782100279771
2022-06-27,2022-06-27,24538449075.45396,148263139607769.25,20730.0,-0.0142231479235914
2022-06-28,2022-06-28,24547948819.457184,148489311526336.8,20268.6,-0.0222575976845152
2022-06-29,2022-06-29,24553099044.53472,148756691151219.25,20109.9,-0.0078298451792426
2022-06-30,2022-06-30,24557033073.806675,148686778184747.06,19923.5,-0.0092690664796941
2022-07-01,2022-07-01,24567948122.030323,148886150445078.7,19272.0,-0.0327000777975757
2022-07-02,2022-07-02,24583152204.18016,149232178150734.16,19240.9,-0.0016137401411373
2022-07-03,2022-07-03,24594797772.39074,149449322124436.6,19305.9,0.0033782203535177
2022-07-04,2022-07-04,24610644871.752853,149807024552970.7,20226.6,0.0476900843783505
2022-07-05,2022-07-05,24625329392.20952,150145465802366.34,20170.0,-0.0027982953140912
2022-07-06,2022-07-06,24635137613.83947,150247321687372.47,20554.1,0.0190431333663856
2022-07-07,2022-07-07,24649822401.56459,150545118558973.1,21613.4,0.0515371629018055
2022-07-08,2022-07-08,24661975810.51387,150824555460772.28,21587.9,-0.0011798236279345
2022-07-09,2022-07-09,24676936696.816456,151136177417899.62,21580.0,-0.0003659457381218
2022-07-10,2022-07-10,24693702189.36275,151495504101013.8,20853.8,-0.0336515291936978
2022-07-11,2022-07-11,24693533681.9676,151092838999056.84,19954.3,-0.0431336255262829
2022-07-12,2022-07-12,24706736731.733376,151410870903965.62,19322.9,-0.0316423026615816
2022-07-13,2022-07-13,24722983031.146564,151764445800432.6,20220.1,0.0464319537957551
2022-07-14,2022-07-14,24734215713.115223,151955049992266.16,20578.6,0.0177298826415299
2022-07-15,2022-07-15,24739375710.635147,151783423180769.75,20823.1,0.0118812747222842
2022-07-16,2022-07-16,24756091234.43512,152157802747599.66,21183.5,0.0173077015429981
2022-07-17,2022-07-17,24773554371.814423,152539108835845.5,20794.4,-0.0183680694880449
2022-07-18,2022-07-18,24785467189.300056,152795993988768.22,22423.9,0.0783624437348518
2022-07-19,2022-07-19,24763587215.67175,152202216319912.8,23385.9,0.0429006551045982
2022-07-20,2022-07-20,24773401553.68595,152484510349757.03,23221.5,-0.0070298769771529
2022-07-21,2022-07-21,24757012896.18469,151997490727695.6,23144.5,-0.0033158925995305
2022-07-22,2022-07-22,24766521835.11254,151982521064657.2,22675.1,-0.0202812763291495
2022-07-23,2022-07-23,24780475712.31178,152255950508541.56,22440.2,-0.0103593809950121
2022-07-24,2022-07-24,24796522436.020386,152587333313109.22,22570.6,0.0058109999019615
2022-07-25,2022-07-25,24808678892.739265,152781714332021.62,21300.0,-0.0562944715692094
2022-07-26,2022-07-26,24821876037.64268,153093607759862.88,21241.0,-0.0027699530516431
2022-07-27,2022-07-27,24836670734.66087,153442124162654.0,22941.1,0.0800386045854715
2022-07-28,2022-07-28,24851763684.17868,153757886184637.34,23836.2,0.039017309544878
2022-07-29,2022-07-29,24866390686.944088,154036233902507.2,23771.1,-0.0027311400307097
2022-07-30,2022-07-30,24883062120.715008,154411313685083.2,23629.9,-0.0059399859493248
2022-07-31,2022-07-31,24897157592.379887,154686575686011.7,23290.1,-0.0143800862466622
2022-08-01,2022-08-01,24912920996.72719,155014992231994.12,23257.6,-0.001395442698829
2022-08-02,2022-08-02,24926181900.338856,155292643629411.53,22975.1,-0.0121465671436433
2022-08-03,2022-08-03,24941022208.41029,155606124661565.03,22801.5,-0.007556006285065
2022-08-04,2022-08-04,24949661342.17465,155742894644159.7,22608.9,-0.00844681270969
2022-08-05,2022-08-05,24965632377.28513,156071873454398.75,23298.1,0.0304835706292654
2022-08-06,2022-08-06,24981334913.03791,156447740829258.1,22943.3,-0.0152287096372665
2022-08-07,2022-08-07,24995989220.07683,156773521751792.12,23167.8,0.0097849916969223
2022-08-08,2022-08-08,25011028159.621628,157099950023660.34,23804.4,0.0274777924533189
2022-08-09,2022-08-09,25020023252.669903,157098986211306.7,23140.2,-0.0279024045974694
2022-08-10,2022-08-10,25023014089.38477,157386451110779.03,23940.9,0.034602120984261
2022-08-11,2022-08-11,25037490778.84245,157672444516425.25,23917.2,-0.0009899377216395
2022-08-12,2022-08-12,25051651206.228127,157956580893760.3,24387.5,0.0196636730052013
2022-08-13,2022-08-13,25068507798.736263,158308344862364.06,24429.0,0.0017016914402869
2022-08-14,2022-08-14,25085642301.301464,158664958895378.62,24294.1,-0.0055221253428302
2022-08-15,2022-08-15,25100935717.757103,158954328041404.84,24085.2,-0.0085987955923453
2022-08-16,2022-08-16,25116696768.668232,159291192316140.53,23843.0,-0.0100559679803364
2022-08-17,2022-08-17,25130360647.262604,159519103454951.6,23333.1,-0.0213857316612843
2022-08-18,2022-08-18,25143275836.009087,159855573241477.47,23185.1,-0.0063429205720628
2022-08-19,2022-08-19,25154389468.622017,160058036761694.56,20824.9,-0.101798137596991
2022-08-20,2022-08-20,25170490567.416645,160401928218341.28,21127.8,0.0145450878515622
2022-08-21,2022-08-21,25187936940.91071,160773550200518.16,21505.6,0.0178816535559782
2022-08-22,2022-08-22,25201694651.62947,161045902671582.06,21387.0,-0.0055148426456363
2022-08-23,2022-08-23,25215620500.02017,161367148529211.44,21518.2,0.006134567728059
2022-08-24,2022-08-24,25230878519.59988,161683288176921.5,21354.9,-0.0075889247241869
2022-08-25,2022-08-25,25246201380.80413,161996163203667.88,21548.3,0.0090564694753896
2022-08-26,2022-08-26,25259316057.78238,162321239816031.25,20228.7,-0.0612391696792785
2022-08-27,2022-08-27,25274638585.63065,162661518537987.12,20023.9,-0.0101242294363947
2022-08-28,2022-08-28,25276209109.448177,163025163811012.1,19547.5,-0.0237915690749555
2022-08-29,2022-08-29,25276196236.392056,163358693641369.94,20275.5,0.0372426141450312
2022-08-30,2022-08-30,25284243259.178986,163489243654846.88,19803.1,-0.023299055510345
2022-08-31,2022-08-31,25299432381.40191,163795280176754.62,20041.5,0.012038519221738
