start_time,date,range_0d_1d,range_0d_1d_percent,range_10y_inf,range_10y_inf_percent,range_12m_18m,range_12m_18m_percent,range_18m_2y,range_18m_2y_percent,range_1d_1w,range_1d_1w_percent,range_1m_3m,range_1m_3m_percent,range_1w_1m,range_1w_1m_percent,range_2y_3y,range_2y_3y_percent,range_3m_6m,range_3m_6m_percent,range_3y_5y,range_3y_5y_percent,range_5y_7y,range_5y_7y_percent,range_6m_12m,range_6m_12m_percent,range_7y_10y,range_7y_10y_percent,close,change
2021-12-24,2021-12-24,5233.07037395,65.40867584,0.0,0.0,43.41523521,0.54265142,3.60011915,0.04499825,1709.72195457,21.36998762,252.13053763,3.15140509,590.15567655,7.37641549,16.07132576,0.20087713,40.55158875,0.50685841,3.84745419,0.04808972,0.00419262,5.24e-05,107.5054601,1.34372162,0.501398,0.00626702,50808.55,-0.0001843837764314
2021-12-25,2021-12-25,13323.83830813,72.09469676,0.0,0.0,1.46380461,0.00792058,6.02957917,0.03262578,2177.58190755,11.78279889,92.75326246,0.50188378,895.64813497,4.84631224,11.09369065,0.06002747,100.68582364,0.54480652,3.06351069,0.01657652,0.00241328,1.306e-05,1868.42423046,10.10996045,0.43946956,0.00237795,50403.64,-0.0079693279969612
2021-12-26,2021-12-26,3471.01441968,79.95421034,0.0,0.0,1.97265739,0.04543982,19.68129999,0.4533553,432.31203592,9.95823217,69.94207612,1.6111035,171.1739334,3.94296163,22.18316715,0.51098538,80.30629594,1.84984149,26.6597458,0.61410258,0.03685099,0.00084886,45.96664192,1.05883356,0.00370629,8.537e-05,50765.73,0.0071838065663512
2021-12-27,2021-12-27,9534.99356834,72.71934319,0.0,0.0,10.37076177,0.07909339,1.97564423,0.0150674,1905.96380193,14.53597581,263.93811077,2.01294379,1249.39470711,9.52860239,3.72777551,0.02843016,49.30922391,0.37606049,26.08090812,0.198908,0.03731232,0.00028457,66.02886138,0.50357406,0.22510166,0.00171675,50707.72,-0.0011427000064807
2021-12-28,2021-12-28,9285.88079396,61.5068685,0.10012608,0.0006632,20.67693849,0.13695779,3.29591062,0.02183112,2273.45478046,15.0586775,889.07981976,5.88899608,2413.88423238,15.98883976,22.23156344,0.14725516,65.71391645,0.43526913,29.20183338,0.19342412,0.16549508,0.00109619,93.61886149,0.62010305,0.00277811,1.84e-05,47522.03,-0.0628245561030944
2021-12-29,2021-12-29,4607.12457131,68.51664959,0.0,0.0,11.15392894,0.16588,9.70938807,0.14439695,1246.95919772,18.54463996,269.63427613,4.00997128,384.65130092,5.72049182,11.18655518,0.16636522,122.6177471,1.82355764,7.57688682,0.11268263,0.01098294,0.00016334,52.46919373,0.78031607,1.00091538,0.0148855,46436.54,-0.0228418272535916
2021-12-30,2021-12-30,4786.51209673,78.93465595,0.0,0.0,25.68294461,0.42353897,7.67604712,0.12658615,451.41408936,7.44429662,110.7738068,1.82677744,518.68101273,8.55359946,6.39936108,0.10553224,61.37610004,1.01215692,23.29578297,0.38417214,0.03558893,0.0005869,71.44851002,1.17826163,0.59641776,0.00983556,47095.02,0.0141802123930852
2021-12-31,2021-12-31,7620.15295909,71.1696692,0.09025153,0.00084292,104.31800722,0.97429515,13.82839276,0.12915254,1251.28054494,11.68654001,147.57782764,1.37832734,1434.282902,13.39572056,11.01540624,0.10288019,31.60065009,0.29513946,39.16965119,0.36583139,0.03839955,0.00035864,53.65010076,0.50107392,0.01805927,0.00016867,46210.56,-0.0187803296399491
2022-01-01,2022-01-01,2238.03391313,67.23506195,0.0,0.0,36.49968872,1.09652442,7.97393035,0.23955298,536.5481001,16.11898932,268.00741828,8.0514845,92.96165571,2.79275602,3.90695694,0.11737288,53.21411428,1.59865954,11.7089175,0.35175955,0.00516743,0.00015524,79.81078668,2.39767733,0.00020836,6.26e-06,47704.35,0.0323257281452551
2022-01-02,2022-01-02,2433.70784649,67.6053292,0.0,0.0,11.16546467,0.3101625,4.06295914,0.11286387,493.45146812,13.70745835,77.06467373,2.14075927,499.66059381,13.87994002,1.33836501,0.03717809,40.97966208,1.13836324,2.8881546,0.08022929,0.03610846,0.00100305,35.52044629,0.98671312,0.0,0.0,47280.0,-0.008895415197985
2022-01-03,2022-01-03,2996.08534341,72.64344468,0.0,0.0,14.7459505,0.35753208,2.62645398,0.06368132,796.16213227,19.30384258,86.59678598,2.09963606,145.75639244,3.53402698,5.08819612,0.12336901,43.95846098,1.06582212,8.65218801,0.20978199,0.00303849,7.367e-05,24.69365799,0.59872539,0.0026443,6.411e-05,46445.81,-0.0176436125211506
2022-01-04,2022-01-04,10195.15724027,70.10780375,0.0,0.0,95.20750598,0.65470193,6.46295165,0.044443,2254.50159769,15.50325825,1397.55343286,9.61038653,197.32719042,1.35693601,14.91746047,0.10258109,109.86885372,0.75552185,7.48505171,0.05147155,1.4325314,0.00985092,262.20058665,1.80304304,0.00030416,2.09e-06,45833.42,-0.0131850429565121
2022-01-05,2022-01-05,6913.15588912,79.90691827,0.0,0.0,30.31871112,0.35044411,6.48108298,0.07491273,638.52282705,7.38047748,139.99129807,1.61811384,589.11057474,6.80933734,14.04892508,0.16238695,257.47657683,2.97608793,11.73805545,0.13567636,0.52967969,0.0061224,50.11716056,0.57928794,0.02030071,0.00023465,43421.69,-0.0526194641377404
2022-01-06,2022-01-06,12747.73643771,73.64927122,0.0,0.0,52.22088054,0.30170296,18.35052188,0.10601902,683.84312698,3.95086204,532.2749714,3.07518624,756.81311821,4.37244172,42.84160054,0.24751474,372.00923752,2.14926072,8.15157341,0.04709522,0.57245758,0.00330734,2093.7929031,12.09676103,0.1,0.00057774,43080.01,-0.0078688784337965
2022-01-07,2022-01-07,7107.31455398,68.2512014,0.0,0.0,48.43849126,0.46515251,5.40350366,0.05188959,1749.47319734,16.80010736,472.68605141,4.53918152,430.55364421,4.13458603,51.01542874,0.48989872,143.34017309,1.37648882,20.43017823,0.19619002,0.20054463,0.00192582,384.36360752,3.69102532,0.245017,0.00235289,41553.86,-0.0354259434944421
2022-01-08,2022-01-08,4610.61499374,80.20631826,0.25743262,0.0044783,16.04132848,0.27905516,4.6090698,0.08017944,393.35043023,6.84272919,163.91557062,2.85147739,387.85875603,6.74719595,22.49594676,0.39133978,59.78818331,1.04007601,20.97044344,0.36480211,0.01420808,0.00024716,68.52726787,1.19210124,0.0,0.0,41688.05,0.0032293028854599
2022-01-09,2022-01-09,2935.26663483,61.19810311,0.0,0.0,35.17942853,0.73346464,26.82876107,0.5593595,869.58970463,18.13029173,285.81171205,5.95895937,400.47654001,8.34963485,10.35182461,0.21582776,128.1697201,2.67224233,43.51287293,0.9072107,0.07466693,0.00155675,60.86210816,1.26892921,0.212,0.00442004,41851.22,0.0039140712986094
2022-01-10,2022-01-10,6699.42738747,65.09748659,0.0,0.0,36.70788489,0.35668586,8.16228575,0.0793119,2545.9444986,24.73861993,343.71294928,3.33981515,376.24979171,3.65597153,8.46737801,0.08227644,113.38466598,1.10174442,16.62881936,0.16158013,1.08461471,0.01053906,140.91769793,1.36927941,0.68845023,0.00668958,41801.55,-0.0011868232276143
2022-01-11,2022-01-11,8917.69791646,80.65148621,0.0,0.0,36.56012573,0.33064906,2.52570764,0.02284245,1446.91868659,13.08590441,158.21092212,1.4308565,266.52154229,2.41041564,20.61356573,0.18642869,119.66097885,1.08221156,17.43693012,0.15769926,0.03964757,0.00035857,70.89219762,0.64114765,0.0,0.0,42700.68,0.0215094894806531
2022-01-12,2022-01-12,5757.65578354,76.6464693,0.0,0.0,34.51083018,0.4594115,5.26199184,0.07004814,535.56699059,7.12951945,208.02157717,2.76920331,858.51907171,11.42868871,1.1524829,0.01534196,59.83101653,0.79647626,6.52847232,0.08690765,0.02218011,0.00029526,44.58240675,0.5934853,0.3119819,0.00415313,43880.72,0.0276351570982007
2022-01-13,2022-01-13,7394.02883605,80.90048367,0.0,0.0,9.42852079,0.10316052,9.79549448,0.1071757,1046.9850742,11.45540554,288.96438321,3.16165366,224.84961337,2.46015303,4.54971906,0.04977996,91.6388441,1.00265051,1.41462491,0.01547787,0.11910008,0.00130311,67.74230943,0.74119073,0.14309744,0.00156568,42534.32,-0.0306831793097287
2022-01-14,2022-01-14,4950.03093769,77.19085555,0.0,0.0,11.93766016,0.18615605,57.61987822,0.89852523,956.10770806,14.90955772,142.83445795,2.22736265,174.46545465,2.72061688,12.54265831,0.1955904,42.37904005,0.66085938,16.45506252,0.25660049,0.43658198,0.00680807,47.90112368,0.74697083,0.00620553,9.677e-05,43042.4,0.0119451774472942
