start_time,datetime,reserve,reserve_usd,close,change
2024-06-15 20:00:00,2024-06-15 20:00:00,58635.27407906,3872599893.4624286,66014.0,-0.0015789855773883
2024-06-15 21:00:00,2024-06-15 21:00:00,58638.33434553,3876342558.058901,66095.1,0.0012285272820917
2024-06-15 22:00:00,2024-06-15 22:00:00,58632.59808938,3878817993.1509857,66178.6,0.001263331169784
2024-06-15 23:00:00,2024-06-15 23:00:00,58555.31995996,3877169384.431392,66184.0,8.159737437773984e-05
2024-06-16 00:00:00,2024-06-16 00:00:00,58565.82829077,3873314766.8136063,66136.2,-0.0007222289375076
2024-06-16 01:00:00,2024-06-16 01:00:00,58568.12849011,3872853734.191112,66148.4,0.000184467810367
2024-06-16 02:00:00,2024-06-16 02:00:00,58571.82135512,3874242206.10802,66111.0,-0.0005653953837129
2024-06-16 03:00:00,2024-06-16 03:00:00,58574.85509876,3871189026.3736544,66105.6,-8.1680809547513e-05
2024-06-16 04:00:00,2024-06-16 04:00:00,58618.76090668,3876086058.470583,66126.9,0.0003222117339527
2024-06-16 05:00:00,2024-06-16 05:00:00,58614.54640498,3879382270.77698,66227.4,0.0015198051020084
2024-06-16 06:00:00,2024-06-16 06:00:00,58632.82775459,3880543753.574773,66270.9,0.0006568278386287
2024-06-16 07:00:00,2024-06-16 07:00:00,58637.73049836,3885061460.682004,66232.0,-0.0005869846342813
2024-06-16 08:00:00,2024-06-16 08:00:00,58589.33472375,3880794042.375647,66232.6,9.059065104510822e-06
2024-06-16 09:00:00,2024-06-16 09:00:00,58593.8257495,3880712106.928604,66370.0,0.002074507115831
2024-06-16 10:00:00,2024-06-16 10:00:00,58596.10824687,3906044955.4236345,66670.0,0.0045201145095676
2024-06-16 11:00:00,2024-06-16 11:00:00,58628.37344121,3897435579.638209,66450.2,-0.003296835158242
2024-06-16 12:00:00,2024-06-16 12:00:00,58588.427785,3900019991.680163,66556.2,0.0015951795479922
2024-06-16 13:00:00,2024-06-16 13:00:00,58584.11919838,3903555446.238997,66725.5,0.0025437149356484
2024-06-16 14:00:00,2024-06-16 14:00:00,58503.15302107,3893981741.9251056,66491.2,-0.0035114011884512
2024-06-16 15:00:00,2024-06-16 15:00:00,58507.94392599,3898540011.411087,66670.2,0.002692085569218
2024-06-16 16:00:00,2024-06-16 16:00:00,58452.90976465,3889298594.330018,66562.7,-0.0016124145420293
2024-06-16 17:00:00,2024-06-16 17:00:00,58470.85722351,3892915740.1349344,66552.2,-0.0001577460048945
2024-06-16 18:00:00,2024-06-16 18:00:00,58481.52893944,3891548381.084805,66563.0,0.0001622786324118
2024-06-16 19:00:00,2024-06-16 19:00:00,58477.45448404,3888480891.4715753,66522.0,-0.0006159578144013
2024-06-16 20:00:00,2024-06-16 20:00:00,58484.73512561,3888532059.50549,66479.0,-0.0006464026938456
2024-06-16 21:00:00,2024-06-16 21:00:00,58489.14990803,3888650087.5414658,66485.9,0.0001037921749724
2024-06-16 22:00:00,2024-06-16 22:00:00,58348.49273846,3891596767.325525,66719.5,0.003513526928266
2024-06-16 23:00:00,2024-06-16 23:00:00,58356.79958015,3887946984.3662057,66638.2,-0.0012185343115581
2024-06-17 00:00:00,2024-06-17 00:00:00,58284.47786557,3882850364.2906647,66552.4,-0.0012875497837576
