start_time,date,realized_price,close,change
2021-11-16,2021-11-16,24283.66145257,60106.03,-0.0557456355396139
2021-11-17,2021-11-17,24316.55547844,60366.96,0.0043411617769464
2021-11-18,2021-11-18,24291.50470054,56921.05,-0.0570827154456675
2021-11-19,2021-11-19,24292.79076781,58069.51,0.0201763670909091
2021-11-20,2021-11-20,24310.76308086,59716.29,0.0283587720991618
2021-11-21,2021-11-21,24319.52888108,58661.39,-0.0176651965485464
2021-11-22,2021-11-22,24302.27943968,56268.31,-0.0407948055782517
2021-11-23,2021-11-23,24307.92110353,57574.23,0.0232088008330089
2021-11-24,2021-11-24,24321.02930536,57165.08,-0.0071064780197668
2021-11-25,2021-11-25,24499.41909742,58988.21,0.0318923720565071
2021-11-26,2021-11-26,24454.9943388,53755.65,-0.0887051836290675
2021-11-27,2021-11-27,24451.03621293,54738.77,0.0182886822129393
2021-11-28,2021-11-28,24463.5968614,57315.73,0.0470774188020668
2021-11-29,2021-11-29,24512.84170682,57827.98,0.0089373370975123
2021-11-30,2021-11-30,24533.92352908,56975.0,-0.0147502990766753
2021-12-01,2021-12-01,24577.41498502,57209.29,0.0041121544537077
2021-12-02,2021-12-02,24577.31397829,56513.57,-0.0121609619696381
2021-12-03,2021-12-03,24561.94483685,53612.0,-0.0513428898581349
2021-12-04,2021-12-04,24446.74499526,49135.66,-0.0834951130343952
2021-12-05,2021-12-05,24437.29823025,49376.6,0.0049035669816992
2021-12-06,2021-12-06,24406.61392205,50424.72,0.0212270589712535
2021-12-07,2021-12-07,24478.51718789,50577.2,0.0030239136677405
2021-12-08,2021-12-08,24467.71369123,50455.61,-0.0024040476736552
2021-12-09,2021-12-09,24437.85285841,47539.76,-0.0577904022961965
2021-12-10,2021-12-10,24426.06560307,47136.35,-0.0084857390950228
2021-12-11,2021-12-11,24436.17830252,49381.15,0.0476235431890674
2021-12-12,2021-12-12,24441.16826681,50057.01,0.013686599036272
2021-12-13,2021-12-13,24422.90808666,46679.93,-0.0674646767755405
2021-12-14,2021-12-14,24433.77793318,48324.04,0.0352209182832965
2021-12-15,2021-12-15,24435.04848916,48870.48,0.0113078293950588
2021-12-16,2021-12-16,24440.24952565,47624.5,-0.0254955547807184
2021-12-17,2021-12-17,24417.30440039,46125.33,-0.0314789656584321
2021-12-18,2021-12-18,24415.54551123,46815.99,0.0149735514087379
2021-12-19,2021-12-19,24417.73534499,46668.63,-0.0031476425041957
2021-12-20,2021-12-20,24398.26573273,46898.14,0.0049178645269853
2021-12-21,2021-12-21,24420.67120072,48875.15,0.0421554031780364
2021-12-22,2021-12-22,24429.30175065,48569.69,-0.0062498017908896
2021-12-23,2021-12-23,24452.2929141,50817.92,0.0462887451000819
2021-12-24,2021-12-24,24475.76604028,50808.55,-0.0001843837764314
2021-12-25,2021-12-25,24474.61620731,50403.64,-0.0079693279969612
2021-12-26,2021-12-26,24477.45663177,50765.73,0.0071838065663512
2021-12-27,2021-12-27,24499.35411822,50707.72,-0.0011427000064807
2021-12-28,2021-12-28,24477.75067965,47522.03,-0.0628245561030944
2021-12-29,2021-12-29,24460.73864107,46436.54,-0.0228418272535916
2021-12-30,2021-12-30,24463.24540751,47095.02,0.0141802123930852
2021-12-31,2021-12-31,24466.75238613,46210.56,-0.0187803296399491
2022-01-01,2022-01-01,24472.02563833,47704.35,0.0323257281452551
2022-01-02,2022-01-02,24471.60221809,47280.0,-0.008895415197985
2022-01-03,2022-01-03,24460.49022282,46445.81,-0.0176436125211506
2022-01-04,2022-01-04,24446.93921709,45833.42,-0.0131850429565121
2022-01-05,2022-01-05,24438.46511715,43421.69,-0.0526194641377404
2022-01-06,2022-01-06,24392.70617682,43080.01,-0.0078688784337965
2022-01-07,2022-01-07,24346.13686119,41553.86,-0.0354259434944421
2022-01-08,2022-01-08,24335.25175995,41688.05,0.0032293028854599
2022-01-09,2022-01-09,24330.87797847,41851.22,0.0039140712986094
2022-01-10,2022-01-10,24315.98842437,41801.55,-0.0011868232276143
2022-01-11,2022-01-11,24307.49546614,42700.68,0.0215094894806531
2022-01-12,2022-01-12,24324.38659836,43880.72,0.0276351570982007
2022-01-13,2022-01-13,24314.24148184,42534.32,-0.0306831793097287
2022-01-14,2022-01-14,24309.6826696,43042.4,0.0119451774472942
