start_time,datetime,long_liquidations,long_liquidations_usd,short_liquidations,short_liquidations_usd,close,change
2024-01-10 11:00:00,2024-01-10 11:00:00,0.91413249,41290.1928,0.624,28430.2116,45544.0,-8.782638480253624e-06
2024-01-10 12:00:00,2024-01-10 12:00:00,10.19277503,456057.944,2.54402229,114992.3255,44678.0,-0.019014579307922
2024-01-10 13:00:00,2024-01-10 13:00:00,50.63997202,2243216.4927,5.44013559,246516.6047,45135.9,0.0102488920721608
2024-01-10 14:00:00,2024-01-10 14:00:00,7.39029571,330914.5574,9.17246474,417881.9883,44904.0,-0.005137817125614
2024-01-10 15:00:00,2024-01-10 15:00:00,0.29729563,13289.7417,4.16133484,189591.714,45578.4,0.0150187065740245
2024-01-10 16:00:00,2024-01-10 16:00:00,0.93469429,42189.4976,2.62172399,119935.4271,45329.2,-0.0054675021501413
2024-01-10 17:00:00,2024-01-10 17:00:00,4.34252198,196034.0408,16.64065583,770084.9456,46426.0,0.0241963237824625
2024-01-10 18:00:00,2024-01-10 18:00:00,39.30396515,1816033.2047,7.95874413,372271.4808,46562.1,0.0029315469779864
2024-01-10 19:00:00,2024-01-10 19:00:00,3.57290204,164513.8673,1.73797249,81420.8761,46506.2,-0.0012005472261775
2024-01-10 20:00:00,2024-01-10 20:00:00,44.74842797,2021433.98,6.73804024,310167.5468,46137.2,-0.007934425947508
2024-01-10 21:00:00,2024-01-10 21:00:00,22.5994516,1029610.2024,31.68654,1455768.478,45970.7,-0.0036088015744345
2024-01-10 22:00:00,2024-01-10 22:00:00,4.2112288,194420.4329,7.92789839,371394.883,46920.0,0.0206501097438152
2024-01-10 23:00:00,2024-01-10 23:00:00,21.88056137,1024045.5726,22.34868247,1059667.4766,46659.9,-0.0055434782608695
2024-01-11 00:00:00,2024-01-11 00:00:00,3.49336532,161283.8687,0.094,4407.6693,46682.1,0.0004757832742889
2024-01-11 01:00:00,2024-01-11 01:00:00,0.075,3470.46,0.0,0.0,46510.1,-0.0036844957703273
2024-01-11 02:00:00,2024-01-11 02:00:00,0.0,0.0,0.0,0.0,46571.4,0.0013179932960798
2024-01-11 03:00:00,2024-01-11 03:00:00,3.46755292,159728.3793,0.002,93.548,46508.8,-0.0013441726037868
2024-01-11 04:00:00,2024-01-11 04:00:00,0.011,507.1473,0.0,0.0,46416.6,-0.0019824205311683
2024-01-11 05:00:00,2024-01-11 05:00:00,3.08401087,141736.2685,0.0,0.0,46080.1,-0.0072495615792625
2024-01-11 06:00:00,2024-01-11 06:00:00,3.85942638,175785.6675,0.058,2677.3061,45901.9,-0.0038671791076841
2024-01-11 07:00:00,2024-01-11 07:00:00,0.0,0.0,1.5400216,71247.4011,46113.2,0.0046032952884302
2024-01-11 08:00:00,2024-01-11 08:00:00,0.0,0.0,1.19811361,55695.6846,46286.4,0.0037559744281465
2024-01-11 09:00:00,2024-01-11 09:00:00,0.0,0.0,0.06277473,2923.8331,46223.6,-0.0013567700231602
2024-01-11 10:00:00,2024-01-11 10:00:00,0.0,0.0,1.96193546,92042.7547,46880.1,0.0142027016502392
2024-01-11 11:00:00,2024-01-11 11:00:00,1.63340751,76179.8749,14.94552476,707632.9709,47067.1,0.003988899341085
2024-01-11 12:00:00,2024-01-11 12:00:00,0.0,0.0,5.53110403,262998.7896,47459.2,0.0083306598451997
2024-01-11 13:00:00,2024-01-11 13:00:00,7.90720648,369813.3716,5.24719136,249091.6119,47332.9,-0.0026612332276986
2024-01-11 14:00:00,2024-01-11 14:00:00,5.97895232,287858.0575,28.8135214,1396545.8857,48578.2,0.0263093957902431
2024-01-11 15:00:00,2024-01-11 15:00:00,58.06142723,2745352.3241,1.97952275,93564.7429,46822.3,-0.0361458431971541
2024-01-11 16:00:00,2024-01-11 16:00:00,56.3692853,2587880.4049,11.43508008,531710.7342,46040.2,-0.0167035792773957
2024-01-11 17:00:00,2024-01-11 17:00:00,5.714562,260824.6379,3.77617882,175566.442,46528.4,0.010603776699493
2024-01-11 18:00:00,2024-01-11 18:00:00,0.586,26991.8046,4.22134189,197836.6793,46629.0,0.0021621203394055
2024-01-11 19:00:00,2024-01-11 19:00:00,0.115,5302.5423,1.82138893,85474.2178,46714.8,0.0018400566171268
2024-01-11 20:00:00,2024-01-11 20:00:00,10.10654152,466371.7599,4.63212405,218262.8076,46241.8,-0.0101252707921258
2024-01-11 21:00:00,2024-01-11 21:00:00,0.30758529,14128.7741,0.004,186.4136,46168.8,-0.001578658270223
2024-01-11 22:00:00,2024-01-11 22:00:00,0.42288641,19403.2594,0.16619368,7750.4544,46422.6,0.005497218901076
2024-01-11 23:00:00,2024-01-11 23:00:00,0.0,0.0,0.04,1867.0584,46347.7,-0.001613438282216
2024-01-12 00:00:00,2024-01-12 00:00:00,0.51012117,23413.0609,0.30526437,14270.4522,46306.4,-0.0008910906042801
2024-01-12 01:00:00,2024-01-12 01:00:00,2.30775234,105791.2785,0.22265186,10346.2113,46149.4,-0.0033904600659951
2024-01-12 02:00:00,2024-01-12 02:00:00,1.2,54945.1424,0.001,46.474,46163.9,0.0003141969343045
2024-01-12 03:00:00,2024-01-12 03:00:00,0.29488951,13480.5732,0.0,0.0,45995.2,-0.0036543706229327
2024-01-12 04:00:00,2024-01-12 04:00:00,0.6794062,31048.4232,0.0,0.0,45963.0,-0.0007000730511008
2024-01-12 05:00:00,2024-01-12 05:00:00,0.0,0.0,2.52901682,117301.1589,46208.5,0.0053412527467746
2024-01-12 06:00:00,2024-01-12 06:00:00,0.50886411,23350.194,1.32035817,61493.1854,46121.0,-0.0018935910059837
2024-01-12 07:00:00,2024-01-12 07:00:00,18.14778585,829804.3299,0.0,0.0,46017.3,-0.002248433468485
2024-01-12 08:00:00,2024-01-12 08:00:00,16.16139408,734689.704,0.00123589,57.0,45868.1,-0.0032422588895916
2024-01-12 09:00:00,2024-01-12 09:00:00,2.72929081,123806.7973,1.7645402,81520.3681,45960.6,0.002016652095901
2024-01-12 10:00:00,2024-01-12 10:00:00,0.047,2144.4878,0.217,10062.711,46077.9,0.0025521860027937
2024-01-12 11:00:00,2024-01-12 11:00:00,0.05,2289.2946,1.55152001,72027.7275,45968.8,-0.0023677294321138
2024-01-12 12:00:00,2024-01-12 12:00:00,5.97927221,272288.3023,0.0,0.0,45887.7,-0.0017642400932808
2024-01-12 13:00:00,2024-01-12 13:00:00,1.83115382,83143.4803,0.153,7066.6875,45794.3,-0.0020354038228107
2024-01-12 14:00:00,2024-01-12 14:00:00,7.68869643,347815.5314,5.743,263150.2532,45483.1,-0.0067956055666317
2024-01-12 15:00:00,2024-01-12 15:00:00,67.69386435,3020014.0855,0.244,11019.4225,44501.5,-0.0215816424122365
2024-01-12 16:00:00,2024-01-12 16:00:00,84.60704823,3680694.5803,5.37012272,236956.4016,43662.0,-0.0188645326562025
2024-01-12 17:00:00,2024-01-12 17:00:00,6.92064796,299272.9494,1.518,66632.5938,43841.8,0.0041179973432274
2024-01-12 18:00:00,2024-01-12 18:00:00,8.69232113,376480.298,0.92989626,40979.7448,43517.0,-0.0074084549448244
2024-01-12 19:00:00,2024-01-12 19:00:00,6.85348282,295715.4803,1.87623988,82308.6125,43512.1,-0.0001125996736908
2024-01-12 20:00:00,2024-01-12 20:00:00,0.79531968,34572.1425,3.41841223,150448.1018,43689.1,0.0040678340047941
2024-01-12 21:00:00,2024-01-12 21:00:00,4.03697315,174544.2468,0.0,0.0,43479.3,-0.0048021131128815
2024-01-12 22:00:00,2024-01-12 22:00:00,75.80908858,3205709.8525,23.18511378,989449.7214,42521.8,-0.0220219736748291
2024-01-12 23:00:00,2024-01-12 23:00:00,0.03480024,1479.222,3.34910946,143984.3591,42797.9,0.0064931399893701
2024-01-13 00:00:00,2024-01-13 00:00:00,0.0,0.0,0.024,1036.5272,42813.8,0.0003715135555717
2024-01-13 01:00:00,2024-01-13 01:00:00,4.80577525,203710.0779,2.58994805,111472.2615,42684.0,-0.0030317327590637
2024-01-13 02:00:00,2024-01-13 02:00:00,2.26224675,95976.4444,0.23106979,9948.4773,42557.9,-0.0029542685783899
2024-01-13 03:00:00,2024-01-13 03:00:00,1.30108482,55020.2072,0.0,0.0,42629.6,0.0016847635809096
2024-01-13 04:00:00,2024-01-13 04:00:00,0.0,0.0,2.3432924,100689.2425,42855.3,0.0052944432976149
2024-01-13 05:00:00,2024-01-13 05:00:00,0.0,0.0,4.51168117,194783.652,43111.9,0.0059875907997377
2024-01-13 06:00:00,2024-01-13 06:00:00,0.00035105,15.0,3.213,139388.7805,43162.9,0.0011829680436259
2024-01-13 07:00:00,2024-01-13 07:00:00,0.0,0.0,0.82277971,35732.5003,43113.4,-0.0011468182165702
