shortLiquidationUsd,t,longLiquidationUsd,low,high,open,close,volume
29876645.00282,1613520000.0,93262217.15016,49029.62,52800.0,49197.93,52194.62,312007.458
34873003.97128,1613606400.0,14152475.11033,50948.0,52640.0,52194.62,51619.7,185489.89
39976821.15251,1613692800.0,149664609.01806,50800.0,56582.0,51612.46,56004.1,257911.872
149158602.39218,1613779200.0,53592300.89142,53905.0,57699.0,56005.85,55917.41,240296.308
28879951.98229,1613865600.0,36877781.34959,55564.5,58472.14,55908.45,57487.43,196820.573
539701131.56346,1613952000.0,94042789.3875,47751.42,57591.87,57475.5,54121.1,480660.187
383935157.95992,1614038400.0,171353533.98526,44893.82,54260.12,54125.55,48930.0,748737.462
85233428.13218,1614124800.0,61754591.49442,47000.0,51435.58,48930.01,49702.03,333415.219
138975865.73127,1614211200.0,60220366.02504,46685.43,52134.96,49702.05,47089.37,349943.016
142746057.01467,1614297600.0,85676939.44419,44100.0,48438.01,47087.97,46313.13,440670.32
59717088.4077,1614384000.0,39153527.53426,44926.77,48476.05,46313.12,46102.63,256027.074
118537636.49691,1614470400.0,74711603.03014,43002.05,46678.0,46097.09,45163.36,370358.825
33452605.77319,1614556800.0,105099851.50646,44972.49,49800.0,45162.64,49592.7,315659.931
83050311.33917,1614643200.0,34104932.0135,47058.06,50221.77,49594.99,48450.57,273100.435
59984698.2422,1614729600.0,98069036.39236,48110.66,52681.51,48454.21,50373.75,350311.234
156005493.98045,1614816000.0,55663528.4383,47500.0,51800.0,50373.75,48385.77,387428.957
98909564.35451,1614902400.0,59035782.63799,46320.0,49470.0,48385.77,48770.57,354602.756
46117771.01444,1614988800.0,32576138.16197,47090.0,49253.63,48772.68,48908.21,215092.91
34489438.45362,1615075200.0,69127571.87204,48908.21,51480.0,48908.21,50995.27,248398.116
52102782.46357,1615161600.0,47860234.67074,49310.0,52450.0,50991.35,52429.43,308339.866
34099977.48163,1615248000.0,100278780.26993,51880.0,54950.0,52429.43,54917.78,285604.798
111154767.30624,1615334400.0,111761351.68399,53061.0,57500.92,54917.78,55947.98,401159.493
107086721.16469,1615420800.0,68302200.9862,54356.44,58283.0,55949.3,57844.52,364681.318
128076561.45382,1615507200.0,39324625.40459,55074.3,58186.33,57842.64,57291.03,335495.042
41448906.09203,1615593600.0,171627129.75968,56136.0,61950.0,57291.04,61267.41,320322.173
101747414.69962,1615680000.0,20476164.49677,59005.0,61798.0,61267.41,59037.12,231991.901
437847961.06885,1615766400.0,45063788.59791,54517.28,60740.0,59037.11,55646.61,448820.83
143128693.95474,1615852800.0,54183261.57945,53335.0,56988.0,55646.61,56954.19,339718.202
76524113.45565,1615939200.0,82086362.73933,54154.93,59078.79,56953.23,58959.0,339397.712
94217150.85307,1616025600.0,51247462.36039,57072.0,60510.0,58959.01,57700.01,305100.026
69565625.76222,1616112000.0,25936615.49663,56301.27,59550.0,57700.01,58089.11,259039.479
51753134.85393,1616198400.0,25443522.69233,57881.0,59948.0,58089.11,58145.61,203680.149
171068781.80889,1616284800.0,33387656.5518,55403.55,58638.7,58144.44,57415.18,237518.696
266323425.03544,1616371200.0,28177971.67681,53635.81,58500.0,57415.19,54129.56,293062.947
96854842.87793,1616457600.0,38533065.14317,52981.4,55890.68,54129.56,54400.0,276199.041
250710278.28529,1616544000.0,60158149.16232,51666.0,57234.79,54400.0,52311.54,394172.526
176826471.05325,1616630400.0,68116415.78804,50452.08,53255.2,52307.89,51325.21,416848.091
24449094.6924,1616716800.0,77459558.18809,51260.0,55123.0,51325.21,55030.0,271957.842
36624509.93098,1616803200.0,91496485.08605,54001.0,56658.76,55030.0,55828.0,234435.346
50906148.77219,1616889600.0,21534295.05585,54694.91,56588.31,55828.0,55805.08,200603.768
37382694.61676,1616976000.0,96959308.2746,54931.15,58490.11,55804.16,57677.64,277215.268
