longShortRatio,shortAccount,time,longAccount,high,volume,open,low,close
1.67,37.51,1622764800,62.49,39297.35,700625.866,39247.4,35552.51,36828.03
1.58,38.7,1622851200,61.3,37900.49,631028.448,36828.03,34800.0,35498.62
1.62,38.24,1622937600,61.76,36521.16,443601.064,35497.93,35201.86,35801.71
1.78,36.04,1623024000,63.96,36820.0,636735.873,35801.71,33200.0,33550.96
1.59,38.69,1623110400,61.31,34061.57,976693.026,33550.97,30969.0,33372.58
1.43,41.21,1623196800,58.79,37511.31,1031014.087,33372.58,32390.0,37368.45
0.93,51.96,1623283200,48.04,38489.0,803185.699,37369.99,35750.0,36669.66
1.03,49.23,1623369600,50.77,37679.54,586122.898,36669.65,35900.0,37300.42
0.85,53.97,1623456000,46.03,37432.95,623532.476,37300.41,34585.9,35537.05
1.11,47.51,1623542400,52.49,39374.18,647035.314,35535.95,34739.06,38993.65
0.99,50.32,1623628800,49.68,41000.0,704979.881,38993.66,38720.0,40489.1
1.09,47.8,1623715200,52.2,41413.0,632066.994,40489.1,39500.0,40132.86
1.26,44.32,1623801600,55.68,40495.0,673235.496,40132.86,38105.0,38344.97
1.61,38.32,1623888000,61.68,39565.0,603849.861,38344.97,37334.76,38060.71
2.25,30.77,1623974400,69.23,38198.0,790379.249,38060.71,35100.0,35811.41
2.0,33.37,1624060800,66.63,36471.8,642185.382,35811.41,34704.08,35483.0
1.81,35.62,1624147200,64.38,36155.0,829896.441,35483.01,33312.0,35588.64
2.0,33.33,1624233600,66.67,35746.28,1397330.662,35588.63,31250.51,31606.0
1.98,33.54,1624320000,66.46,33274.0,1531824.85,31606.0,28780.01,32496.0
1.31,43.23,1624406400,56.77,34867.77,960700.369,32496.0,31711.5,33649.0
1.61,38.33,1624492800,61.67,35406.74,774899.165,33650.0,32300.0,34644.64
1.22,44.96,1624579200,55.04,35500.0,1093051.375,34644.65,31250.0,31568.07
1.74,36.45,1624665600,63.55,32720.52,1091384.749,31569.18,30120.0,32255.56
1.6,38.48,1624752000,61.52,34762.0,897147.453,32250.15,31960.0,34687.71
1.21,45.23,1624838400,54.77,35279.38,706158.545,34687.71,33855.0,34487.22
1.18,45.9,1624924800,54.1,36623.0,806140.329,34486.58,34206.0,35911.26
1.08,48.14,1625011200,51.86,36089.96,719742.983,35910.64,34042.74,35031.39
1.52,39.71,1625097600,60.29,35044.98,758966.493,35031.39,32672.04,33489.96
1.26,44.18,1625184000,55.82,33960.0,664923.202,33489.96,32684.0,33760.94
1.35,42.49,1625270400,57.51,34948.16,510614.258,33760.94,33296.98,34652.94
1.31,43.37,1625356800,56.63,35955.55,451001.556,34653.32,34340.75,35280.16
1.46,40.69,1625443200,59.31,35281.55,736706.409,35280.17,33032.0,33672.72
1.38,42.1,1625529600,57.9,35120.0,644229.007,33672.72,33500.0,34206.01
1.38,42.1,1625616000,57.9,35089.56,456218.909,34206.0,33756.48,33845.64
1.38,42.1,1625702400,57.9,33910.0,650317.664,33845.63,32066.0,32852.04
1.8,35.73,1625788800,64.27,34100.0,485662.879,32855.0,32250.0,33805.01
1.28,43.94,1625875200,56.06,34248.58,410271.979,33805.01,33010.0,33497.98
1.15,46.59,1625961600,53.41,34629.62,343905.35,33497.98,33306.03,34253.81
0.96,51.13,1626048000,48.87,34662.73,502747.758,34253.88,32650.0,33070.87
2.11,32.11,1626134400,67.89,33336.0,466567.713,33070.86,32186.99,32709.09
2.12,32.04,1626220800,67.96,33176.47,521140.41,32708.66,31556.02,32803.01
2.05,32.84,1626307200,67.16,33170.0,539111.667,32803.0,31140.0,31866.43
2.7,27.04,1626393600,72.96,32245.0,516577.743,31865.53,31018.59,31382.95
1.73,36.59,1626480000,63.41,31945.0,422650.418,31382.96,31150.02,31496.65
1.77,36.09,1626566400,63.91,32435.93,412189.401,31496.65,31075.1,31767.0
2.08,32.51,1626652800,67.49,31890.0,486305.627,31765.23,30358.77,30823.62
2.02,33.14,1626739200,66.86,31050.0,602688.19,30823.62,29242.24,29775.9
1.43,41.17,1626825600,58.83,32883.9,787077.39,29775.89,29472.41,32120.0
1.43,41.11,1626912000,58.89,32583.48,397258.936,32120.0,31700.0,32268.11
1.24,44.62,1626998400,55.38,33650.0,404650.016,32268.12,31970.82,33634.46
1.19,45.62,1627084800,54.38,34471.0,376046.028,33631.74,33379.81,34230.0
1.09,47.96,1627171200,52.04,35400.0,404114.844,34230.0,33812.0,35370.66
0.94,51.46,1627257600,48.54,48168.6,1162332.857,35370.67,35185.49,37218.09
1.32,43.1,1627344000,56.9,39546.34,675104.157,37218.09,36384.31,39442.33
1.36,42.38,1627430400,57.62,40894.0,736196.234,39448.06,38753.0,40003.08
0.92,52.13,1627516800,47.87,40665.0,463917.872,40003.08,39203.83,40012.9
0.95,51.24,1627603200,48.76,42316.6,561474.309,40012.89,38320.0,42203.25
1.0,49.91,1627689600,50.09,42494.0,381521.899,42202.6,41030.19,41448.11
1.0,49.95,1627776000,50.05,42614.98,487529.044,41448.1,39350.4,39846.78
1.19,45.7,1627862400,54.3,40450.0,451872.128,39846.78,38658.0,39147.48
1.52,39.71,1627948800,60.29,39774.93,517219.517,39147.47,37600.0,38203.26
1.68,37.39,1628035200,62.61,39975.32,479560.473,38201.33,37500.0,39731.31
1.55,39.29,1628121600,60.71,41350.0,746249.712,39731.31,37291.0,40882.4
1.04,48.99,1628208000,51.01,43400.0,653451.154,40882.39,39849.82,42825.43
0.92,52.13,1628294400,47.87,44753.01,583750.891,42825.43,42395.2,44601.11
0.93,51.91,1628380800,48.09,45350.0,553684.698,44601.11,43265.0,43787.71
0.93,51.92,1628467200,48.08,46483.0,626220.503,43787.71,42785.0,46259.7
0.86,53.67,1628553600,46.33,46800.0,460478.861,46259.7,44670.05,45589.99
1.24,44.69,1628640000,55.31,46754.27,390660.571,45589.99,45354.0,45522.12
1.13,46.99,1628726400,53.01,46226.67,468276.056,45522.13,43800.0,44385.09
1.34,42.72,1628812800,57.28,47980.69,438025.46,44385.09,44208.88,47792.52
1.03,49.16,1628899200,50.84,48300.0,374368.796,47792.52,46000.0,47083.74
1.44,40.91,1628985600,59.09,47388.75,370950.807,47083.75,45480.0,47006.02
1.51,39.9,1629072000,60.1,48074.23,412537.605,47006.02,45682.03,45926.23
1.9,34.54,1629158400,65.46,47194.0,474316.4,45926.23,44412.01,44704.84
2.03,33.01,1629244800,66.99,46050.0,395836.158,44704.85,44227.32,44714.09
1.95,33.95,1629331200,66.05,47100.0,439402.162,44714.09,43938.38,46772.0
1.36,42.34,1629417600,57.66,49500.0,401499.081,46772.0,46650.0,49332.74
1.03,49.29,1629504000,50.71,49833.0,347594.451,49332.99,48250.0,48848.29
0.99,50.24,1629590400,49.76,49556.2,294672.223,48846.11,48075.81,49273.28
1.1,47.71,1629676800,52.29,50600.0,355733.496,49273.28,49075.01,49523.91
1.33,42.88,1629763200,57.12,49888.88,398682.002,49523.23,47600.0,47719.36
1.71,36.96,1629849600,63.04,49297.8,389100.384,47719.37,47130.57,48992.65
1.69,37.17,1629936000,62.83,49380.0,475183.123,48992.65,46280.0,46853.06
1.89,34.56,1630022400,65.44,49220.0,403667.012,46854.22,46359.97,49083.98
1.41,41.43,1630108800,58.57,49333.0,222793.024,49082.13,48395.65,48931.99
1.35,42.64,1630195200,57.36,49769.2,315105.499,48931.99,47741.31,48795.41
1.31,43.31,1630281600,56.69,48916.25,351830.754,48795.42,46876.49,47024.7
1.88,34.78,1630368000,65.22,48298.0,365548.209,47024.69,46731.03,47150.32
2.13,31.99,1630454400,68.01,49160.79,350108.374,47150.32,46550.99,48842.94
1.61,38.36,1630540800,61.64,50420.0,361863.055,48842.93,48631.2,49299.14
1.29,43.68,1630627200,56.32,51111.0,430326.386,49299.14,48333.0,50027.08
1.28,43.92,1630713600,56.08,50582.08,274956.842,50027.09,49360.0,49940.74
1.44,41.05,1630800000,58.95,51950.0,288984.124,49942.2,49462.59,51799.57
0.94,51.46,1630886400,48.54,52830.0,297734.284,51799.56,51040.0,52683.97
1.05,48.88,1630972800,51.12,52950.0,764140.139,52683.98,42088.0,46864.39
1.97,33.66,1631059200,66.34,47347.0,435803.011,46864.38,44431.0,46062.29
1.85,35.1,1631145600,64.9,47400.0,309015.75,46060.02,45500.0,46413.88
