start_time,datetime,transactions_count_inflow,transactions_count_outflow
2023-01-06 11:00:00,2023-01-06 11:00:00,66,6
2023-01-06 12:00:00,2023-01-06 12:00:00,144,15
2023-01-06 13:00:00,2023-01-06 13:00:00,85,10
2023-01-06 14:00:00,2023-01-06 14:00:00,60,8
2023-01-06 15:00:00,2023-01-06 15:00:00,114,15
2023-01-06 16:00:00,2023-01-06 16:00:00,114,12
2023-01-06 17:00:00,2023-01-06 17:00:00,89,11
2023-01-06 18:00:00,2023-01-06 18:00:00,84,10
2023-01-06 19:00:00,2023-01-06 19:00:00,126,13
2023-01-06 20:00:00,2023-01-06 20:00:00,117,12
2023-01-06 21:00:00,2023-01-06 21:00:00,94,11
2023-01-06 22:00:00,2023-01-06 22:00:00,87,9
2023-01-06 23:00:00,2023-01-06 23:00:00,61,10
2023-01-07 00:00:00,2023-01-07 00:00:00,52,8
2023-01-07 01:00:00,2023-01-07 01:00:00,50,11
2023-01-07 02:00:00,2023-01-07 02:00:00,41,9
2023-01-07 03:00:00,2023-01-07 03:00:00,45,8
2023-01-07 04:00:00,2023-01-07 04:00:00,61,12
2023-01-07 05:00:00,2023-01-07 05:00:00,38,7
2023-01-07 06:00:00,2023-01-07 06:00:00,34,6
2023-01-07 07:00:00,2023-01-07 07:00:00,67,12
2023-01-07 08:00:00,2023-01-07 08:00:00,46,7
2023-01-07 09:00:00,2023-01-07 09:00:00,62,10
2023-01-07 10:00:00,2023-01-07 10:00:00,81,13
2023-01-07 11:00:00,2023-01-07 11:00:00,75,9
2023-01-07 12:00:00,2023-01-07 12:00:00,91,12
2023-01-07 13:00:00,2023-01-07 13:00:00,76,8
2023-01-07 14:00:00,2023-01-07 14:00:00,65,11
2023-01-07 15:00:00,2023-01-07 15:00:00,76,10
2023-01-07 16:00:00,2023-01-07 16:00:00,76,10
2023-01-07 17:00:00,2023-01-07 17:00:00,83,11
2023-01-07 18:00:00,2023-01-07 18:00:00,63,11
2023-01-07 19:00:00,2023-01-07 19:00:00,92,10
2023-01-07 20:00:00,2023-01-07 20:00:00,65,11
2023-01-07 21:00:00,2023-01-07 21:00:00,46,8
2023-01-07 22:00:00,2023-01-07 22:00:00,49,7
2023-01-07 23:00:00,2023-01-07 23:00:00,47,12
2023-01-08 00:00:00,2023-01-08 00:00:00,47,9
2023-01-08 01:00:00,2023-01-08 01:00:00,28,9
2023-01-08 02:00:00,2023-01-08 02:00:00,34,9
2023-01-08 03:00:00,2023-01-08 03:00:00,41,9
2023-01-08 04:00:00,2023-01-08 04:00:00,27,6
2023-01-08 05:00:00,2023-01-08 05:00:00,21,6
2023-01-08 06:00:00,2023-01-08 06:00:00,52,10
2023-01-08 07:00:00,2023-01-08 07:00:00,44,5
2023-01-08 08:00:00,2023-01-08 08:00:00,70,12
2023-01-08 09:00:00,2023-01-08 09:00:00,63,10
2023-01-08 10:00:00,2023-01-08 10:00:00,50,9
2023-01-08 11:00:00,2023-01-08 11:00:00,58,11
2023-01-08 12:00:00,2023-01-08 12:00:00,87,9
2023-01-08 13:00:00,2023-01-08 13:00:00,66,10
2023-01-08 14:00:00,2023-01-08 14:00:00,77,12
2023-01-08 15:00:00,2023-01-08 15:00:00,89,12
2023-01-08 16:00:00,2023-01-08 16:00:00,77,10
2023-01-08 17:00:00,2023-01-08 17:00:00,80,12
2023-01-08 18:00:00,2023-01-08 18:00:00,58,8
2023-01-08 19:00:00,2023-01-08 19:00:00,70,11
2023-01-08 20:00:00,2023-01-08 20:00:00,85,12
2023-01-08 21:00:00,2023-01-08 21:00:00,96,10
2023-01-08 22:00:00,2023-01-08 22:00:00,62,8
2023-01-08 23:00:00,2023-01-08 23:00:00,75,11
2023-01-09 00:00:00,2023-01-09 00:00:00,101,11
2023-01-09 01:00:00,2023-01-09 01:00:00,34,5
2023-01-09 02:00:00,2023-01-09 02:00:00,131,14
2023-01-09 03:00:00,2023-01-09 03:00:00,60,9
2023-01-09 04:00:00,2023-01-09 04:00:00,88,10
2023-01-09 05:00:00,2023-01-09 05:00:00,53,12
2023-01-09 06:00:00,2023-01-09 06:00:00,44,7
2023-01-09 07:00:00,2023-01-09 07:00:00,59,8
2023-01-09 08:00:00,2023-01-09 08:00:00,99,13
2023-01-09 09:00:00,2023-01-09 09:00:00,92,11
2023-01-09 10:00:00,2023-01-09 10:00:00,99,9
2023-01-09 11:00:00,2023-01-09 11:00:00,150,14
2023-01-09 12:00:00,2023-01-09 12:00:00,71,9
2023-01-09 13:00:00,2023-01-09 13:00:00,126,15
2023-01-09 14:00:00,2023-01-09 14:00:00,104,7
2023-01-09 15:00:00,2023-01-09 15:00:00,165,15
2023-01-09 16:00:00,2023-01-09 16:00:00,145,13
2023-01-09 17:00:00,2023-01-09 17:00:00,101,11
2023-01-09 18:00:00,2023-01-09 18:00:00,100,7
2023-01-09 19:00:00,2023-01-09 19:00:00,120,13
2023-01-09 20:00:00,2023-01-09 20:00:00,119,12
2023-01-09 21:00:00,2023-01-09 21:00:00,97,11
2023-01-09 22:00:00,2023-01-09 22:00:00,90,12
2023-01-09 23:00:00,2023-01-09 23:00:00,65,9
2023-01-10 00:00:00,2023-01-10 00:00:00,70,11
2023-01-10 01:00:00,2023-01-10 01:00:00,47,10
2023-01-10 02:00:00,2023-01-10 02:00:00,49,9
2023-01-10 03:00:00,2023-01-10 03:00:00,66,10
2023-01-10 04:00:00,2023-01-10 04:00:00,48,7
2023-01-10 05:00:00,2023-01-10 05:00:00,61,9
2023-01-10 06:00:00,2023-01-10 06:00:00,56,9
2023-01-10 07:00:00,2023-01-10 07:00:00,62,9
2023-01-10 08:00:00,2023-01-10 08:00:00,61,10
2023-01-10 09:00:00,2023-01-10 09:00:00,112,12
2023-01-10 10:00:00,2023-01-10 10:00:00,107,11
2023-01-10 11:00:00,2023-01-10 11:00:00,74,9
2023-01-10 12:00:00,2023-01-10 12:00:00,123,13
2023-01-10 13:00:00,2023-01-10 13:00:00,99,11
2023-01-10 14:00:00,2023-01-10 14:00:00,123,13
2023-01-10 15:00:00,2023-01-10 15:00:00,110,11
2023-01-10 16:00:00,2023-01-10 16:00:00,79,12
2023-01-10 17:00:00,2023-01-10 17:00:00,103,11
2023-01-10 18:00:00,2023-01-10 18:00:00,140,11
2023-01-10 19:00:00,2023-01-10 19:00:00,100,10
2023-01-10 20:00:00,2023-01-10 20:00:00,96,11
2023-01-10 21:00:00,2023-01-10 21:00:00,110,11
2023-01-10 22:00:00,2023-01-10 22:00:00,74,11
2023-01-10 23:00:00,2023-01-10 23:00:00,57,8
2023-01-11 00:00:00,2023-01-11 00:00:00,60,11
2023-01-11 01:00:00,2023-01-11 01:00:00,55,10
2023-01-11 02:00:00,2023-01-11 02:00:00,49,8
2023-01-11 03:00:00,2023-01-11 03:00:00,39,9
2023-01-11 04:00:00,2023-01-11 04:00:00,63,9
2023-01-11 05:00:00,2023-01-11 05:00:00,48,10
2023-01-11 06:00:00,2023-01-11 06:00:00,56,7
2023-01-11 07:00:00,2023-01-11 07:00:00,75,8
2023-01-11 08:00:00,2023-01-11 08:00:00,86,10
2023-01-11 09:00:00,2023-01-11 09:00:00,100,11
2023-01-11 10:00:00,2023-01-11 10:00:00,79,10
2023-01-11 11:00:00,2023-01-11 11:00:00,39,5
2023-01-11 12:00:00,2023-01-11 12:00:00,121,18
2023-01-11 13:00:00,2023-01-11 13:00:00,74,9
2023-01-11 14:00:00,2023-01-11 14:00:00,84,9
2023-01-11 15:00:00,2023-01-11 15:00:00,147,16
2023-01-11 16:00:00,2023-01-11 16:00:00,34,5
2023-01-11 17:00:00,2023-01-11 17:00:00,124,17
2023-01-11 18:00:00,2023-01-11 18:00:00,109,11
2023-01-11 19:00:00,2023-01-11 19:00:00,144,12
2023-01-11 20:00:00,2023-01-11 20:00:00,105,12
2023-01-11 21:00:00,2023-01-11 21:00:00,103,11
2023-01-11 22:00:00,2023-01-11 22:00:00,26,4
2023-01-11 23:00:00,2023-01-11 23:00:00,151,14
2023-01-12 00:00:00,2023-01-12 00:00:00,177,14
2023-01-12 01:00:00,2023-01-12 01:00:00,124,9
2023-01-12 02:00:00,2023-01-12 02:00:00,104,14
2023-01-12 03:00:00,2023-01-12 03:00:00,135,12
2023-01-12 04:00:00,2023-01-12 04:00:00,71,10
2023-01-12 05:00:00,2023-01-12 05:00:00,94,11
2023-01-12 06:00:00,2023-01-12 06:00:00,58,5
2023-01-12 07:00:00,2023-01-12 07:00:00,145,15
2023-01-12 08:00:00,2023-01-12 08:00:00,112,11
2023-01-12 09:00:00,2023-01-12 09:00:00,110,11
2023-01-12 10:00:00,2023-01-12 10:00:00,129,12
2023-01-12 11:00:00,2023-01-12 11:00:00,113,11
2023-01-12 12:00:00,2023-01-12 12:00:00,143,11
2023-01-12 13:00:00,2023-01-12 13:00:00,142,11
2023-01-12 14:00:00,2023-01-12 14:00:00,80,8
2023-01-12 15:00:00,2023-01-12 15:00:00,126,14
2023-01-12 16:00:00,2023-01-12 16:00:00,77,10
2023-01-12 17:00:00,2023-01-12 17:00:00,141,12
2023-01-12 18:00:00,2023-01-12 18:00:00,335,17
2023-01-12 19:00:00,2023-01-12 19:00:00,162,11
2023-01-12 20:00:00,2023-01-12 20:00:00,191,13
2023-01-12 21:00:00,2023-01-12 21:00:00,186,11
2023-01-12 22:00:00,2023-01-12 22:00:00,50,7
2023-01-12 23:00:00,2023-01-12 23:00:00,211,16
2023-01-13 00:00:00,2023-01-13 00:00:00,80,9
2023-01-13 01:00:00,2023-01-13 01:00:00,81,8
2023-01-13 02:00:00,2023-01-13 02:00:00,66,10
2023-01-13 03:00:00,2023-01-13 03:00:00,77,11
2023-01-13 04:00:00,2023-01-13 04:00:00,50,9
2023-01-13 05:00:00,2023-01-13 05:00:00,67,10
2023-01-13 06:00:00,2023-01-13 06:00:00,67,10
2023-01-13 07:00:00,2023-01-13 07:00:00,60,10
