start_time,datetime,fees_burnt_total,fees_burnt_total_usd
2024-07-19 00:00:00,2024-07-19 00:00:00,29.05193597461065,98910.01516365522
2024-07-19 01:00:00,2024-07-19 01:00:00,32.591778140706346,111293.5005364536
2024-07-19 02:00:00,2024-07-19 02:00:00,37.409354484021904,127457.42599066788
2024-07-19 03:00:00,2024-07-19 03:00:00,33.762146651504914,115790.14889689696
2024-07-19 04:00:00,2024-07-19 04:00:00,29.422465087101394,100657.07929111247
2024-07-19 05:00:00,2024-07-19 05:00:00,25.44897653751929,87141.1854954851
2024-07-19 06:00:00,2024-07-19 06:00:00,22.91575217343034,78827.65064646202
2024-07-19 07:00:00,2024-07-19 07:00:00,27.148881594151376,92077.60627696192
2024-07-19 08:00:00,2024-07-19 08:00:00,31.444255877046007,106747.55845097828
2024-07-19 09:00:00,2024-07-19 09:00:00,26.02941459997043,88183.34112935916
2024-07-19 10:00:00,2024-07-19 10:00:00,21.434895385905524,72893.87824377426
2024-07-19 11:00:00,2024-07-19 11:00:00,22.733420481568945,77383.45449940472
2024-07-19 12:00:00,2024-07-19 12:00:00,22.422057311582304,76567.1412692013
2024-07-19 13:00:00,2024-07-19 13:00:00,25.52768348021576,87748.31918508536
2024-07-19 14:00:00,2024-07-19 14:00:00,48.8321437831886,169347.17718323975
2024-07-19 15:00:00,2024-07-19 15:00:00,48.53627409843032,168178.03319148457
2024-07-19 16:00:00,2024-07-19 16:00:00,49.85148613135657,174029.05681258815
2024-07-19 17:00:00,2024-07-19 17:00:00,34.25209875540055,119908.25471200586
2024-07-19 18:00:00,2024-07-19 18:00:00,24.849532060054575,87046.77401880396
2024-07-19 19:00:00,2024-07-19 19:00:00,28.730345558440323,101222.91543393588
2024-07-19 20:00:00,2024-07-19 20:00:00,23.02412020294495,80699.05155282818
2024-07-19 21:00:00,2024-07-19 21:00:00,19.54492160323365,68636.02323999317
2024-07-19 22:00:00,2024-07-19 22:00:00,19.97003807852801,70080.84252893255
