start_time,datetime,open_interest
2022-08-18 18:00:00,2022-08-18 18:00:00,2242866570.6215
2022-08-18 19:00:00,2022-08-18 19:00:00,2257942991.7404003
2022-08-18 20:00:00,2022-08-18 20:00:00,2266304393.85375
2022-08-18 21:00:00,2022-08-18 21:00:00,2255852167.012
2022-08-18 22:00:00,2022-08-18 22:00:00,2253964334.97768
2022-08-18 23:00:00,2022-08-18 23:00:00,2222592013.8073597
2022-08-19 00:00:00,2022-08-19 00:00:00,2179560698.60334
2022-08-19 01:00:00,2022-08-19 01:00:00,2176347959.05291
2022-08-19 02:00:00,2022-08-19 02:00:00,2161499322.45858
2022-08-19 03:00:00,2022-08-19 03:00:00,2139127772.728
2022-08-19 04:00:00,2022-08-19 04:00:00,2136283360.19593
2022-08-19 05:00:00,2022-08-19 05:00:00,2141955935.39235
2022-08-19 06:00:00,2022-08-19 06:00:00,2005820283.29232
2022-08-19 07:00:00,2022-08-19 07:00:00,1979988792.0766
2022-08-19 08:00:00,2022-08-19 08:00:00,1942176538.65456
2022-08-19 09:00:00,2022-08-19 09:00:00,1974651750.94827
2022-08-19 10:00:00,2022-08-19 10:00:00,1963464022.04
2022-08-19 11:00:00,2022-08-19 11:00:00,1896069324.7403
2022-08-19 12:00:00,2022-08-19 12:00:00,1889737588.82312
2022-08-19 13:00:00,2022-08-19 13:00:00,1876872434.36676
2022-08-19 14:00:00,2022-08-19 14:00:00,1862440459.52519
2022-08-19 15:00:00,2022-08-19 15:00:00,1867256349.2484696
2022-08-19 16:00:00,2022-08-19 16:00:00,1866944700.558
2022-08-19 17:00:00,2022-08-19 17:00:00,1843893814.50816
2022-08-19 18:00:00,2022-08-19 18:00:00,1829089057.45006
2022-08-19 19:00:00,2022-08-19 19:00:00,1810648375.89966
2022-08-19 20:00:00,2022-08-19 20:00:00,1804573451.76272
2022-08-19 21:00:00,2022-08-19 21:00:00,1709490525.6508
2022-08-19 22:00:00,2022-08-19 22:00:00,1686524929.6192
2022-08-19 23:00:00,2022-08-19 23:00:00,1687389511.91742
2022-08-20 00:00:00,2022-08-20 00:00:00,1683529389.33333
2022-08-20 01:00:00,2022-08-20 01:00:00,1691126840.1124802
2022-08-20 02:00:00,2022-08-20 02:00:00,1703569022.87632
2022-08-20 03:00:00,2022-08-20 03:00:00,1700721133.6845002
2022-08-20 04:00:00,2022-08-20 04:00:00,1709473028.176
2022-08-20 05:00:00,2022-08-20 05:00:00,1707717508.9684598
2022-08-20 06:00:00,2022-08-20 06:00:00,1726667697.30074
2022-08-20 07:00:00,2022-08-20 07:00:00,1741668690.29106
2022-08-20 08:00:00,2022-08-20 08:00:00,1733408957.26042
2022-08-20 09:00:00,2022-08-20 09:00:00,1747667203.81245
2022-08-20 10:00:00,2022-08-20 10:00:00,1754024423.36633
2022-08-20 11:00:00,2022-08-20 11:00:00,1757904318.28834
2022-08-20 12:00:00,2022-08-20 12:00:00,1755967427.57168
2022-08-20 13:00:00,2022-08-20 13:00:00,1769181929.13334
2022-08-20 14:00:00,2022-08-20 14:00:00,1774960129.7729
2022-08-20 15:00:00,2022-08-20 15:00:00,1777249790.38
2022-08-20 16:00:00,2022-08-20 16:00:00,1752211253.48565
2022-08-20 17:00:00,2022-08-20 17:00:00,1747865114.86168
2022-08-20 18:00:00,2022-08-20 18:00:00,1711816989.79048
2022-08-20 19:00:00,2022-08-20 19:00:00,1721067666.33184
2022-08-20 20:00:00,2022-08-20 20:00:00,1679071199.73197
2022-08-20 21:00:00,2022-08-20 21:00:00,1730018434.18237
2022-08-20 22:00:00,2022-08-20 22:00:00,1724637267.82198
2022-08-20 23:00:00,2022-08-20 23:00:00,1725283669.87148
2022-08-21 00:00:00,2022-08-21 00:00:00,1714353466.50785
2022-08-21 01:00:00,2022-08-21 01:00:00,1746113522.22808
2022-08-21 02:00:00,2022-08-21 02:00:00,1743367383.55168
2022-08-21 03:00:00,2022-08-21 03:00:00,1741359090.2935
2022-08-21 04:00:00,2022-08-21 04:00:00,1746986986.84135
2022-08-21 05:00:00,2022-08-21 05:00:00,1745353504.40332
2022-08-21 06:00:00,2022-08-21 06:00:00,1743280088.9147
2022-08-21 07:00:00,2022-08-21 07:00:00,1752140430.4538202
2022-08-21 08:00:00,2022-08-21 08:00:00,1761391922.5321498
2022-08-21 09:00:00,2022-08-21 09:00:00,1767201404.03262
2022-08-21 10:00:00,2022-08-21 10:00:00,1774498883.78181
2022-08-21 11:00:00,2022-08-21 11:00:00,1778850178.45048
2022-08-21 12:00:00,2022-08-21 12:00:00,1798784403.55644
2022-08-21 13:00:00,2022-08-21 13:00:00,1781363739.54152
2022-08-21 14:00:00,2022-08-21 14:00:00,1758346187.6519
2022-08-21 15:00:00,2022-08-21 15:00:00,1760392085.44786
2022-08-21 16:00:00,2022-08-21 16:00:00,1748075425.1447802
2022-08-21 17:00:00,2022-08-21 17:00:00,1738720017.8257
2022-08-21 18:00:00,2022-08-21 18:00:00,1734742682.18482
2022-08-21 19:00:00,2022-08-21 19:00:00,1728784790.3454
2022-08-21 20:00:00,2022-08-21 20:00:00,1708333710.55286
2022-08-21 21:00:00,2022-08-21 21:00:00,1711352328.89284
2022-08-21 22:00:00,2022-08-21 22:00:00,1681773442.8204
2022-08-21 23:00:00,2022-08-21 23:00:00,1681308657.00176
2022-08-22 00:00:00,2022-08-22 00:00:00,1674720631.68928
2022-08-22 01:00:00,2022-08-22 01:00:00,1688668209.47664
2022-08-22 02:00:00,2022-08-22 02:00:00,1701987658.2987
2022-08-22 03:00:00,2022-08-22 03:00:00,1701634834.2964
2022-08-22 04:00:00,2022-08-22 04:00:00,1727763760.2735
2022-08-22 05:00:00,2022-08-22 05:00:00,1732120644.85849
2022-08-22 06:00:00,2022-08-22 06:00:00,1759674085.056
2022-08-22 07:00:00,2022-08-22 07:00:00,1781704636.88785
2022-08-22 08:00:00,2022-08-22 08:00:00,1800600391.3008
2022-08-22 09:00:00,2022-08-22 09:00:00,1802696748.24098
2022-08-22 10:00:00,2022-08-22 10:00:00,1820666376.34629
2022-08-22 11:00:00,2022-08-22 11:00:00,1827833415.4635
2022-08-22 12:00:00,2022-08-22 12:00:00,1832972989.78196
2022-08-22 13:00:00,2022-08-22 13:00:00,1837091594.352
2022-08-22 14:00:00,2022-08-22 14:00:00,1827275785.72075
2022-08-22 15:00:00,2022-08-22 15:00:00,1870777537.85577
2022-08-22 16:00:00,2022-08-22 16:00:00,1853423966.51529
2022-08-22 17:00:00,2022-08-22 17:00:00,1844982167.6986
2022-08-22 18:00:00,2022-08-22 18:00:00,1825353746.2504904
2022-08-22 19:00:00,2022-08-22 19:00:00,1827565641.131
2022-08-22 20:00:00,2022-08-22 20:00:00,1832043164.09675
2022-08-22 21:00:00,2022-08-22 21:00:00,1825433425.53992
2022-08-22 22:00:00,2022-08-22 22:00:00,1847372245.45414
2022-08-22 23:00:00,2022-08-22 23:00:00,1873722277.5295
2022-08-23 00:00:00,2022-08-23 00:00:00,1888275400.34235
2022-08-23 01:00:00,2022-08-23 01:00:00,1878297573.14639
2022-08-23 02:00:00,2022-08-23 02:00:00,1880368656.56112
2022-08-23 03:00:00,2022-08-23 03:00:00,1865129740.23585
2022-08-23 04:00:00,2022-08-23 04:00:00,1871855220.07992
2022-08-23 05:00:00,2022-08-23 05:00:00,1833391071.3429
2022-08-23 06:00:00,2022-08-23 06:00:00,1820330587.5601797
2022-08-23 07:00:00,2022-08-23 07:00:00,1812806502.66892
2022-08-23 08:00:00,2022-08-23 08:00:00,1827104658.63564
2022-08-23 09:00:00,2022-08-23 09:00:00,1828324893.897
2022-08-23 10:00:00,2022-08-23 10:00:00,1814572327.36027
2022-08-23 11:00:00,2022-08-23 11:00:00,1836558963.48
2022-08-23 12:00:00,2022-08-23 12:00:00,1834509027.86258
2022-08-23 13:00:00,2022-08-23 13:00:00,1880160347.52224
2022-08-23 14:00:00,2022-08-23 14:00:00,1863780763.1456
2022-08-23 15:00:00,2022-08-23 15:00:00,1863512176.54984
