l,o,t,c,h,volume,high,close,open,low
0.01,0.01,1658188800,0.01,0.01,1124029.082,23817.9,23385.9,22423.5,21575.0
0.005128,0.01,1658275200,0.01,0.01,946647.815,24277.0,23221.5,23385.9,22912.4
0.01,0.01,1658361600,0.01,0.01,723543.466,23441.1,23144.5,23221.5,22340.2
0.003462,0.01,1658448000,0.009097,0.01,633907.934,23750.0,22675.1,23144.5,22500.0
-0.000585,0.009097,1658534400,0.00377,0.01,505887.673,22990.0,22440.2,22675.0,21933.5
0.003615,0.00377,1658620800,0.01,0.01,462958.953,22999.0,22570.6,22440.1,22256.4
-0.001596,0.01,1658707200,0.01,0.01,695770.655,22656.8,21300.0,22570.6,21232.0
-0.000047,0.01,1658793600,0.004603,0.01,552498.903,21334.4,21241.0,21300.0,20689.6
-0.005063,0.004603,1658880000,0.009229,0.009388,753370.303,23100.0,22941.1,21241.0,21031.0
0.007794,0.009229,1658966400,0.01,0.01,756741.836,24194.6,23836.2,22941.1,22583.1
0.01,0.01,1659052800,0.01,0.01,642337.051,24500.0,23771.1,23836.2,23426.3
0.01,0.01,1659139200,0.01,0.01,493824.816,24700.0,23629.9,23771.0,23505.0
0.005493,0.01,1659225600,0.01,0.01,385969.85,24187.3,23290.1,23630.0,23222.0
0.005503,0.01,1659312000,0.01,0.01,498378.292,23497.0,23257.6,23290.1,22836.2
0.000302,0.01,1659398400,0.000318,0.01,625227.912,23448.7,22975.1,23257.6,22603.0
-0.005338,0.000318,1659484800,-0.00011,0.007981,569261.768,23650.0,22801.5,22975.1,22665.3
-0.008184,-0.00011,1659571200,0.001692,0.004264,548268.816,23211.3,22608.9,22801.5,22370.0
-0.003318,0.001692,1659657600,0.006826,0.01,593992.13,23450.0,23298.1,22608.9,22580.6
0.004961,0.006826,1659744000,0.01,0.01,227659.394,23341.8,22943.3,23298.0,22883.6
-0.001807,0.01,1659830400,0.01,0.01,271512.062,23400.0,23167.8,22943.2,22830.9
0.002366,0.01,1659916800,0.01,0.01,565084.219,24243.0,23804.4,23167.9,23153.1
-0.001334,0.01,1660003200,-0.001334,0.01,498286.943,23913.4,23140.2,23804.3,22850.0
-0.004263,-0.001334,1660089600,0.007199,0.01,760738.204,24235.2,23940.9,23140.1,22608.0
0.003002,0.007199,1660176000,0.009154,0.01,760455.245,24972.0,23917.2,23941.0,23840.6
-0.00423,0.009154,1660262400,-0.003546,0.009154,477734.045,24438.8,24387.5,23917.3,23560.0
-0.005618,-0.003546,1660348800,0.002396,0.01,431093.659,24879.0,24429.0,24387.5,24267.5
-0.004105,0.002396,1660435200,-0.003803,0.004173,437314.32,25065.0,24294.1,24429.0,24138.0
-0.007987,-0.003803,1660521600,0.003334,0.008554,739390.721,25200.0,24085.2,24294.1,23762.0
-0.003776,0.003334,1660608000,0.000496,0.004933,460919.994,24234.0,23843.0,24085.2,23650.0
-0.003782,0.000496,1660694400,0.008309,0.01,640600.903,24437.0,23333.1,23843.0,23170.0
0.005066,0.008309,1660780800,0.01,0.01,347699.006,23595.0,23185.1,23333.1,23101.0
-0.009999,0.01,1660867200,0.001104,0.01,906609.825,23200.0,20824.9,23185.0,20760.0
-0.006934,0.001104,1660953600,-0.001957,0.001803,490507.042,21368.9,21127.8,20825.0,20742.9
-0.008546,-0.001957,1661040000,-0.008092,-0.000862,424282.424,21804.6,21505.6,21127.7,21055.0
-0.008094,-0.008092,1661126400,-0.003345,0.005836,588764.597,21550.0,21387.0,21505.6,20858.6
-0.003588,-0.003345,1661212800,0.002546,0.005875,609745.27,21667.2,21518.2,21387.0,20874.8
-0.005298,0.002546,1661299200,0.000185,0.002569,502728.198,21925.6,21354.9,21518.2,21132.3
-0.00531,0.000185,1661385600,-0.00164,0.004976,415757.992,21810.9,21548.3,21355.0,21295.3
-0.003747,-0.00164,1661472000,-0.002808,0.01,896474.356,21867.6,20228.7,21548.3,20100.0
-0.009246,-0.002808,1661558400,-0.001396,0.000177,469598.024,20367.7,20023.9,20228.7,19744.0
-0.013632,-0.001396,1661644800,-0.013632,-0.000154,386405.195,20155.0,19547.5,20024.0,19508.0
-0.014324,-0.013632,1661731200,0.001123,0.001675,598076.669,20440.0,20275.5,19547.5,19539.4
-0.008914,0.001123,1661817600,-0.002126,0.001331,767714.993,20574.0,19803.1,20275.5,19524.4
-0.003779,-0.002126,1661904000,0.009382,0.009428,711639.339,20496.0,20041.5,19803.2,19787.9
-0.002328,0.009382,1661990400,0.002496,0.009578,691594.721,20198.3,20122.5,20041.4,19555.0
-0.003385,0.002496,1662076800,-0.000176,0.008835,669047.816,20434.3,19941.0,20122.6,19736.0
-0.000237,-0.000176,1662163200,0.000628,0.01,285240.989,20050.0,19820.7,19941.0,19628.7
-0.003471,0.000628,1662249600,0.008315,0.009454,396798.184,20022.4,19992.7,19820.7,19570.0
-0.002946,0.008315,1662336000,-0.000245,0.009164,446706.41,20046.7,19784.9,19992.7,19620.2
-0.011934,-0.000245,1662422400,-0.008646,0.006279,945489.142,20174.7,18781.5,19784.9,18600.0
-0.008646,-0.008646,1662508800,0.000531,0.005154,595636.693,19455.0,19287.0,18781.4,18500.0
-0.001273,0.000531,1662595200,0.001312,0.006806,537268.644,19450.0,19309.3,19287.0,19003.8
-0.004174,0.001312,1662681600,0.01,0.01,992497.1,21666.0,21352.0,19309.3,19283.0
0.006895,0.01,1662768000,0.007091,0.01,491543.206,21825.0,21639.5,21352.0,21112.2
0.005278,0.007091,1662854400,0.01,0.01,420979.326,21883.4,21820.3,21639.5,21336.0
0.007761,0.01,1662940800,0.01,0.01,818601.932,22474.0,22386.0,21820.3,21540.0
-0.007323,0.01,1663027200,-0.004064,0.01,1218769.927,22850.0,20162.5,22386.0,19840.0
-0.004064,-0.004064,1663113600,0.000324,0.01,661802.597,20528.5,20217.0,20162.6,19600.0
-0.001305,0.000324,1663200000,0.008052,0.01,665862.067,20315.0,19690.8,20217.0,19453.0
0.002258,0.008052,1663286400,0.002991,0.009644,544608.804,19878.0,19792.5,19690.8,19300.0
-0.000126,0.002991,1663372800,0.00646,0.006617,334678.558,20182.6,20102.0,19792.4,19739.4
0.002753,0.00646,1663459200,0.003581,0.01,499916.474,20105.3,19404.5,20102.0,19325.8
-0.011545,0.003581,1663545600,0.007813,0.01,993776.352,19686.3,19528.6,19404.5,18215.0
-0.000212,0.007813,1663632000,0.005222,0.009394,794623.932,19625.0,18866.8,19528.6,18690.1
-0.011674,0.005222,1663718400,-0.011674,0.007128,1168068.979,20154.1,18447.5,18866.7,18084.3
-0.014435,-0.011674,1663804800,0.007261,0.01,852898.391,19504.8,19392.5,18447.5,18345.2
-0.005628,0.007261,1663891200,0.002909,0.007381,838493.746,19492.0,19280.7,19392.5,18518.5
0.001037,0.002909,1663977600,0.001037,0.006661,377158.215,19304.5,18911.0,19280.7,18798.0
-0.001591,0.001037,1664064000,-0.000605,0.007052,410461.603,19196.0,18799.7,18910.9,18621.0
-0.000607,-0.000605,1664150400,0.002262,0.008547,777807.518,19311.5,19216.3,18799.7,18671.0
-0.002895,0.002262,1664236800,0.001134,0.01,1300566.158,20375.0,19070.1,19216.3,18801.5
-0.001428,0.001134,1664323200,0.005607,0.009754,1141222.772,19787.6,19407.3,19070.1,18460.0
0.005393,0.005607,1664409600,0.01,0.01,991678.224,19648.8,19582.5,19407.4,18827.2
0.003259,0.01,1664496000,0.003259,0.01,1071462.934,20172.7,19411.7,19582.5,19066.0
0.00083,0.003259,1664582400,0.00421,0.01,294457.009,19474.0,19304.0,19411.6,19140.0
0.003519,0.00421,1664668800,0.003941,0.00674,414970.451,19389.0,19049.4,19304.0,18896.0
0.003941,0.003941,1664755200,0.01,0.01,621816.329,19723.7,19622.0,19049.3,18950.8
0.01,0.01,1664841600,0.01,0.01,796678.762,20500.0,20333.0,19621.9,19480.1
0.01,0.01,1664928000,0.01,0.01,719577.149,20356.1,20150.0,20332.9,19707.0
0.01,0.01,1665014400,0.01,0.01,782034.669,20443.9,19954.0,20149.9,19843.3
0.003893,0.01,1665100800,0.003942,0.01,673407.102,20067.0,19520.9,19954.0,19304.4
0.002507,0.003942,1665187200,0.003272,0.008905,253257.201,19619.6,19406.2,19520.9,19200.0
0.000869,0.003272,1665273600,0.006244,0.006617,267178.795,19550.0,19430.0,19406.3,19310.0
0.003277,0.006244,1665360000,0.01,0.01,560920.904,19513.0,19124.0,19430.0,19000.0
0.01,0.01,1665446400,0.01,0.01,603358.324,19260.0,19055.0,19124.1,18850.0
