sell,buy,time,close,high,open,low,volume
367137.111,368291.715,1678924800,24990.4,25167.9,24287.9,24120.5,735446.946
648405.13,692732.169,1679011200,27384.0,27763.4,24990.5,24875.3,1341159.064
378108.297,362117.177,1679097600,26907.0,27726.4,27383.9,26555.5,740232.316
373437.469,385920.007,1679184000,27955.7,28397.0,26907.0,26815.9,759367.078
473296.817,463890.478,1679270400,27704.1,28483.2,27955.8,27120.6,937223.448
344268.211,341201.066,1679356800,28091.1,28460.0,27704.1,27288.0,685487.714
543827.275,536520.064,1679443200,27233.8,28881.0,28091.1,26590.0,1080393.27
396722.945,411438.298,1679529600,28284.1,28777.0,27233.8,27101.0,808174.047
357861.647,338198.962,1679616000,27438.9,28369.1,28284.0,26960.0,696075.37
168970.816,166698.783,1679702400,27447.3,27788.0,27439.0,27131.8,335674.055
197160.213,202576.233,1679788800,27954.3,28186.9,27447.2,27400.0,399756.985
332536.365,309884.012,1679875200,27112.0,28019.4,27954.3,26480.0,642434.822
292313.776,292746.149,1679961600,27249.7,27500.0,27112.0,26610.0,585080.772
319125.124,336716.681,1680048000,28338.5,28649.9,27249.7,27223.6,655852.971
389743.099,381203.424,1680134400,28015.0,29184.8,28338.6,27654.1,770966.1
303788.42,307750.819,1680220800,28454.9,28675.3,28015.0,27500.0,611557.29
128614.974,127867.589,1680307200,28443.8,28845.3,28454.8,28180.0,256487.222
163036.129,153616.066,1680393600,28161.2,28516.5,28443.7,27820.0,316658.67
379193.198,362451.499,1680480000,27786.1,28540.0,28161.3,27166.0,741665.563
214470.868,217891.906,1680566400,28155.2,28450.0,27786.1,27650.2,432370.612
271749.213,271953.983,1680652800,28154.0,28800.0,28155.1,27775.0,543712.838
182582.651,173323.35,1680739200,28022.8,28175.0,28154.0,27684.2,355916.782
111646.277,107601.992,1680825600,27890.7,28096.0,28022.9,27755.0,219250.178
80068.271,79060.825,1680912000,27924.9,28153.6,27890.7,27850.1,159129.56
148940.043,156920.517,1680998400,28309.4,28539.1,27924.9,27762.8,305861.88
272950.674,307103.57,1681084800,29623.1,29840.0,28309.4,28153.6,580061.925
308022.461,320945.07,1681171200,30185.1,30564.0,29623.1,29573.9,628978.491
289559.323,274092.117,1681257600,29875.0,30480.0,30185.1,29620.0,563668.43
215067.212,221106.017,1681344000,30362.7,30648.9,29874.9,29836.7,436182.494
310173.553,305195.449,1681430400,30453.1,31059.0,30362.7,29925.0,615391.615
91997.442,88235.773,1681516800,30280.4,30599.9,30453.0,30186.0,180234.082
105333.915,104890.366,1681603200,30286.6,30560.0,30280.4,30102.0,210226.019
239102.449,216401.168,1681689600,29420.0,30307.4,30286.6,29219.9,455518.548
264557.757,268611.837,1681776000,30365.8,30480.0,29420.1,29078.1,533189.27
338923.851,304855.13,1681862400,28795.1,30410.0,30365.8,28557.3,643866.11
326815.805,312299.515,1681948800,28229.9,29078.0,28795.0,27983.0,639179.286
352416.456,335387.505,1682035200,27252.5,28368.9,28229.9,27100.0,687832.833
168649.503,176871.455,1682121600,27807.2,27888.0,27252.6,27126.0,345549.021
169688.834,162382.294,1682208000,27576.0,27807.3,27807.2,27279.7,332082.355
294337.567,286924.183,1682294400,27497.5,28000.0,27575.9,26919.3,581268.268
245814.291,262431.146,1682380800,28286.7,28379.9,27497.4,27176.6,508254.515
638460.448,646458.313,1682467200,28395.9,30048.2,28286.7,27200.0,1284924.668
470283.498,482295.602,1682553600,29459.0,29898.0,28396.0,28365.3,952584.739
256467.993,251881.381,1682640000,29300.0,29591.1,29459.0,28870.0,508350.155
111042.266,106970.886,1682726400,29212.7,29443.9,29300.0,29000.4,218013.244
208261.343,209529.331,1682812800,29223.0,29950.0,29212.7,29067.4,417798.846
325001.974,299948.542,1682899200,28054.4,29325.5,29223.0,27650.0,624974.488
252299.695,261246.323,1682985600,28656.5,28888.0,28054.5,27854.0,513546.269
334000.342,342465.812,1683072000,29018.4,29258.4,28656.4,28080.0,676466.23
215798.947,210626.636,1683158400,28826.0,29380.0,29018.4,28660.0,426425.584
283098.51,295386.425,1683244800,29491.5,29693.0,28826.0,28618.3,578485.177
245264.44,230364.328,1683331200,28837.8,29840.0,29491.5,28333.0,475628.901
157528.834,150881.541,1683417600,28419.4,29137.0,28837.9,28370.0,308410.643
340709.185,317478.552,1683504000,27659.8,28624.6,28419.5,27250.0,658188.777
183275.285,184389.396,1683590400,27610.2,27815.6,27659.8,27316.8,367664.686
364662.468,357839.43,1683676800,27582.9,28297.0,27610.2,26666.6,722502.676
275757.246,263065.062,1683763200,26956.4,27630.0,27583.0,26688.8,538822.363
315029.83,300477.365,1683849600,26785.1,27090.0,26956.4,25751.0,615645.508
119816.187,122878.742,1683936000,26762.7,27051.5,26785.2,26674.9,242694.929
114241.456,118120.91,1684022400,26901.9,27200.0,26762.8,26557.0,247579.427
224422.52,225840.552,1684108800,27152.5,27650.0,26901.9,26694.4,450263.076
189206.481,183964.659,1684195200,27024.8,27284.7,27152.5,26832.0,373172.951
242568.446,246617.113,1684281600,27395.8,27500.0,27024.7,26527.5,490065.218
279615.944,265354.55,1684368000,26809.3,27482.7,27395.7,26335.3,544971.979
163114.606,160983.349,1684454400,26870.1,27180.0,26809.4,26611.2,324097.956
65930.726,71584.597,1684540800,27089.5,27144.4,26870.1,26813.5,137515.354
124626.779,114149.339,1684627200,26732.8,27288.0,27089.6,26642.0,238776.425
161825.936,166204.548,1684713600,26840.2,27097.8,26732.8,26500.0,328030.52
180736.365,188440.253,1684800000,27209.9,27527.5,26840.2,26782.6,369176.618
280893.893,254297.738,1684886400,26313.8,27212.9,27209.9,26060.0,535191.677
195567.62,198958.778,1684972800,26461.8,26644.0,26313.9,25850.0,394535.225
160243.957,164028.296,1685059200,26689.9,26925.0,26461.7,26313.9,324475.546
80290.705,83391.193,1685145600,26841.6,26890.0,26689.8,26528.6,163681.935
205888.602,234221.328,1685232000,28055.7,28252.8,26841.6,26746.0,440115.394
205417.576,201542.143,1685318400,27722.0,28442.0,28055.8,27513.5,411290.549
170920.828,163458.305,1685404800,27680.1,28038.6,27722.1,27530.0,334379.313
244653.575,226508.832,1685491200,27201.1,27825.0,27680.0,26826.0,471381.89
206654.542,198131.406,1685577600,26805.3,27347.9,27201.1,26600.0,404787.572
196553.638,194556.438,1685664000,27227.8,27290.0,26805.3,26477.6,391110.093
92827.767,89636.349,1685750400,27054.9,27340.2,27227.8,26900.0,182464.1
106959.084,111311.482,1685836800,27102.4,27460.0,27054.9,26935.3,218271.544
371737.805,327054.423,1685923200,25714.7,27125.0,27102.4,25360.1,700502.548
351975.561,379329.677,1686009600,27221.5,27358.1,25714.6,25321.6,731445.649
336413.507,323606.357,1686096000,26325.9,27394.4,27221.5,26111.0,660044.537
166625.959,166478.53,1686182400,26485.9,26800.0,26325.9,26195.4,333104.839
141812.521,141906.323,1686268800,26468.1,26775.0,26486.0,26236.0,283719.198
314797.458,294119.994,1686355200,25826.6,26525.0,26468.2,25300.0,608917.569
139585.535,139779.83,1686441600,25909.9,26199.0,25826.6,25621.3,279365.563
149611.845,149288.308,1686528000,25894.8,26097.7,25910.0,25600.0,298900.468
216044.682,218491.217,1686614400,25918.0,26430.5,25894.8,25708.0,434536.754
243261.137,221420.452,1686700800,25115.9,26099.3,25918.0,24796.8,464681.602
236258.262,237712.774,1686787200,25586.1,25750.0,25115.9,24777.0,473971.375
258512.554,274629.941,1686873600,26336.0,26526.9,25586.0,25142.1,533144.956
149263.037,156474.937,1686960000,26508.9,26900.0,26335.9,26170.8,305738.396
122244.825,119732.659,1687046400,26329.7,26709.4,26508.8,26230.9,241977.484
196738.917,203794.837,1687132800,26828.5,27077.0,26329.6,26241.2,400533.758
362403.946,395771.947,1687219200,28290.6,28397.8,26828.6,26633.9,758176.297
542259.731,581214.634,1687305600,29988.5,30822.0,28290.7,28236.4,1123474.427
283808.087,277243.129,1687392000,29875.0,30488.0,29988.5,29500.1,561051.742
342968.151,356059.09,1687478400,30673.4,31500.0,29875.0,29792.0,699073.071
142221.795,137316.182,1687564800,30524.2,30796.5,30673.5,30222.0,279539.288
151644.592,149888.474,1687651200,30458.0,31053.2,30524.2,30252.6,301533.154
211688.727,203410.601,1687737600,30260.1,30667.3,30458.0,29890.1,415099.356
202018.288,202687.325,1687824000,30683.2,30998.5,30260.1,30213.0,406073.348
215422.771,201232.854,1687910400,30066.3,30701.8,30683.2,29804.6,416656.434
188277.929,193794.917,1687996800,30439.9,30837.0,30066.3,30036.1,382072.846
410105.506,399225.268,1688083200,30460.2,31300.0,30439.9,29500.0,809331.305
68027.98,67492.25,1688169600,30573.6,30668.2,30460.2,30311.3,135520.246
116978.746,114886.636,1688256000,30612.7,30800.0,30573.6,30149.9,231866.188
179641.282,190651.256,1688342400,31149.0,31395.2,30612.7,30559.4,370293.236
154067.529,146764.559,1688428800,30756.1,31319.4,31149.0,30600.0,300832.26
152722.867,142169.98,1688515200,30488.4,30875.2,30756.1,30175.8,294896.578
368784.906,352480.402,1688601600,29874.4,31568.0,30488.4,29818.0,721267.219
170162.979,167494.116,1688688000,30327.9,30443.6,29874.3,29680.0,337801.654
69008.014,69726.477,1688774400,30269.3,30380.0,30328.0,30026.8,138734.493
83343.201,78952.847,1688860800,30147.8,30443.4,30269.2,30042.0,162296.263
213536.068,215576.214,1688947200,30396.9,31040.0,30147.8,29928.8,429115.537
149057.137,149847.078,1689033600,30608.4,30804.9,30396.9,30261.4,298904.747
214642.38,210415.576,1689120000,30368.9,30980.5,30608.3,30186.0,425058.257
338279.087,357741.793,1689206400,31441.7,31850.0,30368.9,30233.0,696023.51
283671.474,255019.949,1689292800,30293.3,31640.0,31441.6,29876.6,538692.246
57909.879,53712.192,1689379200,30276.4,30380.0,30293.3,30220.2,111622.474
89421.58,84384.257,1689465600,30216.8,30441.6,30276.5,30050.0,173805.94
178001.758,165947.976,1689552000,30126.1,30329.7,30216.9,29630.0,344113.427
174105.89,163290.32,1689638400,29845.6,30227.5,30126.0,29400.0,337396.417
150562.685,147856.001,1689724800,29895.5,30178.5,29845.7,29745.0,298418.854
209614.888,200648.875,1689811200,29791.0,30420.0,29895.5,29468.8,410263.764
112444.49,108699.528,1689897600,29891.4,30056.2,29791.0,29705.9,221145.074
72553.873,70822.303,1689984000,29783.5,29986.0,29891.5,29602.2,143375.956
107357.721,117355.884,1690070400,30070.8,30368.2,29783.5,29718.9,224713.846
226147.091,208034.412,1690156800,29163.8,30091.7,30070.9,28830.0,434182.417
96140.103,100296.862,1690243200,29216.3,29379.5,29163.8,29033.0,196438.618
158456.959,160070.511,1690329600,29336.0,29670.5,29216.2,29083.0,318527.582
