start_time,datetime,estimated_leverage_ratio
2021-01-16 16:00:00,2021-01-16 16:00:00,1.04830155
2021-01-16 17:00:00,2021-01-16 17:00:00,1.02889193
2021-01-16 18:00:00,2021-01-16 18:00:00,1.00097084
2021-01-16 19:00:00,2021-01-16 19:00:00,1.05360409
2021-01-16 20:00:00,2021-01-16 20:00:00,1.02351761
2021-01-16 21:00:00,2021-01-16 21:00:00,1.02749668
2021-01-16 22:00:00,2021-01-16 22:00:00,1.05005527
2021-01-16 23:00:00,2021-01-16 23:00:00,1.0676392
2021-01-17 00:00:00,2021-01-17 00:00:00,1.0574495
2021-01-17 01:00:00,2021-01-17 01:00:00,1.05385372
2021-01-17 02:00:00,2021-01-17 02:00:00,1.05407408
2021-01-17 03:00:00,2021-01-17 03:00:00,1.02438485
2021-01-17 04:00:00,2021-01-17 04:00:00,1.05167521
2021-01-17 05:00:00,2021-01-17 05:00:00,1.05238845
2021-01-17 06:00:00,2021-01-17 06:00:00,1.11173873
2021-01-17 07:00:00,2021-01-17 07:00:00,1.13246138
2021-01-17 08:00:00,2021-01-17 08:00:00,1.15238056
2021-01-17 09:00:00,2021-01-17 09:00:00,1.14768434
2021-01-17 10:00:00,2021-01-17 10:00:00,1.09528455
2021-01-17 11:00:00,2021-01-17 11:00:00,1.0756174
2021-01-17 12:00:00,2021-01-17 12:00:00,1.08671514
2021-01-17 13:00:00,2021-01-17 13:00:00,1.07457882
2021-01-17 14:00:00,2021-01-17 14:00:00,1.08151463
2021-01-17 15:00:00,2021-01-17 15:00:00,1.02741855
2021-01-17 16:00:00,2021-01-17 16:00:00,1.03033625
2021-01-17 17:00:00,2021-01-17 17:00:00,1.02328064
2021-01-17 18:00:00,2021-01-17 18:00:00,1.02937391
2021-01-17 19:00:00,2021-01-17 19:00:00,1.04252133
2021-01-17 20:00:00,2021-01-17 20:00:00,1.04157787
2021-01-17 21:00:00,2021-01-17 21:00:00,1.03785362
2021-01-17 22:00:00,2021-01-17 22:00:00,1.04558644
2021-01-17 23:00:00,2021-01-17 23:00:00,1.04008315
2021-01-18 00:00:00,2021-01-18 00:00:00,1.0254428
2021-01-18 01:00:00,2021-01-18 01:00:00,1.02587125
2021-01-18 02:00:00,2021-01-18 02:00:00,1.02749898
2021-01-18 03:00:00,2021-01-18 03:00:00,1.00800771
