o,h,l,t,c,open,close,high,volume,low
-0.024694,0.008244,-0.024694,1604102400,-0.00796,13549.12,13783.73,14140.0,357853.23,13403.36
-0.006441,0.01,-0.007944,1604188800,0.01,13783.73,13752.86,13891.52,198395.231,13605.9
0.007941,0.01,-0.013539,1604275200,-0.013539,13752.87,13540.54,13823.75,327991.768,13195.0
-0.017064,0.00461,-0.020699,1604361600,-0.018495,13541.55,14016.55,14070.0,348730.51,13276.33
-0.007816,0.01,-0.023791,1604448000,0.01,14016.55,14134.31,14280.0,451433.42,13512.0
0.01,0.01,0.006052,1604534400,0.01,14134.32,15598.75,15777.0,717489.697,14088.01
0.01,0.050977,0.01,1604620800,0.022459,15598.74,15590.96,15984.2,559380.06,15177.0
0.024948,0.04438,0.01,1604707200,0.01,15590.95,14824.34,15774.0,457582.681,14350.0
0.01,0.01,0.01,1604793600,0.01,14824.33,15473.2,15678.0,290616.393,14710.0
0.01,0.01,0.01,1604880000,0.01,15473.2,15328.72,15869.0,474181.983,14822.0
0.01,0.01,0.01,1604966400,0.01,15328.72,15294.68,15474.17,244073.495,15071.0
0.01,0.019557,0.01,1605052800,0.010823,15294.68,15690.24,16000.0,330772.852,15274.89
0.01,0.01,0.01,1605139200,0.01,15690.24,16289.02,16345.0,471759.126,15437.7
0.01,0.01,0.01,1605225600,0.01,16289.01,16320.54,16479.99,306656.359,15955.6
0.01,0.01,0.003787,1605312000,0.01,16320.54,16064.51,16326.82,266206.937,15700.0
0.01,0.01,0.01,1605398400,0.01,16064.51,15952.27,16161.23,210318.453,15768.0
0.01,0.01,0.01,1605484800,0.01,15951.93,16707.07,16882.0,342459.329,15862.0
0.01,0.022649,0.01,1605571200,0.022649,16707.0,17670.01,17890.1,524094.697,16550.0
0.021138,0.066689,0.01,1605657600,0.01,17670.01,17788.32,18520.0,732937.097,17215.03
0.01,0.060202,0.01,1605744000,0.043788,17788.32,17811.68,18200.0,406500.977,17347.27
0.03665,0.047552,0.01,1605830400,0.01,17811.68,18664.31,18831.6,407926.802,17748.92
0.01,0.093435,0.01,1605916800,0.084876,18662.85,18721.99,18986.0,342412.49,18302.08
0.080363,0.110315,0.058853,1606003200,0.09515,18721.99,18435.2,18780.0,373779.417,17645.98
0.101151,0.119041,0.0561,1606089600,0.0561,18434.17,18382.07,18812.65,364221.378,18013.97
0.050801,0.126602,0.049396,1606176000,0.088226,18382.07,19179.64,19440.0,477968.289,18000.0
0.084327,0.084327,0.032387,1606262400,0.034143,19178.53,18741.67,19554.19,426276.99,18509.12
0.035389,0.046061,0.01,1606348800,0.018597,18741.66,17155.34,18940.69,850692.856,16181.0
0.010773,0.010773,0.01,1606435200,0.01,17155.37,17144.1,17465.0,398072.933,16444.83
0.01,0.01,0.01,1606521600,0.01,17144.11,17717.74,17880.0,268833.749,16865.78
0.01,0.01,0.01,1606608000,0.01,17717.74,18181.09,18343.0,256024.006,17523.0
0.01,0.091434,0.009156,1606694400,0.04735,18180.43,19720.0,19944.0,500482.574,18178.82
0.045755,0.078271,0.01,1606780800,0.01,19722.09,18772.7,19956.0,553885.333,18050.0
0.01,0.01,0.01,1606867200,0.01,18770.33,19207.01,19365.0,335717.482,18329.58
0.01,0.030626,0.01,1606953600,0.014258,19207.01,19434.3,19640.0,245020.576,18865.0
0.012731,0.012731,0.01,1607040000,0.01,19432.66,18664.2,19537.16,276271.939,18570.0
0.01,0.023852,0.01,1607126400,0.01,18662.72,19147.62,19203.46,165912.647,18510.0
0.01,0.01,0.01,1607212800,0.01,19147.63,19375.02,19449.1,176004.606,18855.35
0.01,0.01,0.01,1607299200,0.01,19375.0,19172.88,19446.36,169402.371,18908.66
0.01,0.01,0.01,1607385600,0.01,19172.87,18319.32,19319.38,280714.132,18133.33
0.01,0.01,0.01,1607472000,0.01,18319.33,18537.98,18639.7,353123.689,17650.0
0.01,0.01,0.01,1607558400,0.01,18537.97,18253.51,18550.0,233960.241,17916.0
0.01,0.01,0.009754,1607644800,0.009754,18254.0,18031.47,18290.44,317866.07,17555.0
