start_time,long_liquidation_usd,short_liquidation_usd,time
2021-12-11,3899757.68498,6192621.64485,1639180800000
2021-12-12,2917135.99077,3504063.99606,1639267200000
2021-12-13,9735384.14487,6077028.61205,1639353600000
2021-12-14,5574036.36433,6529082.61396,1639440000000
2021-12-15,6524652.77938,7765762.93748,1639526400000
2021-12-16,7250050.66583,2683809.03028,1639612800000
2021-12-17,9584013.9533,5774506.23108,1639699200000
2021-12-18,3489018.53797,4040134.93065,1639785600000
2021-12-19,4610650.11966,4975557.88125,1639872000000
2021-12-20,6248431.7813,5767523.72533,1639958400000
2021-12-21,2678431.88612,6809286.2631,1640044800000
2021-12-22,3841259.08948,5677526.62837,1640131200000
2021-12-23,3826150.02869,9348976.6576,1640217600000
2021-12-24,7091937.47596,6481459.26776,1640304000000
2021-12-25,2228372.53774,2184790.12671,1640390400000
2021-12-26,5425114.88193,3916609.07039,1640476800000
2021-12-27,5058109.2543,3817521.2332,1640563200000
2021-12-28,13125869.43685,3896359.10502,1640649600000
2021-12-29,5888046.03912,4568681.62294,1640736000000
2021-12-30,4619001.14916,4907519.9258,1640822400000
2021-12-31,9412471.96284,6185509.69745,1640908800000
2022-01-01,2828019.7387,3994411.0526,1640995200000
2022-01-02,5400391.75118,3758861.8687,1641081600000
2022-01-03,8106730.09688,3247987.50696,1641168000000
2022-01-04,17874013.11564,5107865.42895,1641254400000
2022-01-05,22284798.40738,8257332.97906,1641340800000
2022-01-06,5184851.62512,5100046.1717,1641427200000
2022-01-07,11400293.24284,7255900.79007,1641513600000
2022-01-08,7306228.30557,4682124.75424,1641600000000
2022-01-09,4089682.51575,4371805.75373,1641686400000
2022-01-10,10001108.02939,7406704.74281,1641772800000
2022-01-11,4029945.27091,7766550.23081,1641859200000
2022-01-12,2914005.01769,4523285.56095,1641945600000
2022-01-13,7133131.37934,3403709.94899,1642032000000
2022-01-14,4301435.57918,4306507.95098,1642118400000
2022-01-15,2411009.82095,2664206.69714,1642204800000
2022-01-16,2902400.2658,2558491.55492,1642291200000
2022-01-17,7364580.75211,3081820.27641,1642377600000
2022-01-18,5331229.02203,4858262.58108,1642464000000
2022-01-19,9087343.61226,3576096.4126,1642550400000
2022-01-20,10502649.05388,6660373.60067,1642636800000
2022-01-21,29218650.07087,14303905.36907,1642723200000
2022-01-22,18504708.46144,13280117.37315,1642809600000
