start_time,datetime,velocity_supply_total
2021-01-07 19:00:00,2021-01-07 19:00:00,29.29981142
2021-01-07 20:00:00,2021-01-07 20:00:00,29.30691069
2021-01-07 21:00:00,2021-01-07 21:00:00,29.31072302
2021-01-07 22:00:00,2021-01-07 22:00:00,29.32213724
2021-01-07 23:00:00,2021-01-07 23:00:00,29.3254101
2021-01-08 00:00:00,2021-01-08 00:00:00,29.32971273
2021-01-08 01:00:00,2021-01-08 01:00:00,29.33292304
2021-01-08 02:00:00,2021-01-08 02:00:00,29.33814864
2021-01-08 03:00:00,2021-01-08 03:00:00,29.34295883
2021-01-08 04:00:00,2021-01-08 04:00:00,29.34655139
2021-01-08 05:00:00,2021-01-08 05:00:00,29.34757131
2021-01-08 06:00:00,2021-01-08 06:00:00,29.35096043
2021-01-08 07:00:00,2021-01-08 07:00:00,29.35431425
2021-01-08 08:00:00,2021-01-08 08:00:00,29.35666875
2021-01-08 09:00:00,2021-01-08 09:00:00,29.3557195
2021-01-08 10:00:00,2021-01-08 10:00:00,29.33631835
2021-01-08 11:00:00,2021-01-08 11:00:00,29.3387029
2021-01-08 12:00:00,2021-01-08 12:00:00,29.34213019
2021-01-08 13:00:00,2021-01-08 13:00:00,29.35110756
2021-01-08 14:00:00,2021-01-08 14:00:00,29.35698904
2021-01-08 15:00:00,2021-01-08 15:00:00,29.36062347
2021-01-08 16:00:00,2021-01-08 16:00:00,29.36138284
2021-01-08 17:00:00,2021-01-08 17:00:00,29.36450012
2021-01-08 18:00:00,2021-01-08 18:00:00,29.36696239
2021-01-08 19:00:00,2021-01-08 19:00:00,29.37084617
2021-01-08 20:00:00,2021-01-08 20:00:00,29.37990882
2021-01-08 21:00:00,2021-01-08 21:00:00,29.38433681
2021-01-08 22:00:00,2021-01-08 22:00:00,29.38891499
2021-01-08 23:00:00,2021-01-08 23:00:00,29.39441659
2021-01-09 00:00:00,2021-01-09 00:00:00,29.39406314
2021-01-09 01:00:00,2021-01-09 01:00:00,29.39602244
2021-01-09 02:00:00,2021-01-09 02:00:00,29.39757278
2021-01-09 03:00:00,2021-01-09 03:00:00,29.40130195
2021-01-09 04:00:00,2021-01-09 04:00:00,29.404785
2021-01-09 05:00:00,2021-01-09 05:00:00,29.40358371
2021-01-09 06:00:00,2021-01-09 06:00:00,29.40744053
2021-01-09 07:00:00,2021-01-09 07:00:00,29.40811611
2021-01-09 08:00:00,2021-01-09 08:00:00,29.41307878
2021-01-09 09:00:00,2021-01-09 09:00:00,29.41531974
2021-01-09 10:00:00,2021-01-09 10:00:00,29.41702062
2021-01-09 11:00:00,2021-01-09 11:00:00,29.41900868
2021-01-09 12:00:00,2021-01-09 12:00:00,29.42212622
2021-01-09 13:00:00,2021-01-09 13:00:00,29.42218798
2021-01-09 14:00:00,2021-01-09 14:00:00,29.4238478
2021-01-09 15:00:00,2021-01-09 15:00:00,29.42610136
2021-01-09 16:00:00,2021-01-09 16:00:00,29.42707803
2021-01-09 17:00:00,2021-01-09 17:00:00,29.42965268
2021-01-09 18:00:00,2021-01-09 18:00:00,29.43219049
2021-01-09 19:00:00,2021-01-09 19:00:00,29.43526883
2021-01-09 20:00:00,2021-01-09 20:00:00,29.43830112
2021-01-09 21:00:00,2021-01-09 21:00:00,29.43925045
2021-01-09 22:00:00,2021-01-09 22:00:00,29.44411086
2021-01-09 23:00:00,2021-01-09 23:00:00,29.44835472
2021-01-10 00:00:00,2021-01-10 00:00:00,29.45414617
2021-01-10 01:00:00,2021-01-10 01:00:00,29.45465119
