h,l,t,c,o,open,low,high,close,volume
0.00772623,-0.00093228,1623369600,0.00205292,0.0058781,36669.65,35900.0,37679.54,37300.42,586122.898
0.00606376,-0.00600271,1623456000,-0.00467971,0.00287289,37300.41,34585.9,37432.95,35537.05,623532.476
0.00446441,-0.00926594,1623542400,0.00215545,-0.00434763,35535.95,34739.06,39374.18,38993.65,647035.314
0.01189292,0.00018121,1623628800,0.00490731,0.00208179,38993.66,38720.0,41000.0,40489.1,704979.881
0.00982186,0.00410188,1623715200,0.00476191,0.00410188,40489.1,39500.0,41413.0,40132.86,632066.994
0.00536618,-0.00387248,1623801600,-0.0013695,0.00373754,40132.86,38105.0,40495.0,38344.97,673235.496
0.00585953,-0.00838858,1623888000,-0.00560301,0.00073746,38344.97,37334.76,39565.0,38060.71,603849.861
0.00128633,-0.01569652,1623974400,-0.00669172,-0.00511399,38060.71,35100.0,38198.0,35811.41,790379.249
-0.00346212,-0.02310614,1624060800,-0.00346212,-0.00632289,35811.41,34704.08,36471.8,35483.0,642185.382
0.00608543,-0.02617419,1624147200,-0.01547023,-0.00219778,35483.01,33312.0,36155.0,35588.64,829896.441
0.00553296,-0.0234267,1624233600,-0.01560481,-0.01307497,35588.63,31250.51,35746.28,31606.0,1397330.662
0.00598124,-0.03857249,1624320000,-0.02668516,-0.01275966,31606.0,28780.01,33274.0,32496.0,1531824.85
-0.01005536,-0.02897668,1624406400,-0.0156164,-0.02250341,32496.0,31711.5,34867.77,33649.0,960700.369
-0.00345863,-0.02346645,1624492800,-0.01402535,-0.01609231,33650.0,32300.0,35406.74,34644.64,774899.165
0.00055865,-0.01815971,1624579200,-0.01632156,-0.01236803,34644.65,31250.0,35500.0,31568.07,1093051.375
-0.01612397,-0.03247619,1624665600,-0.02420053,-0.01612397,31569.18,30120.0,32720.52,32255.56,1091384.749
-0.01239277,-0.05093271,1624752000,-0.02269711,-0.02682591,32250.15,31960.0,34762.0,34687.71,897147.453
0.00720413,-0.02066409,1624838400,0.00578868,-0.02066409,34687.71,33855.0,35279.38,34487.22,706158.545
0.00718649,-0.01593591,1624924800,0.00571807,0.00649018,34486.58,34206.0,36623.0,35911.26,806140.329
0.01039318,-0.01498924,1625011200,-0.00093689,0.00609737,35910.64,34042.74,36089.96,35031.39,719742.983
0.00409086,-0.0138325,1625097600,-0.01245004,-0.00096377,35031.39,32672.04,35044.98,33489.96,758966.493
0.00404313,-0.025213,1625184000,-0.0232965,-0.01095714,33489.96,32684.0,33960.0,33760.94,664923.202
0.00162006,-0.01918515,1625270400,-0.00259771,-0.01918515,33760.94,33296.98,34948.16,34652.94,510614.258
-0.00003505,-0.01450883,1625356800,-0.00515568,-0.00123241,34653.32,34340.75,35955.55,35280.16,451001.556
0.00594551,-0.02647775,1625443200,-0.00763532,-0.00167398,35280.17,33032.0,35281.55,33672.72,736706.409
-0.00136744,-0.01992119,1625529600,-0.01795897,-0.00472242,33672.72,33500.0,35120.0,34206.01,644229.007
0.00748836,-0.01467189,1625616000,0.00187566,-0.01467189,34206.0,33756.48,35089.56,33845.64,456218.909
0.00712944,-0.03063747,1625702400,-0.01502113,0.00253462,33845.63,32066.0,33910.0,32852.04,650317.664
0.00104691,-0.01957703,1625788800,-0.01206821,-0.01833669,32855.0,32250.0,34100.0,33805.01,485662.879
