start_time,block_bytes,datetime
2022-04-08 08:00:00,1496816.14285714,2022-04-08 08:00:00
2022-04-08 09:00:00,1035551.5,2022-04-08 09:00:00
2022-04-08 10:00:00,1331885.4,2022-04-08 10:00:00
2022-04-08 11:00:00,1144501.5,2022-04-08 11:00:00
2022-04-08 12:00:00,1327625.6,2022-04-08 12:00:00
2022-04-08 13:00:00,1505935.66666667,2022-04-08 13:00:00
2022-04-08 14:00:00,1498321.75,2022-04-08 14:00:00
2022-04-08 15:00:00,1426102.0,2022-04-08 15:00:00
2022-04-08 16:00:00,1521378.72727273,2022-04-08 16:00:00
2022-04-08 17:00:00,1473613.83333333,2022-04-08 17:00:00
2022-04-08 18:00:00,1503511.0,2022-04-08 18:00:00
2022-04-08 19:00:00,1493539.85714286,2022-04-08 19:00:00
2022-04-08 20:00:00,1491979.88888889,2022-04-08 20:00:00
2022-04-08 21:00:00,1592379.5,2022-04-08 21:00:00
2022-04-08 22:00:00,1269493.14285714,2022-04-08 22:00:00
2022-04-08 23:00:00,1261848.4,2022-04-08 23:00:00
2022-04-09 00:00:00,1453992.0,2022-04-09 00:00:00
2022-04-09 01:00:00,1083890.0,2022-04-09 01:00:00
2022-04-09 02:00:00,833609.2,2022-04-09 02:00:00
2022-04-09 03:00:00,646616.33333333,2022-04-09 03:00:00
2022-04-09 04:00:00,523912.625,2022-04-09 04:00:00
2022-04-09 05:00:00,1405564.0,2022-04-09 05:00:00
2022-04-09 06:00:00,1197583.55555556,2022-04-09 06:00:00
2022-04-09 07:00:00,1438262.25,2022-04-09 07:00:00
2022-04-09 08:00:00,507243.0,2022-04-09 08:00:00
2022-04-09 09:00:00,847146.0,2022-04-09 09:00:00
2022-04-09 10:00:00,1274737.6,2022-04-09 10:00:00
2022-04-09 11:00:00,1164274.5,2022-04-09 11:00:00
2022-04-09 12:00:00,825824.66666667,2022-04-09 12:00:00
2022-04-09 13:00:00,928577.57142857,2022-04-09 13:00:00
2022-04-09 14:00:00,1141293.57142857,2022-04-09 14:00:00
2022-04-09 15:00:00,1251700.0,2022-04-09 15:00:00
2022-04-09 16:00:00,1211382.28571429,2022-04-09 16:00:00
2022-04-09 17:00:00,925159.0,2022-04-09 17:00:00
2022-04-09 18:00:00,1487790.4,2022-04-09 18:00:00
2022-04-09 19:00:00,662084.92307692,2022-04-09 19:00:00
2022-04-09 20:00:00,899987.71428571,2022-04-09 20:00:00
2022-04-09 21:00:00,718960.83333333,2022-04-09 21:00:00
2022-04-09 22:00:00,1482780.25,2022-04-09 22:00:00
2022-04-09 23:00:00,564588.0,2022-04-09 23:00:00
2022-04-10 00:00:00,657223.2,2022-04-10 00:00:00
2022-04-10 01:00:00,1455017.5,2022-04-10 01:00:00
2022-04-10 02:00:00,1138355.8,2022-04-10 02:00:00
2022-04-10 03:00:00,698887.0,2022-04-10 03:00:00
2022-04-10 04:00:00,729991.66666667,2022-04-10 04:00:00
2022-04-10 05:00:00,476918.42857143,2022-04-10 05:00:00
2022-04-10 06:00:00,637525.0,2022-04-10 06:00:00
2022-04-10 07:00:00,1115983.2,2022-04-10 07:00:00
2022-04-10 08:00:00,1327186.2,2022-04-10 08:00:00
2022-04-10 09:00:00,520596.5,2022-04-10 09:00:00
2022-04-10 10:00:00,761367.66666667,2022-04-10 10:00:00
2022-04-10 11:00:00,1048197.5,2022-04-10 11:00:00
2022-04-10 12:00:00,1210532.75,2022-04-10 12:00:00
2022-04-10 13:00:00,1175084.2,2022-04-10 13:00:00
2022-04-10 14:00:00,1141187.6,2022-04-10 14:00:00
2022-04-10 15:00:00,765743.0,2022-04-10 15:00:00
2022-04-10 16:00:00,880725.18181818,2022-04-10 16:00:00
2022-04-10 17:00:00,1381001.8,2022-04-10 17:00:00
2022-04-10 18:00:00,1490196.0,2022-04-10 18:00:00
2022-04-10 19:00:00,1651958.0,2022-04-10 19:00:00
2022-04-10 20:00:00,1300948.71428571,2022-04-10 20:00:00
2022-04-10 21:00:00,1350727.75,2022-04-10 21:00:00
2022-04-10 22:00:00,930035.28571429,2022-04-10 22:00:00
2022-04-10 23:00:00,857070.6,2022-04-10 23:00:00
2022-04-11 00:00:00,848719.75,2022-04-11 00:00:00
2022-04-11 01:00:00,1176164.75,2022-04-11 01:00:00
2022-04-11 02:00:00,569630.9,2022-04-11 02:00:00
2022-04-11 03:00:00,1132531.2,2022-04-11 03:00:00
2022-04-11 04:00:00,1190863.2,2022-04-11 04:00:00
2022-04-11 05:00:00,912206.0,2022-04-11 05:00:00
2022-04-11 06:00:00,1062439.5,2022-04-11 06:00:00
2022-04-11 07:00:00,1467692.5,2022-04-11 07:00:00
2022-04-11 08:00:00,1528519.5,2022-04-11 08:00:00
2022-04-11 09:00:00,1116238.0,2022-04-11 09:00:00
2022-04-11 10:00:00,1607313.5,2022-04-11 10:00:00
2022-04-11 11:00:00,1487694.83333333,2022-04-11 11:00:00
2022-04-11 12:00:00,1500834.57142857,2022-04-11 12:00:00
2022-04-11 13:00:00,1251697.85714286,2022-04-11 13:00:00
2022-04-11 14:00:00,1527810.0,2022-04-11 14:00:00
2022-04-11 15:00:00,1604854.14285714,2022-04-11 15:00:00
2022-04-11 16:00:00,1592930.83333333,2022-04-11 16:00:00
2022-04-11 17:00:00,1687988.2,2022-04-11 17:00:00
2022-04-11 18:00:00,1617591.8,2022-04-11 18:00:00
2022-04-11 19:00:00,1721378.0,2022-04-11 19:00:00
2022-04-11 20:00:00,1480371.66666667,2022-04-11 20:00:00
2022-04-11 21:00:00,1508109.5,2022-04-11 21:00:00
2022-04-11 22:00:00,1461974.6,2022-04-11 22:00:00
2022-04-11 23:00:00,1493888.11111111,2022-04-11 23:00:00
2022-04-12 00:00:00,1609615.28571429,2022-04-12 00:00:00
2022-04-12 01:00:00,905886.75,2022-04-12 01:00:00
2022-04-12 02:00:00,1175594.33333333,2022-04-12 02:00:00
2022-04-12 03:00:00,467454.81818182,2022-04-12 03:00:00
2022-04-12 04:00:00,1585494.66666667,2022-04-12 04:00:00
2022-04-12 05:00:00,1583938.6,2022-04-12 05:00:00
2022-04-12 06:00:00,1106542.0,2022-04-12 06:00:00
2022-04-12 07:00:00,1158991.72727273,2022-04-12 07:00:00
2022-04-12 08:00:00,1086894.0,2022-04-12 08:00:00
2022-04-12 09:00:00,1182053.11111111,2022-04-12 09:00:00
2022-04-12 10:00:00,1452551.4,2022-04-12 10:00:00
2022-04-12 11:00:00,778647.0,2022-04-12 11:00:00
2022-04-12 12:00:00,1487511.5,2022-04-12 12:00:00
2022-04-12 13:00:00,1689838.0,2022-04-12 13:00:00
2022-04-12 14:00:00,1523059.4,2022-04-12 14:00:00
2022-04-12 15:00:00,1227795.5,2022-04-12 15:00:00
2022-04-12 16:00:00,1237078.2,2022-04-12 16:00:00
2022-04-12 17:00:00,1492201.8,2022-04-12 17:00:00
