longAccount,longShortRatio,shortAccount,time,low,close,high,open,volume
52.97,1.13,47.03,1682208000.0,27279.7,27576.0,27807.3,27807.2,332082.355
53.52,1.15,46.48,1682294400.0,26919.3,27497.5,28000.0,27575.9,581268.268
53.06,1.13,46.94,1682380800.0,27176.6,28286.7,28379.9,27497.4,508254.515
52.89,1.12,47.11,1682467200.0,27200.0,28395.9,30048.2,28286.7,1284924.668
54.35,1.19,45.65,1682553600.0,28365.3,29459.0,29898.0,28396.0,952584.739
55.33,1.24,44.67,1682640000.0,28870.0,29300.0,29591.1,29459.0,508350.155
55.68,1.26,44.32,1682726400.0,29000.4,29212.7,29443.9,29300.0,218013.244
55.5,1.25,44.5,1682812800.0,29067.4,29223.0,29950.0,29212.7,417798.846
55.84,1.26,44.16,1682899200.0,27650.0,28054.4,29325.5,29223.0,624974.488
54.21,1.18,45.79,1682985600.0,27854.0,28656.5,28888.0,28054.5,513546.269
53.24,1.14,46.76,1683072000.0,28080.0,29018.4,29258.4,28656.4,676466.23
54.65,1.21,45.35,1683158400.0,28660.0,28826.0,29380.0,29018.4,426425.584
54.36,1.19,45.64,1683244800.0,28618.3,29491.5,29693.0,28826.0,578485.177
54.66,1.21,45.34,1683331200.0,28333.0,28837.8,29840.0,29491.5,475628.901
54.82,1.21,45.18,1683417600.0,28370.0,28419.4,29137.0,28837.9,308410.643
54.58,1.2,45.42,1683504000.0,27250.0,27659.8,28624.6,28419.5,658188.777
52.51,1.11,47.49,1683590400.0,27316.8,27610.2,27815.6,27659.8,367664.686
52.73,1.12,47.27,1683676800.0,26666.6,27582.9,28297.0,27610.2,722502.676
52.56,1.11,47.44,1683763200.0,26688.8,26956.4,27630.0,27583.0,538822.363
53.65,1.16,46.35,1683849600.0,25751.0,26785.1,27090.0,26956.4,615645.508
53.48,1.15,46.52,1683936000.0,26674.9,26762.7,27051.5,26785.2,242694.929
53.76,1.16,46.24,1684022400.0,26557.0,26901.9,27200.0,26762.8,247579.427
54.21,1.18,45.79,1684108800.0,26694.4,27152.5,27650.0,26901.9,450263.076
53.63,1.16,46.37,1684195200.0,26832.0,27024.8,27284.7,27152.5,373172.951
54.02,1.18,45.98,1684281600.0,26527.5,27395.8,27500.0,27024.7,490065.218
54.92,1.22,45.08,1684368000.0,26335.3,26809.3,27482.7,27395.7,544971.979
55.17,1.23,44.83,1684454400.0,26611.2,26870.1,27180.0,26809.4,324097.956
55.12,1.23,44.88,1684540800.0,26813.5,27089.5,27144.4,26870.1,137515.354
55.0,1.22,45.0,1684627200.0,26642.0,26732.8,27288.0,27089.6,238776.425
55.08,1.23,44.92,1684713600.0,26500.0,26840.2,27097.8,26732.8,328030.52
55.47,1.25,44.53,1684800000.0,26782.6,27209.9,27527.5,26840.2,369176.618
56.02,1.27,43.98,1684886400.0,26060.0,26313.8,27212.9,27209.9,535191.677
54.88,1.22,45.12,1684972800.0,25850.0,26461.8,26644.0,26313.9,394535.225
55.11,1.23,44.89,1685059200.0,26313.9,26689.9,26925.0,26461.7,324475.546
55.65,1.26,44.35,1685145600.0,26528.6,26841.6,26890.0,26689.8,163681.935
55.82,1.26,44.18,1685232000.0,26746.0,28055.7,28252.8,26841.6,440115.394
55.89,1.27,44.11,1685318400.0,27513.5,27722.0,28442.0,28055.8,411290.549
57.46,1.35,42.54,1685404800.0,27530.0,27680.1,28038.6,27722.1,334379.313
55.95,1.27,44.05,1685491200.0,26826.0,27201.1,27825.0,27680.0,471381.89
56.03,1.27,43.97,1685577600.0,26600.0,26805.3,27347.9,27201.1,404787.572
56.09,1.28,43.91,1685664000.0,26477.6,27227.8,27290.0,26805.3,391110.093
55.83,1.26,44.17,1685750400.0,26900.0,27054.9,27340.2,27227.8,182464.1
56.24,1.29,43.76,1685836800.0,26935.3,27102.4,27460.0,27054.9,218271.544
56.79,1.31,43.21,1685923200.0,25360.1,25714.7,27125.0,27102.4,700502.548
55.63,1.25,44.37,1686009600.0,25321.6,27221.5,27358.1,25714.6,731445.649
55.92,1.27,44.08,1686096000.0,26111.0,26325.9,27394.4,27221.5,660044.537
57.17,1.34,42.83,1686182400.0,26195.4,26485.9,26800.0,26325.9,333104.839
56.38,1.29,43.62,1686268800.0,26236.0,26468.1,26775.0,26486.0,283719.198
56.71,1.31,43.29,1686355200.0,25300.0,25826.6,26525.0,26468.2,608917.569
55.39,1.24,44.61,1686441600.0,25621.3,25909.9,26199.0,25826.6,279365.563
55.46,1.25,44.54,1686528000.0,25600.0,25894.8,26097.7,25910.0,298900.468
55.16,1.23,44.84,1686614400.0,25708.0,25918.0,26430.5,25894.8,434536.754
55.22,1.23,44.78,1686700800.0,24796.8,25115.9,26099.3,25918.0,464681.602
54.64,1.21,45.36,1686787200.0,24777.0,25586.1,25750.0,25115.9,473971.375
54.33,1.19,45.67,1686873600.0,25142.1,26336.0,26526.9,25586.0,533144.956
55.71,1.26,44.29,1686960000.0,26170.8,26508.9,26900.0,26335.9,305738.396
