o,h,c,l,t,close,low,open,high,volume
0.003138,0.005918,0.002833,-0.010372,1693267200,27700.1,25905.2,26106.5,28168.0,700233.946
0.002833,0.006907,0.002497,0.001503,1693353600,27290.4,26950.0,27700.1,27758.2,315313.916
0.002497,0.009456,0.000602,-0.001131,1693440000,25928.0,25617.8,27290.4,27674.3,502906.277
0.000602,0.010844,0.008259,-0.000608,1693526400,25795.6,25312.0,25928.0,26151.6,361184.924
0.008259,0.008541,0.006061,-0.000852,1693612800,25855.8,25740.6,25795.6,25975.0,107642.864
0.006061,0.006887,0.003135,-0.003233,1693699200,25962.1,25777.0,25855.8,26135.2,133016.832
0.003135,0.005975,0.00076,0.000106,1693785600,25814.0,25610.0,25962.1,26099.3,173147.873
0.00076,0.007369,0.002766,-0.001073,1693872000,25779.7,25531.2,25814.0,25900.0,186639.945
0.002766,0.006151,0.005195,-0.001405,1693958400,25747.4,25326.0,25779.7,26052.0,251122.66
0.005195,0.01048,-0.000145,-0.000849,1694044800,26240.7,25602.3,25747.4,26451.0,257349.902
-0.000145,0.005378,-0.002005,-0.00422,1694131200,25899.8,25630.0,26240.7,26437.5,249269.761
-0.002005,0.003115,0.000805,-0.003119,1694217600,25892.6,25781.5,25899.9,25940.6,67909.81
0.000805,0.005426,0.001731,-0.000662,1694304000,25828.4,25508.7,25892.6,26037.3,162972.413
0.001731,0.007397,0.001745,-0.003551,1694390400,25150.4,24888.0,25828.4,25895.0,427216.374
0.001745,0.008306,0.001772,-0.005307,1694476800,25825.8,25116.4,25150.4,26580.0,592049.678
0.001772,0.003793,-0.001072,-0.003094,1694563200,26209.9,25750.0,25825.8,26400.0,335252.718
-0.001072,0.004497,-0.00203,-0.007163,1694649600,26510.3,26106.6,26209.9,26880.0,380666.471
-0.00203,0.009616,-0.000147,-0.003323,1694736000,26591.1,26206.6,26510.3,26890.0,251656.77
-0.000147,0.003019,-0.000077,-0.003833,1694822400,26546.9,26430.0,26591.1,26763.5,140482.465
-0.000077,0.002778,-0.000149,-0.003904,1694908800,26514.2,26377.4,26547.0,26614.3,114239.394
-0.000149,0.0049,0.000352,-0.008092,1694995200,26749.9,26358.6,26514.2,27397.0,472539.032
0.000352,0.007252,-0.000852,-0.004774,1695081600,27196.0,26653.2,26749.9,27480.0,433511.747
-0.000852,0.002069,-0.001199,-0.004326,1695168000,27107.7,26740.0,27195.9,27381.0,348921.447
-0.001199,0.008515,-0.000879,-0.002497,1695254400,26552.6,26360.1,27107.7,27149.0,317992.869
-0.000879,0.005088,0.004922,-0.004417,1695340800,26566.7,26452.9,26552.6,26737.7,173534.648
0.004922,0.008374,0.000716,-0.001099,1695427200,26563.1,26492.2,26566.7,26620.6,57836.484
0.000716,0.007161,-0.002389,-0.002569,1695513600,26232.4,26081.0,26563.0,26739.9,146632.773
-0.002389,0.007612,-0.003634,-0.005087,1695600000,26290.5,25965.0,26232.4,26440.0,268385.836
-0.003634,0.007428,0.007368,-0.005523,1695686400,26208.8,26073.8,26290.5,26388.0,180491.169
0.007368,0.009809,0.003501,-0.001141,1695772800,26359.6,26050.0,26208.7,26849.9,353002.84
0.003501,0.007828,-0.002712,-0.007664,1695859200,27011.8,26325.2,26359.6,27308.7,429587.858
-0.002712,0.005375,0.003007,-0.004194,1695945600,26890.9,26625.0,27011.7,27231.5,277397.643
0.003007,0.005522,-0.000087,-0.001744,1696032000,26950.9,26870.4,26890.9,27085.0,92317.154
-0.000087,0.005647,0.005302,-0.0031,1696118400,27981.4,26939.0,26951.0,28365.2,240382.946
0.005302,0.009005,0.005937,-0.00596,1696204800,27477.6,27255.0,27981.4,28613.0,593277.72
0.005937,0.008543,0.0063,0.000464,1696291200,27412.0,27123.0,27477.7,27665.0,283077.899
0.0063,0.0063,0.000046,-0.000663,1696377600,27759.8,27163.9,27412.0,27830.0,280784.322
0.000046,0.002711,0.000272,-0.006235,1696464000,27398.4,27333.5,27759.7,28110.0,370190.087
0.000272,0.004811,0.001967,-0.004686,1696550400,27916.3,27156.0,27398.3,28450.0,438445.904
0.001967,0.004408,-0.000112,-0.002387,1696636800,27943.0,27822.1,27916.3,28018.7,117049.145
-0.000112,0.005547,0.001937,-0.001362,1696723200,27901.2,27671.0,27943.0,28082.0,178380.307
0.001937,0.008637,0.007124,-0.001173,1696809600,27578.3,27250.0,27901.2,27977.0,314316.581
0.007124,0.007378,0.006981,0.001295,1696896000,27381.2,27281.0,27578.4,27727.3,239779.496
0.006981,0.011093,0.010873,0.003338,1696982400,26864.5,26525.0,27381.3,27467.6,388186.571
0.010873,0.010873,0.005129,0.002129,1697068800,26744.0,26534.8,26864.5,26939.0,220279.04
0.005129,0.006309,0.001953,0.000451,1697155200,26849.8,26670.1,26744.0,27120.8,243222.154
0.001953,0.006868,-0.000153,-0.001624,1697241600,26836.3,26773.1,26849.7,26986.4,82164.781
-0.000153,0.006842,-0.000948,-0.001541,1697328000,27139.8,26790.4,26836.4,27456.1,160000.462
-0.000948,0.011027,0.001828,-0.006738,1697414400,28486.3,27095.4,27139.8,30720.0,823003.782
0.001828,0.004293,-0.003383,-0.006637,1697500800,28381.9,28055.0,28486.3,28605.0,314189.758
-0.003383,0.002192,0.000409,-0.003586,1697587200,28307.1,28126.6,28382.0,29100.0,297176.628
0.000409,0.002193,-0.007025,-0.010118,1697673600,28696.9,28076.0,28307.2,28933.4,333673.207
-0.007025,0.007857,-0.001445,-0.011745,1697760000,29653.0,28560.0,28697.0,30243.0,551005.327
-0.001445,0.00582,0.001263,-0.003246,1697846400,29895.4,29443.5,29653.0,30374.6,258195.956
0.001263,0.0083,0.00816,-0.00074,1697932800,29981.5,29606.6,29895.4,30229.7,198602.758
0.00816,0.010757,0.006868,-0.002719,1698019200,33074.0,29869.4,29981.4,35981.9,987741.536
0.006868,0.025411,0.0123,0.006868,1698105600,33917.0,32833.5,33074.0,35300.0,921993.063
0.0123,0.014258,0.009754,0.008353,1698192000,34487.7,33660.6,33917.0,35154.3,465367.144
0.009754,0.014087,0.011575,0.009754,1698278400,34154.0,33750.0,34487.8,34828.7,339552.964
0.011575,0.016393,0.009672,0.007573,1698364800,33893.1,33350.0,34154.0,34253.3,278052.978
0.009672,0.01418,0.012672,0.009161,1698451200,34086.6,33867.4,33893.2,34535.8,138314.932
0.012672,0.017515,0.012682,0.00585,1698537600,34528.6,33933.0,34086.7,34773.8,175897.55
0.012682,0.014991,0.009512,0.009231,1698624000,34483.8,34050.0,34528.6,34888.2,281841.348
0.009512,0.0176,0.010115,0.007408,1698710400,34651.4,34016.8,34483.8,34744.7,272450.567
0.010115,0.017263,0.015419,0.008144,1698796800,35437.4,34076.0,34651.4,35734.0,469214.787
0.015419,0.015762,0.007407,0.006206,1698883200,34940.1,34300.0,35437.5,35999.9,410221.727
0.007407,0.010354,0.006729,0.003086,1698969600,34700.4,34123.0,34940.1,34944.9,306048.199
0.006729,0.012568,0.009072,0.006729,1699056000,35069.7,34571.6,34700.5,35270.0,140746.874
0.009072,0.015994,0.013544,0.009072,1699142400,35025.5,34356.0,35069.7,35455.2,231363.339
0.013544,0.01709,0.010179,0.009441,1699228800,35057.4,34743.2,35025.5,35299.9,202227.215
0.010179,0.015876,0.013285,0.008906,1699315200,35406.5,34520.3,35057.5,35921.7,343525.95
0.013285,0.016554,0.010906,0.008795,1699401600,35626.7,35073.0,35406.5,36150.0,334779.449
0.010906,0.054636,0.012917,0.006533,1699488000,36719.5,35304.0,35626.7,38499.9,778877.937
0.012917,0.041164,0.017189,0.011737,1699574400,37330.4,36350.0,36719.6,37570.0,299373.892
0.017189,0.024795,0.020587,0.01347,1699660800,37162.1,36588.0,37330.3,37422.2,159239.284
0.020587,0.036577,0.032028,0.020587,1699747200,37085.5,36753.6,37162.1,37258.4,118890.045
0.032028,0.032028,0.014759,0.014566,1699833600,36486.2,36350.0,37085.6,37464.8,257075.648
0.014759,0.021715,0.00821,0.008152,1699920000,35559.0,34446.3,36486.2,36779.9,397265.8
0.00821,0.016229,0.013271,0.007119,1700006400,37885.6,35388.0,35559.1,38000.0,423818.57
0.013271,0.019556,0.008388,0.006313,1700092800,36176.0,35486.1,37885.5,37956.5,434444.366
0.008388,0.01477,0.008807,0.007179,1700179200,36621.9,35868.3,36176.0,37020.5,319943.051
0.008807,0.011928,0.009528,0.007342,1700265600,36580.9,36196.0,36621.9,36900.0,121720.922
0.009528,0.015464,0.01103,0.008434,1700352000,37375.9,36380.0,36580.9,37528.2,154713.007
0.01103,0.017203,0.009217,0.008242,1700438400,37462.5,36600.0,37375.8,37784.7,310504.037
0.009217,0.01047,0.009362,0.006921,1700524800,35737.0,35720.0,37462.6,37675.0,450731.16
0.009362,0.01164,0.011242,0.001855,1700611200,37413.4,35610.7,35737.0,37880.0,338189.618
0.011242,0.014752,0.010329,0.005697,1700697600,37294.3,36856.3,37413.5,37650.0,185369.931
0.010329,0.014771,0.006153,0.006074,1700784000,37706.3,37257.3,37294.4,38425.0,351031.723
0.006153,0.012017,0.008866,0.006153,1700870400,37766.6,37570.9,37706.3,37886.5,82589.329
0.008866,0.011883,0.009756,0.005068,1700956800,37437.9,37126.0,37766.7,37807.6,173758.644
0.009756,0.013306,0.010801,0.005591,1701043200,37234.3,36700.0,37437.9,37560.0,266112.699
0.010801,0.010936,0.008085,0.007322,1701129600,37812.1,36856.0,37234.4,38395.0,318426.327
0.008085,0.012884,0.009229,0.003478,1701216000,37837.1,37551.8,37812.0,38500.0,261631.881
