t,l,h,o,c,high,low,open,close,volume
1618358400,37015.46,38539.93,38443.34,37015.46,64986.11,61404.0,63645.05,63019.1,323454.88
1618444800,35980.22,37337.59,36661.12,36283.65,63905.83,62157.89,63018.34,63232.55,178604.198
1618531200,34808.28,39393.2,36184.45,34808.28,63600.0,60100.0,63232.56,61424.67,255765.893
1618617600,33836.7,35995.88,34775.24,35320,62610.0,59620.0,61424.67,60090.14,194112.299
1618704000,28184.97,36458.44,35248.86,28184.97,60450.0,50050.0,60090.14,56140.05,522006.276
1618790400,26591.61,29085.13,28350.64,27195.87,57532.7,54200.0,56140.05,55634.39,285041.716
1618876800,27155.08,29776.95,27155.08,28349.74,57060.0,53330.82,55634.38,56410.56,324494.085
1618963200,27532.43,28743.58,28209.51,28248.03,56756.78,53610.0,56411.25,53800.0,252601.972
1619049600,28570.06,31428.13,28622.57,31355.92,55470.51,50534.34,53794.72,51714.61,453489.185
1619136000,31157.82,34918.04,31301.11,32214.65,52152.0,47546.16,51714.62,51122.62,554666.026
1619222400,32204.4,33908.76,32204.4,32976.93,51183.51,48690.0,51122.63,50092.4,299663.131
1619308800,33062.02,34238.51,33548.36,33116.17,50577.9,46930.43,50094.27,49063.94,310306.501
1619395200,28248.73,32706.46,32706.46,28248.73,54364.89,48763.0,49063.94,53984.33,390494.148
1619481600,27843.95,29672.15,28276.24,27874.44,55500.0,53225.14,53984.34,55006.25,225440.361
1619568000,27741.52,28757.95,27768.41,28653.47,56574.13,53852.0,55006.25,54861.77,263170.559
1619654400,28001.09,31087.43,28432.01,30592.6,55222.02,52350.0,54861.76,53558.8,257045.19
1619740800,29806.05,32961.13,30354.28,32442.31,57935.0,53043.62,53558.57,57684.16,294683.751
1619827200,31957.51,33838.17,31975.96,32404.52,58488.17,57051.23,57688.29,57836.34,207854.398
1619913600,32521.48,34060.62,32521.48,33192.26,57959.97,56100.0,57836.35,56630.33,203712.515
1620000000,32019.91,35395.51,33261.27,34983.02,59056.59,56500.65,56630.34,57214.83,271733.972
1620086400,33033.58,35710.82,34863.07,33686.72,57253.76,53094.59,57214.84,53263.32,388988.754
1620172800,31118.64,33759.46,33759.46,31118.64,57940.0,52880.38,53263.32,57497.77,317811.705
1620259200,31185.04,33866.61,31190.95,33376.07,58450.0,55297.91,57497.76,56435.35,275471.204
1620345600,31431.69,33440.33,33270.3,31719.41,58800.0,55300.0,56435.35,57350.88,256159.504
1620432000,30933.67,34446.16,31712.64,33071.27,59590.96,56961.25,57350.89,58924.98,264906.729
1620518400,32099.62,33807.34,32949.64,32099.62,59335.19,56316.0,58926.36,58292.53,245954.014
1620604800,31379.67,36749.12,31792.5,35848.05,59654.0,53250.0,58292.53,55869.67,396237.133
1620691200,32264.64,34121.24,32823.2,32356.29,56908.66,54541.33,55869.41,56710.43,267226.104
1620777600,30736.01,35611.92,32116.59,34474.3,58049.99,48503.74,56712.7,49595.76,472329.152
1620864000,30118.86,34424.34,31697.77,33772.34,51358.0,45596.32,49596.75,49707.9,652476.689
1620950400,32568.48,34292.93,34162.82,32699.26,51533.0,48870.41,49706.27,49873.27,319069.002
