o,c,t,h,l,volume,close,open,high,low
13420645498,13390250042,1632700800.0,13730165267,13353362369,285311.606,42122.69,43150.01,44350.0,42059.13
13174879545,13245971711,1632787200.0,13382326890,13171937058,359745.538,41006.32,42122.69,42749.0,40854.0
13049053511,13201492768,1632873600.0,13234112771,12942093644,293307.589,41499.71,41002.96,42576.8,40708.73
13230797980,13553565384,1632960000.0,13677619886,13202702367,389185.646,43796.57,41499.7,44100.0,41387.78
13595673447,14921619295,1633046400.0,14994391167,13546516563,449491.768,48123.94,43799.49,48450.0,43260.01
15015794448,15304418034,1633132800.0,15335671196,14961226480,182565.988,47626.61,48123.93,48338.68,47410.0
15229132135,15336579177,1633219200.0,15611782830,15061978347,212410.375,48187.3,47626.62,49304.12,47071.26
15428230324,15813321867,1633305600.0,15908308455,15278648244,324424.837,49198.22,48187.99,49544.48,46885.29
15903095186,17075703699,1633392000.0,17153023549,15903095186,314043.813,51455.12,49199.78,51888.0,49009.21
17122566962,17875970385,1633478400.0,17920225467,17030884656,418731.748,55321.6,51460.22,56416.02,50410.0
17954037388,18278090466,1633564800.0,18449261059,17864770328,262974.545,53814.99,55327.45,55337.8,53374.34
18236953958,18275378742,1633651200.0,18825811743,18232563633,255210.035,53975.0,53814.99,56208.73,53647.3
18263584715,18734388660,1633737600.0,18968952167,18263584715,167495.393,54960.77,53974.99,55589.0,53656.66
18720194863,19066181411,1633824000.0,19340167889,18665876878,289072.818,54700.0,54960.79,56789.0,54101.0
19108858210,20292106520,1633910400.0,20474800242,19108858210,314868.05,57500.01,54700.0,57880.0,54458.0
20332103929,20093001366,1633996800.0,20578249432,19812559712,349147.775,56011.84,57500.01,57756.52,53750.0
19915784630,20380446778,1634083200.0,20401378325,19853573909,327714.318,57393.65,56011.83,57822.38,54271.24
20394471798,20665902752,1634169600.0,20942813286,20394471798,254719.751,57378.19,57393.65,58586.67,56800.0
20594935418,22396491637,1634256000.0,22793673145,20541238169,493366.513,61702.33,57377.12,63997.61,56900.0
22415624820,22603603871,1634342400.0,22871123660,22290715385,213251.899,60925.56,61702.33,62444.23,60220.0
22626670658,22850077997,1634428800.0,22973809858,22272318623,240132.514,61571.45,60925.56,61796.47,58850.0
22920875588,22982689273,1634515200.0,23281029732,22830659548,333278.481,62037.92,61571.45,62800.0,59897.61
22996793737,24365137207,1634601600.0,24429566370,22955795931,379243.718,64316.7,62037.92,64500.0,61300.0
24470228739,25988191368,1634688000.0,26463679154,24412078103,324737.868,66064.24,64314.75,67150.0,63518.81
26001757630,25719814855,1634774400.0,27333595883,25719814855,478610.458,62260.33,66064.25,66750.0,62000.0
25757530006,25746292995,1634860800.0,26279233021,25746292995,350359.527,60734.27,62260.33,63796.2,60011.9
25409041694,25317248451,1634947200.0,25522257875,25246538174,222553.478,61325.11,60734.28,61780.0,59622.0
25369955196,25356141623,1635033600.0,25475365462,25143015080,245816.821,60902.82,61325.09,61550.0,59504.46
25400038721,26252263715,1635120000.0,26252263715,25317823081,234201.1,63127.04,60902.82,63795.98,60701.0
26397028675,26143524077,1635206400.0,26414895514,25948083414,252256.924,60358.75,63129.25,63362.06,59838.05
26203351341,24351798809,1635292800.0,26206992668,24351798809,329112.396,58449.36,60358.74,61550.0,57865.0
24233003252,24248991573,1635379200.0,24264875477,23518069163,333323.116,60622.03,58449.36,62641.26,57550.0
24070171632,24280562546,1635465600.0,24484814094,23565318923,218355.773,62308.22,60622.02,63069.71,60222.0
24280711200,24041347314,1635552000.0,24280711200,23986702811,156041.523,61895.19,62308.21,62415.85,60631.23
24129495219,24685662080,1635638400.0,24730903810,24129495219,183599.524,61348.61,61895.19,62462.99,60008.0
24669987139,24842282387,1635724800.0,24911424411,24303810665,246158.361,60942.87,61347.14,62543.58,59400.0
24407807018,25494436736,1635811200.0,25892044883,24288635655,217592.062,63266.69,60942.87,64349.55,60659.58
25551187353,24843097836,1635897600.0,25633638890,24746194139,211190.183,62946.45,63266.69,63613.0,60300.0
24869638193,24386195626,1635984000.0,24900789153,24368595827,184677.079,61431.86,62946.45,63149.0,60703.0
24423853577,24181162176,1636070400.0,24423853577,24115307890,157569.637,61006.0,61433.9,62671.48,60762.0
24224685295,24285187008,1636156800.0,24383138216,24184117118,154919.118,61511.3,61006.0,61645.75,60100.0
24322590251,24534806745,1636243200.0,24596718054,24322590251,142878.208,63316.4,61511.3,63377.58,61368.26
25979588818,26972610094,1636329600.0,26972610094,25979588818,274932.146,67606.96,63316.4,67932.89,63308.7
27378352678,27422140969,1636416000.0,27780821706,27294903956,231843.834,67009.98,67606.96,68675.16,66300.0
27287760787,28232380897,1636502400.0,30225792832,27287760787,347835.573,64920.13,67010.65,69198.7,62400.51
28087369127,25347636671,1636588800.0,28087369127,25321306769,178279.275,64831.3,64920.13,65646.98,64147.12
25248161100,24944679046,1636675200.0,25284297421,24944679046,264576.325,64156.08,64831.2,65500.0,62313.0
24962055645,24996578083,1636761600.0,25302118932,24867204179,124466.493,64427.0,64156.08,65073.24,63430.01
25055737275,25430536060,1636848000.0,25430536060,25055737275,146424.701,65568.39,64426.99,65569.99,63640.0
25687582396,25940824766,1636934400.0,26142889105,25687582396,210026.602,63654.49,65568.38,66395.05,63351.58
25906340467,24336848267,1637020800.0,25906340467,24144172433,475025.706,60106.03,63654.49,63655.77,58397.14
24193426306,24098096093,1637107200.0,24614422718,24098096093,287388.873,60366.96,60106.03,60848.85,58336.68
24219754567,23494341542,1637193600.0,24622050521,23494341542,412021.672,56921.05,60366.97,60999.0,56505.48
23617162226,23471082925,1637280000.0,23792455203,23213324441,245356.121,58069.51,56921.04,58333.0,55604.0
