start_time,datetime,range_0_1_percent,range_0_1_usd,range_100_1k_percent,range_100_1k_usd,range_100k_1M_percent,range_100k_1M_usd,range_10_100_percent,range_10_100_usd,range_10k_100k_percent,range_10k_100k_usd,range_1M_inf_percent,range_1M_inf_usd,range_1_10_percent,range_1_10_usd,range_1k_10k_percent,range_1k_10k_usd
2021-12-20 15:00:00,2021-12-20 15:00:00,0.00125233,5773088.13376926,0.71751394,3307648310.4418387,12.56638922,57929461451.46121,0.14526261,669642224.9340425,7.30265635,33664320120.087994,76.61614959,353190737991.7824,0.01098493,50639115.92635469,2.63979102,12169102013.475643
2021-12-20 16:00:00,2021-12-20 16:00:00,0.00125266,5773417.92198366,0.71783571,3308442459.4507766,12.56796384,57924654416.32799,0.14532031,669768677.1577607,7.30395748,33663306035.187824,76.61273403,353101440896.97437,0.01098824,50643824.92011646,2.63994772,12167289907.123465
2021-12-20 17:00:00,2021-12-20 17:00:00,0.00125285,5773718.34487529,0.71822392,3309907846.7392273,12.57041848,57930299406.75227,0.14535619,669868539.2593323,7.30551949,33667210988.858055,76.60745143,353042550133.3968,0.01098958,50645075.25187522,2.64078805,12169972119.04489
2021-12-20 18:00:00,2021-12-20 18:00:00,0.00125325,5775006.08011782,0.7181642,3309316830.1215553,12.57631574,57951946623.88105,0.14524987,669314691.3561071,7.30601406,33666277591.61517,76.60103786,352979310345.3943,0.0109854,50620968.25848289,2.64097962,12169693647.530931
2021-12-20 19:00:00,2021-12-20 19:00:00,0.0012533,5775260.69207841,0.71824012,3309678487.4557343,12.57278123,57935866495.47127,0.14521942,669176760.608467,7.30627241,33667588350.89993,76.60447543,352996411806.5652,0.01098498,50619203.16099789,2.64077311,12168785518.709366
2021-12-20 20:00:00,2021-12-20 20:00:00,0.00125327,5775469.42029897,0.71843942,3310810338.01349,12.57023954,57927888700.49958,0.14521878,669216934.4278134,7.30717121,33673900894.25785,76.60536774,353023281869.64575,0.01098561,50625380.58241361,2.64132444,12172110773.239502
2021-12-20 21:00:00,2021-12-20 21:00:00,0.00125328,5775492.67737881,0.71856641,3311381794.382401,12.57649373,57956469680.92772,0.14524068,669315114.7490537,7.3073576,33674620124.30911,76.59841773,352989789406.36957,0.01098665,50629957.08196346,2.64168392,12173716898.010796
2021-12-20 22:00:00,2021-12-20 22:00:00,0.00125329,5775482.62169845,0.71871324,3312012989.762321,12.57464043,57947134115.14026,0.14524407,669321513.4230685,7.30935363,33683356385.241932,76.59793905,352982741085.49335,0.0109878,50634567.67698143,2.6418685,12174400442.233042
2021-12-20 23:00:00,2021-12-20 23:00:00,0.00125329,5775512.57959932,0.71890947,3312941290.994263,12.57597536,57953705815.20089,0.1452691,669441738.5994077,7.30952418,33684386427.894432,76.59578024,352975350853.90936,0.01098844,50637865.33590223,2.64229993,12176476850.179031
2021-12-21 00:00:00,2021-12-21 00:00:00,0.0012533,5775606.89073422,0.71899715,3313364643.4218163,12.57864513,57966346678.31979,0.1452623,669414301.1220404,7.31053613,33689246121.622124,76.59192107,352959623447.4671,0.01098858,50638818.74270684,2.64239633,12176992053.929192
2021-12-21 01:00:00,2021-12-21 01:00:00,0.00125317,5775055.06666066,0.71920336,3314336381.389577,12.58028761,57974290956.11607,0.14529205,669555735.3135785,7.31172426,33694939476.64525,76.58830582,352945247725.35956,0.01098909,50641493.06849279,2.64294464,12179597671.267927
2021-12-21 02:00:00,2021-12-21 02:00:00,0.00125317,5775055.06666066,0.71920336,3314336381.389577,12.58028761,57974290956.11607,0.14529205,669555735.3135785,7.31172426,33694939476.64525,76.58830582,352945247725.35956,0.01098909,50641493.06849279,2.64294464,12179597671.267927
2021-12-21 03:00:00,2021-12-21 03:00:00,0.00125303,5775112.16209744,0.71896066,3313621017.416619,12.58498303,58002985226.773155,0.14530865,669713696.6484362,7.30832075,33683352599.1467,76.58831438,352988228775.94,0.01099034,50653412.69578256,2.64186916,12176122719.918594
2021-12-21 04:00:00,2021-12-21 04:00:00,0.00125325,5776595.09541054,0.71918112,3314923013.524354,12.58362675,58001736859.38765,0.14539548,670171689.3745297,7.31008004,33694367073.51018,76.58721028,353013587138.8481,0.01099072,50659534.37445624,2.64226238,12178985446.50834
2021-12-21 05:00:00,2021-12-21 05:00:00,0.00125308,5775957.31635367,0.71928883,3315487201.2132473,12.58478712,58008270161.60769,0.14543388,670362363.228428,7.31166023,33702339005.230934,76.58549363,353012884763.0115,0.01099099,50661818.7717253,2.64109225,12173840641.478262
2021-12-21 06:00:00,2021-12-21 06:00:00,0.00125309,5776022.07739699,0.7192699,3315409130.205337,12.58401711,58004881314.56018,0.14545642,670468130.0888748,7.31387621,33712646566.688152,76.5839813,353006890022.76953,0.01099112,50662579.08293087,2.64115484,12174162818.35006
2021-12-21 07:00:00,2021-12-21 07:00:00,0.00125305,5775955.109347,0.71923442,3315312587.3240056,12.5858791,58014636504.78661,0.14545966,670496590.9972727,7.31555517,33721067138.24034,76.58035365,352997303266.2055,0.01099141,50664928.99292312,2.64127354,12174956018.51714
2021-12-21 08:00:00,2021-12-21 08:00:00,0.00125309,5776461.83033873,0.71903071,3314571403.336485,12.58953094,58034932938.0041,0.14539384,670233205.0295393,7.31956421,33741560346.37536,76.57331916,352985942426.31683,0.01099127,50667291.99922973,2.64091679,12174038072.44163
2021-12-21 09:00:00,2021-12-21 09:00:00,0.0012531,5776492.59591549,0.71912826,3315022088.6683993,12.58909101,58032922811.484505,0.1454155,670333274.002055,7.32112275,33748755253.421803,76.57194347,352979709347.1299,0.01099202,50670797.96462616,2.64105389,12174673799.26719
2021-12-21 10:00:00,2021-12-21 10:00:00,0.00125304,5776513.07663878,0.71908899,3314988643.359398,12.58606673,58021564839.05515,0.14541547,670362992.8016372,7.32086457,33749067731.980156,76.57544812,353011582065.98785,0.01099184,50672224.22742674,2.64087123,12174373798.938637
2021-12-21 11:00:00,2021-12-21 11:00:00,0.00125256,5776519.26072015,0.71891076,3315456033.953304,12.5828479,58029287047.39771,0.14539179,670514508.4341183,7.318186,33749841024.46584,76.58285188,353183025857.1049,0.01098835,50675819.73820238,2.63957076,12173111400.872814
2021-12-21 12:00:00,2021-12-21 12:00:00,0.00125254,5776620.1643377,0.71905876,3316245118.344497,12.58548606,58043318358.69446,0.14543044,670714303.7674136,7.31993555,33758994101.420437,76.57814284,353172654803.1779,0.01098954,50682954.85404476,2.63970426,12174118177.523466
2021-12-21 13:00:00,2021-12-21 13:00:00,0.00125256,5776867.75103105,0.71915285,3316771344.7775164,12.58303642,58033635619.35947,0.14551424,671119439.2908804,7.32036759,33761926051.969273,76.57985299,353190369486.8079,0.01099415,50705606.99551418,2.6398292,12175033168.08163
2021-12-21 14:00:00,2021-12-21 14:00:00,0.00125257,5776942.25637119,0.71907458,3316428700.889665,12.58013503,58020575140.54064,0.14550971,671102258.3298858,7.3202942,33761774330.23069,76.58276334,353205745739.22986,0.01099424,50706305.31698614,2.63997632,12175779038.906754
2021-12-21 15:00:00,2021-12-21 15:00:00,0.00125274,5777190.44452579,0.71905977,3316060280.1023173,12.58581312,58041510554.30485,0.14553493,671157861.9620801,7.32215902,33767319283.784416,76.57483516,353137223604.8325,0.01099504,50705417.7496243,2.64035022,12176401598.559595
2021-12-21 16:00:00,2021-12-21 16:00:00,0.00125269,5777097.08884188,0.71920514,3316809693.6215467,12.58489492,58038658429.92134,0.14556685,671321055.5720725,7.32270055,33770620952.413,76.57489784,353145923529.0123,0.01099508,50706813.816063,2.64048692,12177322072.557112
2021-12-21 17:00:00,2021-12-21 17:00:00,0.0012527,5777284.7567154,0.71939995,3317779517.5462685,12.58730402,58051017815.101555,0.14561342,671550270.0244695,7.32298701,33772668781.61495,76.57155016,353138083918.2371,0.01099614,50712752.47963005,2.6408966,12179473503.80459
2021-12-21 18:00:00,2021-12-21 18:00:00,0.00125294,5778442.18919679,0.71918421,3316798592.7265444,12.58437984,58037778022.30363,0.1456411,671680744.3480992,7.32647759,33788910184.629795,76.57134788,353138648626.75586,0.01099778,50720546.04914756,2.64071866,12178704511.66131
2021-12-21 19:00:00,2021-12-21 19:00:00,0.001253,5778538.79644315,0.71934414,3317455285.978076,12.58545112,58041303159.095345,0.14567266,671809942.7862775,7.32794234,33794841290.05288,76.56817452,353115401837.35583,0.01099991,50729138.89228268,2.64116231,12180453517.13477
2021-12-21 20:00:00,2021-12-21 20:00:00,0.00125297,5778645.35374534,0.71949976,3318303054.596717,12.58631813,58047577603.893715,0.14564925,671728315.7902691,7.32922919,33802101282.560112,76.5656286,353117505883.4945,0.01099891,50726537.29521352,2.64142318,12182134241.649351
2021-12-21 21:00:00,2021-12-21 21:00:00,0.00125296,5778699.54818086,0.71959195,3318794778.5587945,12.58039859,58021440274.86894,0.14566047,671793499.74485,7.32928218,33803023408.103268,76.57108997,353149774273.21045,0.01099909,50728366.09814435,2.64172479,12183769553.46527
2021-12-21 22:00:00,2021-12-21 22:00:00,0.0012527,5778358.36046768,0.71978133,3320144345.9129214,12.59101727,58078742520.90436,0.14571835,672156865.6029662,7.32788162,33801411010.174137,76.56139932,353155722396.479,0.0109994,50737057.47888892,2.64195001,12186555768.631428
2021-12-21 23:00:00,2021-12-21 23:00:00,0.00125271,5778467.4697673,0.71989815,3320723832.351769,12.59202227,58084089189.62625,0.14576941,672400600.2620772,7.3277005,33800989272.860058,76.56029435,353154947776.1752,0.01100073,50743822.3196962,2.64206188,12187220964.763908
2021-12-22 00:00:00,2021-12-22 00:00:00,0.00125271,5778523.7303927,0.72000591,3321248226.75222,12.58909678,58071072789.640495,0.14579022,672502144.9106324,7.32905654,33807522738.46659,76.56139087,353162913935.4892,0.01100164,50748457.00604886,2.64240534,12188905636.148388
2021-12-22 01:00:00,2021-12-22 01:00:00,0.00125251,5778558.05451861,0.72001498,3321860213.586151,12.58765358,58074382615.912,0.14581043,672710816.4917722,7.32808949,33808864388.0539,76.56396416,353235408006.8856,0.0110009,50753732.40355662,2.64221394,12190114907.084385
2021-12-22 02:00:00,2021-12-22 02:00:00,0.00125255,5778984.3121498,0.72001806,3321989316.883894,12.58560705,58066949562.02071,0.14582142,672784797.2130073,7.32851787,33812010476.514797,76.56550062,353254717557.1662,0.01100119,50756817.95236821,2.64228124,12190847140.191832
2021-12-22 03:00:00,2021-12-22 03:00:00,0.00125251,5779005.93722753,0.72013391,3322643795.5490384,12.58828262,58081391053.69072,0.14585318,672955601.5196812,7.3285521,33813389251.76876,76.56237926,353253070694.8661,0.01100169,50760985.97965337,2.64254473,12192503024.21159
2021-12-22 04:00:00,2021-12-22 04:00:00,0.00125256,5779514.62865209,0.72080938,3325927614.841844,12.58874915,58086464236.52813,0.14601463,673734430.9393425,7.32921071,33818128452.319412,76.5595788,353257911605.92206,0.01100361,50772387.58500363,2.64338115,12196975457.638994
2021-12-22 05:00:00,2021-12-22 05:00:00,0.00125267,5779998.82682397,0.72075111,3325641481.129353,12.58904296,58087518768.14963,0.1460252,673779684.1831682,7.32926801,33818217523.53644,76.55903637,353253577372.8632,0.01100404,50774126.15334653,2.64361964,12198012650.284525
2021-12-22 06:00:00,2021-12-22 06:00:00,0.00125272,5780239.57461592,0.72072984,3325569454.2396536,12.58981721,58091547321.30148,0.14602253,673772687.0431229,7.32926955,33818490104.49804,76.5583289,353253086313.2319,0.01100395,50774088.61435389,2.6435753,12197903820.29373
2021-12-22 07:00:00,2021-12-22 07:00:00,0.00125255,5779763.18790056,0.7207832,3325978867.729202,12.59105566,58100112254.319145,0.14604032,673887797.6192144,7.33003873,33823698724.43603,76.55596565,353259513532.07605,0.01100517,50782212.92993377,2.64385872,12199810116.527723
2021-12-22 08:00:00,2021-12-22 08:00:00,0.00125237,5779813.24619369,0.72083573,3326731043.708911,12.59348315,58120220397.00641,0.14603526,673967761.4410721,7.32747985,33817073356.44165,76.55694251,353318166053.33795,0.01100405,50784810.58379008,2.64296708,12197564984.523096
2021-12-22 09:00:00,2021-12-22 09:00:00,0.00125239,5779876.25465059,0.72064874,3325836269.2361207,12.59671721,58134589902.74928,0.14594781,673557694.7957685,7.32756347,33817135870.06559,76.55563362,353308746390.74243,0.01100392,50783721.32147957,2.64123284,12189444720.80357
2021-12-22 10:00:00,2021-12-22 10:00:00,0.00125217,5778838.90144475,0.72077455,3326414062.015062,12.59248698,58115017965.92309,0.14596292,673626889.2114956,7.3273566,33816152552.958908,76.55946531,353326130900.3322,0.01099955,50763547.27899503,2.64170192,12191599207.820198
2021-12-22 11:00:00,2021-12-22 11:00:00,0.00125198,5778095.14890447,0.72110011,3327994783.418968,12.5937022,58121992486.87393,0.1459908,673771389.9378226,7.32905,33824762760.642612,76.55558843,353316543906.11707,0.01100031,50768221.9375627,2.64231617,12194720699.166866
2021-12-22 12:00:00,2021-12-22 12:00:00,0.00125211,5777847.52446409,0.72125898,3328245128.5122433,12.59187064,58105109524.28865,0.14591978,673345933.7170334,7.33085917,33828204517.391693,76.55462424,353260842187.6486,0.01099425,50732898.61600616,2.64322083,12197126223.107698
2021-12-22 13:00:00,2021-12-22 13:00:00,0.00125219,5777962.44238194,0.72147995,3329121646.622386,12.59535443,58118686666.11363,0.14597993,673594518.0061074,7.33134683,33829000356.294334,76.5502787,353225602946.1236,0.01099694,50743108.59057634,2.64331104,12197018102.45591
2021-12-22 14:00:00,2021-12-22 14:00:00,0.00125212,5778112.22971241,0.72095824,3326986234.9778976,12.58764902,58087879020.074394,0.14603652,673910705.310074,7.33154635,33832686020.82908,76.55824192,353291221152.5856,0.01100111,50766503.89664952,2.64331473,12198032056.145117
2021-12-22 15:00:00,2021-12-22 15:00:00,0.00125222,5778258.32303683,0.72097319,3326868132.563822,12.56605899,57984987145.85954,0.14586075,673061754.6430737,7.33216691,33833646983.52396,76.57947661,353369339614.17096,0.01099871,50752587.575318,2.64321262,12196874934.45601
2021-12-22 16:00:00,2021-12-22 16:00:00,0.0012522,5778332.21078598,0.72101512,3327152623.776953,12.56595128,57986075998.925674,0.14587599,673150469.4018933,7.33154036,33831681110.5423,76.5801339,353382037333.8487,0.01099864,50753639.53681996,2.64323252,12197300315.732128
2021-12-22 17:00:00,2021-12-22 17:00:00,0.00125228,5778577.64553077,0.72143564,3329014809.457984,12.56370099,57974328078.00612,0.14590578,673272117.0378488,7.33356545,33840229885.1596,76.57933218,353370024687.2415,0.01099906,50754393.07361741,2.64380862,12199671778.706629
2021-12-22 18:00:00,2021-12-22 18:00:00,0.00125255,5779829.85709585,0.72161086,3329828462.367424,12.56542535,57982374379.7939,0.14593814,673422469.7739224,7.33566955,33849991244.31988,76.57484747,353349874684.1978,0.01100131,50764854.22595122,2.64425476,12201749273.12727
2021-12-22 19:00:00,2021-12-22 19:00:00,0.00125251,5779837.30326716,0.7216746,3330253620.464063,12.56268976,57972031722.559875,0.1459369,673443227.940808,7.33559636,33850985214.401176,76.57759805,353376468703.2601,0.01100132,50766913.08363212,2.64425051,12202209660.41969
2021-12-22 20:00:00,2021-12-22 20:00:00,0.00125251,5779966.288364,0.72202304,3331937024.0128884,12.56125653,57966731474.77453,0.14596537,673589898.0707653,7.33746077,33860356028.79252,76.57593815,353376816660.12256,0.01100182,50770376.18711848,2.64510181,12206414721.01106
2021-12-22 21:00:00,2021-12-22 21:00:00,0.00125251,5779989.6054395,0.72208022,3332202642.2153835,12.55790483,57951294419.2542,0.14596845,673604457.8301795,7.33781481,33862007419.98274,76.578621,353389380912.5746,0.01100242,50773177.53029936,2.64535575,12207592929.12124
2021-12-22 22:00:00,2021-12-22 22:00:00,0.00125247,5780182.51614136,0.72221313,3333029831.2331233,12.56202276,57974017736.71178,0.14603401,673950227.1142931,7.33964669,33872634663.27204,76.57258798,353384216825.1858,0.01100334,50780662.24784274,2.64523962,12207840388.54799
2021-12-22 23:00:00,2021-12-22 23:00:00,0.00125248,5780268.69986328,0.72245424,3334168264.3355365,12.56343983,57981004251.44761,0.14604755,674017918.0132939,7.33975031,33873373837.3725,76.57050098,353377307587.4134,0.01100481,50787856.41799033,2.64554979,12209365883.682388
2021-12-23 00:00:00,2021-12-23 00:00:00,0.00125253,5780308.87625592,0.72282173,3335757090.2341533,12.56389474,57981240886.62099,0.14611656,674314725.2449069,7.34069074,33876625585.85117,76.56808115,353354787623.90826,0.01100626,50792914.11151075,2.64613629,12211680266.045387
