start_time,date,taker_buy_ratio,taker_buy_sell_ratio,taker_buy_volume,taker_sell_ratio,taker_sell_volume
2021-07-25,2021-07-25,0.51274873,1.0523292,7081731100.82144,0.48725127,6729577701.24581
2021-07-26,2021-07-26,0.50436505,1.01761396,22223325029.02069,0.49563495,21838659785.22924
2021-07-27,2021-07-27,0.5044573,1.01798958,12787326198.05844,0.4955427,12561352677.85452
2021-07-28,2021-07-28,0.49699657,0.98805803,14506764468.7177,0.50300343,14682097604.01748
2021-07-29,2021-07-29,0.50342974,1.01381373,9243453153.51824,0.49657026,9117506399.67755
2021-07-30,2021-07-30,0.50687337,1.02787668,11238716578.78863,0.49312663,10933915300.79162
2021-07-31,2021-07-31,0.48990562,0.96042153,7752344208.41292,0.51009438,8071814246.18323
2021-08-01,2021-08-01,0.48754965,0.95140857,9766222483.64982,0.51245035,10265014159.04406
2021-08-02,2021-08-02,0.49256275,0.970687,8755391704.3014,0.50743725,9019788785.99652
2021-08-03,2021-08-03,0.49247082,0.97033006,9720883921.92214,0.50752918,10018120930.11339
2021-08-04,2021-08-04,0.50140225,1.00562478,9240373003.97826,0.49859775,9188688663.67119
2021-08-05,2021-08-05,0.49822078,0.99290836,14476865393.86411,0.50177922,14580263309.62935
2021-08-06,2021-08-06,0.50717776,1.02912919,13589893208.20881,0.49282224,13205235336.39946
2021-08-07,2021-08-07,0.50558786,1.02260407,12717035970.82956,0.49441214,12435933271.5194
2021-08-08,2021-08-08,0.49923127,0.99692981,12194163537.96318,0.50076873,12231717182.19138
2021-08-09,2021-08-09,0.506062,1.0245456,14224679896.08999,0.493938,13883891451.90649
2021-08-10,2021-08-10,0.49281988,0.97168613,10287419974.0015,0.50718012,10587184162.11324
2021-08-11,2021-08-11,0.4987069,0.99484093,8928287130.94401,0.5012931,8974587646.03712
2021-08-12,2021-08-12,0.49286749,0.97187122,10282575690.88289,0.50713251,10580183312.06846
2021-08-13,2021-08-13,0.51360262,1.05593212,10335332358.40785,0.48639738,9787875764.11386
2021-08-14,2021-08-14,0.49139995,0.96618147,8572519667.21762,0.50860005,8872577184.973299
2021-08-15,2021-08-15,0.49194282,0.96828239,8390721470.94702,0.50805718,8665572718.18951
2021-08-16,2021-08-16,0.48774915,0.95216856,9371266615.67709,0.51225085,9842024887.60562
2021-08-17,2021-08-17,0.48564351,0.94417688,10482807871.4844,0.51435649,11102588982.95161
