start_time,datetime,stock_to_flow,stock_to_flow_reversion
2021-01-07 20:00:00,2021-01-07 20:00:00,330556.04760318,0.11837133
2021-01-07 21:00:00,2021-01-07 21:00:00,425001.63263266,0.09348883
2021-01-07 22:00:00,2021-01-07 22:00:00,297502.14284286,0.13343729
2021-01-07 23:00:00,2021-01-07 23:00:00,495837.90473811,0.07959642
2021-01-08 00:00:00,2021-01-08 00:00:00,495838.90473811,0.07821677
2021-01-08 01:00:00,2021-01-08 01:00:00,371880.17855358,0.10404984
2021-01-08 02:00:00,2021-01-08 02:00:00,495841.23807144,0.07502446
2021-01-08 03:00:00,2021-01-08 03:00:00,495842.23807144,0.07734276
2021-01-08 04:00:00,2021-01-08 04:00:00,595011.68568573,0.06494571
2021-01-08 05:00:00,2021-01-08 05:00:00,743765.60710716,0.05102903
2021-01-08 06:00:00,2021-01-08 06:00:00,495844.73807144,0.07767437
2021-01-08 07:00:00,2021-01-08 07:00:00,595014.68568573,0.06543096
2021-01-08 08:00:00,2021-01-08 08:00:00,595015.68568573,0.06494795
2021-01-08 09:00:00,2021-01-08 09:00:00,1487540.21421432,0.02646617
2021-01-08 10:00:00,2021-01-08 10:00:00,297509.04284286,0.13697775
2021-01-08 11:00:00,2021-01-08 11:00:00,991697.80947621,0.04167309
2021-01-08 12:00:00,2021-01-08 12:00:00,991698.80947621,0.04169379
2021-01-08 13:00:00,2021-01-08 13:00:00,297510.64284286,0.13894398
2021-01-08 14:00:00,2021-01-08 14:00:00,371889.30355358,0.11152392
2021-01-08 15:00:00,2021-01-08 15:00:00,330569.2698254,0.12360021
2021-01-08 16:00:00,2021-01-08 16:00:00,425018.63263266,0.09725293
2021-01-08 17:00:00,2021-01-08 17:00:00,595027.08568573,0.06896038
2021-01-08 18:00:00,2021-01-08 18:00:00,743784.85710716,0.05366369
2021-01-08 19:00:00,2021-01-08 19:00:00,495857.57140477,0.08142907
2021-01-08 20:00:00,2021-01-08 20:00:00,297515.54284286,0.1312028
2021-01-08 21:00:00,2021-01-08 21:00:00,595032.08568573,0.06736274
2021-01-08 22:00:00,2021-01-08 22:00:00,495861.07140477,0.08203031
2021-01-08 23:00:00,2021-01-08 23:00:00,330575.04760318,0.12272874
2021-01-09 00:00:00,2021-01-09 00:00:00,595036.08568573,0.06766892
2021-01-09 01:00:00,2021-01-09 01:00:00,595037.08568573,0.06758805
2021-01-09 02:00:00,2021-01-09 02:00:00,495865.23807144,0.08062288
2021-01-09 03:00:00,2021-01-09 03:00:00,743798.85710716,0.05405787
2021-01-09 04:00:00,2021-01-09 04:00:00,270473.31167533,0.14857785
2021-01-09 05:00:00,2021-01-09 05:00:00,743802.60710716,0.05286586
2021-01-09 06:00:00,2021-01-09 06:00:00,371902.30355358,0.10488165
2021-01-09 07:00:00,2021-01-09 07:00:00,2975219.42842864,0.01332493
2021-01-09 08:00:00,2021-01-09 08:00:00,425032.34691838,0.09456952
2021-01-09 09:00:00,2021-01-09 09:00:00,595046.28568573,0.06781649
2021-01-09 10:00:00,2021-01-09 10:00:00,495872.90473811,0.0814751
2021-01-09 11:00:00,2021-01-09 11:00:00,595048.48568573,0.06823757
2021-01-09 12:00:00,2021-01-09 12:00:00,371906.30355358,0.10992278
2021-01-09 13:00:00,2021-01-09 13:00:00,743813.60710716,0.05526864
