start_time,date,nrpl
2022-02-12,2022-02-12,149189225.75810316
2022-02-13,2022-02-13,29719162.87038336
2022-02-14,2022-02-14,-58484481.30777379
2022-02-15,2022-02-15,517031664.329745
2022-02-16,2022-02-16,181696168.23334205
2022-02-17,2022-02-17,-336043232.8129987
2022-02-18,2022-02-18,-389950111.3995786
2022-02-19,2022-02-19,-79369201.71507598
2022-02-20,2022-02-20,-324243577.63191533
2022-02-21,2022-02-21,-314155567.57177
2022-02-22,2022-02-22,-309436225.0849278
2022-02-23,2022-02-23,182218412.584902
2022-02-24,2022-02-24,-710642945.6709158
2022-02-25,2022-02-25,-59449767.44135271
2022-02-26,2022-02-26,-78955589.02295738
2022-02-27,2022-02-27,-10751969.5115072
2022-02-28,2022-02-28,1078490820.4266393
2022-03-01,2022-03-01,591631606.0520046
2022-03-02,2022-03-02,276364131.00216496
2022-03-03,2022-03-03,350658459.33665705
2022-03-04,2022-03-04,-499112480.844528
2022-03-05,2022-03-05,-116092878.2870725
2022-03-06,2022-03-06,-64150625.56608239
2022-03-07,2022-03-07,-171414354.60318395
2022-03-08,2022-03-08,40504091.37160342
2022-03-09,2022-03-09,339898220.07645416
2022-03-10,2022-03-10,-622863342.9115129
2022-03-11,2022-03-11,382632200.11794734
2022-03-12,2022-03-12,49085961.52870887
2022-03-13,2022-03-13,-72114772.52986182
2022-03-14,2022-03-14,874950.46634273
2022-03-15,2022-03-15,-146621585.1555645
2022-03-16,2022-03-16,438488986.05686927
2022-03-17,2022-03-17,-205693791.44776028
2022-03-18,2022-03-18,193847609.4601849
2022-03-19,2022-03-19,171443786.04075646
2022-03-20,2022-03-20,9367592.61543386
2022-03-21,2022-03-21,2239884.19817813
2022-03-22,2022-03-22,503521597.8211129
2022-03-23,2022-03-23,129339368.87208416
2022-03-24,2022-03-24,508393857.36838233
2022-03-25,2022-03-25,2305577348.468725
2022-03-26,2022-03-26,89960899.16139056
2022-03-27,2022-03-27,375152909.6742678
2022-03-28,2022-03-28,1574027781.4518132
2022-03-29,2022-03-29,912633050.8699342
2022-03-30,2022-03-30,308951374.28231585
2022-03-31,2022-03-31,-78812017.83743438
2022-04-01,2022-04-01,375749973.60811
2022-04-02,2022-04-02,66158474.42160745
2022-04-03,2022-04-03,130439697.150345
2022-04-04,2022-04-04,179712147.35328424
2022-04-05,2022-04-05,157359371.6858636
2022-04-06,2022-04-06,-541596723.4591473
2022-04-07,2022-04-07,-236682337.22650453
2022-04-08,2022-04-08,-157649072.2110266
2022-04-09,2022-04-09,-73449386.40803489
2022-04-10,2022-04-10,-3596197.96220658
2022-04-11,2022-04-11,-725019898.930271
2022-04-12,2022-04-12,410560630.85149103
2022-04-13,2022-04-13,92697311.1754215
2022-04-14,2022-04-14,354580696.6032624
2022-04-15,2022-04-15,19801964.274968
2022-04-16,2022-04-16,-54670245.37355332
2022-04-17,2022-04-17,-35796807.89153343
2022-04-18,2022-04-18,-120416000.44659688
2022-04-19,2022-04-19,167017563.83252254
2022-04-20,2022-04-20,128007629.54204854
2022-04-21,2022-04-21,989022181.7550856
2022-04-22,2022-04-22,-461776802.0302488
2022-04-23,2022-04-23,-69590247.58885261
2022-04-24,2022-04-24,-79913938.39261112
2022-04-25,2022-04-25,-259260491.9802688
2022-04-26,2022-04-26,-539648417.225203
2022-04-27,2022-04-27,-69356712.28061529
2022-04-28,2022-04-28,-15495517.69181228
2022-04-29,2022-04-29,-376958157.4318264
2022-04-30,2022-04-30,-160538175.7071814
2022-05-01,2022-05-01,-246645921.56875497
2022-05-02,2022-05-02,-625575465.0648252
2022-05-03,2022-05-03,-623450806.8614507
2022-05-04,2022-05-04,319987664.0170867
