start_time,datetime,total_value_staked
2021-01-15 01:00:00,2021-01-15 01:00:00,2489924.72831094
2021-01-15 02:00:00,2021-01-15 02:00:00,2489949.009427045
2021-01-15 03:00:00,2021-01-15 03:00:00,2489973.5249574
2021-01-15 04:00:00,2021-01-15 04:00:00,2490000.69169597
2021-01-15 05:00:00,2021-01-15 05:00:00,2490024.865984145
2021-01-15 06:00:00,2021-01-15 06:00:00,2490049.04043002
2021-01-15 07:00:00,2021-01-15 07:00:00,2524315.819761171
2021-01-15 08:00:00,2021-01-15 08:00:00,2524340.432481715
2021-01-15 09:00:00,2021-01-15 09:00:00,2524367.667691264
2021-01-15 10:00:00,2021-01-15 10:00:00,2524392.081994191
2021-01-15 11:00:00,2021-01-15 11:00:00,2524416.619129868
2021-01-15 12:00:00,2021-01-15 12:00:00,2524443.911530013
2021-01-15 13:00:00,2021-01-15 13:00:00,2524468.253662111
2021-01-15 14:00:00,2021-01-15 14:00:00,2528847.199035964
2021-01-15 15:00:00,2021-01-15 15:00:00,2528871.327053389
2021-01-15 16:00:00,2021-01-15 16:00:00,2528895.752209903
2021-01-15 17:00:00,2021-01-15 17:00:00,2528922.160058424
2021-01-15 18:00:00,2021-01-15 18:00:00,2528946.665511931
2021-01-15 19:00:00,2021-01-15 19:00:00,2528971.373466711
2021-01-15 20:00:00,2021-01-15 20:00:00,2534118.325562327
2021-01-15 21:00:00,2021-01-15 21:00:00,2534142.619357668
2021-01-15 22:00:00,2021-01-15 22:00:00,2534169.933233758
2021-01-15 23:00:00,2021-01-15 23:00:00,2534194.515706299
2021-01-16 00:00:00,2021-01-16 00:00:00,2534219.216469042
2021-01-16 01:00:00,2021-01-16 01:00:00,2534246.587768219
2021-01-16 02:00:00,2021-01-16 02:00:00,2534271.09148592
2021-01-16 03:00:00,2021-01-16 03:00:00,2537239.58646528
2021-01-16 04:00:00,2021-01-16 04:00:00,2537267.143455352
2021-01-16 05:00:00,2021-01-16 05:00:00,2537291.728279217
2021-01-16 06:00:00,2021-01-16 06:00:00,2537318.894552245
2021-01-16 07:00:00,2021-01-16 07:00:00,2537343.762310502
2021-01-16 08:00:00,2021-01-16 08:00:00,2537368.229044411
2021-01-16 09:00:00,2021-01-16 09:00:00,2537395.489799883
2021-01-16 10:00:00,2021-01-16 10:00:00,2539659.888216262
2021-01-16 11:00:00,2021-01-16 11:00:00,2539684.185162205
2021-01-16 12:00:00,2021-01-16 12:00:00,2539710.888819281
2021-01-16 13:00:00,2021-01-16 13:00:00,2539735.210534489
2021-01-16 14:00:00,2021-01-16 14:00:00,2539762.680160909
2021-01-16 15:00:00,2021-01-16 15:00:00,2539787.373127727
2021-01-16 16:00:00,2021-01-16 16:00:00,2539811.844744577
2021-01-16 17:00:00,2021-01-16 17:00:00,2542847.132594935
2021-01-16 18:00:00,2021-01-16 18:00:00,2542871.856997658
2021-01-16 19:00:00,2021-01-16 19:00:00,2542896.367576663
2021-01-16 20:00:00,2021-01-16 20:00:00,2542923.942045175
2021-01-16 21:00:00,2021-01-16 21:00:00,2542948.278756874
2021-01-16 22:00:00,2021-01-16 22:00:00,2542975.889290281
2021-01-16 23:00:00,2021-01-16 23:00:00,2543000.469758885
2021-01-17 00:00:00,2021-01-17 00:00:00,2545105.011514221
2021-01-17 01:00:00,2021-01-17 01:00:00,2545132.194646802
2021-01-17 02:00:00,2021-01-17 02:00:00,2545156.856026369
2021-01-17 03:00:00,2021-01-17 03:00:00,2545181.883828751
2021-01-17 04:00:00,2021-01-17 04:00:00,2545209.726884631
2021-01-17 05:00:00,2021-01-17 05:00:00,2545234.49828882
2021-01-17 06:00:00,2021-01-17 06:00:00,2545261.841595319
2021-01-17 07:00:00,2021-01-17 07:00:00,2555174.380148863
2021-01-17 08:00:00,2021-01-17 08:00:00,2555198.973511638
2021-01-17 09:00:00,2021-01-17 09:00:00,2555226.324238887
2021-01-17 10:00:00,2021-01-17 10:00:00,2555250.989485877
2021-01-17 11:00:00,2021-01-17 11:00:00,2555275.535137534
2021-01-17 12:00:00,2021-01-17 12:00:00,2555303.076562351
2021-01-17 13:00:00,2021-01-17 13:00:00,2559199.847094894
