t,shortLiquidationUsd,longLiquidationUsd,high,close,volume,open,low
1630022400.0,6065883.16544,11159009.8938,49220.0,49083.98,403667.012,46854.22,46359.97
1630108800.0,4238270.2927,3044357.35401,49333.0,48931.99,222793.024,49082.13,48395.65
1630195200.0,3424462.68842,6559116.68999,49769.2,48795.41,315105.499,48931.99,47741.31
1630281600.0,7629228.03223,5321193.97977,48916.25,47024.7,351830.754,48795.42,46876.49
1630368000.0,8390144.61692,10921444.42497,48298.0,47150.32,365548.209,47024.69,46731.03
1630454400.0,3788248.34558,11255593.3247,49160.79,48842.94,350108.374,47150.32,46550.99
1630540800.0,4049263.04183,8793753.04663,50420.0,49299.14,361863.055,48842.93,48631.2
1630627200.0,6447615.16428,9102872.50459,51111.0,50027.08,430326.386,49299.14,48333.0
1630713600.0,4814539.01303,5060021.62432,50582.08,49940.74,274956.842,50027.09,49360.0
1630800000.0,2179675.24496,7413377.29162,51950.0,51799.57,288984.124,49942.2,49462.59
1630886400.0,3399142.15114,8140709.63425,52830.0,52683.97,297734.284,51799.56,51040.0
1630972800.0,53688581.89848,15116891.63969,52950.0,46864.39,764140.139,52683.98,42088.0
1631059200.0,9578829.54892,9656865.26278,47347.0,46062.29,435803.011,46864.38,44431.0
1631145600.0,4665052.22032,4959022.01527,47400.0,46413.88,309015.75,46060.02,45500.0
1631232000.0,7886702.22476,4894479.39202,47037.5,44860.83,343533.069,46413.88,44120.0
1631318400.0,3347177.02287,4228646.16615,45999.0,45193.78,194144.115,44860.83,44737.4
1631404800.0,3320263.18951,4884027.54482,46512.2,46046.73,223534.63,45194.19,44746.51
1631491200.0,11451117.33502,8819129.77645,46933.89,44975.96,448942.068,46048.02,43323.93
1631577600.0,2578814.69882,6908889.70123,47272.98,47087.18,277925.721,44975.96,44692.9
1631664000.0,2427769.48826,4172147.3291,48440.93,48106.12,244226.37,47087.18,46675.0
1631750400.0,7128966.00972,4394146.53752,48488.0,47745.55,260044.727,48106.13,47038.21
1631836800.0,6790947.56773,4699350.12418,48150.0,47303.11,226193.34,47745.55,46750.0
1631923200.0,2337671.40244,5870946.38795,48850.0,48285.15,207900.413,47303.11,47044.32
1632009600.0,5828275.01368,3088617.08405,48364.64,47256.91,212631.933,48284.61,46840.0
1632096000.0,18932365.61881,11313617.75426,47345.0,43026.6,600764.629,47256.92,42467.86
1632182400.0,20073778.72223,13936323.13476,43629.6,40726.1,683242.002,43026.61,39503.58
1632268800.0,5891628.89877,10054184.75841,43989.98,43520.0,400849.752,40727.83,40551.49
1632355200.0,4309815.1542,7628490.41233,44976.48,44828.29,330253.525,43520.0,43056.0
1632441600.0,13581086.94314,10445180.19265,45134.33,42798.49,608595.52,44828.29,40650.0
1632528000.0,4600044.37566,5373009.46225,42950.0,42651.58,277084.795,42798.49,41630.26
1632614400.0,7041783.65636,6489799.29358,43940.0,43150.0,354393.916,42646.84,40725.01
1632700800.0,5106800.53135,4891268.79634,44350.0,42122.69,285311.606,43150.01,42059.13
1632787200.0,8008342.57233,3796493.47811,42749.0,41006.32,359745.538,42122.69,40854.0
1632873600.0,5095014.38046,5176320.6187,42576.8,41499.71,293307.589,41002.96,40708.73
1632960000.0,5561015.84195,9312956.58804,44100.0,43796.57,389185.646,41499.7,41387.78
1633046400.0,4805668.47246,13273239.67386,48450.0,48123.94,449491.768,43799.49,43260.01
1633132800.0,3722052.89442,3456880.77769,48338.68,47626.61,182565.988,48123.93,47410.0
1633219200.0,4351784.538,4774704.37854,49304.12,48187.3,212410.375,47626.62,47071.26
1633305600.0,7503545.37035,7813856.08519,49544.48,49198.22,324424.837,48187.99,46885.29
1633392000.0,4133380.65332,7886323.52679,51888.0,51455.12,314043.813,49199.78,49009.21
1633478400.0,7008056.3,14180254.04693,56416.02,55321.6,418731.748,51460.22,50410.0
1633564800.0,11111493.17059,8968293.93006,55337.8,53814.99,262974.545,55327.45,53374.34
1633651200.0,5336748.50776,5975552.93551,56208.73,53975.0,255210.035,53814.99,53647.3
1633737600.0,3197530.87407,3309961.86837,55589.0,54960.77,167495.393,53974.99,53656.66
1633824000.0,7742339.99696,6568298.60681,56789.0,54700.0,289072.818,54960.79,54101.0
1633910400.0,4805914.5188,14754803.8011,57880.0,57500.01,314868.05,54700.0,54458.0
1633996800.0,9631355.77128,8039777.36942,57756.52,56011.84,349147.775,57500.01,53750.0
1634083200.0,6005263.16455,12900224.93294,57822.38,57393.65,327714.318,56011.83,54271.24
1634169600.0,5413757.22372,7260317.68167,58586.67,57378.19,254719.751,57393.65,56800.0
1634256000.0,8576515.9344,19363506.15858,63997.61,61702.33,493366.513,57377.12,56900.0
1634342400.0,4892571.60295,5169858.47576,62444.23,60925.56,213251.899,61702.33,60220.0
1634428800.0,4740931.26923,7300078.36884,61796.47,61571.45,240132.514,60925.56,58850.0
1634515200.0,7471472.86782,12828716.23968,62800.0,62037.92,333278.481,61571.45,59897.61
1634601600.0,5175227.18008,11056545.89297,64500.0,64316.7,379243.718,62037.92,61300.0
1634688000.0,5637009.98122,9057596.6932,67150.0,66064.24,324737.868,64314.75,63518.81
1634774400.0,12560698.21174,14317799.33768,66750.0,62260.33,478610.458,66064.25,62000.0
1634860800.0,8769980.39023,6916297.52243,63796.2,60734.27,350359.527,62260.33,60011.9
1634947200.0,5442143.04836,5790897.97919,61780.0,61325.11,222553.478,60734.28,59622.0
1635033600.0,7039449.31089,5540584.38113,61550.0,60902.82,245816.821,61325.09,59504.46
1635120000.0,2069664.91285,17750495.81123,63795.98,63127.04,234201.1,60902.82,60701.0
1635206400.0,9887502.62336,5233485.35702,63362.06,60358.75,252256.924,63129.25,59838.05
1635292800.0,19904775.4877,10082617.14263,61550.0,58449.36,329112.396,60358.74,57865.0
1635379200.0,9590566.71446,12790827.74773,62641.26,60622.03,333323.116,58449.36,57550.0
1635465600.0,3361627.05463,6658768.08118,63069.71,62308.22,218355.773,60622.02,60222.0
1635552000.0,5492204.84993,3953508.31038,62415.85,61895.19,156041.523,62308.21,60631.23
1635638400.0,8956440.91797,5519153.40566,62462.99,61348.61,183599.524,61895.19,60008.0
1635724800.0,9146694.18403,6295950.49499,62543.58,60942.87,246158.361,61347.14,59400.0
1635811200.0,4575380.3803,8001587.81646,64349.55,63266.69,217592.062,60942.87,60659.58
1635897600.0,5380343.38172,5902203.44466,63613.0,62946.45,211190.183,63266.69,60300.0
1635984000.0,9157375.14588,3098573.23627,63149.0,61431.86,184677.079,62946.45,60703.0
1636070400.0,6060825.66096,5261465.0941,62671.48,61006.0,157569.637,61433.9,60762.0
1636156800.0,8857921.45355,3603945.44981,61645.75,61511.3,154919.118,61006.0,60100.0
1636243200.0,1816527.57684,4479397.16744,63377.58,63316.4,142878.208,61511.3,61368.26
1636329600.0,3729678.29211,17415551.01809,67932.89,67606.96,274932.146,63316.4,63308.7
1636416000.0,8297132.19511,7570181.61862,68675.16,67009.98,231843.834,67606.96,66300.0
1636502400.0,22176179.41016,14090361.56824,69198.7,64920.13,347835.573,67010.65,62400.51
1636588800.0,4611285.1141,4788636.51145,65646.98,64831.3,178279.275,64920.13,64147.12
1636675200.0,10384968.7639,5899178.19478,65500.0,64156.08,264576.325,64831.2,62313.0
1636761600.0,2088490.0693,3352177.04127,65073.24,64427.0,124466.493,64156.08,63430.01
1636848000.0,3724291.78309,6598624.96431,65569.99,65568.39,146424.701,64426.99,63640.0
1636934400.0,13786672.29784,3398179.2942,66395.05,63654.49,210026.602,65568.38,63351.58
1637020800.0,30003724.70266,12046921.40749,63655.77,60106.03,475025.706,63654.49,58397.14
1637107200.0,11784684.70438,8973892.7153,60848.85,60366.96,287388.873,60106.03,58336.68
1637193600.0,21979971.15852,9101065.85564,60999.0,56921.05,412021.672,60366.97,56505.48
1637280000.0,5930280.52376,7643953.02598,58333.0,58069.51,245356.121,56921.04,55604.0
1637366400.0,3278671.70062,6067333.98351,59873.84,59716.29,173697.342,58069.52,57372.0
1637452800.0,6459624.13964,2971433.03904,60052.82,58661.39,143887.271,59716.28,58518.88
1637539200.0,16055179.81191,6905329.7303,59624.56,56268.31,326184.881,58648.87,55600.0
1637625600.0,7960639.41613,6758391.14551,57888.0,57574.23,267790.325,56268.31,55250.0
1637712000.0,10482317.92242,5845990.74378,57775.27,57165.08,194683.757,57574.24,55900.0
1637798400.0,3589737.65698,9800869.7033,59449.62,58988.21,191912.653,57165.09,57029.0
1637884800.0,48085595.0713,8013990.27859,59186.41,53755.65,378650.919,58988.36,53500.0
1637971200.0,4464180.19257,3370593.55948,55300.0,54738.77,155119.117,53755.66,53640.69
1638057600.0,12073082.67046,11609514.21641,57474.76,57315.73,213600.615,54738.77,53245.0
1638144000.0,4500362.15979,7327627.5353,58924.21,57827.98,215111.466,57315.72,56715.0
1638230400.0,22604083.53947,14616682.96124,59224.99,56975.0,337624.148,57827.97,55900.0
1638316800.0,10491101.97527,6452940.37503,59100.0,57209.29,273959.104,56978.06,56500.0
1638403200.0,10841929.68682,6763550.65932,57428.49,56513.57,249985.255,57209.28,55800.0
1638489600.0,26620528.53249,6821802.52771,57670.0,53612.0,374132.016,56513.56,50604.0
1638576000.0,61109568.01047,20896348.6142,53889.69,49135.66,598774.989,53611.86,40888.89
1638662400.0,12251646.93346,9008964.39262,49699.49,49376.6,286434.382,49135.66,47755.0
1638748800.0,9326585.14378,15178866.79982,50888.0,50424.72,357711.029,49373.83,47000.0
