start_time,datetime,taker_buy_ratio,taker_buy_sell_ratio,taker_buy_volume,taker_sell_ratio,taker_sell_volume
2021-05-28 00:00:00,2021-05-28 00:00:00,0.45152362,0.82323258,109715788.0,0.54847638,133274352.0
2021-05-28 01:00:00,2021-05-28 01:00:00,0.50899555,1.0366414,74184156.0,0.49100445,71562023.0
2021-05-28 02:00:00,2021-05-28 02:00:00,0.53532918,1.1520611,42067086.0,0.46467082,36514631.0
2021-05-28 03:00:00,2021-05-28 03:00:00,0.46073718,0.85438337,52365401.0,0.53926282,61290286.0
2021-05-28 04:00:00,2021-05-28 04:00:00,0.45685686,0.84113528,87580076.0,0.54314314,104121273.0
2021-05-28 05:00:00,2021-05-28 05:00:00,0.43222237,0.76125292,121437603.0,0.56777763,159523333.0
2021-05-28 06:00:00,2021-05-28 06:00:00,0.47559223,0.906913,134486881.0,0.52440777,148290829.0
2021-05-28 07:00:00,2021-05-28 07:00:00,0.54710936,1.20803857,118530478.0,0.45289064,98118124.0
2021-05-28 08:00:00,2021-05-28 08:00:00,0.42538811,0.74030511,92119925.0,0.57461189,124435080.0
2021-05-28 09:00:00,2021-05-28 09:00:00,0.47617691,0.90904146,151113900.0,0.52382309,166234332.0
2021-05-28 10:00:00,2021-05-28 10:00:00,0.57149537,1.33369705,122569069.0,0.42850463,91901732.0
2021-05-28 11:00:00,2021-05-28 11:00:00,0.47314759,0.89806477,111903368.0,0.52685241,124605008.0
2021-05-28 12:00:00,2021-05-28 12:00:00,0.55357945,1.24004026,149957873.0,0.44642055,120929842.0
2021-05-28 13:00:00,2021-05-28 13:00:00,0.57916703,1.37623967,139026672.0,0.42083297,101019230.0
2021-05-28 14:00:00,2021-05-28 14:00:00,0.48267932,0.93303698,93324500.0,0.51732068,100022295.0
2021-05-28 15:00:00,2021-05-28 15:00:00,0.49210964,0.96892888,94683415.0,0.50789036,97719675.0
2021-05-28 16:00:00,2021-05-28 16:00:00,0.46191375,0.85843812,132071548.0,0.53808625,153850983.0
2021-05-28 17:00:00,2021-05-28 17:00:00,0.49893022,0.99573,112321282.0,0.50106978,112802951.0
2021-05-28 18:00:00,2021-05-28 18:00:00,0.51921957,1.07995156,101286394.0,0.48078043,93787905.0
2021-05-28 19:00:00,2021-05-28 19:00:00,0.45234161,0.82595576,101794138.0,0.54765839,123244056.0
