start_time,datetime,range_001_01,range_001_01_percent,range_01_1,range_01_1_percent,range_0_001,range_0_001_percent,range_0_1_usd,range_100_1k,range_100_1k_percent,range_100_1k_usd,range_100k_1M_usd,range_10_100,range_10_100_percent,range_10_100_usd,range_10k_100k_usd,range_10k_inf,range_10k_inf_percent,range_1M_inf_usd,range_1_10,range_1_10_percent,range_1_10_usd,range_1k_10k,range_1k_10k_percent,range_1k_10k_usd
2024-10-14 09:00:00,2024-10-14 09:00:00,179.09413356,0.81375356,607.43618609,2.76001983,30.38637293,0.13806716,45.41175491,4746.75445484,21.5679222,2456358.69347199,193226647.6618446,5194.08784738,23.60047979,236238.93012707,49105871.37518737,0.0,0.0,1145431923.1442866,2793.35838281,12.69223779,5326.63590908,8457.28200258,38.42751968,12183084.97863526
2024-10-14 10:00:00,2024-10-14 10:00:00,334.38017694,1.11029415,926.26267642,3.07561303,89.81121343,0.29821404,338.41367565,14136.49893631,46.93960083,6172176.28442314,329572713.84528655,9193.12251665,30.52534459,736362.48380112,72611390.93153834,0.0,0.0,1495489168.8468993,4303.19268893,14.28855532,17588.79613038,1133.0912989,3.76237805,23651158.6002083
2024-10-14 11:00:00,2024-10-14 11:00:00,148.57383164,0.58845396,487.91570065,1.93247977,47.30385279,0.1873556,92.41166506,8001.61559186,31.69186862,3136503.85918435,144142320.2243779,4020.26867424,15.92301269,400649.1616371,42475836.57141488,0.0,0.0,1429904331.2161143,2015.55468453,7.98297463,8518.56832617,10526.93364463,41.69385473,9606927.62445739
2024-10-14 12:00:00,2024-10-14 12:00:00,228.3954342,0.73547574,939.32301885,3.02479467,71.5385305,0.23036736,71.53965841,13407.16129559,43.17355077,5194983.74893894,295178444.69913983,7876.25616805,25.36300847,523373.03469287,73415992.12121326,0.0,0.0,1580844125.9733737,3528.43431458,11.36221417,11574.51340692,5002.99973012,16.11058882,15640309.660002
2024-10-14 13:00:00,2024-10-14 13:00:00,108.32218321,0.66874821,557.74655468,3.44335758,29.46032249,0.18187907,46.62391008,4430.06752036,27.34988935,2110144.88114214,130341919.4372694,4703.62614082,29.03875706,293507.34825464,42199547.28861449,0.0,0.0,799425144.7118943,1769.21229732,10.92257857,6624.1962636,4599.31797229,28.39479016,8809306.44125896
2024-10-14 14:00:00,2024-10-14 14:00:00,510.32412393,0.84683292,1456.12545182,2.41629761,96.55899989,0.16023021,116.65980098,19134.28194342,31.75146736,6578111.79199382,422662261.6981347,10620.14487812,17.62309056,738333.30182748,111517786.6759136,0.0,0.0,3333961018.3031626,5247.83130476,8.70826221,13778.52949252,23197.40313047,38.49381913,38705548.37606546
2024-10-14 15:00:00,2024-10-14 15:00:00,358.08220874,1.14714285,1059.27208982,3.39345652,120.12144802,0.38481795,117.76336796,13477.37303184,43.17576175,8152388.60548328,275281391.9859013,6995.55191825,22.4107682,931219.20691274,82488998.67379244,0.0,0.0,1631476029.9719906,3273.81919563,10.48792204,17416.70262437,5930.91676266,19.0001307,25896725.64803598
2024-10-14 16:00:00,2024-10-14 16:00:00,261.26075572,0.5196216,1143.76165898,2.27482793,88.44661521,0.1759115,68.58071336,13911.29297779,27.66817502,6024653.65434789,365542840.4024694,9289.96805721,18.47682042,710550.5745703,83334295.53963847,16084.0768156,31.98962548,2771811419.990098,3584.31707821,7.12884937,14011.74757804,5915.91674063,11.76616868,23549723.01597617
2024-10-14 17:00:00,2024-10-14 17:00:00,134.7818179,0.61056791,841.29321076,3.81109739,29.22401423,0.13238614,33.88295756,11744.86312114,53.20477642,2201523.76147237,192017451.3970023,5140.1793609,23.28525167,315329.5298705,60255000.86677632,0.0,0.0,1144192914.9138572,2176.41888957,9.85927884,6124.96327649,2008.06803543,9.09664163,11206403.61998206
2024-10-14 18:00:00,2024-10-14 18:00:00,318.78729389,1.22922427,1433.98551476,5.52936027,87.43981483,0.33716257,159.47085255,8677.3776129,33.45943633,6447031.51881042,295514765.3240284,9224.88492898,35.57059099,823804.27405291,109369346.34573252,0.0,0.0,1202628622.5357952,3955.49329454,15.25213975,16422.0744033,2236.05364142,8.62208582,23183058.10359657
2024-10-14 19:00:00,2024-10-14 19:00:00,218.64397505,1.0201799,1118.59131821,5.21928113,83.34552773,0.38888532,69.09359408,10908.64096223,50.89907552,5715381.24717143,195062933.61568257,6335.45257613,29.56084816,591775.48235598,82301636.37189662,0.0,0.0,1031158635.648963,2767.22956162,12.91172997,15302.49346851,0.0,0.0,14283683.79912055
2024-10-14 20:00:00,2024-10-14 20:00:00,266.62181354,1.3474125,1107.66213123,5.59773327,153.8765567,0.77763778,120.55253191,8053.16793725,40.69786702,8391682.81004236,215379176.80564007,6343.93862433,32.06002563,905779.82813643,82163695.93201213,0.0,0.0,952304461.3161248,2778.46079344,14.04135972,20497.23541401,1083.96257378,5.47796408,16708549.08037304
2024-10-14 21:00:00,2024-10-14 21:00:00,123.08657142,0.97371516,462.11072746,3.65567272,60.60252199,0.47941537,29.97541358,7085.15158469,56.04932712,3571376.27077186,137665189.4322471,3046.07723403,24.09695506,438390.33641403,38478495.70874534,0.0,0.0,623210930.6938479,1863.89311371,14.74491457,6522.78197289,0.0,0.0,7097311.99791955
