start_time,average_cap,date,delta_cap,market_cap,realized_cap,thermo_cap
2023-01-27,142683965832.66754,2023-01-27,238283974845.90524,444450288839.32086,380967940678.5728,47894983865.18602
2023-01-28,142742554859.4071,2023-01-28,238310461656.5883,443772974247.2127,381053016515.99536,47919426269.21673
2023-01-29,142803815532.6903,2023-01-29,238388088849.25217,457622415535.08954,381191904381.9424,47943231527.73069
2023-01-30,142861631853.52032,2023-01-30,238429131960.53015,440037520919.8244,381290763814.0505,47963567343.56466
2023-01-31,142920551940.6343,2023-01-31,238502404114.7593,445828719793.62665,381422956055.3936,47980512414.75475
2023-02-01,142981692663.35632,2023-02-01,238827619738.75272,457367288899.9268,381809312402.109,48000874305.53604
2023-02-02,143041914102.38806,2023-02-02,238956717501.4351,452760775042.728,381998631603.8232,48022975430.479774
2023-02-03,143101896319.34946,2023-02-03,239016605257.55588,451650420368.74536,382118501576.90533,48043055157.911674
2023-02-04,143161471314.63742,2023-02-04,239117925575.33844,449674822071.2495,382279396889.9759,48063411489.89026
2023-02-05,143219591481.74365,2023-02-05,239085150088.3207,442305971410.35925,382304741570.06433,48085797418.03961
2023-02-06,143277015251.16577,2023-02-06,239084909086.9041,438837156466.8222,382361924338.0699,48107409654.262535
2023-02-07,143336218386.21783,2023-02-07,239079032703.71896,448113957634.2424,382415251089.9368,48128333296.15977
2023-02-08,143394333880.3855,2023-02-08,239109661444.99295,442631013349.72253,382503995325.3785,48148669699.36795
2023-02-09,143448081769.3398,2023-02-09,239062119040.9972,420249709883.922,382510200810.33704,48171971636.91864
2023-02-10,143501196258.41815,2023-02-10,238866077719.30017,417093929500.9529,382367273977.7183,48192545025.688
2023-02-11,143555137008.15854,2023-02-11,238806965298.52075,421457879670.691,382362102306.6793,48213092557.06895
2023-02-12,143608796609.3263,2023-02-12,238751672436.7582,420116721426.76935,382360469046.08453,48235643137.845695
2023-02-13,143662383199.86743,2023-02-13,238643897188.84412,419847670848.8189,382306280388.71155,48257301534.288734
2023-02-14,143717587085.31012,2023-02-14,238603593050.63815,428293616542.50665,382321180135.9483,48278944533.81684
2023-02-15,143780729877.64722,2023-02-15,238724053043.36972,469344967167.657,382504782921.0169,48302891449.56392
2023-02-16,143840868195.70587,2023-02-16,239061113008.66177,453974174424.1638,382901981204.3676,48331177471.052895
2023-02-17,143904899429.59088,2023-02-17,239108525912.83987,474178003808.45966,383013425342.4307,48356623711.12931
2023-02-18,143969072527.98413,2023-02-18,239146956130.5434,475038087138.76575,383116028658.5275,48382959370.02913
2023-02-19,144031864119.2097,2023-02-19,239172951713.98828,468036474843.1493,383204815833.198,48408293424.41641
2023-02-20,144096732810.41122,2023-02-20,239225131270.93695,478884048101.471,383321864081.34814,48431384854.29535
2023-02-21,144160221025.48047,2023-02-21,239253110734.38577,471886387212.9847,383413331759.8662,48457586954.1079
2023-02-22,144222668867.54007,2023-02-22,239112690816.65637,466640877421.2313,383335359684.1964,48479046731.84547
2023-02-23,144284193299.8638,2023-02-23,239171757480.81256,461996361819.5253,383455950780.67633,48505296374.77825
2023-02-24,144342866546.79132,2023-02-24,239084659997.32617,447390186927.49005,383427526544.1175,48525684231.859665
2023-02-25,144401424603.4551,2023-02-25,238959041547.91937,446912345328.64874,383360466151.37445,48541467954.75177
2023-02-26,144461464713.94614,2023-02-26,238943985617.5164,454688715621.01654,383405450331.4625,48566241156.00007
2023-02-27,144521243127.9345,2023-02-27,238973865989.13968,453456086619.8265,383495109117.07416,48587292336.49473
2023-02-28,144579677244.61548,2023-02-28,238602771604.3496,446625626368.5748,383182448848.9651,48607916253.05096
2023-03-01,144639911144.59497,2023-03-01,238397300987.3384,456049174038.63513,383037212131.9334,48633596173.76282
2023-03-02,144699537039.05795,2023-03-02,238307040965.49295,453025037307.1574,383006578004.5509,48655244736.32724
2023-03-03,144755036104.89606,2023-03-03,238123580833.33453,431796204619.5577,382878616938.2306,48679418862.40582
2023-03-04,144810447814.3741,2023-03-04,238051206507.31955,431455220944.3848,382861654321.69366,48701078874.195724
2023-03-05,144866156372.43552,2023-03-05,237787073352.60193,433102235782.0577,382653229725.0375,48723193827.93505
2023-03-06,144921782810.96725,2023-03-06,237658404216.42325,432788602212.714,382580187027.3905,48742224200.06445
2023-03-07,144976592553.93918,2023-03-07,236335099237.2396,428671822176.6399,381311691791.1788,48765825899.849304
2023-03-08,145029542606.593,2023-03-08,236198522227.38452,419151965195.3653,381228064833.97754,48784737940.92161
2023-03-09,145077446099.7808,2023-03-09,235945894338.0306,393121733826.25793,381023340437.8114,48803754645.19224
2023-03-10,145124367057.04922,2023-03-10,235514946860.3393,388128004750.1654,380639313917.3885,48821613802.128624
2023-03-11,145172089455.3822,2023-03-11,235392894560.1605,392374112820.2698,380564984015.54266,48843019160.97887
2023-03-12,145225531392.18732,2023-03-12,235336977790.45648,422108205979.4752,380562509182.6438,48864174294.70347
2023-03-13,145287233369.253,2023-03-13,235807801935.1943,465026878523.6015,381095035304.4473,48887260818.50716
2023-03-14,145350925614.64142,2023-03-14,236370367777.46976,475467833462.8448,381721293392.1112,48910859599.30734
2023-03-15,145413094954.59152,2023-03-15,236558087449.6371,467698953255.8632,381971182404.2286,48934266053.14519
2023-03-16,145478033765.1636,2023-03-16,236707063633.08325,482185766581.468,382185097398.2469,48955738682.54985
2023-03-17,145551862731.45663,2023-03-17,237533281028.14304,528428881927.11536,383085143759.5997,48981044281.91131
2023-03-18,145623831129.79764,2023-03-18,237736539646.0382,518923913324.54706,383360370775.8358,49009673622.73888
2023-03-19,145699644615.54688,2023-03-19,237928838828.79144,539020008682.6381,383628483444.3383,49035843238.867874
2023-03-20,145774550050.15085,2023-03-20,238280118034.97192,534458850210.2037,384054668085.1228,49063469660.91144
2023-03-21,145850954348.9042,2023-03-21,238603906267.39737,542389264878.7201,384454860616.3016,49089591543.04758
2023-03-22,145924378126.26205,2023-03-22,238830019621.5064,527067206390.8388,384754397747.7684,49118425276.86847
2023-03-23,146001440212.6429,2023-03-23,239297050886.5393,546107792702.1161,385298491099.1822,49151306686.83416
2023-03-24,146075317252.62628,2023-03-24,239429347659.47284,529718785886.2829,385504664912.0991,49180829667.414764
2023-03-25,146149291719.59308,2023-03-25,239411303081.39594,530372673145.07794,385560594800.989,49206589235.55909
2023-03-26,146225186421.41965,2023-03-26,239509720891.2491,540498162410.40967,385734907312.6688,49232130900.18064
2023-03-27,146297902493.15176,2023-03-27,240010541464.3701,524130611213.3647,386308443957.52185,49258265432.40322
2023-03-28,146371099335.17776,2023-03-28,240050888519.65408,526775087344.22906,386421987854.83185,49281640859.99299
2023-03-29,146448346532.70206,2023-03-29,240321880872.88477,547979279264.02515,386770227405.58685,49308254372.05731
2023-03-30,146524378750.16782,2023-03-30,234470619234.80844,541815877354.6583,380994997984.97626,49336507393.78327
2023-03-31,146602017375.10486,2023-03-31,234755395540.30325,550322867047.7218,381357412915.40814,49362265362.20034
2023-04-01,146679573460.4048,2023-04-01,234872017774.4857,550048773105.2579,381551591234.8904,49388038201.60128
2023-04-02,146756049215.96365,2023-04-02,234871347796.2752,544582929633.1419,381627397012.2388,49415055818.04098
2023-04-03,146831127468.31833,2023-04-03,234938414136.35944,537463274469.7468,381769541604.67773,49438742490.00719
2023-04-04,146907597956.01697,2023-04-04,234997403122.98465,544860015939.69586,381905001079.0016,49468113296.093506
2023-04-05,146983988367.03485,2023-04-05,235286054791.92752,544596077715.1254,382270043158.96234,49493640919.339966
2023-04-06,147059889270.28787,2023-04-06,235259012754.6356,542199991605.5307,382318902024.92346,49522561112.78523
2023-04-07,147135390134.7969,2023-04-07,235123440612.44904,540268391633.29865,382258830747.2459,49548107717.61149
2023-04-08,147210918486.72916,2023-04-08,235109336336.82663,540562575349.93555,382320254823.5558,49574435082.72478
2023-04-09,147287768688.84943,2023-04-09,235093112578.3192,547600471533.3042,382380881267.16864,49600447236.32229
2023-04-10,147369532223.41235,2023-04-10,235264639597.2381,573357547296.2482,382634171820.65045,49623017347.22056
2023-04-11,147453384063.4438,2023-04-11,235909119388.4589,584405322467.374,383362503451.90265,49652927059.64774
2023-04-12,147535968181.20184,2023-04-12,235974185918.45435,577964389936.0887,383510154099.6562,49683667497.900826
2023-04-13,147620332818.79208,2023-04-13,236236279947.14832,587413188576.801,383856612765.9404,49711278470.59846
2023-04-14,147705014475.25616,2023-04-14,236597269930.08865,589235171278.9581,384302284405.3448,49738888614.59731
2023-04-15,147789053375.76212,2023-04-15,236601880532.8779,586051919514.2621,384390933908.64,49769527361.13286
2023-04-16,147873145013.47034,2023-04-16,236620002674.1032,586495127299.5444,384493147687.57355,49793504823.9285
2023-04-17,147953884925.04904,2023-04-17,236581083747.2089,569174003631.2279,384534968672.25793,49822909033.522095
2023-04-18,148038140162.35458,2023-04-18,236798314675.28094,587681968422.6536,384836454837.6355,49854556301.51988
2023-04-19,148116492262.07693,2023-04-19,237004895198.38232,557036100712.9146,385121387460.4592,49880878808.395065
2023-04-20,148192813116.3633,2023-04-20,236920375748.05276,546587672491.3375,385113188864.4161,49905346363.46006
2023-04-21,148265443552.91473,2023-04-21,236921561862.74625,527468952787.8343,385187005415.66095,49931335718.01735
2023-04-22,148340097346.46912,2023-04-22,236846627153.75433,538182207287.46454,385186724500.22345,49957306737.90214
2023-04-23,148413897258.73868,2023-04-23,236873946828.0998,533870839042.6675,385287844086.8384,49983020302.369934
2023-04-24,148487347962.8175,2023-04-24,236782525524.3059,532193826070.6294,385269873487.1234,50007799873.48439
2023-04-25,148563750331.744,2023-04-25,236707445858.67636,547766127972.5813,385271196190.42035,50030057153.71593
2023-04-26,148640540464.60718,2023-04-26,236939755436.02573,549945774807.7063,385580295900.63293,50054426005.22138
2023-04-27,148721233249.677,2023-04-27,237023757375.909,570502420809.6669,385744990625.586,50079308402.10034
2023-04-28,148801278439.36624,2023-04-28,237163414631.9291,567277530134.6427,385964693071.29535,50107601512.992424
2023-04-29,148880984010.38623,2023-04-29,237254637288.77423,565661414873.894,386135621299.1605,50133926910.03657
2023-04-30,148960619233.12704,2023-04-30,237239043436.37885,565452834167.5385,386199662669.50586,50162462592.393906
2023-05-01,149035952972.2026,2023-05-01,237122522337.5037,543106742076.5663,386158475309.7063,50196786687.49626
2023-05-02,149113368476.99826,2023-05-02,237136822063.74155,554151289567.8843,386250190540.7398,50222850990.70711
2023-05-03,149192190173.79642,2023-05-03,237670540231.779,561666129518.5824,386862730405.57544,50251543063.1359
2023-05-04,149270366821.7299,2023-05-04,237680261004.01883,558446942105.425,386950627825.7487,50281285101.85878
2023-05-05,149350833132.49405,2023-05-05,237746833175.0166,570591969982.8503,387097666307.5106,50307010516.05904
2023-05-06,149428218483.22336,2023-05-06,237718363009.47336,554617914901.9988,387146581492.6967,50339452834.64089
2023-05-07,149504261658.76688,2023-05-07,239660142831.2057,547742371980.12354,389164404489.9726,50376184977.626144
2023-05-08,149577908753.77158,2023-05-08,239730293371.87064,535341392388.28735,389308202125.6422,50417798598.926155
2023-05-09,149651368216.48114,2023-05-09,239588018357.0457,534505493352.0213,389239386573.52686,50455967252.75547
2023-05-10,149724556050.53442,2023-05-10,239540812196.60333,533228806489.6644,389265368247.13776,50494899651.60862
2023-05-11,149795657589.63504,2023-05-11,239402183825.95703,522438824016.0636,389197841415.5921,50525933889.53837
2023-05-12,149866035991.73575,2023-05-12,239306813690.18613,518789619803.5321,389172849681.9219,50553833137.220314
2023-05-13,149936340244.41696,2023-05-13,239257640118.0695,518541537051.9759,389193980362.48645,50581057342.06985
2023-05-14,150007173362.8246,2023-05-14,239252200257.29544,521456046292.452,389259373620.12,50612661926.23626
2023-05-15,150078884684.74026,2023-05-15,239642576498.1722,526204768132.53,389721461182.9125,50640235815.14058
2023-05-16,150150101879.1147,2023-05-16,239711919783.45068,523755503567.28827,389862021662.56537,50669177647.84673
2023-05-17,150222700686.3244,2023-05-17,239677021621.4504,531148642115.67706,389899722307.7748,50698700871.21303
2023-05-18,150293112182.37573,2023-05-18,239597627077.18445,519812643459.8315,389890739259.5602,50725535980.39598
2023-05-19,150363710174.63452,2023-05-19,239474658370.92075,520932571541.0322,389838368545.5552,50753666917.945206
2023-05-20,150435072307.58847,2023-05-20,239444733890.53537,525086270315.7,389879806198.12384,50778210161.61469
2023-05-21,150505083881.2256,2023-05-21,239411971216.4054,518135857049.866,389917055097.631,50805602046.83559
2023-05-22,150575485777.9109,2023-05-22,239879801093.27252,520326247169.0657,390455286871.1834,50831647067.04475
2023-05-23,150647252289.2625,2023-05-23,239918245630.88315,527636736419.3916,390565497920.1457,50859759509.17518
2023-05-24,150715684788.12073,2023-05-24,239800147915.74847,510260033789.07385,390515832703.8692,50884931013.08289
2023-05-25,150784627531.29944,2023-05-25,239956117274.39032,513078742935.5264,390740744805.68976,50912175967.73578
2023-05-26,150854431954.75043,2023-05-26,239928341486.15356,517746481613.1698,390782773440.904,50940182840.33965
2023-05-27,150924802830.58014,2023-05-27,239882082013.0008,520864497067.24713,390806884843.58093,50966057598.67041
2023-05-28,150999603064.86703,2023-05-28,239944574379.38068,544299234945.47986,390944177444.24774,50995084717.99217
2023-05-29,151073140570.348,2023-05-29,240027560103.61453,537806881894.70807,391100700673.9625,51025275612.614365
2023-05-30,151146505730.78595,2023-05-30,240141674795.2369,537047249634.4364,391288180526.0229,51054239222.4796
2023-05-31,151218075117.13995,2023-05-31,240088871601.41696,527744616725.4683,391306946718.5569,51080062534.32878
2023-06-01,151288140721.0096,2023-06-01,240099083493.07492,519973348283.2338,391387224214.08453,51104145609.772835
2023-06-02,151359788959.40103,2023-06-02,240115749169.6401,528444467613.3208,391475538129.04114,51133887920.16075
2023-06-03,151430773508.15927,2023-06-03,240058914544.43115,525093438171.53326,391489688052.5904,51156970992.09872
2023-06-04,151501924416.9044,2023-06-04,240016843633.08524,526111458960.0165,391518768049.9896,51183329088.84193
2023-06-05,151567924936.71262,2023-06-05,239861081974.59363,499126662246.84534,391429006911.3062,51207663815.642715
2023-06-06,151639468690.11078,2023-06-06,239814185706.69135,528460417838.20166,391453654396.8021,51234370808.81886
2023-06-07,151709271431.96838,2023-06-07,239797531246.3151,519430115537.9207,391506802678.2835,51259472409.68094
2023-06-08,151778095703.2564,2023-06-08,239759832336.90985,514413181119.7434,391537928040.16626,51286779354.81249
2023-06-09,151846736407.86404,2023-06-09,239724488250.18835,513583249690.1101,391571224658.0524,51316728392.18272
2023-06-10,151913110385.77084,2023-06-10,239546755496.19315,501770347932.4885,391459865881.964,51342873312.92028
2023-06-11,151979767981.42184,2023-06-11,239486994997.2061,503398612253.54065,391466762978.6279,51370082041.39998
2023-06-12,152046650204.76212,2023-06-12,239372800442.58063,504716613878.0596,391419450647.3428,51396555296.96788
2023-06-13,152113267629.34018,2023-06-13,239301916798.47552,503453564853.96295,391415184427.8157,51421388447.239395
2023-06-14,152176942815.01736,2023-06-14,239270116119.0842,488063547262.2595,391447058934.1016,51441932361.64612
2023-06-15,152242164154.3155,2023-06-15,239060984662.4272,496349950291.14777,391303148816.7427,51466185335.28732
2023-06-16,152310125418.46356,2023-06-16,239032941058.06393,510941716327.9507,391343066476.5275,51491975853.2038
2023-06-17,152378728662.80347,2023-06-17,239008758930.5561,514466652288.7836,391387487593.3595,51516206841.21875
2023-06-18,152446687433.43866,2023-06-18,239095810454.1571,511201037616.67255,391542497887.59576,51542043590.19104
2023-06-19,152516477305.7621,2023-06-19,238803230037.43185,521007003173.3284,391319707343.1939,51566409782.90473
2023-06-20,152591628567.8593,2023-06-20,238746674295.34317,549465443703.3456,391338302863.2025,51590563491.69558
2023-06-21,152672976777.44794,2023-06-21,239222837001.87357,582354219824.6064,391895813779.3215,51613812205.17584
2023-06-22,152754358291.08206,2023-06-22,239573123139.43213,582692894820.1237,392327481430.51416,51641124327.46486
2023-06-23,152838362784.66547,2023-06-23,239896587842.33017,596718106879.3241,392734950626.9956,51666018160.149475
2023-06-24,152921612306.73663,2023-06-24,240079466105.9608,592895336452.8693,393001078412.69745,51694988287.51805
2023-06-25,153006969389.6944,2023-06-25,240167350500.60892,604204509904.5227,393174319890.30334,51725210685.68604
