start_time,datetime,failed_transactions_count_total
2021-01-19 19:00:00,2021-01-19 19:00:00,7250
2021-01-19 20:00:00,2021-01-19 20:00:00,6590
2021-01-19 21:00:00,2021-01-19 21:00:00,7747
2021-01-19 22:00:00,2021-01-19 22:00:00,7737
2021-01-19 23:00:00,2021-01-19 23:00:00,7795
2021-01-20 00:00:00,2021-01-20 00:00:00,5748
2021-01-20 01:00:00,2021-01-20 01:00:00,5047
2021-01-20 02:00:00,2021-01-20 02:00:00,3316
2021-01-20 03:00:00,2021-01-20 03:00:00,4023
2021-01-20 04:00:00,2021-01-20 04:00:00,5568
2021-01-20 05:00:00,2021-01-20 05:00:00,4244
2021-01-20 06:00:00,2021-01-20 06:00:00,4743
2021-01-20 07:00:00,2021-01-20 07:00:00,3922
2021-01-20 08:00:00,2021-01-20 08:00:00,4206
2021-01-20 09:00:00,2021-01-20 09:00:00,4677
2021-01-20 10:00:00,2021-01-20 10:00:00,8543
2021-01-20 11:00:00,2021-01-20 11:00:00,5174
2021-01-20 12:00:00,2021-01-20 12:00:00,7910
2021-01-20 13:00:00,2021-01-20 13:00:00,4478
2021-01-20 14:00:00,2021-01-20 14:00:00,4593
2021-01-20 15:00:00,2021-01-20 15:00:00,5910
2021-01-20 16:00:00,2021-01-20 16:00:00,7319
2021-01-20 17:00:00,2021-01-20 17:00:00,6844
2021-01-20 18:00:00,2021-01-20 18:00:00,6547
2021-01-20 19:00:00,2021-01-20 19:00:00,7263
2021-01-20 20:00:00,2021-01-20 20:00:00,7905
2021-01-20 21:00:00,2021-01-20 21:00:00,6036
2021-01-20 22:00:00,2021-01-20 22:00:00,6436
2021-01-20 23:00:00,2021-01-20 23:00:00,8861
