start_time,datetime,staking_validator_total
2021-01-19 18:00:00,2021-01-19 18:00:00,84416
2021-01-19 19:00:00,2021-01-19 19:00:00,84458
2021-01-19 20:00:00,2021-01-19 20:00:00,84476
2021-01-19 21:00:00,2021-01-19 21:00:00,84493
2021-01-19 22:00:00,2021-01-19 22:00:00,84504
2021-01-19 23:00:00,2021-01-19 23:00:00,84583
2021-01-20 00:00:00,2021-01-20 00:00:00,84591
2021-01-20 01:00:00,2021-01-20 01:00:00,84601
2021-01-20 02:00:00,2021-01-20 02:00:00,84657
2021-01-20 03:00:00,2021-01-20 03:00:00,85176
2021-01-20 04:00:00,2021-01-20 04:00:00,85412
2021-01-20 05:00:00,2021-01-20 05:00:00,85667
2021-01-20 06:00:00,2021-01-20 06:00:00,85669
2021-01-20 07:00:00,2021-01-20 07:00:00,85673
2021-01-20 08:00:00,2021-01-20 08:00:00,85683
2021-01-20 09:00:00,2021-01-20 09:00:00,85702
2021-01-20 10:00:00,2021-01-20 10:00:00,85702
2021-01-20 11:00:00,2021-01-20 11:00:00,85705
2021-01-20 12:00:00,2021-01-20 12:00:00,85771
2021-01-20 13:00:00,2021-01-20 13:00:00,85969
2021-01-20 14:00:00,2021-01-20 14:00:00,86126
2021-01-20 15:00:00,2021-01-20 15:00:00,86310
2021-01-20 16:00:00,2021-01-20 16:00:00,86508
2021-01-20 17:00:00,2021-01-20 17:00:00,86714
2021-01-20 18:00:00,2021-01-20 18:00:00,86753
2021-01-20 19:00:00,2021-01-20 19:00:00,86763
2021-01-20 20:00:00,2021-01-20 20:00:00,86785
2021-01-20 21:00:00,2021-01-20 21:00:00,86830
2021-01-20 22:00:00,2021-01-20 22:00:00,86832
2021-01-20 23:00:00,2021-01-20 23:00:00,86839
