start_time,datetime,tokens_transferred_mean,tokens_transferred_median,tokens_transferred_total
2021-01-07 04:00:00,2021-01-07 04:00:00,12.37670852,0.05114011,121328.87359924
2021-01-07 05:00:00,2021-01-07 05:00:00,9.22400486,0.03099857,110263.75413971
2021-01-07 06:00:00,2021-01-07 06:00:00,12.48067685,0.05572184,126903.52216233
2021-01-07 07:00:00,2021-01-07 07:00:00,3.32681243,0.01738344,72444.66755174
2021-01-07 08:00:00,2021-01-07 08:00:00,6.65484569,0.04409681,74554.23628089
2021-01-07 09:00:00,2021-01-07 09:00:00,5.6792014,0.04575774,71592.01288198
2021-01-07 10:00:00,2021-01-07 10:00:00,4.0453442,0.01555247,105672.48119557
2021-01-07 11:00:00,2021-01-07 11:00:00,4.61397754,0.02528769,72125.69696339
2021-01-07 12:00:00,2021-01-07 12:00:00,7.02129317,0.02583277,126355.19194663
2021-01-07 13:00:00,2021-01-07 13:00:00,6.56941126,0.0267716,156424.25148362
2021-01-07 14:00:00,2021-01-07 14:00:00,5.4767261,0.032785,59855.1395006
2021-01-07 15:00:00,2021-01-07 15:00:00,5.22992419,0.02971129,115936.95933459
2021-01-07 16:00:00,2021-01-07 16:00:00,4.9618629,0.04674,65322.92508015
2021-01-07 17:00:00,2021-01-07 17:00:00,6.07538947,0.05,73579.04192128
2021-01-07 18:00:00,2021-01-07 18:00:00,9.18950631,0.05245543,178120.20081886
2021-01-07 19:00:00,2021-01-07 19:00:00,6.45745384,0.02865618,129730.24760261
2021-01-07 20:00:00,2021-01-07 20:00:00,8.53177072,0.03112106,193321.39264491
2021-01-07 21:00:00,2021-01-07 21:00:00,6.93546423,0.02977809,135914.29258411
2021-01-07 22:00:00,2021-01-07 22:00:00,8.97061425,0.022989,228598.16291041
2021-01-07 23:00:00,2021-01-07 23:00:00,7.49408479,0.032469,109196.30949332
2021-01-08 00:00:00,2021-01-08 00:00:00,7.5820702,0.025066,105216.38821569
2021-01-08 01:00:00,2021-01-08 01:00:00,4.76802539,0.01762966,90940.54825986
2021-01-08 02:00:00,2021-01-08 02:00:00,9.3213233,0.03045116,117644.42143059
2021-01-08 03:00:00,2021-01-08 03:00:00,9.07402507,0.02704336,130847.44149448
2021-01-08 04:00:00,2021-01-08 04:00:00,7.69921867,0.02193667,86385.23344568
2021-01-08 05:00:00,2021-01-08 05:00:00,4.3882948,0.02600844,39060.21200973
2021-01-08 06:00:00,2021-01-08 06:00:00,5.90911605,0.02587512,82916.71637668
2021-01-08 07:00:00,2021-01-08 07:00:00,8.27477245,0.02800066,94721.32023444
2021-01-08 08:00:00,2021-01-08 08:00:00,6.32902709,0.0516371,70587.63907979
2021-01-08 09:00:00,2021-01-08 09:00:00,3.88947007,0.0454168,21528.21683887
2021-01-08 10:00:00,2021-01-08 10:00:00,4.81903151,0.03588091,115011.00596455
2021-01-08 11:00:00,2021-01-08 11:00:00,9.37481848,0.05825378,65220.61215399
2021-01-08 12:00:00,2021-01-08 12:00:00,11.55663878,0.05392827,94544.86183564
2021-01-08 13:00:00,2021-01-08 13:00:00,8.67429082,0.04193491,219181.98032524
2021-01-08 14:00:00,2021-01-08 14:00:00,7.01335283,0.03755189,133443.0642152
2021-01-08 15:00:00,2021-01-08 15:00:00,4.52745804,0.03313459,107192.09662092
2021-01-08 16:00:00,2021-01-08 16:00:00,5.11332844,0.03392203,87519.72960332
2021-01-08 17:00:00,2021-01-08 17:00:00,7.67142712,0.0266374,90407.76858707
2021-01-08 18:00:00,2021-01-08 18:00:00,8.98664435,0.04047326,105125.7655553
2021-01-08 19:00:00,2021-01-08 19:00:00,5.39920633,0.02749346,91986.27821922
2021-01-08 20:00:00,2021-01-08 20:00:00,8.08816272,0.02901503,208650.33370337
2021-01-08 21:00:00,2021-01-08 21:00:00,8.04104521,0.02866108,112695.24860348
2021-01-08 22:00:00,2021-01-08 22:00:00,8.6555861,0.02598997,114634.58224232
2021-01-08 23:00:00,2021-01-08 23:00:00,7.18960677,0.02,132518.83195495
2021-01-09 00:00:00,2021-01-09 00:00:00,2.42664274,0.02696814,29364.80380263
2021-01-09 01:00:00,2021-01-09 01:00:00,5.55149465,0.01977527,66906.6134972
2021-01-09 02:00:00,2021-01-09 02:00:00,5.6344014,0.02395249,73106.35814364
2021-01-09 03:00:00,2021-01-09 03:00:00,12.72185511,0.02395079,126264.41200409
2021-01-09 04:00:00,2021-01-09 04:00:00,6.01836035,0.01270025,97298.83183732
2021-01-09 05:00:00,2021-01-09 05:00:00,3.20776268,0.04583332,25822.48957576
2021-01-09 06:00:00,2021-01-09 06:00:00,9.28758344,0.01598628,125345.22604337
2021-01-09 07:00:00,2021-01-09 07:00:00,11.30838597,0.04352813,37984.86846383
2021-01-09 08:00:00,2021-01-09 08:00:00,8.55463247,0.0344277,110902.25531985
2021-01-09 09:00:00,2021-01-09 09:00:00,7.88966897,0.01938649,97413.74282403
2021-01-09 10:00:00,2021-01-09 10:00:00,5.96280857,0.02398062,73759.94198946
2021-01-09 11:00:00,2021-01-09 11:00:00,5.52715728,0.02049087,68564.38605729
2021-01-09 12:00:00,2021-01-09 12:00:00,4.39844787,0.02101883,75085.9036632
2021-01-09 13:00:00,2021-01-09 13:00:00,5.03164629,0.03006519,44127.53796797
2021-01-09 14:00:00,2021-01-09 14:00:00,6.70897524,0.02644515,48693.74228348
2021-01-09 15:00:00,2021-01-09 15:00:00,4.21380801,0.02004861,109719.13289653
2021-01-09 16:00:00,2021-01-09 16:00:00,3.0488603,0.01518917,58986.30029664
2021-01-09 17:00:00,2021-01-09 17:00:00,7.56385026,0.03052611,91530.15202374
2021-01-09 18:00:00,2021-01-09 18:00:00,4.67139158,0.01631903,86495.48644245
2021-01-09 19:00:00,2021-01-09 19:00:00,10.34689316,0.03667571,95005.17302502
2021-01-09 20:00:00,2021-01-09 20:00:00,7.1982837,0.01802259,100660.79927676
2021-01-09 21:00:00,2021-01-09 21:00:00,3.38967244,0.01602719,58878.61028621
2021-01-09 22:00:00,2021-01-09 22:00:00,5.65927498,0.01291303,129580.4191069
2021-01-09 23:00:00,2021-01-09 23:00:00,8.73513779,0.01484453,91762.62245739
2021-01-10 00:00:00,2021-01-10 00:00:00,8.63315775,0.01440133,141488.82240083
2021-01-10 01:00:00,2021-01-10 01:00:00,3.54320417,0.01680064,47549.80002152
2021-01-10 02:00:00,2021-01-10 02:00:00,7.76568863,0.0495381,47269.74667891
2021-01-10 03:00:00,2021-01-10 03:00:00,3.25423918,0.01211707,46717.85765569
2021-01-10 04:00:00,2021-01-10 04:00:00,2.74293142,0.01519858,35877.54302237
2021-01-10 05:00:00,2021-01-10 05:00:00,4.69643999,0.01857284,44874.48410049
2021-01-10 06:00:00,2021-01-10 06:00:00,5.10597575,0.01100516,99964.79317861
2021-01-10 07:00:00,2021-01-10 07:00:00,2.65855236,0.01564727,33197.34331093
2021-01-10 08:00:00,2021-01-10 08:00:00,6.3979625,0.0162247,73115.91546506
2021-01-10 09:00:00,2021-01-10 09:00:00,3.57542861,0.02471183,36161.88494721
2021-01-10 10:00:00,2021-01-10 10:00:00,4.78950781,0.01659065,80688.83815253
2021-01-10 11:00:00,2021-01-10 11:00:00,8.16131059,0.02030529,52509.8723667
2021-01-10 12:00:00,2021-01-10 12:00:00,9.70926354,0.04991449,131084.76709943
2021-01-10 13:00:00,2021-01-10 13:00:00,4.12343414,0.02620635,48990.52096497
2021-01-10 14:00:00,2021-01-10 14:00:00,3.89579613,0.01365657,78609.37426189
2021-01-10 15:00:00,2021-01-10 15:00:00,10.37683413,0.03298698,108479.42396573
2021-01-10 16:00:00,2021-01-10 16:00:00,5.47744468,0.03704429,36348.32292089
2021-01-10 17:00:00,2021-01-10 17:00:00,5.98737993,0.01919399,142511.61705787
2021-01-10 18:00:00,2021-01-10 18:00:00,4.27214644,0.01880151,87442.29326138
2021-01-10 19:00:00,2021-01-10 19:00:00,4.22725593,0.02127035,60686.4861549
2021-01-10 20:00:00,2021-01-10 20:00:00,7.77120342,0.04704317,112868.95844467
2021-01-10 21:00:00,2021-01-10 21:00:00,6.76609105,0.02091774,120761.19308638
2021-01-10 22:00:00,2021-01-10 22:00:00,3.84145484,0.01541245,66653.08298512
2021-01-10 23:00:00,2021-01-10 23:00:00,6.19416327,0.01758758,67714.59287382
2021-01-11 00:00:00,2021-01-11 00:00:00,6.28960842,0.01910003,67116.41143555
2021-01-11 01:00:00,2021-01-11 01:00:00,9.78181388,0.02616172,84847.45357164
2021-01-11 02:00:00,2021-01-11 02:00:00,6.58498137,0.02245208,101632.60249294
2021-01-11 03:00:00,2021-01-11 03:00:00,4.70619019,0.04468002,59123.86737305
2021-01-11 04:00:00,2021-01-11 04:00:00,9.38862826,0.04334083,109884.50512638
2021-01-11 05:00:00,2021-01-11 05:00:00,8.70824472,0.04129444,99482.98765045
2021-01-11 06:00:00,2021-01-11 06:00:00,3.91731216,0.04156338,37817.73155416
2021-01-11 07:00:00,2021-01-11 07:00:00,4.53048098,0.0306688,119414.41771202
2021-01-11 08:00:00,2021-01-11 08:00:00,3.79607164,0.04553099,35375.59162782
2021-01-11 09:00:00,2021-01-11 09:00:00,4.06053129,0.02378305,76199.93025508
2021-01-11 10:00:00,2021-01-11 10:00:00,6.95128779,0.02380072,118880.92382086
2021-01-11 11:00:00,2021-01-11 11:00:00,9.09851787,0.02519459,149434.05743691
2021-01-11 12:00:00,2021-01-11 12:00:00,2.97088376,0.04932097,29937.59564464
2021-01-11 13:00:00,2021-01-11 13:00:00,6.34576396,0.05244179,58679.27933285
2021-01-11 14:00:00,2021-01-11 14:00:00,6.98170435,0.07367645,73119.38963416
2021-01-11 15:00:00,2021-01-11 15:00:00,7.30853658,0.04067835,125122.14632745
2021-01-11 16:00:00,2021-01-11 16:00:00,10.16972951,0.06349688,52272.40969382
2021-01-11 17:00:00,2021-01-11 17:00:00,16.21446843,0.05370536,157426.27395561
2021-01-11 18:00:00,2021-01-11 18:00:00,8.58177783,0.03700339,148018.50407134
2021-01-11 19:00:00,2021-01-11 19:00:00,6.90270273,0.03220846,108172.25452441
2021-01-11 20:00:00,2021-01-11 20:00:00,8.07385845,0.03990604,224009.2027588
2021-01-11 21:00:00,2021-01-11 21:00:00,20.26360122,0.04208958,150133.02147195
2021-01-11 22:00:00,2021-01-11 22:00:00,5.11530781,0.03629202,92991.18075271
2021-01-11 23:00:00,2021-01-11 23:00:00,8.96477128,0.03028124,158613.69828814
2021-01-12 00:00:00,2021-01-12 00:00:00,10.39791755,0.02886272,184542.24061178
2021-01-12 01:00:00,2021-01-12 01:00:00,8.9721722,0.02287741,123878.78159321
2021-01-12 02:00:00,2021-01-12 02:00:00,6.82094401,0.02916779,119496.11814465
2021-01-12 03:00:00,2021-01-12 03:00:00,6.85035798,0.02182115,88643.6322059
2021-01-12 04:00:00,2021-01-12 04:00:00,9.52892645,0.02464622,100206.19055522
2021-01-12 05:00:00,2021-01-12 05:00:00,9.25941314,0.04500162,69390.04205096
2021-01-12 06:00:00,2021-01-12 06:00:00,7.20137686,0.02654853,122877.09339296
2021-01-12 07:00:00,2021-01-12 07:00:00,5.67082066,0.02317308,97027.74155846
2021-01-12 08:00:00,2021-01-12 08:00:00,10.90769566,0.03032,101921.50820739
2021-01-12 09:00:00,2021-01-12 09:00:00,3.28646656,0.02534534,64079.5250188
2021-01-12 10:00:00,2021-01-12 10:00:00,3.34806433,0.02265819,28622.60198277
2021-01-12 11:00:00,2021-01-12 11:00:00,4.16953113,0.0452424,55388.0515818
2021-01-12 12:00:00,2021-01-12 12:00:00,8.68479067,0.04389639,110053.6673491
