longShortRatio,shortAccount,time,longAccount,low,high,open,volume,close
3.17,24.0,1641600000,76.0,40500.0,42335.0,41553.87,283737.224,41688.05
2.98,25.13,1641686400,74.87,41170.0,42773.85,41688.05,223134.952,41851.22
2.83,26.09,1641772800,73.91,39610.0,42219.84,41851.22,453644.116,41801.55
2.64,27.46,1641859200,72.54,41255.0,43118.0,41801.55,323760.691,42700.68
1.97,33.7,1641945600,66.3,42415.0,44300.0,42700.69,281339.294,43880.72
2.36,29.76,1642032000,70.24,42301.16,44396.68,43880.72,289289.18,42534.32
2.79,26.41,1642118400,73.59,41666.0,43450.0,42538.72,272517.077,43042.4
2.23,30.98,1642204800,69.02,42530.64,43800.0,43042.4,184649.157,43070.51
2.23,30.98,1642291200,69.02,42531.69,43464.71,43070.51,177450.475,43060.66
2.39,29.53,1642377600,70.47,41523.68,43159.32,43060.66,232748.345,42176.34
3.18,23.93,1642464000,76.07,41260.0,42680.0,42176.34,267472.465,42337.58
2.68,27.16,1642550400,72.84,41115.64,42545.0,42337.58,333952.095,41657.89
2.73,26.8,1642636800,73.2,40550.0,43495.0,41656.9,399818.052,40661.69
3.19,23.85,1642723200,76.15,35380.92,41095.76,40662.06,790320.909,36425.98
2.55,28.19,1642809600,71.81,33950.0,36817.74,36426.46,676272.904,35043.73
1.89,34.6,1642896000,65.4,34588.8,36496.92,35043.73,369372.903,36230.01
1.82,35.44,1642982400,64.56,32853.83,37528.0,36230.0,823000.702,36648.31
1.29,43.61,1643068800,56.39,35693.0,37561.03,36648.3,409535.517,36934.26
1.19,45.67,1643155200,54.33,36232.42,38886.58,36934.26,554457.384,36787.43
1.26,44.35,1643241600,55.65,35471.53,37200.0,36787.42,422006.922,37131.0
1.27,44.13,1643328000,55.87,36149.02,38000.0,37131.0,367509.143,37696.21
0.96,51.14,1643414400,48.86,37252.0,38750.94,37696.22,238657.764,38150.01
0.95,51.31,1643500800,48.69,37334.83,38420.3,38150.0,195029.125,37870.01
0.95,51.35,1643587200,48.65,36620.0,38741.73,37870.0,318440.392,38439.04
0.73,57.83,1643673600,42.17,37969.0,39260.26,38439.04,353354.121,38680.51
0.83,54.6,1643760000,45.4,36529.81,38834.18,38680.51,337570.934,36892.03
1.25,44.5,1643846400,55.5,36204.3,37395.0,36892.05,318656.228,37289.86
1.25,44.47,1643932800,55.53,37011.0,41741.76,37287.33,520105.77,41550.0
0.76,56.81,1644019200,43.19,40920.0,41922.0,41550.0,242184.07,41374.69
0.73,57.75,1644105600,42.25,41100.0,42656.8,41374.68,215323.95,42361.35
0.82,54.97,1644192000,45.03,41609.76,44541.16,42361.34,418053.774,43829.99
0.89,52.81,1644278400,47.19,42641.0,45600.0,43829.99,468015.421,44021.57
1.11,47.46,1644364800,52.54,43089.08,44826.0,44021.58,300270.062,44358.08
1.11,47.5,1644451200,52.5,43136.96,45847.5,44358.09,563922.075,43471.29
1.29,43.64,1644537600,56.36,41914.23,43900.0,43471.3,414646.193,42366.0
1.52,39.64,1644624000,60.36,41540.0,42980.0,42365.99,256269.325,42199.87
1.67,37.43,1644710400,62.57,41850.0,42755.97,42199.88,192068.012,42041.13
1.72,36.83,1644796800,63.17,41526.0,42888.0,42041.12,303990.933,42525.14
1.34,42.71,1644883200,57.29,42406.23,44777.0,42525.14,276735.421,44529.6
1.19,45.68,1644969600,54.32,43277.8,44536.8,44529.7,255790.287,43860.7
1.36,42.36,1645056000,57.64,40020.1,44150.0,43860.8,433958.984,40491.7
1.99,33.49,1645142400,66.51,39422.0,40944.1,40491.8,377679.782,39966.8
1.89,34.61,1645228800,65.39,39610.3,40438.7,39966.8,185624.675,40052.6
2.08,32.43,1645315200,67.57,37905.0,40100.1,40052.6,329740.444,38368.1
2.02,33.11,1645401600,66.89,36762.0,39510.0,38367.9,646391.815,36986.4
1.92,34.2,1645488000,65.8,36310.1,38450.0,36986.4,465313.497,38212.0
1.92,34.2,1645574400,65.8,36963.2,39250.0,38212.1,408056.255,37227.8
1.65,37.81,1645660800,62.19,34303.7,40376.1,37227.9,919820.907,38315.1
1.23,44.83,1645747200,55.17,37999.2,39750.0,38316.2,416316.366,39205.4
1.1,47.73,1645833600,52.27,38561.7,40441.1,39205.4,251892.201,39099.3
1.14,46.79,1645920000,53.21,36934.6,39868.6,39099.3,423197.247,37672.0
1.43,41.2,1646006400,58.8,37414.4,44341.0,37672.1,615391.161,43155.0
1.04,48.97,1646092800,51.03,42765.4,44935.0,43155.0,448483.646,44394.1
0.94,51.46,1646179200,48.54,43321.0,45350.0,44393.6,407603.721,43885.7
0.99,50.27,1646265600,49.73,41831.0,44080.0,43885.8,365565.832,42449.5
1.42,41.35,1646352000,58.65,38521.0,42525.3,42449.6,469138.374,39127.7
1.82,35.48,1646438400,64.52,38547.6,39580.0,39127.7,198747.893,39375.1
2.2,31.28,1646524800,68.72,38056.0,39690.0,39375.0,311705.26,38401.1
2.11,32.15,1646611200,67.85,37134.0,39550.0,38401.1,490254.516,37963.8
2.19,31.39,1646697600,68.61,37853.0,39340.5,37963.7,421462.367,38709.9
1.83,35.31,1646784000,64.69,38638.7,42647.5,38709.9,462059.811,41937.5
1.24,44.6,1646870400,55.4,38512.0,42034.3,41939.5,520645.186,39407.2
1.24,44.6,1646956800,55.4,38200.1,40242.0,39407.1,467078.892,38713.0
1.24,44.6,1647043200,55.4,38630.0,39578.4,38713.1,172494.825,38792.6
1.24,44.6,1647129600,55.4,37500.0,39300.0,38792.7,236623.694,37743.7
1.24,44.6,1647216000,55.4,37522.1,39989.0,37743.0,360058.358,39653.8
1.85,35.1,1647302400,64.9,38073.8,39901.8,39651.6,345019.243,39271.0
1.29,43.69,1647388800,56.31,38700.0,41804.0,39270.9,650589.661,41105.8
1.21,45.25,1647475200,54.75,40442.8,41498.4,41105.9,243988.794,40898.1
1.37,42.21,1647561600,57.79,40084.2,42322.8,40898.0,299134.443,41751.5
1.37,42.21,1647648000,57.79,41500.0,42446.6,41751.6,186459.954,42188.2
1.05,48.68,1647734400,51.32,40900.0,42269.3,42188.2,235774.129,41261.0
1.3,43.47,1647820800,56.53,40430.0,41544.4,41261.0,308396.46,40982.0
1.65,37.73,1647907200,62.27,40852.0,43517.7,40982.0,374297.674,42349.8
1.29,43.67,1647993600,56.33,41731.3,43051.0,42349.9,282631.74,42867.9
1.37,42.18,1648080000,57.82,42525.0,44200.0,42867.8,331440.057,43973.4
0.76,56.92,1648166400,43.08,43575.1,45142.0,43973.2,348620.122,44290.6
0.75,57.24,1648252800,42.76,44041.0,44785.0,44290.6,140712.587,44489.2
0.82,54.85,1648339200,45.15,44416.0,47047.0,44489.3,269280.228,46820.8
0.85,53.97,1648425600,46.03,46651.2,48200.0,46820.9,317565.782,47121.9
0.88,53.21,1648512000,46.79,46911.0,48100.0,47121.8,259040.835,47418.5
1.02,49.48,1648598400,50.52,46535.0,47688.6,47418.5,235009.892,47053.2
1.2,45.52,1648684800,54.48,45185.0,47619.4,47053.1,299837.61,45506.0
1.54,39.32,1648771200,60.68,44206.2,46700.0,45505.9,360734.553,46266.2
1.81,35.65,1648857600,64.35,45600.0,47236.8,46266.2,226413.357,45794.6
1.81,35.65,1648944000,64.35,45501.0,47448.0,45792.3,212589.013,46392.4
1.86,34.95,1649030400,65.05,45094.0,46895.5,46392.3,272796.541,46580.9
1.67,37.42,1649116800,62.58,45300.0,47188.0,46580.9,257524.639,45477.4
1.67,37.42,1649203200,62.58,43100.0,45494.2,45477.5,384359.375,43159.7
1.67,37.42,1649289600,62.58,42685.0,43888.0,43159.8,229567.98,43417.1
1.67,37.42,1649376000,62.58,42074.0,43968.1,43417.1,310095.829,42229.2
1.67,37.42,1649462400,62.58,42100.3,42796.7,42229.1,119722.654,42727.7
2.62,27.64,1649548800,72.36,41838.0,43399.4,42727.8,181904.47,42140.4
2.62,27.64,1649635200,72.36,39136.7,42399.9,42140.3,439530.02,39505.6
2.58,27.96,1649721600,72.04,39224.0,40700.0,39505.6,349883.631,40060.7
3.03,24.81,1649808000,75.19,39569.8,41580.0,40060.7,324910.931,41129.8
2.27,30.59,1649894400,69.41,39522.0,41474.8,41129.8,261966.391,39915.9
2.89,25.69,1649980800,74.31,39734.2,40888.0,39915.9,194680.671,40529.5
2.59,27.87,1650067200,72.13,39944.9,40700.0,40529.6,127705.057,40361.0
2.56,28.09,1650153600,71.91,39510.0,40574.1,40360.9,170331.824,39649.1
2.88,25.78,1650240000,74.22,38465.7,41310.0,39649.1,362435.319,40785.6
2.3,30.3,1650326400,69.7,40543.7,41788.0,40785.7,214404.271,41472.9
2.05,32.76,1650412800,67.24,40800.0,42166.8,41472.9,257382.427,41327.7
1.95,33.87,1650499200,66.13,39630.0,42966.0,41326.0,393149.956,40449.8
2.51,28.5,1650585600,71.5,39133.0,40786.1,40449.7,314935.753,39674.2
3.32,23.16,1650672000,76.84,39259.0,40000.0,39674.3,125046.817,39415.1
3.12,24.26,1650758400,75.74,38884.1,39930.6,39413.8,180371.762,39433.4
3.12,24.29,1650844800,75.71,38111.0,40650.0,39433.4,448877.893,40411.0
2.64,27.46,1650931200,72.54,37671.8,40800.0,40411.0,453132.198,38093.7
3.39,22.8,1651017600,77.2,37844.5,39470.0,38093.7,385645.365,39209.0
3.39,22.8,1651104000,77.2,38861.8,40376.6,39209.0,413543.408,39732.5
3.39,22.8,1651190400,77.2,38160.0,39924.8,39732.5,308116.375,38572.2
2.71,26.98,1651276800,73.02,37550.0,38782.6,38572.2,181810.382,37614.5
3.18,23.95,1651363200,76.05,37350.0,38680.6,37614.4,236549.462,38440.5
3.01,24.97,1651449600,75.03,38032.2,39222.0,38440.2,336845.365,38525.6
2.45,28.96,1651536000,71.04,37500.1,38674.7,38525.5,248986.222,37712.9
3.55,21.96,1651622400,78.04,37655.2,40071.7,37713.0,424498.818,39684.0
1.75,36.32,1651708800,63.68,35388.0,39845.0,39684.1,547209.0,36534.7
3.84,20.65,1651795200,79.35,35200.0,36679.3,36533.7,431979.24,35995.3
3.33,23.11,1651881600,76.89,34700.0,36138.0,35995.2,200264.833,35466.7
3.4,22.75,1651968000,77.25,33665.0,35504.0,35466.7,426872.584,34032.0
