start_time,bank_supply_ratio,date
2022-03-26,0.00613856,2022-03-26
2022-03-27,0.0061383,2022-03-27
2022-03-28,0.00613798,2022-03-28
2022-03-29,0.00613767,2022-03-29
2022-03-30,0.0061374,2022-03-30
2022-03-31,0.00613712,2022-03-31
2022-04-01,0.00613683,2022-04-01
2022-04-02,0.00613656,2022-04-02
2022-04-03,0.00613628,2022-04-03
2022-04-04,0.00613596,2022-04-04
2022-04-05,0.00613567,2022-04-05
2022-04-06,0.00613537,2022-04-06
2022-04-07,0.00613509,2022-04-07
2022-04-08,0.00613482,2022-04-08
2022-04-09,0.00613451,2022-04-09
2022-04-10,0.00613423,2022-04-10
2022-04-11,0.00613395,2022-04-11
2022-04-12,0.00613364,2022-04-12
2022-04-13,0.00613336,2022-04-13
2022-04-14,0.00613308,2022-04-14
2022-04-15,0.00613276,2022-04-15
2022-04-16,0.00613249,2022-04-16
2022-04-17,0.00613216,2022-04-17
2022-04-18,0.00613189,2022-04-18
2022-04-19,0.00613164,2022-04-19
2022-04-20,0.00613132,2022-04-20
2022-04-21,0.00613098,2022-04-21
2022-04-22,0.00613071,2022-04-22
2022-04-23,0.00613038,2022-04-23
2022-04-24,0.00613003,2022-04-24
2022-04-25,0.00612971,2022-04-25
2022-04-26,0.00612942,2022-04-26
2022-04-27,0.00612908,2022-04-27
2022-04-28,0.00612882,2022-04-28
2022-04-29,0.00612851,2022-04-29
2022-04-30,0.00612821,2022-04-30
2022-05-01,0.00612788,2022-05-01
2022-05-02,0.00612755,2022-05-02
2022-05-03,0.00612725,2022-05-03
2022-05-04,0.00612696,2022-05-04
2022-05-05,0.00612664,2022-05-05
2022-05-06,0.00612636,2022-05-06
2022-05-07,0.00612607,2022-05-07
2022-05-08,0.00612576,2022-05-08
2022-05-09,0.00612545,2022-05-09
2022-05-10,0.00612514,2022-05-10
2022-05-11,0.00612485,2022-05-11
2022-05-12,0.00612458,2022-05-12
2022-05-13,0.00612427,2022-05-13
2022-05-14,0.00612399,2022-05-14
2022-05-15,0.00612374,2022-05-15
2022-05-16,0.00612341,2022-05-16
2022-05-17,0.00612312,2022-05-17
2022-05-18,0.00612285,2022-05-18
2022-05-19,0.0061226,2022-05-19
2022-05-20,0.00612234,2022-05-20
2022-05-21,0.00612207,2022-05-21
2022-05-22,0.00612183,2022-05-22
2022-05-23,0.00612151,2022-05-23
2022-05-24,0.00612127,2022-05-24
2022-05-25,0.00612098,2022-05-25
2022-05-26,0.00612069,2022-05-26
2022-05-27,0.00612042,2022-05-27
2022-05-28,0.00612012,2022-05-28
2022-05-29,0.00611982,2022-05-29
2022-05-30,0.00611951,2022-05-30
2022-05-31,0.00611922,2022-05-31
2022-06-01,0.00611894,2022-06-01
2022-06-02,0.00611869,2022-06-02
2022-06-03,0.00611841,2022-06-03
2022-06-04,0.00611813,2022-06-04
2022-06-05,0.00611784,2022-06-05
2022-06-06,0.00611753,2022-06-06
2022-06-07,0.00611721,2022-06-07
2022-06-08,0.00611685,2022-06-08
2022-06-09,0.00611656,2022-06-09
2022-06-10,0.00611626,2022-06-10
2022-06-11,0.00611596,2022-06-11
2022-06-12,0.0061157,2022-06-12
2022-06-13,0.00657435,2022-06-13
2022-06-14,0.00657404,2022-06-14
2022-06-15,0.00657368,2022-06-15
2022-06-16,0.00657342,2022-06-16
2022-06-17,0.00657319,2022-06-17
2022-06-18,0.00657285,2022-06-18
2022-06-19,0.00657257,2022-06-19
2022-06-20,0.00657228,2022-06-20
2022-06-21,0.00657196,2022-06-21
2022-06-22,0.00657168,2022-06-22
2022-06-23,0.00657136,2022-06-23
2022-06-24,0.00657108,2022-06-24
2022-06-25,0.00657075,2022-06-25
2022-06-26,0.00657046,2022-06-26
2022-06-27,0.00657016,2022-06-27
2022-06-28,0.00656985,2022-06-28
2022-06-29,0.00656952,2022-06-29
2022-06-30,0.00656916,2022-06-30
2022-07-01,0.00656887,2022-07-01
2022-07-02,0.00656857,2022-07-02
2022-07-03,0.00656824,2022-07-03
2022-07-04,0.00656793,2022-07-04
2022-07-05,0.00656768,2022-07-05
2022-07-06,0.0065674,2022-07-06
2022-07-07,0.00656707,2022-07-07
2022-07-08,0.00656675,2022-07-08
2022-07-09,0.00656646,2022-07-09
2022-07-10,0.00656613,2022-07-10
2022-07-11,0.00656587,2022-07-11
2022-07-12,0.00656554,2022-07-12
2022-07-13,0.0065653,2022-07-13
2022-07-14,0.00656504,2022-07-14
2022-07-15,0.00656473,2022-07-15
2022-07-16,0.00656442,2022-07-16
2022-07-17,0.00656415,2022-07-17
2022-07-18,0.00656387,2022-07-18
2022-07-19,0.00656357,2022-07-19
2022-07-20,0.0065633,2022-07-20
2022-07-21,0.006563,2022-07-21
2022-07-22,0.00656272,2022-07-22
2022-07-23,0.00656239,2022-07-23
2022-07-24,0.00656205,2022-07-24
2022-07-25,0.00656175,2022-07-25
2022-07-26,0.0065614,2022-07-26
2022-07-27,0.00656105,2022-07-27
2022-07-28,0.00656075,2022-07-28
2022-07-29,0.00656043,2022-07-29
2022-07-30,0.00656016,2022-07-30
2022-07-31,0.00655983,2022-07-31
2022-08-01,0.00655954,2022-08-01
2022-08-02,0.0065592,2022-08-02
2022-08-03,0.00655889,2022-08-03
2022-08-04,0.00655861,2022-08-04
2022-08-05,0.00655829,2022-08-05
2022-08-06,0.00655794,2022-08-06
2022-08-07,0.0065576,2022-08-07
2022-08-08,0.00655729,2022-08-08
2022-08-09,0.00655699,2022-08-09
2022-08-10,0.00655667,2022-08-10
2022-08-11,0.00655637,2022-08-11
2022-08-12,0.00655604,2022-08-12
2022-08-13,0.00655574,2022-08-13
2022-08-14,0.00655546,2022-08-14
2022-08-15,0.00655515,2022-08-15
2022-08-16,0.00655483,2022-08-16
2022-08-17,0.00655455,2022-08-17
2022-08-18,0.00655424,2022-08-18
2022-08-19,0.00655386,2022-08-19
2022-08-20,0.00655354,2022-08-20
2022-08-21,0.00655323,2022-08-21
2022-08-22,0.00655292,2022-08-22
2022-08-23,0.00655255,2022-08-23
2022-08-24,0.00655224,2022-08-24
2022-08-25,0.0065519,2022-08-25
2022-08-26,0.00655152,2022-08-26
