start_time,datetime,phase0_success_rate
2021-01-10 13:00:00,2021-01-10 13:00:00,448.58
2021-01-10 14:00:00,2021-01-10 14:00:00,448.6
2021-01-10 15:00:00,2021-01-10 15:00:00,448.62
2021-01-10 16:00:00,2021-01-10 16:00:00,448.68
2021-01-10 17:00:00,2021-01-10 17:00:00,448.76
2021-01-10 18:00:00,2021-01-10 18:00:00,448.85
2021-01-10 19:00:00,2021-01-10 19:00:00,449.26
2021-01-10 20:00:00,2021-01-10 20:00:00,449.29
2021-01-10 21:00:00,2021-01-10 21:00:00,450.01
2021-01-10 22:00:00,2021-01-10 22:00:00,450.21
2021-01-10 23:00:00,2021-01-10 23:00:00,450.27
2021-01-11 00:00:00,2021-01-11 00:00:00,450.35
2021-01-11 01:00:00,2021-01-11 01:00:00,450.52
2021-01-11 02:00:00,2021-01-11 02:00:00,450.6
2021-01-11 03:00:00,2021-01-11 03:00:00,450.63
2021-01-11 04:00:00,2021-01-11 04:00:00,450.64
2021-01-11 05:00:00,2021-01-11 05:00:00,451.25
2021-01-11 06:00:00,2021-01-11 06:00:00,451.26
2021-01-11 07:00:00,2021-01-11 07:00:00,451.27
2021-01-11 08:00:00,2021-01-11 08:00:00,451.29
2021-01-11 09:00:00,2021-01-11 09:00:00,451.76
2021-01-11 10:00:00,2021-01-11 10:00:00,452.98
2021-01-11 11:00:00,2021-01-11 11:00:00,454.13
2021-01-11 12:00:00,2021-01-11 12:00:00,455.43
2021-01-11 13:00:00,2021-01-11 13:00:00,456.45
2021-01-11 14:00:00,2021-01-11 14:00:00,457.53
2021-01-11 15:00:00,2021-01-11 15:00:00,458.17
2021-01-11 16:00:00,2021-01-11 16:00:00,458.19
2021-01-11 17:00:00,2021-01-11 17:00:00,458.22
2021-01-11 18:00:00,2021-01-11 18:00:00,458.31
2021-01-11 19:00:00,2021-01-11 19:00:00,458.39
2021-01-11 20:00:00,2021-01-11 20:00:00,458.79
2021-01-11 21:00:00,2021-01-11 21:00:00,458.83
2021-01-11 22:00:00,2021-01-11 22:00:00,458.83
2021-01-11 23:00:00,2021-01-11 23:00:00,458.95
2021-01-12 00:00:00,2021-01-12 00:00:00,459.09
2021-01-12 01:00:00,2021-01-12 01:00:00,459.13
2021-01-12 02:00:00,2021-01-12 02:00:00,459.16
2021-01-12 03:00:00,2021-01-12 03:00:00,459.2
2021-01-12 04:00:00,2021-01-12 04:00:00,459.24
2021-01-12 05:00:00,2021-01-12 05:00:00,459.3
2021-01-12 06:00:00,2021-01-12 06:00:00,459.31
2021-01-12 07:00:00,2021-01-12 07:00:00,459.53
2021-01-12 08:00:00,2021-01-12 08:00:00,460.62
2021-01-12 09:00:00,2021-01-12 09:00:00,461.16
2021-01-12 10:00:00,2021-01-12 10:00:00,461.38
2021-01-12 11:00:00,2021-01-12 11:00:00,461.62
2021-01-12 12:00:00,2021-01-12 12:00:00,461.72
2021-01-12 13:00:00,2021-01-12 13:00:00,461.75
2021-01-12 14:00:00,2021-01-12 14:00:00,461.93
2021-01-12 15:00:00,2021-01-12 15:00:00,461.94
2021-01-12 16:00:00,2021-01-12 16:00:00,462.04
2021-01-12 17:00:00,2021-01-12 17:00:00,462.48
2021-01-12 18:00:00,2021-01-12 18:00:00,462.51
2021-01-12 19:00:00,2021-01-12 19:00:00,462.55
2021-01-12 20:00:00,2021-01-12 20:00:00,462.72
2021-01-12 21:00:00,2021-01-12 21:00:00,462.8
2021-01-12 22:00:00,2021-01-12 22:00:00,462.89
2021-01-12 23:00:00,2021-01-12 23:00:00,464.03
2021-01-13 00:00:00,2021-01-13 00:00:00,464.06
2021-01-13 01:00:00,2021-01-13 01:00:00,464.13
2021-01-13 02:00:00,2021-01-13 02:00:00,464.15
2021-01-13 03:00:00,2021-01-13 03:00:00,464.31
2021-01-13 04:00:00,2021-01-13 04:00:00,464.41
2021-01-13 05:00:00,2021-01-13 05:00:00,464.42
2021-01-13 06:00:00,2021-01-13 06:00:00,464.47
2021-01-13 07:00:00,2021-01-13 07:00:00,464.53
2021-01-13 08:00:00,2021-01-13 08:00:00,464.61
2021-01-13 09:00:00,2021-01-13 09:00:00,464.67
2021-01-13 10:00:00,2021-01-13 10:00:00,464.69
2021-01-13 11:00:00,2021-01-13 11:00:00,464.73
2021-01-13 12:00:00,2021-01-13 12:00:00,464.96
2021-01-13 13:00:00,2021-01-13 13:00:00,465.19
2021-01-13 14:00:00,2021-01-13 14:00:00,465.87
2021-01-13 15:00:00,2021-01-13 15:00:00,466.38
2021-01-13 16:00:00,2021-01-13 16:00:00,466.66
2021-01-13 17:00:00,2021-01-13 17:00:00,467.14
2021-01-13 18:00:00,2021-01-13 18:00:00,467.4
2021-01-13 19:00:00,2021-01-13 19:00:00,467.43
2021-01-13 20:00:00,2021-01-13 20:00:00,467.5
2021-01-13 21:00:00,2021-01-13 21:00:00,468.54
2021-01-13 22:00:00,2021-01-13 22:00:00,469.07
2021-01-13 23:00:00,2021-01-13 23:00:00,469.2
2021-01-14 00:00:00,2021-01-14 00:00:00,469.31
2021-01-14 01:00:00,2021-01-14 01:00:00,469.93
2021-01-14 02:00:00,2021-01-14 02:00:00,470.14
2021-01-14 03:00:00,2021-01-14 03:00:00,470.44
2021-01-14 04:00:00,2021-01-14 04:00:00,470.71
2021-01-14 05:00:00,2021-01-14 05:00:00,470.72
2021-01-14 06:00:00,2021-01-14 06:00:00,470.75
2021-01-14 07:00:00,2021-01-14 07:00:00,471.57
2021-01-14 08:00:00,2021-01-14 08:00:00,473.68
2021-01-14 09:00:00,2021-01-14 09:00:00,474.43
2021-01-14 10:00:00,2021-01-14 10:00:00,474.46
2021-01-14 11:00:00,2021-01-14 11:00:00,474.55
2021-01-14 12:00:00,2021-01-14 12:00:00,474.58
2021-01-14 13:00:00,2021-01-14 13:00:00,474.76
2021-01-14 14:00:00,2021-01-14 14:00:00,474.87
2021-01-14 15:00:00,2021-01-14 15:00:00,474.94
2021-01-14 16:00:00,2021-01-14 16:00:00,476.14
2021-01-14 17:00:00,2021-01-14 17:00:00,476.68
2021-01-14 18:00:00,2021-01-14 18:00:00,477.11
2021-01-14 19:00:00,2021-01-14 19:00:00,477.28
2021-01-14 20:00:00,2021-01-14 20:00:00,477.42
2021-01-14 21:00:00,2021-01-14 21:00:00,477.52
2021-01-14 22:00:00,2021-01-14 22:00:00,477.7
2021-01-14 23:00:00,2021-01-14 23:00:00,477.72
2021-01-15 00:00:00,2021-01-15 00:00:00,477.74
2021-01-15 01:00:00,2021-01-15 01:00:00,478.05
2021-01-15 02:00:00,2021-01-15 02:00:00,478.13
2021-01-15 03:00:00,2021-01-15 03:00:00,478.19
2021-01-15 04:00:00,2021-01-15 04:00:00,478.21
2021-01-15 05:00:00,2021-01-15 05:00:00,478.34
2021-01-15 06:00:00,2021-01-15 06:00:00,478.43
2021-01-15 07:00:00,2021-01-15 07:00:00,478.52
2021-01-15 08:00:00,2021-01-15 08:00:00,478.91
2021-01-15 09:00:00,2021-01-15 09:00:00,479.19
2021-01-15 10:00:00,2021-01-15 10:00:00,479.24
2021-01-15 11:00:00,2021-01-15 11:00:00,479.38
2021-01-15 12:00:00,2021-01-15 12:00:00,479.5
2021-01-15 13:00:00,2021-01-15 13:00:00,479.57
2021-01-15 14:00:00,2021-01-15 14:00:00,479.62
2021-01-15 15:00:00,2021-01-15 15:00:00,479.62
2021-01-15 16:00:00,2021-01-15 16:00:00,479.66
2021-01-15 17:00:00,2021-01-15 17:00:00,479.73
2021-01-15 18:00:00,2021-01-15 18:00:00,479.79
2021-01-15 19:00:00,2021-01-15 19:00:00,479.83
2021-01-15 20:00:00,2021-01-15 20:00:00,479.87
2021-01-15 21:00:00,2021-01-15 21:00:00,479.91
2021-01-15 22:00:00,2021-01-15 22:00:00,480.04
2021-01-15 23:00:00,2021-01-15 23:00:00,480.08
2021-01-16 00:00:00,2021-01-16 00:00:00,480.39
2021-01-16 01:00:00,2021-01-16 01:00:00,480.42
2021-01-16 02:00:00,2021-01-16 02:00:00,480.44
2021-01-16 03:00:00,2021-01-16 03:00:00,480.46
2021-01-16 04:00:00,2021-01-16 04:00:00,480.51
2021-01-16 05:00:00,2021-01-16 05:00:00,480.63
2021-01-16 06:00:00,2021-01-16 06:00:00,480.8
2021-01-16 07:00:00,2021-01-16 07:00:00,480.82
2021-01-16 08:00:00,2021-01-16 08:00:00,480.88
2021-01-16 09:00:00,2021-01-16 09:00:00,480.91
2021-01-16 10:00:00,2021-01-16 10:00:00,480.96
2021-01-16 11:00:00,2021-01-16 11:00:00,480.97
2021-01-16 12:00:00,2021-01-16 12:00:00,481.03
2021-01-16 13:00:00,2021-01-16 13:00:00,481.03
2021-01-16 14:00:00,2021-01-16 14:00:00,481.43
2021-01-16 15:00:00,2021-01-16 15:00:00,481.7
2021-01-16 16:00:00,2021-01-16 16:00:00,481.9
2021-01-16 17:00:00,2021-01-16 17:00:00,482.29
2021-01-16 18:00:00,2021-01-16 18:00:00,482.7
2021-01-16 19:00:00,2021-01-16 19:00:00,482.94
2021-01-16 20:00:00,2021-01-16 20:00:00,482.95
2021-01-16 21:00:00,2021-01-16 21:00:00,483.05
2021-01-16 22:00:00,2021-01-16 22:00:00,483.34
2021-01-16 23:00:00,2021-01-16 23:00:00,483.36
2021-01-17 00:00:00,2021-01-17 00:00:00,483.63
2021-01-17 01:00:00,2021-01-17 01:00:00,483.64
2021-01-17 02:00:00,2021-01-17 02:00:00,483.66
2021-01-17 03:00:00,2021-01-17 03:00:00,483.69
2021-01-17 04:00:00,2021-01-17 04:00:00,483.7
2021-01-17 05:00:00,2021-01-17 05:00:00,483.72
2021-01-17 06:00:00,2021-01-17 06:00:00,483.73
2021-01-17 07:00:00,2021-01-17 07:00:00,483.74
2021-01-17 08:00:00,2021-01-17 08:00:00,483.78
2021-01-17 09:00:00,2021-01-17 09:00:00,484.0
2021-01-17 10:00:00,2021-01-17 10:00:00,484.02
2021-01-17 11:00:00,2021-01-17 11:00:00,484.03
2021-01-17 12:00:00,2021-01-17 12:00:00,484.06
2021-01-17 13:00:00,2021-01-17 13:00:00,484.09
2021-01-17 14:00:00,2021-01-17 14:00:00,484.11
2021-01-17 15:00:00,2021-01-17 15:00:00,484.17
2021-01-17 16:00:00,2021-01-17 16:00:00,484.25
2021-01-17 17:00:00,2021-01-17 17:00:00,484.3
2021-01-17 18:00:00,2021-01-17 18:00:00,484.37
2021-01-17 19:00:00,2021-01-17 19:00:00,484.47
2021-01-17 20:00:00,2021-01-17 20:00:00,484.49
2021-01-17 21:00:00,2021-01-17 21:00:00,484.54
2021-01-17 22:00:00,2021-01-17 22:00:00,484.58
2021-01-17 23:00:00,2021-01-17 23:00:00,484.61
2021-01-18 00:00:00,2021-01-18 00:00:00,484.63
2021-01-18 01:00:00,2021-01-18 01:00:00,484.66
2021-01-18 02:00:00,2021-01-18 02:00:00,484.7
2021-01-18 03:00:00,2021-01-18 03:00:00,486.69
2021-01-18 04:00:00,2021-01-18 04:00:00,487.56
2021-01-18 05:00:00,2021-01-18 05:00:00,489.01
2021-01-18 06:00:00,2021-01-18 06:00:00,490.61
2021-01-18 07:00:00,2021-01-18 07:00:00,490.63
2021-01-18 08:00:00,2021-01-18 08:00:00,490.64
2021-01-18 09:00:00,2021-01-18 09:00:00,490.67
2021-01-18 10:00:00,2021-01-18 10:00:00,490.7
2021-01-18 11:00:00,2021-01-18 11:00:00,490.77
2021-01-18 12:00:00,2021-01-18 12:00:00,491.13
2021-01-18 13:00:00,2021-01-18 13:00:00,492.15
2021-01-18 14:00:00,2021-01-18 14:00:00,493.14
2021-01-18 15:00:00,2021-01-18 15:00:00,493.24
2021-01-18 16:00:00,2021-01-18 16:00:00,493.98
2021-01-18 17:00:00,2021-01-18 17:00:00,494.39
2021-01-18 18:00:00,2021-01-18 18:00:00,494.41
2021-01-18 19:00:00,2021-01-18 19:00:00,494.45
2021-01-18 20:00:00,2021-01-18 20:00:00,494.48
2021-01-18 21:00:00,2021-01-18 21:00:00,494.59
2021-01-18 22:00:00,2021-01-18 22:00:00,494.6
2021-01-18 23:00:00,2021-01-18 23:00:00,494.71
2021-01-19 00:00:00,2021-01-19 00:00:00,494.75
2021-01-19 01:00:00,2021-01-19 01:00:00,494.87
2021-01-19 02:00:00,2021-01-19 02:00:00,494.88
2021-01-19 03:00:00,2021-01-19 03:00:00,494.9
2021-01-19 04:00:00,2021-01-19 04:00:00,495.01
2021-01-19 05:00:00,2021-01-19 05:00:00,496.1
2021-01-19 06:00:00,2021-01-19 06:00:00,497.21
2021-01-19 07:00:00,2021-01-19 07:00:00,498.36
2021-01-19 08:00:00,2021-01-19 08:00:00,499.65
2021-01-19 09:00:00,2021-01-19 09:00:00,501.36
2021-01-19 10:00:00,2021-01-19 10:00:00,503.89
2021-01-19 11:00:00,2021-01-19 11:00:00,504.98
2021-01-19 12:00:00,2021-01-19 12:00:00,507.68
2021-01-19 13:00:00,2021-01-19 13:00:00,508.67
2021-01-19 14:00:00,2021-01-19 14:00:00,510.97
2021-01-19 15:00:00,2021-01-19 15:00:00,514.46
2021-01-19 16:00:00,2021-01-19 16:00:00,514.75
2021-01-19 17:00:00,2021-01-19 17:00:00,514.78
2021-01-19 18:00:00,2021-01-19 18:00:00,515.1
2021-01-19 19:00:00,2021-01-19 19:00:00,515.36
2021-01-19 20:00:00,2021-01-19 20:00:00,515.47
2021-01-19 21:00:00,2021-01-19 21:00:00,515.57
2021-01-19 22:00:00,2021-01-19 22:00:00,515.64
2021-01-19 23:00:00,2021-01-19 23:00:00,516.12
2021-01-20 00:00:00,2021-01-20 00:00:00,516.17
2021-01-20 01:00:00,2021-01-20 01:00:00,516.23
2021-01-20 02:00:00,2021-01-20 02:00:00,516.57
2021-01-20 03:00:00,2021-01-20 03:00:00,519.74
2021-01-20 04:00:00,2021-01-20 04:00:00,521.18
2021-01-20 05:00:00,2021-01-20 05:00:00,522.74
2021-01-20 06:00:00,2021-01-20 06:00:00,522.75
2021-01-20 07:00:00,2021-01-20 07:00:00,522.77
