start_time,datetime,fees_block_mean,fees_block_mean_usd,fees_reward_percent,fees_total,fees_total_usd
2021-01-06 18:00:00,2021-01-06 18:00:00,0.93285573,32840.73143621,0.12987254,6.52999009,229885.1200535
2021-01-06 19:00:00,2021-01-06 19:00:00,0.85001954,30263.82355018,0.11972073,5.95013681,211846.76485125
2021-01-06 20:00:00,2021-01-06 20:00:00,0.79385456,27891.98877275,0.11270172,5.55698189,195243.92140925
2021-01-06 21:00:00,2021-01-06 21:00:00,0.88980824,32108.79324695,0.12462635,4.44904121,160543.96623475
2021-01-06 22:00:00,2021-01-06 22:00:00,0.86267412,31193.53200287,0.12128689,6.90139293,249548.25602295
2021-01-06 23:00:00,2021-01-06 23:00:00,0.50001713,18153.485341,0.07407642,4.5001542,163381.36806898
2021-01-07 00:00:00,2021-01-07 00:00:00,0.76539117,28264.49502334,0.10910171,5.35773816,197851.46516335
2021-01-07 01:00:00,2021-01-07 01:00:00,0.4205077,15584.3469028,0.06303983,5.04609245,187012.1628336
2021-01-07 02:00:00,2021-01-07 02:00:00,0.80144946,29543.04772458,0.11365741,3.20579782,118172.19089832
2021-01-07 03:00:00,2021-01-07 03:00:00,0.63648949,23739.13578109,0.09242583,3.18244746,118695.67890546
2021-01-07 04:00:00,2021-01-07 04:00:00,0.58244977,21778.43689217,0.08524757,4.07714842,152449.05824517
2021-01-07 05:00:00,2021-01-07 05:00:00,0.61987967,23229.70363236,0.09023152,3.09939834,116148.51816182
2021-01-07 06:00:00,2021-01-07 06:00:00,0.80325132,29871.44647044,0.11388384,4.01625662,149357.23235222
2021-01-07 07:00:00,2021-01-07 07:00:00,0.42293859,15702.41459868,0.06338116,3.80644732,141321.73138815
2021-01-07 08:00:00,2021-01-07 08:00:00,0.78739315,29138.66541724,0.11188705,3.93696573,145693.3270862
2021-01-07 09:00:00,2021-01-07 09:00:00,0.81285245,30280.80606951,0.11508841,4.06426227,151404.03034756
2021-01-07 10:00:00,2021-01-07 10:00:00,0.46611068,17348.44956014,0.06940188,5.12721748,190832.94516154
2021-01-07 11:00:00,2021-01-07 11:00:00,0.60599243,22666.10233765,0.08838873,3.6359546,135996.6140259
2021-01-07 12:00:00,2021-01-07 12:00:00,0.60231578,22856.62248432,0.08789959,4.81852624,182852.97987454
2021-01-07 13:00:00,2021-01-07 13:00:00,0.66573445,25512.81372575,0.09626374,6.65734453,255128.13725754
2021-01-07 14:00:00,2021-01-07 14:00:00,0.7355625,28296.87170446,0.10529753,3.67781249,141484.35852232
2021-01-07 15:00:00,2021-01-07 15:00:00,0.74860467,28803.1761901,0.10696485,6.73744206,259228.58571088
2021-01-07 16:00:00,2021-01-07 16:00:00,0.89382388,35095.85276569,0.12511841,4.4691194,175479.26382845
2021-01-07 17:00:00,2021-01-07 17:00:00,1.05892159,41841.68896735,0.14488069,4.23568637,167366.75586939
2021-01-07 18:00:00,2021-01-07 18:00:00,1.05476752,41116.40021941,0.1443944,7.38337262,287814.80153587
2021-01-07 19:00:00,2021-01-07 19:00:00,0.95852143,36868.33000118,0.1329706,6.70964999,258078.31000829
2021-01-07 20:00:00,2021-01-07 20:00:00,0.89909587,35066.73756596,0.12576358,8.09186286,315600.63809363
