start_time,datetime,range_001_01,range_001_01_percent,range_01_1,range_01_1_percent,range_0_001,range_0_001_percent,range_100_1k,range_100_1k_percent,range_10_100,range_10_100_percent,range_10k_inf,range_10k_inf_percent,range_1_10,range_1_10_percent,range_1k_10k,range_1k_10k_percent
2021-04-17 06:00:00,2021-04-17 06:00:00,266387.43790068,1.42569567,928837.85054927,4.97110568,67117.99701586,0.35921303,5451872.29820354,29.17821806,4702143.06373542,25.16569504,1385438.76290944,7.41481681,1975266.45749863,10.57155272,3907669.67715812,20.91370299
2021-04-17 07:00:00,2021-04-17 07:00:00,266426.95499661,1.42590478,928943.56166306,4.97166313,67134.39151358,0.35930017,5451559.2526696,29.17649386,4702315.07257647,25.16657354,1385440.51130822,7.41481376,1975293.8172645,10.57168147,3907651.23297892,20.91356929
2021-04-17 08:00:00,2021-04-17 08:00:00,266466.85875912,1.42611739,929055.22452637,4.97225742,67145.43085223,0.35935901,5451564.11669755,29.17650037,4702203.8599811,25.1659615,1385440.51130822,7.4148088,1975250.05986745,10.57144021,3907651.23297892,20.9135553
2021-04-17 09:00:00,2021-04-17 09:00:00,266447.40805998,1.42601091,929028.02010178,4.9721035,67141.91950628,0.35933962,5451619.90830191,29.17675017,4702245.3688146,25.16614156,1385443.61080822,7.41481299,1975306.0374556,10.57172212,3907576.27192259,20.91311914
2021-04-17 10:00:00,2021-04-17 10:00:00,266391.19420935,1.42570767,929060.59422048,4.97226952,67143.18453356,0.35934579,5451827.09973476,29.17781024,4702049.59080601,25.16505168,1385443.61080822,7.41480059,1975348.24873599,10.57193035,3907576.27192259,20.91308416
2021-04-17 11:00:00,2021-04-17 11:00:00,266437.11810832,1.42595107,929201.37459184,4.97301465,67149.1282746,0.359377,5451811.54906839,29.17767822,4702363.58801106,25.16669008,1384843.61054593,7.41157703,1975178.40471052,10.57100367,3907886.2716603,20.91470828
2021-04-17 12:00:00,2021-04-17 12:00:00,266400.8985649,1.42575627,929095.74715918,4.97244601,67146.19150066,0.35936104,5451692.01028058,29.17701894,4702819.26883815,25.16911201,1384843.61054593,7.41157207,1974999.54642126,10.57003937,3907886.2716603,20.91469429
2021-04-17 13:00:00,2021-04-17 13:00:00,266467.32676254,1.42611036,929346.88073261,4.97378507,67185.51390238,0.35957113,5451669.3661858,29.17686847,4702190.12982696,25.16571966,1384843.89593543,7.41156616,1975312.90996494,10.57170586,3907886.2716603,20.9146733
2021-04-17 14:00:00,2021-04-17 14:00:00,266525.46188649,1.42642006,929267.8776593,4.97335726,67206.09473184,0.35968091,5451811.32377158,29.17759893,4702338.3173402,25.16648749,1384843.89593543,7.41155872,1975041.80198582,10.5702443,3907886.2716603,20.91465231
2021-04-17 15:00:00,2021-04-17 15:00:00,266576.23187137,1.42669082,929372.89262836,4.97391596,67222.63956295,0.35976922,5452522.67838843,29.18138652,4702228.41332664,25.16588246,1384847.53267883,7.41157323,1974976.88684408,10.56988981,3907186.2696703,20.91089198
2021-04-17 16:00:00,2021-04-17 16:00:00,266598.48756317,1.42680945,929439.01315072,4.97426817,67229.9307884,0.35980812,5451617.6096936,29.17653292,4703049.82884974,25.17027018,1384839.43778883,7.41152743,1974979.2174662,10.56989875,3907186.2696703,20.91088498
2021-04-17 17:00:00,2021-04-17 17:00:00,266625.80349927,1.42695517,929481.51538646,4.97449398,67238.95427074,0.35985629,5451129.38140632,29.17391021,4703604.47129684,25.17323015,1384839.42779345,7.4115249,1974840.22164758,10.56915132,3907186.2696703,20.91087799
2021-04-17 18:00:00,2021-04-17 18:00:00,266794.62982146,1.42785537,929780.86621813,4.97608442,67296.65618529,0.36016427,5451326.94393963,29.17489923,4702936.43292774,25.16959594,1384842.13580449,7.41152203,1974825.86040392,10.56904971,3907186.2696703,20.91082903
2021-04-17 19:00:00,2021-04-17 19:00:00,266845.84510788,1.42812756,929873.83484246,4.97657532,67312.96747919,0.36025108,5451439.85290234,29.17546447,4702800.9135414,25.16883698,1384844.13480449,7.41152282,1974710.9766229,10.56842073,3907186.2696703,20.91080105
2021-04-17 20:00:00,2021-04-17 20:00:00,266827.80463265,1.42802909,929818.33088534,4.97627161,67306.94172201,0.36021835,5451080.30709393,29.17350119,4703126.18936045,25.17054414,1384843.687571,7.41151051,1974850.26403528,10.56915204,3907186.2696703,20.91077307
2021-04-17 21:00:00,2021-04-17 21:00:00,266849.81091429,1.42814544,929845.47575392,4.97641189,67316.06895063,0.36026683,5448353.28445597,29.15887725,4702888.51876947,25.1692469,1394921.81674998,7.4654399,1974994.1958474,10.56991174,3899889.3735293,20.87170005
2021-04-17 22:00:00,2021-04-17 22:00:00,266849.81091429,1.42814544,929845.47575392,4.97641189,67316.06895063,0.36026683,5448353.28445597,29.15887725,4702888.51876947,25.1692469,1394921.81674998,7.4654399,1974994.1958474,10.56991174,3899889.3735293,20.87170005
2021-04-17 23:00:00,2021-04-17 23:00:00,266919.45406776,1.42851672,929981.61129178,4.97713548,67356.90704474,0.36048503,5447391.65929836,29.1537015,4703478.14561898,25.17237725,1394919.98162805,7.46542259,1975153.63631511,10.57075443,3899875.89970618,20.87160699
