start_time,date,price_usd_adj_close,price_usd_close,price_usd_high,price_usd_low,price_usd_open
2023-08-10,2023-08-10,19.8,19.8,20.24,19.75,19.8
2023-08-11,2023-08-11,19.82,19.82,20.25,19.76,19.83
2023-08-14,2023-08-14,20.12,20.12,20.44,19.75,19.82
2023-08-15,2023-08-15,19.66,19.66,20.45,19.64,20.06
2023-08-16,2023-08-16,19.46,19.46,19.76,19.26,19.65
2023-08-17,2023-08-17,18.5333,18.5333,19.6,18.25,19.15
2023-08-18,2023-08-18,17.4,17.4,18.11,17.0,17.79
2023-08-21,2023-08-21,17.21,17.21,17.48,17.04,17.42
2023-08-22,2023-08-22,17.0,17.0,17.39,17.0,17.21
2023-08-23,2023-08-23,18.19,18.19,18.2,17.03,17.03
2023-08-24,2023-08-24,17.68,17.68,18.12,17.5,18.07
2023-08-25,2023-08-25,17.35,17.35,18.07,17.27,17.86
2023-08-28,2023-08-28,17.58,17.58,17.75,17.43,17.45
2023-08-29,2023-08-29,20.56,20.56,21.21,17.63,17.66
2023-08-30,2023-08-30,19.71,19.71,20.4,19.55,20.23
2023-08-31,2023-08-31,18.71,18.71,19.98,18.5,19.74
2023-09-01,2023-09-01,18.48,18.48,18.69,18.17,18.55
2023-09-05,2023-09-05,18.55,18.55,18.75,18.4,18.43
2023-09-06,2023-09-06,18.6,18.6,18.98,18.25,18.56
2023-09-07,2023-09-07,19.3,19.3,19.34,18.4,18.51
2023-09-08,2023-09-08,19.3,19.3,19.51,19.195,19.24
2023-09-11,2023-09-11,18.65,18.65,19.34,18.55,19.2
2023-09-12,2023-09-12,19.26,19.26,19.58,19.1,19.37
2023-09-13,2023-09-13,19.21,19.21,19.75,19.12,19.38
2023-09-14,2023-09-14,19.46,19.46,19.79,19.38,19.6
2023-09-15,2023-09-15,19.26,19.26,19.44,18.94,19.3
2023-09-18,2023-09-18,19.23,19.23,19.91,19.22,19.77
2023-09-19,2023-09-19,19.84,19.84,19.88,19.31,19.53
2023-09-20,2023-09-20,19.42,19.42,19.895,19.29,19.88
2023-09-21,2023-09-21,19.0,19.0,19.22,18.8,19.09
2023-09-22,2023-09-22,18.9,18.9,19.1,18.85,19.05
2023-09-25,2023-09-25,18.45,18.45,18.775,18.39,18.77
2023-09-26,2023-09-26,18.17,18.17,18.37,18.04,18.35
2023-09-27,2023-09-27,18.13,18.13,18.6,18.1,18.57
2023-09-28,2023-09-28,19.0,19.0,19.21,18.2,18.26
2023-09-29,2023-09-29,19.19,19.19,19.23,18.91,19.02
2023-10-02,2023-10-02,19.45,19.45,20.24,19.34,20.0
2023-10-03,2023-10-03,19.64,19.64,19.684,19.19,19.31
2023-10-04,2023-10-04,20.14,20.14,20.25,19.54,19.85
2023-10-05,2023-10-05,20.15,20.15,20.65,20.15,20.34
2023-10-06,2023-10-06,20.73,20.73,20.84,20.01,20.02
2023-10-09,2023-10-09,20.5,20.5,20.86,20.25,20.3
2023-10-10,2023-10-10,20.58,20.58,20.82,20.36,20.45
2023-10-11,2023-10-11,20.07,20.07,20.49,19.82,20.37
2023-10-12,2023-10-12,20.02,20.02,20.2,19.84,20.08
2023-10-13,2023-10-13,20.24,20.24,20.45,19.955,20.18
2023-10-16,2023-10-16,21.8,21.8,23.51,21.34,22.5
2023-10-17,2023-10-17,22.16,22.16,22.49,21.72,21.85
2023-10-18,2023-10-18,22.207,22.207,22.58,21.916,22.26
2023-10-19,2023-10-19,22.207,22.207,22.96,22.01,22.21
2023-10-20,2023-10-20,23.64,23.64,23.83,22.96,23.0
2023-10-23,2023-10-23,24.705,24.705,24.73,23.92,24.28
2023-10-24,2023-10-24,26.16,26.16,27.05,25.55,26.76
2023-10-25,2023-10-25,26.79,26.79,27.415,26.2,26.47
2023-10-26,2023-10-26,25.77,25.77,26.5,25.36,26.44
2023-10-27,2023-10-27,25.07,25.07,26.4,24.85,25.86
2023-10-30,2023-10-30,26.48,26.48,26.97,25.7,25.7
2023-10-31,2023-10-31,26.76,26.76,26.83,26.13,26.5
2023-11-01,2023-11-01,26.89,26.89,27.27,26.71,27.0
2023-11-02,2023-11-02,27.1675,27.1675,27.54,26.88,27.4
2023-11-03,2023-11-03,27.05,27.05,27.83,26.55,27.02
2023-11-06,2023-11-06,26.95,26.95,27.6,26.9,27.33
2023-11-07,2023-11-07,28.1,28.1,28.25,26.58,26.75
2023-11-08,2023-11-08,27.8,27.8,27.98,27.185,27.92
2023-11-09,2023-11-09,29.09,29.09,30.05,28.52,29.28
2023-11-10,2023-11-10,29.973,29.973,30.03,29.25,29.35
2023-11-13,2023-11-13,29.06,29.06,29.94,29.0,29.89
2023-11-14,2023-11-14,27.42,27.42,29.7,27.3,29.02
2023-11-15,2023-11-15,29.76,29.76,29.78,28.0,28.0
2023-11-16,2023-11-16,28.985,28.985,29.73,28.55,29.65
2023-11-17,2023-11-17,28.99,28.99,29.25,28.33,29.13
2023-11-20,2023-11-20,29.79,29.79,30.14,29.05,29.2
2023-11-21,2023-11-21,29.2,29.2,29.99,29.09,29.44
2023-11-22,2023-11-22,30.45,30.45,30.49,29.1,29.16
2023-11-24,2023-11-24,31.21,31.21,31.48,30.37,30.38
2023-11-27,2023-11-27,30.105,30.105,30.65,29.88,30.35
2023-11-28,2023-11-28,31.51,31.51,31.65,30.35,30.48
2023-11-29,2023-11-29,31.018,31.018,31.6,31.0,31.54
2023-11-30,2023-11-30,30.245,30.245,30.889,30.01,30.72
2023-12-01,2023-12-01,31.73,31.73,31.75,30.675,30.75
2023-12-04,2023-12-04,33.636,33.636,33.75,32.19,33.38
2023-12-05,2023-12-05,35.1,35.1,36.08,33.7,33.8
2023-12-06,2023-12-06,34.92,34.92,36.23,34.85,35.43
2023-12-07,2023-12-07,34.92,34.92,35.07,33.54,34.73
2023-12-08,2023-12-08,35.51,35.51,35.52,34.3,34.35
2023-12-11,2023-12-11,32.46,32.46,33.75,31.93,33.52
2023-12-12,2023-12-12,33.42,33.42,33.59,32.81,32.94
2023-12-13,2023-12-13,35.59,35.59,35.62,33.4,33.47
2023-12-14,2023-12-14,34.9,34.9,35.33,34.418,35.21
2023-12-15,2023-12-15,34.1,34.1,34.4,33.29,34.35
2023-12-18,2023-12-18,34.54,34.54,34.555,33.39,33.4
2023-12-19,2023-12-19,34.934,34.934,35.14,34.5,34.93
2023-12-20,2023-12-20,35.83,35.83,36.56,35.66,36.0
2023-12-21,2023-12-21,36.295,36.295,36.4,35.83,36.24
2023-12-22,2023-12-22,36.91,36.91,37.06,36.08,36.1
2023-12-26,2023-12-26,35.65,35.65,36.28,35.05,36.2
2023-12-27,2023-12-27,36.25,36.25,36.55,36.06,36.08
2023-12-28,2023-12-28,34.81,34.81,36.22,34.77,35.58
2023-12-29,2023-12-29,34.62,34.62,35.8,33.95,35.0
2024-01-02,2024-01-02,36.85,36.85,37.56,36.63,37.26
2024-01-03,2024-01-03,35.55,35.55,35.87,34.65,34.68
2024-01-04,2024-01-04,37.25,37.25,37.496,35.84,36.14
2024-01-05,2024-01-05,37.1635,37.1635,37.29,36.01,37.01
2024-01-08,2024-01-08,37.1635,37.1635,39.23,36.4,37.86
2024-01-09,2024-01-09,39.0,39.0,39.89,38.835,39.0
2024-01-10,2024-01-10,40.496,40.496,41.0,37.55,38.21
2024-01-11,2024-01-11,40.69,40.69,43.5,40.14,42.25
2024-01-12,2024-01-12,38.58,38.58,40.47,37.77,40.39
2024-01-16,2024-01-16,38.32,38.32,38.4285,37.0368,37.84
2024-01-17,2024-01-17,37.94,37.94,38.1,37.42,37.66
2024-01-18,2024-01-18,36.29,36.29,38.05,36.05,37.75
2024-01-19,2024-01-19,37.01,37.01,37.495,35.8,36.45
2024-01-22,2024-01-22,35.82,35.82,36.319,35.03,36.14
2024-01-23,2024-01-23,34.88,34.88,35.275,34.31,34.52
2024-01-24,2024-01-24,35.27,35.27,35.82,35.22,35.62
2024-01-25,2024-01-25,35.44,35.44,35.74,35.235,35.62
2024-01-26,2024-01-26,37.51,37.51,37.71,36.66,36.69
2024-01-29,2024-01-29,38.51,38.51,38.67,37.315,37.45
2024-01-30,2024-01-30,38.87,38.87,39.045,38.59,38.74
2024-01-31,2024-01-31,37.99,37.99,39.075,37.92,38.11
2024-02-01,2024-02-01,38.41,38.41,38.63,37.8,37.84
2024-02-02,2024-02-02,38.34,38.34,38.795,38.11,38.15
2024-02-05,2024-02-05,37.84,37.84,38.75,37.73,38.68
2024-02-06,2024-02-06,38.47,38.47,38.735,38.245,38.29
2024-02-07,2024-02-07,39.43,39.43,39.53,38.295,38.49
2024-02-08,2024-02-08,40.68,40.68,40.74,40.0702,40.27
2024-02-09,2024-02-09,42.48,42.48,43.09,41.79,41.95
2024-02-12,2024-02-12,44.86,44.86,45.03,43.0,43.0
2024-02-13,2024-02-13,44.11,44.11,44.21,43.18,43.72
2024-02-14,2024-02-14,46.19,46.19,46.57,45.7387,46.2
2024-02-15,2024-02-15,46.18,46.18,47.26,46.095,46.84
2024-02-16,2024-02-16,46.28,46.28,46.86,46.11,46.64
2024-02-20,2024-02-20,46.41,46.41,46.76,45.32,46.69
2024-02-21,2024-02-21,45.48,45.48,45.9,45.14,45.41
