start_time,date,range_0d_1d,range_10y_inf,range_12m_18m,range_18m_2y,range_1d_1w,range_1m_3m,range_1w_1m,range_2y_3y,range_3m_6m,range_3y_5y,range_5y_7y,range_6m_12m,range_7y_10y
2021-10-27,2021-10-27,59143.00815987,1.24562112,10522.51888619,7615.92357484,62142.56721609,46122.74280338,56078.65307699,6245.14044943,39351.43246737,7135.26170531,438.72301688,40057.78084077,330.24238375
2021-10-28,2021-10-28,60678.24319993,1.24542427,10565.81445365,7621.57087887,61242.58711992,46061.43033108,57089.45446116,6248.24459441,39293.62760997,7135.48896402,439.01066862,40161.38171414,330.29488917
2021-10-29,2021-10-29,61799.37935786,1.24616219,10605.28378219,7620.56185788,61058.78328299,46023.44283938,57755.14383997,6250.92978606,39255.52675509,7134.54906065,438.96329339,40272.65215121,330.53007808
2021-10-30,2021-10-30,61675.22038244,1.24668366,10626.98738499,7624.91885539,61290.30258025,45954.867329,58398.23815617,6254.56994673,39116.18025804,7135.10705629,439.14556955,40372.86755209,330.70192288
2021-10-31,2021-10-31,60967.23521293,1.24680331,10658.54814222,7627.00262376,61428.73707297,46019.28030264,58797.36894992,6256.88780514,38884.32209862,7138.38721729,439.69537015,40534.07996647,330.74279086
2021-11-01,2021-11-01,61128.796924,1.24721596,10711.59808897,7632.70535698,61110.69425464,46156.43860442,59312.64604942,6278.82779397,38751.06102992,7142.85199823,440.16093456,40683.81221091,330.87838254
2021-11-02,2021-11-02,63084.30248442,1.24755611,10758.64835757,7643.52666357,60913.97835617,46265.19064766,59565.62627066,6281.62202577,38603.12308543,7147.61075191,441.12947718,41006.96255028,330.9804973
2021-11-03,2021-11-03,62750.93469474,1.2478982,10990.28802697,7658.87681354,61894.06364113,46398.12820665,59865.9221149,6283.9170621,37777.48851426,7147.43139666,441.49909699,41823.18963148,331.09017923
2021-11-04,2021-11-04,61465.67934822,1.24809857,11033.56605986,7691.15979014,62151.24403202,46544.99738455,60103.34287701,6285.44163383,37606.14859625,7146.25415764,441.79899279,41969.97722892,331.17204739
2021-11-05,2021-11-05,61290.40333593,1.24826623,11124.23886913,7693.12345483,62201.82785758,47079.32322017,60542.49697175,6287.52374796,37468.54932368,7146.45533346,442.14268594,42206.74665116,331.24614992
2021-11-06,2021-11-06,61069.10693406,1.24852546,11183.53532882,7701.40814988,61953.05515842,47344.09251018,60758.4566468,6292.49606885,37350.3113639,7147.30074237,442.41694021,42310.88298556,331.33093607
2021-11-07,2021-11-07,62418.27998415,1.24872563,11233.23809527,7705.21139602,61908.50490818,47560.59908939,60888.78350232,6297.21992183,37318.72325191,7151.31719111,443.06086328,42430.23413714,331.40998896
2021-11-08,2021-11-08,66648.92122787,1.24863184,11266.76484944,7707.66697239,62204.47233731,47714.0989504,60986.81995992,6293.80546156,36948.74838113,7148.97465797,443.15879367,42620.66752594,331.51664791
2021-11-09,2021-11-09,67327.43886058,1.24875724,11313.36464593,7715.25042091,63743.8435933,47593.94831012,61203.34062174,6294.51171801,36993.08019118,7150.46776374,443.61283925,42696.21314576,331.57771066
2021-11-10,2021-11-10,66613.1256588,1.24993925,11347.54630331,7720.98831792,65090.61838082,47921.71896451,61488.45317492,6286.89995979,36827.66276941,7154.98058573,444.41158658,42807.73957111,332.20883592
2021-11-11,2021-11-11,64964.9334911,1.25003323,11388.23395195,7727.17314777,65563.98006221,48272.74759016,61725.57039252,6288.70257452,36795.15659385,7160.64196546,445.31646189,42885.67433099,332.19988229
2021-11-12,2021-11-12,63826.46279973,1.25081171,11452.30661275,7712.46447525,65761.49944279,48467.33380462,61824.05025926,6308.73636825,37430.63517561,7168.02599795,446.60004713,42982.73088076,332.60035315
2021-11-13,2021-11-13,64345.3049217,1.25116711,11478.83532296,7709.72465077,65067.8692127,49032.10581998,62043.02248345,6316.06755347,37409.47899404,7172.47141038,447.81195185,43022.00103646,332.9151452
2021-11-14,2021-11-14,64556.69586536,1.25138418,11513.49961245,7729.15997812,65044.96333401,49442.39565071,62104.29886706,6319.88822032,37437.65102199,7177.37688477,448.97488982,43060.1377479,333.14472887
2021-11-15,2021-11-15,64601.6620182,1.25204934,11542.84660384,7733.28378784,65083.6674823,49778.25384988,62390.84710246,6323.3080543,37479.79504407,7180.12203289,449.59572974,43027.24945011,333.68554412
2021-11-16,2021-11-16,60425.02639113,1.2521713,11573.68609936,7743.30222488,64552.86671961,49992.88599723,62864.41190447,6324.21413015,37471.36538105,7184.18390954,449.92257271,42994.71082982,333.7979796
2021-11-17,2021-11-17,59961.14901778,1.25230264,11626.46949204,7746.68225101,63463.53063933,50371.67669494,63054.08085908,6325.87455731,37515.41020452,7182.98028444,450.32724057,43029.208992,333.88072419
2021-11-18,2021-11-18,58326.6302846,1.25253296,11684.05052702,7749.98901714,62554.69903505,50752.64058369,63143.0768437,6328.77858891,37566.25068344,7183.62073725,450.99370067,43064.02660906,334.1006588
2021-11-19,2021-11-19,57640.21045738,1.2527152,11742.44538897,7751.62635391,60835.777339,51750.5006397,63139.9529604,6333.42478831,37657.92672966,7183.3009967,451.51986579,43082.96242633,334.21581067
2021-11-20,2021-11-20,58886.46878307,1.2528062,11847.53026867,7762.36858056,59844.34833535,52270.78784355,63127.89105968,6342.14531251,37730.09636597,7180.7762983,451.78996122,43142.98282453,334.47922947
2021-11-21,2021-11-21,59080.52506848,1.25285854,11897.29657183,7769.02778308,59485.11921919,52660.2362261,63210.04354335,6344.82009879,37809.78507843,7186.08788273,452.61846607,43153.43900839,334.5574832
2021-11-22,2021-11-22,57011.55349422,1.25297628,11966.20269465,7776.19165914,59052.91911098,52660.33553106,63286.97803927,6349.10846906,37879.13367303,7189.3942805,453.50140653,43193.38876794,334.58574709
2021-11-23,2021-11-23,57196.53348818,1.25325407,12007.05095516,7831.25076375,58147.74762536,53085.64241396,63249.92510767,6373.46722503,37978.7262532,7192.84384252,454.66606208,43221.10289177,334.80654545
2021-11-24,2021-11-24,56946.01855038,1.25337924,12154.42189099,7832.82143069,57682.58018483,53605.67248853,63114.03225021,6382.42652584,38120.36516085,7192.81377468,456.04734326,43343.33268492,334.87345518
2021-11-25,2021-11-25,58440.18618726,1.2534028,12226.49659929,7837.817147,57199.43943577,53849.99212371,62703.54302314,6386.65131994,38126.12990332,7198.23620584,456.58639135,43439.99612173,334.93486245
2021-11-26,2021-11-26,54845.51881679,1.25365225,12297.1272611,7843.55763014,57466.0167549,53938.77676642,62659.93540503,6392.51815188,38189.70020772,7190.77494653,456.93400055,43536.08454022,335.0458645
2021-11-27,2021-11-27,54684.70947819,1.25410917,12399.55677364,7851.11609643,56481.48263883,54124.85161396,62612.74203317,6394.60075348,38239.07306373,7191.97660475,457.40514477,43660.13330489,335.22368204
2021-11-28,2021-11-28,55306.37350988,1.25615179,12461.32232633,7884.38836043,56316.88951908,54417.09111125,62605.68495356,6397.67092778,38346.64560271,7191.27520035,457.91613953,43666.25915007,335.96198432
2021-11-29,2021-11-29,57748.45843697,1.25604563,12504.4968597,7898.05391736,56310.82669473,54623.32320877,62136.88838719,6403.98902871,38485.0737661,7186.04594366,458.48052227,43690.2834314,336.07106552
2021-11-30,2021-11-30,57383.12045286,1.2562377,12593.32413856,7909.48707506,56575.3191107,54848.86389963,61969.00065963,6405.18061807,38647.36016003,7183.73490255,458.74043023,43735.97511255,336.16931418
2021-12-01,2021-12-01,57526.95294818,1.25636607,12753.05554416,7922.96851833,56841.63194114,55148.90036856,61806.02908471,6405.68018385,38862.05878605,7185.06678395,459.28218664,43875.04783123,336.50282836
2021-12-02,2021-12-02,56655.06620545,1.25699685,12805.85585957,7937.8634076,56851.68412161,55511.06721774,61446.78658587,6410.4136445,39028.40617893,7181.09356465,459.77381354,43903.51371247,336.78110604
2021-12-03,2021-12-03,54971.10649411,1.25730971,12874.43683296,7948.73595958,56977.80986639,55998.99813372,60941.84639571,6793.00057939,39148.12185341,6852.6096008,459.98335089,43941.44249954,336.9151377
2021-12-04,2021-12-04,48799.11109826,1.25776019,12929.63723753,7953.81804943,56839.02648003,56086.86126809,60788.573363,7138.80167062,39230.9997643,6658.59176247,460.3701552,43979.48577451,337.09463802
2021-12-05,2021-12-05,49073.86272673,1.25798621,12969.02116135,7966.04281772,54589.16490617,56318.49188684,60646.38405723,7442.00861713,39414.13993993,6532.61790844,460.86483626,43960.58892622,337.18635059
2021-12-06,2021-12-06,49626.3101435,1.25815025,13012.85877612,7985.29373009,53950.22816596,56312.16369184,60540.65703497,7456.76413401,39551.71268236,6530.49242615,461.65933012,43960.38281827,337.25775055
2021-12-07,2021-12-07,51061.00750356,1.25875042,13001.49571937,7990.05820544,52684.94129061,56527.62794963,60372.74939354,7461.41577436,39655.39884863,6531.54481528,462.27355586,43969.19546761,337.48523849
2021-12-08,2021-12-08,50339.8244966,1.25908374,13056.93170051,7999.05080063,51761.58700551,56902.32194295,60050.78178121,7464.73745511,39728.9896603,6532.91597542,462.97346714,44007.69819148,337.59722982
2021-12-09,2021-12-09,48583.92707597,1.25960116,13095.03880551,8013.69223113,50464.64407229,57544.76114416,59416.05261427,7481.30618181,39819.50137957,6528.88541941,463.41904873,44041.90250503,337.76916742
2021-12-10,2021-12-10,48082.27284727,1.26052011,13162.67345508,8026.1258734,49377.56956227,57838.79940795,59028.38805578,7489.26493648,39880.10299775,6526.95047805,463.77792142,44094.66342303,338.07466136
