t,h,l,c,o,close,high,low,open,volume
1615420800.0,33576.17,31602.16,33576.17,33340.45,57844.52,58283.0,54356.44,55949.3,364681.318
1615507200.0,34409.52,33082.4,33082.4,33948.63,57291.03,58186.33,55074.3,57842.64,335495.042
1615593600.0,37698.49,31965.93,37698.49,33490.27,61267.41,61950.0,56136.0,57291.04,320322.173
1615680000.0,37486.02,35561.92,37183.2,37486.02,59037.12,61798.0,59005.0,61267.41,231991.901
1615766400.0,37336.82,32690.24,32690.24,37336.82,55646.61,60740.0,54517.28,59037.11,448820.83
1615852800.0,35647.76,32590.64,33780.8,32590.64,56954.19,56988.0,53335.0,55646.61,339718.202
1615939200.0,35168.14,33033.42,35168.14,34200.93,58959.0,59078.79,54154.93,56953.23,339397.712
1616025600.0,34960.82,31345.76,33320.64,34960.82,57700.01,60510.0,57072.0,58959.01,305100.026
1616112000.0,33389.67,31586.61,32768.55,32967.73,58089.11,59550.0,56301.27,57700.01,259039.479
1616198400.0,33556.26,31659.47,32706.95,32755.13,58145.61,59948.0,57881.0,58089.11,203680.149
1616284800.0,33868.83,31323.12,33714.77,33159.3,57415.18,58638.7,55403.55,58144.44,237518.696
1616371200.0,33969.04,32078.31,33885.14,33248.82,54129.56,58500.0,53635.81,57415.19,293062.947
1616457600.0,34844.16,32524.27,34218.41,34036.17,54400.0,55890.68,52981.4,54129.56,276199.041
1616544000.0,35179.24,32531.31,33528.57,34357.58,52311.54,57234.79,51666.0,54400.0,394172.526
1616630400.0,35224.09,32620.17,34648.25,34347.78,51325.21,53255.2,50452.08,52307.89,416848.091
1616716800.0,35306.33,33009.25,34295.65,35276.79,55030.0,55123.0,51260.0,51325.21,271957.842
