h,c,o,l,t,low,open,close,volume,high
0.005032,0.003305,0.000873,-0.0008,1689984000,29602.2,29891.5,29783.5,143375.956,29986.0
0.01097,0.007127,0.003305,0.000135,1690070400,29718.9,29783.5,30070.8,224713.846,30368.2
0.014399,0.006783,0.007127,0.002004,1690156800,28830.0,30070.9,29163.8,434182.417,30091.7
0.008387,0.005552,0.006783,0.003334,1690243200,29033.0,29163.8,29216.3,196438.618,29379.5
0.010234,0.001646,0.005552,0.001596,1690329600,29083.0,29216.2,29336.0,318527.582,29670.5
0.007526,0.004201,0.001646,0.000014,1690416000,29065.5,29336.0,29209.7,223376.534,29558.4
0.011406,0.007867,0.004201,0.003296,1690502400,29112.8,29209.8,29299.9,221299.867,29535.7
0.010628,0.006525,0.007867,0.001977,1690588800,29237.5,29300.0,29339.1,87100.719,29397.9
0.009871,0.000916,0.006525,-0.000003,1690675200,29006.0,29339.1,29271.1,169901.253,29442.5
0.010631,0.006174,0.000916,0.000916,1690761600,29100.0,29271.2,29220.8,230381.722,29525.8
0.012793,0.008983,0.006174,0.002264,1690848000,28550.0,29220.8,29701.2,442328.643,29735.0
0.012242,0.009717,0.008983,0.006849,1690934400,28906.3,29701.2,29170.1,491725.492,30059.9
0.01476,0.00911,0.009717,0.004814,1691020800,28955.4,29170.2,29180.2,251967.942,29440.0
0.01106,0.005417,0.00911,0.002355,1691107200,28780.0,29180.1,29101.1,229395.673,29323.8
0.01326,0.009964,0.005417,0.005417,1691193600,28960.0,29101.1,29057.7,82508.624,29145.0
0.011426,0.01048,0.009964,0.006362,1691280000,28978.5,29057.7,29075.9,103094.44,29199.0
0.012067,0.009981,0.01048,0.006756,1691366400,28682.3,29075.9,29202.7,297752.439,29274.5
0.009981,0.005201,0.009981,-0.000317,1691452800,29132.4,29202.7,29759.0,459269.801,30250.0
0.010858,0.010211,0.005201,0.003401,1691539200,29362.0,29758.9,29572.8,362009.701,30149.7
0.012575,0.008485,0.010211,0.005027,1691625600,29303.7,29572.9,29443.7,234546.038,29729.8
0.011707,0.010452,0.008485,0.005364,1691712000,29220.0,29443.7,29415.5,179044.008,29565.1
0.011773,0.009435,0.010452,0.008194,1691798400,29360.0,29415.5,29420.7,56238.035,29470.0
0.012227,0.011415,0.009435,0.005883,1691884800,29256.6,29420.8,29293.3,84190.505,29463.0
0.0149,0.009488,0.011415,0.007649,1691971200,29070.0,29293.3,29419.5,295035.383,29686.7
0.012234,0.011166,0.009488,0.008034,1692057600,29050.0,29419.5,29188.8,191289.959,29492.1
0.01242,0.011675,0.011166,0.008046,1692144000,28705.1,29188.9,28714.4,272023.138,29257.4
0.013206,-0.015251,0.011675,-0.017912,1692230400,24581.0,28714.4,26609.7,868508.22,28775.9
0.005694,-0.000479,-0.015251,-0.015251,1692316800,25600.0,26609.7,26042.1,522375.316,26818.0
0.004796,-0.002317,-0.000479,-0.008126,1692403200,25783.4,26042.0,26088.3,202219.153,26269.4
0.001476,-0.003135,-0.002317,-0.00911,1692489600,25948.5,26088.4,26175.9,141089.85,26285.0
0.00471,-0.000819,-0.003135,-0.003215,1692576000,25800.0,26175.9,26115.4,232505.265,26280.0
0.008373,0.004638,-0.000819,-0.002918,1692662400,25280.0,26115.4,26044.4,313113.576,26128.2
0.006053,-0.002909,0.004638,-0.004891,1692748800,25800.0,26044.5,26419.2,412969.028,26806.0
0.008512,0.002726,-0.002909,-0.004617,1692835200,25835.0,26419.2,26164.6,286753.337,26568.3
0.007251,0.003078,0.002726,-0.002393,1692921600,25754.4,26164.6,26051.7,274830.494,26300.0
0.007058,0.002672,0.003078,-0.00103,1693008000,25969.0,26051.7,26004.3,63925.862,26129.4
0.005795,0.000547,0.002672,-0.001943,1693094400,25955.6,26004.3,26087.7,86505.398,26173.6
0.006466,0.003138,0.000547,-0.001406,1693180800,25850.4,26087.6,26106.5,219992.051,26244.6
0.005918,0.002833,0.003138,-0.010372,1693267200,25905.2,26106.5,27700.1,700233.946,28168.0
0.006907,0.002497,0.002833,0.001503,1693353600,26950.0,27700.1,27290.4,315313.916,27758.2
0.009456,0.000602,0.002497,-0.001131,1693440000,25617.8,27290.4,25928.0,502906.277,27674.3
0.010844,0.008259,0.000602,-0.000608,1693526400,25312.0,25928.0,25795.6,361184.924,26151.6
0.008541,0.006061,0.008259,-0.000852,1693612800,25740.6,25795.6,25855.8,107642.864,25975.0
0.006887,0.003135,0.006061,-0.003233,1693699200,25777.0,25855.8,25962.1,133016.832,26135.2
0.005975,0.00076,0.003135,0.000106,1693785600,25610.0,25962.1,25814.0,173147.873,26099.3
0.007369,0.002766,0.00076,-0.001073,1693872000,25531.2,25814.0,25779.7,186639.945,25900.0
0.006151,0.005195,0.002766,-0.001405,1693958400,25326.0,25779.7,25747.4,251122.66,26052.0
0.01048,-0.000145,0.005195,-0.000849,1694044800,25602.3,25747.4,26240.7,257349.902,26451.0
0.005378,-0.002005,-0.000145,-0.00422,1694131200,25630.0,26240.7,25899.8,249269.761,26437.5
0.003115,0.000805,-0.002005,-0.003119,1694217600,25781.5,25899.9,25892.6,67909.81,25940.6
0.005426,0.001731,0.000805,-0.000662,1694304000,25508.7,25892.6,25828.4,162972.413,26037.3
0.007397,0.001745,0.001731,-0.003551,1694390400,24888.0,25828.4,25150.4,427216.374,25895.0
0.008306,0.001772,0.001745,-0.005307,1694476800,25116.4,25150.4,25825.8,592049.678,26580.0
0.003793,-0.001072,0.001772,-0.003094,1694563200,25750.0,25825.8,26209.9,335252.718,26400.0
0.004497,-0.00203,-0.001072,-0.007163,1694649600,26106.6,26209.9,26510.3,380666.471,26880.0
0.009616,-0.000147,-0.00203,-0.003323,1694736000,26206.6,26510.3,26591.1,251656.77,26890.0
0.003019,-0.000077,-0.000147,-0.003833,1694822400,26430.0,26591.1,26546.9,140482.465,26763.5
0.002778,-0.000149,-0.000077,-0.003904,1694908800,26377.4,26547.0,26514.2,114239.394,26614.3
0.0049,0.000352,-0.000149,-0.008092,1694995200,26358.6,26514.2,26749.9,472539.032,27397.0
0.007252,-0.000852,0.000352,-0.004774,1695081600,26653.2,26749.9,27196.0,433511.747,27480.0
0.002069,-0.001199,-0.000852,-0.004326,1695168000,26740.0,27195.9,27107.7,348921.447,27381.0
0.008515,-0.000879,-0.001199,-0.002497,1695254400,26360.1,27107.7,26552.6,317992.869,27149.0
0.005088,0.004922,-0.000879,-0.004417,1695340800,26452.9,26552.6,26566.7,173534.648,26737.7
0.008374,0.000716,0.004922,-0.001099,1695427200,26492.2,26566.7,26563.1,57836.484,26620.6
0.007161,-0.002389,0.000716,-0.002569,1695513600,26081.0,26563.0,26232.4,146632.773,26739.9
0.007612,-0.003634,-0.002389,-0.005087,1695600000,25965.0,26232.4,26290.5,268385.836,26440.0
0.007428,0.007368,-0.003634,-0.005523,1695686400,26073.8,26290.5,26208.8,180491.169,26388.0
0.009809,0.003501,0.007368,-0.001141,1695772800,26050.0,26208.7,26359.6,353002.84,26849.9
0.007828,-0.002712,0.003501,-0.007664,1695859200,26325.2,26359.6,27011.8,429587.858,27308.7
0.005375,0.003007,-0.002712,-0.004194,1695945600,26625.0,27011.7,26890.9,277397.643,27231.5
0.005522,-0.000087,0.003007,-0.001744,1696032000,26870.4,26890.9,26950.9,92317.154,27085.0
0.005647,0.005302,-0.000087,-0.0031,1696118400,26939.0,26951.0,27981.4,240382.946,28365.2
0.009005,0.005937,0.005302,-0.00596,1696204800,27255.0,27981.4,27477.6,593277.72,28613.0
0.008543,0.0063,0.005937,0.000464,1696291200,27123.0,27477.7,27412.0,283077.899,27665.0
0.0063,0.000046,0.0063,-0.000663,1696377600,27163.9,27412.0,27759.8,280784.322,27830.0
0.002711,0.000272,0.000046,-0.006235,1696464000,27333.5,27759.7,27398.4,370190.087,28110.0
0.004811,0.001967,0.000272,-0.004686,1696550400,27156.0,27398.3,27916.3,438445.904,28450.0
0.004408,-0.000112,0.001967,-0.002387,1696636800,27822.1,27916.3,27943.0,117049.145,28018.7
0.005547,0.001937,-0.000112,-0.001362,1696723200,27671.0,27943.0,27901.2,178380.307,28082.0
0.008637,0.007124,0.001937,-0.001173,1696809600,27250.0,27901.2,27578.3,314316.581,27977.0
0.007378,0.006981,0.007124,0.001295,1696896000,27281.0,27578.4,27381.2,239779.496,27727.3
0.011093,0.010873,0.006981,0.003338,1696982400,26525.0,27381.3,26864.5,388186.571,27467.6
0.010873,0.005129,0.010873,0.002129,1697068800,26534.8,26864.5,26744.0,220279.04,26939.0
0.006309,0.001953,0.005129,0.000451,1697155200,26670.1,26744.0,26849.8,243222.154,27120.8
0.006868,-0.000153,0.001953,-0.001624,1697241600,26773.1,26849.7,26836.3,82164.781,26986.4
0.006842,-0.000948,-0.000153,-0.001541,1697328000,26790.4,26836.4,27139.8,160000.462,27456.1
0.011027,0.001828,-0.000948,-0.006738,1697414400,27095.4,27139.8,28486.3,823003.782,30720.0
0.004293,-0.003383,0.001828,-0.006637,1697500800,28055.0,28486.3,28381.9,314189.758,28605.0
0.002192,0.000409,-0.003383,-0.003586,1697587200,28126.6,28382.0,28307.1,297176.628,29100.0
0.002193,-0.007025,0.000409,-0.010118,1697673600,28076.0,28307.2,28696.9,333673.207,28933.4
0.007857,-0.001445,-0.007025,-0.011745,1697760000,28560.0,28697.0,29653.0,551005.327,30243.0
0.00582,0.001263,-0.001445,-0.003246,1697846400,29443.5,29653.0,29895.4,258195.956,30374.6
0.0083,0.00816,0.001263,-0.00074,1697932800,29606.6,29895.4,29981.5,198602.758,30229.7
0.010757,0.006868,0.00816,-0.002719,1698019200,29869.4,29981.4,33074.0,987741.536,35981.9
0.025411,0.0123,0.006868,0.006868,1698105600,32833.5,33074.0,33917.0,921993.063,35300.0
0.014258,0.009754,0.0123,0.008353,1698192000,33660.6,33917.0,34487.7,465367.144,35154.3
0.014087,0.011575,0.009754,0.009754,1698278400,33750.0,34487.8,34154.0,339552.964,34828.7
0.016393,0.009672,0.011575,0.007573,1698364800,33350.0,34154.0,33893.1,278052.978,34253.3
0.01418,0.012672,0.009672,0.009161,1698451200,33867.4,33893.2,34086.6,138314.932,34535.8
0.017515,0.012682,0.012672,0.00585,1698537600,33933.0,34086.7,34528.6,175897.55,34773.8
0.014991,0.009512,0.012682,0.009231,1698624000,34050.0,34528.6,34483.8,281841.348,34888.2
0.0176,0.010115,0.009512,0.007408,1698710400,34016.8,34483.8,34651.4,272450.567,34744.7
0.017263,0.015419,0.010115,0.008144,1698796800,34076.0,34651.4,35437.4,469214.787,35734.0
0.015762,0.007407,0.015419,0.006206,1698883200,34300.0,35437.5,34940.1,410221.727,35999.9
0.010354,0.006729,0.007407,0.003086,1698969600,34123.0,34940.1,34700.4,306048.199,34944.9
0.012568,0.009072,0.006729,0.006729,1699056000,34571.6,34700.5,35069.7,140746.874,35270.0
0.015994,0.013544,0.009072,0.009072,1699142400,34356.0,35069.7,35025.5,231363.339,35455.2
0.01709,0.010179,0.013544,0.009441,1699228800,34743.2,35025.5,35057.4,202227.215,35299.9
0.015876,0.013285,0.010179,0.008906,1699315200,34520.3,35057.5,35406.5,343525.95,35921.7
0.016554,0.010906,0.013285,0.008795,1699401600,35073.0,35406.5,35626.7,334779.449,36150.0
0.054636,0.012917,0.010906,0.006533,1699488000,35304.0,35626.7,36719.5,778877.937,38499.9
