l,o,c,t,h,low,high,close,volume,open
3800938545,3800938545,3973780681,1600041600,3973780681,10241.57,10746.06,10664.1,205260.236,10327.72
3928523840,4004319355,3981091787,1600128000,4034621747,10592.0,10923.42,10776.78,247657.23,10664.1
3938749268,3993983541,4131681574,1600214400,4137193080,10661.9,11089.08,10948.17,252881.019,10776.88
4101491112,4169594289,4101491112,1600300800,4200868475,10740.0,11040.0,10935.33,186484.361,10948.16
4055072719,4105151513,4087920444,1600387200,4109297004,10810.1,11035.0,10926.29,136028.351,10935.97
4055704601,4068911441,4187243509,1600473600,4190974378,10880.0,11177.0,11073.74,126239.232,10926.3
4080488439,4188818668,4128853512,1600560000,4188818668,10751.0,11073.9,10914.28,150450.562,11073.2
3912209440,4112583230,3912209440,1600646400,4115552337,10281.0,10980.69,10414.73,333047.145,10915.52
3887995979,3927123793,3910429162,1600732800,3927123793,10353.1,10574.08,10523.32,179900.686,10414.73
3839790976,3897627986,3873920451,1600819200,3897627986,10132.21,10531.94,10237.91,203027.542,10523.32
3788160209,3874095706,3788160209,1600905600,3874759804,10191.0,10837.27,10724.92,241646.573,10237.91
3575607409,3810297479,3616780767,1600992000,3810298442,10551.56,10754.29,10683.51,170930.773,10724.91
3621770613,3633433143,3724820892,1601078400,3724820892,10642.23,10827.8,10726.5,109340.491,10683.5
3699692166,3728484353,3731224887,1601164800,3766937751,10584.0,10793.5,10768.0,123440.716,10726.5
3709827237,3711525309,3796016184,1601251200,3815215777,10627.19,11024.0,10691.45,187105.377,10768.0
3679117782,3797604189,3754716879,1601337600,3800113309,10631.49,10863.94,10836.98,146888.319,10691.94
3620671419,3755004414,3680989786,1601424000,3755004414,10660.05,10845.99,10773.0,132834.116,10836.99
3649346604,3682011527,3764206460,1601510400,3778415536,10442.0,10935.14,10612.63,253619.622,10773.0
3605050689,3693648298,3607259134,1601596800,3721924869,10371.03,10660.0,10565.15,224747.037,10612.62
3584117722,3614849238,3627334971,1601683200,3627334971,10491.11,10596.0,10537.96,76315.911,10565.44
3606766648,3626495389,3638453933,1601769600,3638453933,10514.0,10694.0,10660.16,90912.105,10537.96
3637924760,3643509785,3731848035,1601856000,3731848035,10608.9,10792.0,10785.0,130589.137,10660.16
3732385157,3734100963,3848778623,1601942400,3849266660,10510.66,10792.0,10593.65,184895.25,10784.99
3767854674,3818508966,3792350620,1602028800,3818721265,10540.29,10675.0,10658.75,106700.522,10593.65
3792514672,3796483387,3933952999,1602115200,3933952999,10523.0,10958.0,10919.45,207938.861,10658.75
3937747301,3954396886,4114232849,1602201600,4114232849,10818.44,11110.0,11050.47,154336.818,10919.45
4095795591,4132819042,4146751140,1602288000,4149454670,11050.46,11494.0,11294.79,199398.012,11050.46
4130337072,4133675807,4179759150,1602374400,4188818480,11273.77,11450.73,11369.59,146323.076,11294.78
4128386493,4210207495,4245678571,1602460800,4245678571,11157.0,11732.0,11530.36,254217.203,11369.59
4150313729,4272120738,4178529519,1602547200,4305298642,11308.0,11562.0,11419.36,199115.115,11530.37
4133720256,4180051899,4173874910,1602633600,4224535778,11280.5,11550.0,11417.13,192936.97,11419.36
3796915433,4125567982,4171157859,1602720000,4178203085,11250.0,11649.48,11502.0,215260.399,11417.12
4063807122,4183607053,4074471438,1602806400,4234330379,11175.0,11538.92,11318.92,212339.085,11502.0
4011680078,4077889587,4011680078,1602892800,4083373175,11250.0,11424.09,11356.25,95892.966,11319.51
4004852643,4008208468,4074400684,1602979200,4074400684,11342.54,11529.93,11501.1,92472.191,11356.25
4070576225,4070576225,4322518134,1603065600,4322518134,11404.01,11830.0,11745.0,230161.648,11501.5
