l,o,c,t,h,high,open,volume,close,low
-0.01785411,-0.01658884,-0.01785411,1603929600,-0.01658884,13637.22,13255.79,355352.336,13446.65,12965.0
-0.00812722,0.00399808,-0.00812722,1604016000,0.00399808,13665.65,13446.65,349890.573,13549.12,13100.0
-0.00801265,-0.00801265,-0.00260208,1604102400,0.01084886,14140.0,13549.12,357853.23,13783.73,13403.36
-0.00547952,-0.00247761,0.00351723,1604188800,0.00484522,13891.52,13783.73,198395.231,13752.86,13605.9
-0.00554932,0.00350035,0.00066747,1604275200,0.00650916,13823.75,13752.87,327991.768,13540.54,13195.0
-0.01157634,-0.00152514,-0.01036113,1604361600,0.00786328,14070.0,13541.55,348730.51,14016.55,13276.33
-0.00551088,-0.00129683,0.01134439,1604448000,0.01376376,14280.0,14016.55,451433.42,14134.31,13512.0
-0.00801394,0.00762062,0.00895354,1604534400,0.0162337,15777.0,14134.32,717489.697,15598.75,14088.01
0.0075505,0.0075505,0.02973974,1604620800,0.04791127,15984.2,15598.74,559380.06,15590.96,15177.0
0.02386938,0.02386938,0.02720785,1604707200,0.05753087,15774.0,15590.95,457582.681,14824.34,14350.0
0.00684953,0.02481729,0.01900189,1604793600,0.02481729,15678.0,14824.33,290616.393,15473.2,14710.0
0.00515997,0.03075945,0.0057961,1604880000,0.03399005,15869.0,15473.2,474181.983,15328.72,14822.0
0.00744052,0.00744052,0.01052725,1604966400,0.01503854,15474.17,15328.72,244073.495,15294.68,15071.0
0.00992827,0.01003529,0.01196221,1605052800,0.02105306,16000.0,15294.68,330772.852,15690.24,15274.89
0.00901839,0.01220127,0.01156784,1605139200,0.02010215,16345.0,15690.24,471759.126,16289.02,15437.7
0.00703828,0.01320132,0.0082702,1605225600,0.01365903,16479.99,16289.01,306656.359,16320.54,15955.6
0.00070632,0.00812291,0.00229592,1605312000,0.01058296,16326.82,16320.54,266206.937,16064.51,15700.0
0.00202957,0.00202957,0.00963634,1605398400,0.00963634,16161.23,16064.51,210318.453,15952.27,15768.0
0.00843274,0.00967445,0.02452759,1605484800,0.02628811,16882.0,15951.93,342459.329,16707.07,15862.0
0.004212,0.0133949,0.00903384,1605571200,0.0188315,17890.1,16707.0,524094.697,17670.01,16550.0
0.00899876,0.01048375,0.02048972,1605657600,0.02311016,18520.0,17670.01,732937.097,17788.32,17215.03
0.01961756,0.02113005,0.0323551,1605744000,0.04047367,18200.0,17788.32,406500.977,17811.68,17347.27
0.02266369,0.03074794,0.03537921,1605830400,0.05270153,18831.6,17811.68,407926.802,18664.31,17748.92
0.02025629,0.03482806,0.05014232,1605916800,0.05265645,18986.0,18662.85,342412.49,18721.99,18302.08
0.05059697,0.05059697,0.08543264,1606003200,0.08543264,18780.0,18721.99,373779.417,18435.2,17645.98
0.09108787,0.09482572,0.09264782,1606089600,0.10743449,18812.65,18434.17,364221.378,18382.07,18013.97
0.06101772,0.07192645,0.06101772,1606176000,0.09153882,19440.0,18382.07,477968.289,19179.64,18000.0
0.02819442,0.06064464,0.03557351,1606262400,0.06064464,19554.19,19178.53,426276.99,18741.67,18509.12
0.01224211,0.03639302,0.01662733,1606348800,0.03886355,18940.69,18741.66,850692.856,17155.34,16181.0
0.00685537,0.01588264,0.01042601,1606435200,0.01588264,17465.0,17155.37,398072.933,17144.1,16444.83
0.00474207,0.01152244,0.00647315,1606521600,0.01443692,17880.0,17144.11,268833.749,17717.74,16865.78
0.007178,0.00796642,0.00969204,1606608000,0.01399977,18343.0,17717.74,256024.006,18181.09,17523.0
0.00703792,0.00936665,0.05029778,1606694400,0.05564676,19944.0,18180.43,500482.574,19720.0,18178.82
0.02413693,0.04981385,0.02413693,1606780800,0.07711006,19956.0,19722.09,553885.333,18772.7,18050.0
0.00804817,0.02312388,0.01426263,1606867200,0.02312388,19365.0,18770.33,335717.482,19207.01,18329.58
0.00870064,0.01269029,0.02224517,1606953600,0.02705409,19640.0,19207.01,245020.576,19434.3,18865.0
0.00588167,0.02164619,0.00726311,1607040000,0.02164619,19537.16,19432.66,276271.939,18664.2,18570.0
0.00575231,0.00611025,0.0094773,1607126400,0.01146865,19203.46,18662.72,165912.647,19147.62,18510.0
0.0076756,0.00955148,0.00967118,1607212800,0.01240085,19449.1,19147.63,176004.606,19375.02,18855.35
0.00834331,0.01432154,0.00898835,1607299200,0.01914966,19446.36,19375.0,169402.371,19172.88,18908.66
0.00607267,0.00947455,0.00626813,1607385600,0.01178716,19319.38,19172.87,280714.132,18319.32,18133.33
0.0013119,0.00467577,0.0034678,1607472000,0.00726989,18639.7,18319.33,353123.689,18537.98,17650.0
0.002733,0.002733,0.01101106,1607558400,0.01109197,18550.0,18537.97,233960.241,18253.51,17916.0
0.00471038,0.01025103,0.00644941,1607644800,0.01025103,18290.44,18254.0,317866.07,18031.47,17555.0
0.00083856,0.00676707,0.00422448,1607731200,0.00676707,18950.0,18031.71,196962.282,18800.0,18012.21
-0.00234721,0.00386172,0.0201749,1607817600,0.02133151,19432.0,18800.0,239760.089,19175.07,18705.46
0.00925736,0.0206056,0.01002396,1607904000,0.02129943,19355.35,19175.06,181555.823,19270.7,19004.72
0.00562736,0.01043777,0.00646421,1607990400,0.01498343,19598.0,19270.71,248744.054,19424.91,19039.64
0.0062463,0.0062463,0.02593257,1608076800,0.03195401,21600.0,19424.9,459302.012,21346.8,19274.55
0.02249691,0.02697271,0.03878515,1608163200,0.07031651,23888.04,21346.81,823435.821,22816.99,21231.5
0.02251256,0.03872795,0.03780776,1608249600,0.05945129,23330.0,22816.99,305997.222,23124.35,22363.94
0.00908955,0.03877851,0.05663255,1608336000,0.06043514,24281.61,23124.35,337535.438,23847.28,22735.81
0.03270514,0.05203313,0.04571637,1608422400,0.06047963,24376.0,23847.28,322289.774,23472.96,23076.25
0.0083618,0.04014475,0.00971783,1608508800,0.04813829,24145.0,23472.96,476456.589,22730.1,21920.0
0.00748741,0.00937882,0.0187003,1608595200,0.02227534,23850.0,22736.05,326124.313,23826.99,22387.0
0.0134026,0.01634231,0.01781609,1608681600,0.03384841,24235.42,23826.74,394754.939,23238.27,22572.52
0.00548222,0.01826669,0.01726481,1608768000,0.02006926,23819.81,23237.73,237754.257,23737.44,22700.0
0.01679524,0.01721656,0.04995957,1608854400,0.05396041,24827.64,23738.75,284523.431,24730.0,23450.0
0.03092488,0.05069713,0.04209157,1608940800,0.05069713,26926.0,24729.99,367265.555,26508.83,24507.24
0.0375157,0.0375157,0.06592139,1609027200,0.08905742,28459.84,26508.84,540264.148,26305.64,25850.0
0.03918567,0.06414642,0.05874087,1609113600,0.06503152,27538.82,26301.76,267563.468,27102.66,26117.1
0.02810142,0.05754768,0.02852675,1609200000,0.05754768,27441.73,27101.45,260759.449,27402.83,25913.01
0.0297363,0.0297363,0.04616218,1609286400,0.08659679,29063.72,27402.83,374737.655,28906.99,27401.0
0.01187611,0.04770105,0.01194267,1609372800,0.04770105,29376.7,28906.99,313648.835,28951.68,27848.0
0.00313455,0.0101903,0.01171634,1609459200,0.02062697,29668.86,28948.19,210716.398,29337.16,28627.12
0.00730455,0.01191607,0.08285485,1609545600,0.11089435,33480.0,29337.15,545541.08,32199.91,28958.24
0.07157342,0.07770822,0.09306321,1609632000,0.09306321,34832.25,32198.41,487486.989,33054.53,32000.02
0.03019868,0.09267328,0.03646376,1609718400,0.15049457,33653.56,33053.93,506128.023,32031.07,27800.0
0.02230411,0.04390053,0.05108997,1609804800,0.05108997,34500.0,32029.55,433720.833,33999.52,29900.0
0.05113751,0.05113751,0.0718351,1609891200,0.11467298,37037.51,33999.51,444019.83,36823.68,33356.46
0.06231508,0.07392952,0.09762636,1609977600,0.10017221,40565.62,36825.77,520147.908,39498.92,36337.36
0.03500673,0.09240694,0.07091269,1610064000,0.11908043,42125.51,39498.32,518080.826,40637.23,36539.77
0.0246523,0.0677372,0.06011917,1610150400,0.0677372,41539.88,40638.91,260882.805,40136.04,38733.28
0.02887948,0.0563617,0.0443303,1610236800,0.11456087,41412.12,40136.05,436759.048,38221.67,35268.0
0.05090608,0.05090608,0.06227941,1610323200,0.11112322,38322.18,38200.01,906275.651,35408.46,30448.0
0.02024175,0.05982148,0.04141342,1610409600,0.05982148,36693.44,35406.92,449065.693,34056.9,32600.0
0.02344627,0.04165709,0.04836656,1610496000,0.05485867,37880.0,34065.53,398188.088,37421.07,32420.0
0.04569544,0.04884059,0.06289306,1610582400,0.06657672,40189.39,37416.34,353142.386,39163.31,36764.33
0.03831016,0.05889835,0.03833145,1610668800,0.08794783,39790.0,39163.31,437610.113,36755.24,34478.0
0.00453042,0.03494209,0.0361055,1610755200,0.04690558,38000.0,36755.25,301102.477,36025.66,35366.0
