start_time,date,market_premium
2021-07-14,2021-07-14,-12.872027696760712
2021-07-15,2021-07-15,-14.841847825117648
2021-07-16,2021-07-16,-11.25758001265037
2021-07-19,2021-07-19,-12.890382548020751
2021-07-20,2021-07-20,-14.248043295044807
2021-07-21,2021-07-21,-13.813881282052352
2021-07-22,2021-07-22,-10.866587462127551
2021-07-23,2021-07-23,-13.993620379028904
2021-07-26,2021-07-26,-3.4071777180753826
2021-07-27,2021-07-27,-11.008196574381568
2021-07-28,2021-07-28,-6.434101868664611
2021-07-29,2021-07-29,-9.17434094388544
2021-07-30,2021-07-30,-13.876490654300444
2021-08-02,2021-08-02,-8.75598836457504
2021-08-03,2021-08-03,-11.15361846805445
2021-08-04,2021-08-04,-11.152777191373175
2021-08-05,2021-08-05,-12.146495977730664
2021-08-06,2021-08-06,-10.504645700762936
2021-08-09,2021-08-09,-11.255622086124372
2021-08-10,2021-08-10,-11.668510229552052
2021-08-11,2021-08-11,-9.035123923102494
2021-08-12,2021-08-12,-11.557449681268672
2021-08-13,2021-08-13,-14.512274616771046
2021-08-16,2021-08-16,-10.936302935047484
2021-08-17,2021-08-17,-12.689693002319023
2021-08-18,2021-08-18,-15.788864320649832
2021-08-19,2021-08-19,-14.545651470517283
2021-08-20,2021-08-20,-14.505641971124916
2021-08-23,2021-08-23,-14.158895495362724
2021-08-24,2021-08-24,-12.599617585868916
2021-08-25,2021-08-25,-14.853065476684236
2021-08-26,2021-08-26,-13.924565490509432
2021-08-27,2021-08-27,-14.942567273707075
2021-08-30,2021-08-30,-11.731824028489136
2021-08-31,2021-08-31,-14.49780512803558
2021-09-01,2021-09-01,-16.473497694331996
2021-09-02,2021-09-02,-15.429760570935391
2021-09-03,2021-09-03,-13.115760502243834
2021-09-07,2021-09-07,-13.94894283390543
2021-09-08,2021-09-08,-13.074561210936851
2021-09-09,2021-09-09,-13.87311112601941
2021-09-10,2021-09-10,-12.44046746028098
2021-09-13,2021-09-13,-15.15296704745972
2021-09-14,2021-09-14,-16.631992333032887
2021-09-15,2021-09-15,-13.964905650875725
2021-09-16,2021-09-16,-15.05568110515253
2021-09-17,2021-09-17,-14.913019243670467
2021-09-20,2021-09-20,-14.217461560959933
2021-09-21,2021-09-21,-13.019123402376476
2021-09-22,2021-09-22,-14.503439511012171
2021-09-23,2021-09-23,-14.614087172535928
2021-09-24,2021-09-24,-14.67642918587878
2021-09-27,2021-09-27,-13.411634335132838
2021-09-28,2021-09-28,-14.789283567707258
2021-09-29,2021-09-29,-17.375781498122166
2021-09-30,2021-09-30,-17.483692128549666
2021-10-01,2021-10-01,-17.509072389009418
2021-10-04,2021-10-04,-15.087596810679116
2021-10-05,2021-10-05,-16.0720481739158
2021-10-06,2021-10-06,-17.3828855313345
2021-10-07,2021-10-07,-17.471020894360613
2021-10-08,2021-10-08,-16.134696169736618
2021-10-12,2021-10-12,-18.96202770359895
2021-10-13,2021-10-13,-16.797601239100203
2021-10-14,2021-10-14,-16.283958034786338
2021-10-15,2021-10-15,-17.802528069348924
2021-10-18,2021-10-18,-21.28427554008347
2021-10-19,2021-10-19,-18.78807493452119
2021-10-20,2021-10-20,-16.165603417400764
2021-10-21,2021-10-21,-15.80137073665424
2021-10-22,2021-10-22,-14.06758817205742
2021-10-25,2021-10-25,-13.692324409391665
2021-10-26,2021-10-26,-12.33222036797117
2021-10-27,2021-10-27,-14.519196836222138
2021-10-28,2021-10-28,-14.037051964100822
2021-10-29,2021-10-29,-14.585417099582829
2021-11-01,2021-11-01,-13.530968813002284
2021-11-02,2021-11-02,-14.63322390249222
2021-11-03,2021-11-03,-14.17282600134604
2021-11-04,2021-11-04,-14.853687391042158
2021-11-05,2021-11-05,-14.760967422298588
2021-11-08,2021-11-08,-17.108206944697603
2021-11-09,2021-11-09,-14.45415102359371
2021-11-10,2021-11-10,-11.750617771688388
2021-11-12,2021-11-12,-14.057958760412014
2021-11-15,2021-11-15,-13.805366561781874
2021-11-16,2021-11-16,-16.09790743966617
2021-11-17,2021-11-17,-14.148917313025043
2021-11-18,2021-11-18,-12.514816229606028
2021-11-19,2021-11-19,-13.092483615565897
2021-11-22,2021-11-22,-14.05055532465903
2021-11-23,2021-11-23,-12.730997527831532
2021-11-24,2021-11-24,-12.972618785020462
2021-11-26,2021-11-26,-11.650024539806948
2021-11-29,2021-11-29,-12.536277065789514
2021-11-30,2021-11-30,-13.064115148702026
2021-12-01,2021-12-01,-15.943241832357824
2021-12-02,2021-12-02,-13.908593123331414
2021-12-03,2021-12-03,-16.35216316153427
2021-12-06,2021-12-06,-18.47080855605333
2021-12-07,2021-12-07,-15.078431744970343
2021-12-08,2021-12-08,-14.38813155674332
2021-12-09,2021-12-09,-16.367676836818536
2021-12-10,2021-12-10,-15.237571544569803
2021-12-13,2021-12-13,-18.717250425151388
2021-12-14,2021-12-14,-18.551160124906584
2021-12-15,2021-12-15,-17.368830642976885
2021-12-16,2021-12-16,-18.23099880729996
2021-12-17,2021-12-17,-19.980101445371933
2021-12-20,2021-12-20,-21.16924949887295
2021-12-21,2021-12-21,-19.85162184165138
2021-12-22,2021-12-22,-18.306699107753353
2021-12-23,2021-12-23,-17.39399521333792
2021-12-27,2021-12-27,-16.83577348499342
2021-12-28,2021-12-28,-17.985552828510233
2021-12-29,2021-12-29,-18.30166337817456
2021-12-30,2021-12-30,-19.36664963468183
2021-12-31,2021-12-31,-20.393746323298643
2022-01-03,2022-01-03,-20.817046975291458
2022-01-04,2022-01-04,-18.765164800930055
2022-01-05,2022-01-05,-19.68548097846221
2022-01-06,2022-01-06,-20.363817040111886
2022-01-07,2022-01-07,-20.56352284750076
2022-01-10,2022-01-10,-22.50475824511332
2022-01-11,2022-01-11,-21.69183923517784
2022-01-12,2022-01-12,-21.83817466769461
2022-01-13,2022-01-13,-23.03015632320291
2022-01-14,2022-01-14,-23.850791853242836
2022-01-18,2022-01-18,-27.51959498597804
2022-01-19,2022-01-19,-27.727869980458745
2022-01-20,2022-01-20,-23.322437860420493
2022-01-21,2022-01-21,-24.546816029078876
2022-01-24,2022-01-24,-24.102651639414734
2022-01-25,2022-01-25,-26.06292882985992
2022-01-26,2022-01-26,-25.732500729302036
2022-01-27,2022-01-27,-30.271575720893473
2022-01-28,2022-01-28,-26.666417693966128
2022-01-31,2022-01-31,-26.668151311669387
2022-02-01,2022-02-01,-27.01684699652679
2022-02-02,2022-02-02,-25.55507910372651
2022-02-03,2022-02-03,-29.04133476027798
2022-02-04,2022-02-04,-27.684787242250085
2022-02-07,2022-02-07,-25.023253792767964
2022-02-08,2022-02-08,-23.473435812665336
2022-02-09,2022-02-09,-22.276005096309724
2022-02-10,2022-02-10,-23.355696466532695
2022-02-11,2022-02-11,-24.83363555275625
2022-02-14,2022-02-14,-25.508743687453062
2022-02-15,2022-02-15,-24.436619400707027
2022-02-16,2022-02-16,-23.684258009506088
2022-02-17,2022-02-17,-24.74202981848792
2022-02-18,2022-02-18,-26.493860857709823
2022-02-22,2022-02-22,-27.002499221152146
2022-02-23,2022-02-23,-25.0841707682266
2022-02-24,2022-02-24,-25.350253951352396
2022-02-25,2022-02-25,-25.412996327867255
2022-02-28,2022-02-28,-26.688000466466544
2022-03-01,2022-03-01,-25.45907329881027
2022-03-02,2022-03-02,-25.958857117046207
2022-03-03,2022-03-03,-28.689541724059943
2022-03-04,2022-03-04,-28.102949745160657
2022-03-07,2022-03-07,-30.041642828325656
2022-03-08,2022-03-08,-29.061504927259108
2022-03-09,2022-03-09,-27.813509145193283
2022-03-10,2022-03-10,-27.301215757299524
2022-03-11,2022-03-11,-29.013739859245945
2022-03-14,2022-03-14,-30.98728701133103
2022-03-15,2022-03-15,-27.738629173913143
2022-03-16,2022-03-16,-27.911268542312573
2022-03-17,2022-03-17,-27.178343121988668
2022-03-18,2022-03-18,-25.91962878860721
2022-03-21,2022-03-21,-27.202382602452044
2022-03-22,2022-03-22,-26.831173354564676
2022-03-23,2022-03-23,-27.71274226216821
2022-03-24,2022-03-24,-25.21660869122583
2022-03-25,2022-03-25,-26.587554045505833
2022-03-28,2022-03-28,-24.91627952804636
2022-03-29,2022-03-29,-25.25953432237351
2022-03-30,2022-03-30,-26.518771037653035
2022-03-31,2022-03-31,-27.61239213450299
2022-04-01,2022-04-01,-25.300054941592865
2022-04-04,2022-04-04,-25.694206798342123
2022-04-05,2022-04-05,-23.785511683797
2022-04-06,2022-04-06,-24.47479257051041
2022-04-07,2022-04-07,-24.510112087983625
2022-04-08,2022-04-08,-23.825078236791107
2022-04-11,2022-04-11,-24.13067290850884
2022-04-12,2022-04-12,-26.23866155676319
2022-04-13,2022-04-13,-23.404943305518557
2022-04-14,2022-04-14,-22.95054832684875
2022-04-18,2022-04-18,-21.92329207729632
2022-04-19,2022-04-19,-21.45055265746261
2022-04-20,2022-04-20,-21.480944173182703
2022-04-21,2022-04-21,-19.767733505436645
2022-04-22,2022-04-22,-23.710923155448253
2022-04-25,2022-04-25,-23.525322960290225
2022-04-26,2022-04-26,-23.729034942697204
2022-04-27,2022-04-27,-25.92290358801644
2022-04-28,2022-04-28,-24.326591373076823
2022-04-29,2022-04-29,-26.124134126500397
2022-05-02,2022-05-02,-26.54624376119976
2022-05-03,2022-05-03,-26.352446981870926
2022-05-04,2022-05-04,-24.363499266980483
