start_time,date,fund_flow_ratio
2022-05-29,2022-05-29,0.00666665
2022-05-30,2022-05-30,0.01327201
2022-05-31,2022-05-31,0.00621298
2022-06-01,2022-06-01,0.00738847
2022-06-02,2022-06-02,0.0087645
2022-06-03,2022-06-03,0.00905043
2022-06-04,2022-06-04,0.0241372
2022-06-05,2022-06-05,0.00536258
2022-06-06,2022-06-06,0.01154678
2022-06-07,2022-06-07,0.00974337
2022-06-08,2022-06-08,0.0089315
2022-06-09,2022-06-09,0.00853115
2022-06-10,2022-06-10,0.00654249
2022-06-11,2022-06-11,0.00642943
2022-06-12,2022-06-12,0.00543422
2022-06-13,2022-06-13,0.01174015
2022-06-14,2022-06-14,0.0036673
2022-06-15,2022-06-15,0.00337794
2022-06-16,2022-06-16,0.003117
2022-06-17,2022-06-17,0.00287901
2022-06-18,2022-06-18,0.00447514
2022-06-19,2022-06-19,0.00517747
2022-06-20,2022-06-20,0.00580415
2022-06-21,2022-06-21,0.00678003
2022-06-22,2022-06-22,0.00901829
2022-06-23,2022-06-23,0.00840702
2022-06-24,2022-06-24,0.00793326
2022-06-25,2022-06-25,0.00500568
2022-06-26,2022-06-26,0.0087404
2022-06-27,2022-06-27,0.00533303
2022-06-28,2022-06-28,0.00486434
2022-06-29,2022-06-29,0.00439016
2022-06-30,2022-06-30,0.00524739
2022-07-01,2022-07-01,0.00622016
2022-07-02,2022-07-02,0.00306083
2022-07-03,2022-07-03,0.00309584
2022-07-04,2022-07-04,0.00490382
2022-07-05,2022-07-05,0.00670502
2022-07-06,2022-07-06,0.00497602
2022-07-07,2022-07-07,0.00829595
2022-07-08,2022-07-08,0.00858213
2022-07-09,2022-07-09,0.00422021
2022-07-10,2022-07-10,0.00708716
2022-07-11,2022-07-11,0.00437958
2022-07-12,2022-07-12,0.00388401
2022-07-13,2022-07-13,0.00351561
2022-07-14,2022-07-14,0.00733978
2022-07-15,2022-07-15,0.00506595
2022-07-16,2022-07-16,0.00382653
2022-07-17,2022-07-17,0.0153766
2022-07-18,2022-07-18,0.00818842
2022-07-19,2022-07-19,0.00827669
2022-07-20,2022-07-20,0.01320752
2022-07-21,2022-07-21,0.00527513
2022-07-22,2022-07-22,0.00649841
2022-07-23,2022-07-23,0.00469388
2022-07-24,2022-07-24,0.00575038
2022-07-25,2022-07-25,0.00589247
2022-07-26,2022-07-26,0.00392436
2022-07-27,2022-07-27,0.00624233
2022-07-28,2022-07-28,0.008432
2022-07-29,2022-07-29,0.0092657
2022-07-30,2022-07-30,0.00619633
2022-07-31,2022-07-31,0.00561154
2022-08-01,2022-08-01,0.00530781
2022-08-02,2022-08-02,0.00428363
2022-08-03,2022-08-03,0.0041018
2022-08-04,2022-08-04,0.00478425
2022-08-05,2022-08-05,0.004658
2022-08-06,2022-08-06,0.00316461
2022-08-07,2022-08-07,0.00598279
2022-08-08,2022-08-08,0.00337676
2022-08-09,2022-08-09,0.00477952
2022-08-10,2022-08-10,0.00642444
2022-08-11,2022-08-11,0.00595667
2022-08-12,2022-08-12,0.00709935
2022-08-13,2022-08-13,0.00762948
2022-08-14,2022-08-14,0.0104685
2022-08-15,2022-08-15,0.005313
2022-08-16,2022-08-16,0.00553882
2022-08-17,2022-08-17,0.00489023
2022-08-18,2022-08-18,0.00856865
2022-08-19,2022-08-19,0.00850757
2022-08-20,2022-08-20,0.00252326
2022-08-21,2022-08-21,0.00438198
2022-08-22,2022-08-22,0.00362837
2022-08-23,2022-08-23,0.00255056
2022-08-24,2022-08-24,0.00574592
2022-08-25,2022-08-25,0.00446746
2022-08-26,2022-08-26,0.00685429
2022-08-27,2022-08-27,0.00599738
2022-08-28,2022-08-28,0.00732328
2022-08-29,2022-08-29,0.00567946
2022-08-30,2022-08-30,0.00625817
2022-08-31,2022-08-31,0.00610285
2022-09-01,2022-09-01,0.0046996
2022-09-02,2022-09-02,0.00772337
2022-09-03,2022-09-03,0.00586827
2022-09-04,2022-09-04,0.00836878
2022-09-05,2022-09-05,0.00547047
2022-09-06,2022-09-06,0.0048726
2022-09-07,2022-09-07,0.00428601
2022-09-08,2022-09-08,0.00615971
2022-09-09,2022-09-09,0.00661975
2022-09-10,2022-09-10,0.00639735
2022-09-11,2022-09-11,0.00915369
2022-09-12,2022-09-12,0.00946238
2022-09-13,2022-09-13,0.01064002
2022-09-14,2022-09-14,0.00471345
