start_time,date,open_interest
2022-12-07,2022-12-07,2486031256.557
2022-12-08,2022-12-08,2592978675.4884005
2022-12-09,2022-12-09,2541661002.36
2022-12-10,2022-12-10,2570181190.888
2022-12-11,2022-12-11,2538899019.2896
2022-12-12,2022-12-12,2470465906.6827
2022-12-13,2022-12-13,2544761077.492
2022-12-14,2022-12-14,2631708589.5643
2022-12-15,2022-12-15,2509841874.0281
2022-12-16,2022-12-16,2237082788.4349003
2022-12-17,2022-12-17,2264331582.5232
2022-12-18,2022-12-18,2246335368.3831997
2022-12-19,2022-12-19,2203142767.6042004
2022-12-20,2022-12-20,2220622052.4459
2022-12-21,2022-12-21,2230488527.8662
2022-12-22,2022-12-22,2294381792.0456
2022-12-23,2022-12-23,2278583573.7394
2022-12-24,2022-12-24,2275894672.4237003
2022-12-25,2022-12-25,2262913913.3082
2022-12-26,2022-12-26,2273757501.9203
2022-12-27,2022-12-27,2373883367.8792
2022-12-28,2022-12-28,2417416901.4277005
2022-12-29,2022-12-29,2444864786.0895
2022-12-30,2022-12-30,2448715483.2526
2022-12-31,2022-12-31,2405637271.5343
2023-01-01,2023-01-01,2466195067.7507
2023-01-02,2023-01-02,2394736730.0014
2023-01-03,2023-01-03,2386355487.1553
2023-01-04,2023-01-04,2331260931.2338
2023-01-05,2023-01-05,2374666014.8740997
2023-01-06,2023-01-06,2392752286.3232
2023-01-07,2023-01-07,2425667812.4644003
2023-01-08,2023-01-08,2399731807.4226003
2023-01-09,2023-01-09,2443954099.3647003
2023-01-10,2023-01-10,2660094429.9185996
2023-01-11,2023-01-11,2632047937.2272
2023-01-12,2023-01-12,2784576206.2744
2023-01-13,2023-01-13,2965451194.5934
2023-01-14,2023-01-14,2672569055.2170005
2023-01-15,2023-01-15,2681493284.4229
2023-01-16,2023-01-16,2775834763.8808
2023-01-17,2023-01-17,2870638981.3096004
2023-01-18,2023-01-18,2810034460.9940004
2023-01-19,2023-01-19,2940238414.9213004
2023-01-20,2023-01-20,3017656674.724
2023-01-21,2023-01-21,2941031034.8194
2023-01-22,2023-01-22,2899845230.6136003
2023-01-23,2023-01-23,2892536982.239
2023-01-24,2023-01-24,2888600446.9755
2023-01-25,2023-01-25,2768202638.1479
2023-01-26,2023-01-26,2814087084.1993003
2023-01-27,2023-01-27,2867232778.7051
2023-01-28,2023-01-28,2872768666.4147005
2023-01-29,2023-01-29,3323208048.1123004
2023-01-30,2023-01-30,2947148341.0118003
2023-01-31,2023-01-31,3099303684.3096
2023-02-01,2023-02-01,3270621760.2124
2023-02-02,2023-02-02,3175686080.2972
2023-02-03,2023-02-03,3129330561.2587
2023-02-04,2023-02-04,3152616180.8137
2023-02-05,2023-02-05,3210716303.5913005
2023-02-06,2023-02-06,3180177897.2728
2023-02-07,2023-02-07,3217169084.5241003
2023-02-08,2023-02-08,3283757070.4
2023-02-09,2023-02-09,2986507696.674
2023-02-10,2023-02-10,3020132768.775
2023-02-11,2023-02-11,3006556862.1863003
2023-02-12,2023-02-12,2931541723.4066
2023-02-13,2023-02-13,2904804237.8032
2023-02-14,2023-02-14,3074752734.2406006
2023-02-15,2023-02-15,3493430711.4570003
2023-02-16,2023-02-16,3383611299.8625
2023-02-17,2023-02-17,3473206032.3097
2023-02-18,2023-02-18,3586048291.9175997
2023-02-19,2023-02-19,3480633640.3647995
2023-02-20,2023-02-20,3640987403.832899
2023-02-21,2023-02-21,3554897024.6583996
2023-02-22,2023-02-22,3453705698.5275
2023-02-23,2023-02-23,3393655390.5422
2023-02-24,2023-02-24,3291490070.5298004
2023-02-25,2023-02-25,3368347371.3879
2023-02-26,2023-02-26,3339830029.648
2023-02-27,2023-02-27,3194115005.491
2023-02-28,2023-02-28,3226857230.654
2023-03-01,2023-03-01,3273281122.4193
2023-03-02,2023-03-02,3377758034.0949
2023-03-03,2023-03-03,3060222958.3714004
2023-03-04,2023-03-04,3031873783.1907
2023-03-05,2023-03-05,3027034671.732
2023-03-06,2023-03-06,3113466179.8076
2023-03-07,2023-03-07,3127003080.6163
2023-03-08,2023-03-08,3131864503.9574995
2023-03-09,2023-03-09,2759891777.7561994
2023-03-10,2023-03-10,2706675503.6021
2023-03-11,2023-03-11,2662760161.7593994
2023-03-12,2023-03-12,2635294383.4828
2023-03-13,2023-03-13,3203835777.6516
2023-03-14,2023-03-14,3191779423.112
2023-03-15,2023-03-15,2998513286.1555996
