start_time,datetime,exchange_supply_ratio
2021-01-13 21:00:00,2021-01-13 21:00:00,0.03284998
2021-01-13 22:00:00,2021-01-13 22:00:00,0.03296595
2021-01-13 23:00:00,2021-01-13 23:00:00,0.03297751
2021-01-14 00:00:00,2021-01-14 00:00:00,0.03298192
2021-01-14 01:00:00,2021-01-14 01:00:00,0.03290554
2021-01-14 02:00:00,2021-01-14 02:00:00,0.03266645
2021-01-14 03:00:00,2021-01-14 03:00:00,0.03265428
2021-01-14 04:00:00,2021-01-14 04:00:00,0.03266672
2021-01-14 05:00:00,2021-01-14 05:00:00,0.03270757
2021-01-14 06:00:00,2021-01-14 06:00:00,0.03298882
2021-01-14 07:00:00,2021-01-14 07:00:00,0.0329529
2021-01-14 08:00:00,2021-01-14 08:00:00,0.03301009
2021-01-14 09:00:00,2021-01-14 09:00:00,0.03305421
2021-01-14 10:00:00,2021-01-14 10:00:00,0.03309157
2021-01-14 11:00:00,2021-01-14 11:00:00,0.03311212
2021-01-14 12:00:00,2021-01-14 12:00:00,0.03311815
2021-01-14 13:00:00,2021-01-14 13:00:00,0.03305868
2021-01-14 14:00:00,2021-01-14 14:00:00,0.03294315
2021-01-14 15:00:00,2021-01-14 15:00:00,0.03296154
2021-01-14 16:00:00,2021-01-14 16:00:00,0.03300094
2021-01-14 17:00:00,2021-01-14 17:00:00,0.03302197
2021-01-14 18:00:00,2021-01-14 18:00:00,0.03299221
2021-01-14 19:00:00,2021-01-14 19:00:00,0.03296176
2021-01-14 20:00:00,2021-01-14 20:00:00,0.03299474
2021-01-14 21:00:00,2021-01-14 21:00:00,0.03293517
2021-01-14 22:00:00,2021-01-14 22:00:00,0.03292665
2021-01-14 23:00:00,2021-01-14 23:00:00,0.03291231
2021-01-15 00:00:00,2021-01-15 00:00:00,0.03296153
2021-01-15 01:00:00,2021-01-15 01:00:00,0.03297242
2021-01-15 02:00:00,2021-01-15 02:00:00,0.03299188
2021-01-15 03:00:00,2021-01-15 03:00:00,0.0330069
2021-01-15 04:00:00,2021-01-15 04:00:00,0.03298526
2021-01-15 05:00:00,2021-01-15 05:00:00,0.03296886
2021-01-15 06:00:00,2021-01-15 06:00:00,0.03313547
2021-01-15 07:00:00,2021-01-15 07:00:00,0.03319947
2021-01-15 08:00:00,2021-01-15 08:00:00,0.0333012
